,dates,nzd0060-0000,nzd0060-0001,nzd0060-0002,nzd0060-0003,nzd0060-0004,nzd0060-0005,nzd0060-0006,nzd0060-0007
69,2007-02-04 22:12:33+00:00,160.90499458553867,164.06866487153104,165.0847194291727,178.3331022679223,175.3695005432439,173.80199004251295,177.3228413292859,172.16082915606836
70,2007-02-28 22:08:05+00:00,171.12292106281507,174.35992794915109,176.65262668743782,181.56057845360002,182.07273310229476,182.37947991779583,192.10739997567225,199.69993120683955
71,2007-04-01 22:08:07+00:00,,,,,,,,
72,2007-04-17 22:08:06+00:00,159.20031428417144,166.3993009800103,162.8216631342553,175.0835696633202,,,,
73,2007-07-22 22:07:45+00:00,,,,,220.6268887024042,209.54260555999107,219.9137619002836,209.59095966738317
74,2007-09-24 22:07:22+00:00,176.8628524060245,190.179404959507,,,,,,
75,2007-11-27 22:07:48+00:00,174.666073395264,175.4431464061292,181.29163201157073,190.23400269578246,187.8484708745977,182.41751257562174,188.1411833455628,178.89524395618815
76,2007-12-29 22:07:56+00:00,217.83129150808884,,,,,,,
77,2008-04-03 22:07:44+00:00,178.70634629567547,181.6959148929193,188.94891628787894,195.37181281134616,201.83953907311684,193.85889252367724,200.99894330027078,199.7722396229699
78,2008-08-09 22:06:47+00:00,217.61422400074014,,,,224.51721983145814,208.6049322545035,208.49776168660225,201.21351623647433
79,2008-09-26 22:06:23+00:00,,,,,,,,
80,2008-10-12 22:06:13+00:00,166.37758932919314,177.38467787980602,176.72445617392648,178.5141054047773,180.04323491323203,,172.31386150735798,166.69120666894597
81,2008-10-28 22:06:29+00:00,,,,,,,,
82,2008-11-13 22:06:43+00:00,,,,,,,,
83,2008-11-21 22:01:05+00:00,169.14598573156627,198.17189272442374,195.1633663049549,200.28642946854393,193.7460209827177,,,
84,2008-11-29 22:06:55+00:00,166.88517012236855,169.99749101141518,170.88209303748124,176.69833957255844,177.76514959739666,171.75277466637004,184.90672238899742,176.56199551731726
85,2008-12-31 22:07:13+00:00,170.62519723097873,170.17445220607001,177.4414763435709,169.71829222121264,177.61148350068527,167.25119441905264,186.05665890084674,182.58022240778396
86,2009-01-24 22:02:55+00:00,177.43413126969787,174.28393396012314,178.51114672870028,177.76133366023208,183.00265913350597,184.20387568568574,194.03934393192952,194.80092611537992
87,2009-02-17 22:07:31+00:00,186.2005045359518,,,,,,,215.2744486217885
88,2009-02-25 22:03:43+00:00,149.59767388978858,154.45000768662982,154.28813763244074,,,,,
89,2009-03-21 22:07:47+00:00,192.79290435876743,,,191.58929563835943,192.87223812085213,192.16908547678696,209.92957456912777,212.74507310942744
90,2009-05-08 22:08:01+00:00,161.0580012837591,161.05321828192456,164.06917018785265,163.5558445291087,166.47181637232114,159.9507179680441,174.5187403179305,171.53633495323595
91,2009-05-24 22:08:02+00:00,,,,,,,,
92,2009-09-13 22:07:45+00:00,,,,,211.28532229967334,197.86617381348074,213.20998889465946,199.8684452608212
93,2009-11-16 22:08:13+00:00,162.29684036822835,163.2517061150511,163.34723945174352,169.68362337585208,176.36800443358788,160.75990140449926,166.55688617605028,159.958805865211
94,2009-12-18 22:08:39+00:00,,,,,,,,
95,2010-01-27 22:08:26+00:00,188.11335818305176,194.2476477939496,184.8628518590727,190.38452813496747,192.78923593612512,190.50219492202842,195.68787441330693,195.85656151707195
96,2010-02-12 22:08:30+00:00,182.22241088547807,178.66104880956397,182.56035203458413,189.42067431199695,191.64791331741853,186.1796494573195,192.42274636306416,187.76875783758362
97,2010-02-20 22:09:33+00:00,199.67377162540208,230.4114853145942,227.82146876008048,205.09601745044998,199.58146318677404,200.204064705795,209.89364047034925,207.7771866535614
98,2010-03-08 22:09:41+00:00,207.98029983957065,243.92004967753496,244.13632110110746,233.89576646191026,215.70360753029527,212.11130150386168,223.82981365030525,224.57627293911833
99,2010-03-24 22:09:46+00:00,212.3759523282604,259.17898860885566,253.55560153664533,239.96314694402557,222.90171734531253,218.96433175902845,235.7689815455738,230.7761264698059
100,2010-06-28 22:09:46+00:00,,,171.86328196682723,182.34183820412017,178.9848342074938,171.21845055778385,166.43531937049735,164.99714756508817
101,2010-07-30 22:09:48+00:00,187.7448702761876,,191.13418906396024,190.99348807355057,190.25360894021617,186.10693339250088,191.15919128595309,182.47164309968824
102,2010-10-02 22:09:49+00:00,238.9501107460166,274.87672633190334,,,,,,
103,2010-11-27 22:07:24+00:00,207.62454045450076,,226.7056714389995,219.54239647336016,207.11020430670482,198.64536378708615,209.91271254579294,201.98234977237894
104,2011-01-06 22:10:49+00:00,172.51373312791645,,171.68514450545302,177.3768102424567,183.06507075818217,172.85340994582026,186.71492382974668,176.79582013527113
105,2011-02-07 22:11:00+00:00,186.56318859096285,,187.25433857703618,189.27434050084617,202.45803594962047,189.5712851104779,195.6951124542951,186.28389911796683
106,2011-03-11 22:11:09+00:00,199.7173399663842,222.15780303898444,214.0024896937825,211.969707036497,210.35745456211038,208.05197588044928,223.75866006219056,222.07490253142942
107,2011-04-12 22:11:12+00:00,213.64962871740363,243.17647117759114,251.6154960264064,228.1239451105014,209.76403867557246,212.35194500338585,240.24212269276308,246.49940398600717
108,2011-07-01 22:11:06+00:00,173.9686343036406,166.6184952314543,169.6054239502691,179.91909047551798,184.8886678789062,167.40591150890015,173.96852358800814,173.88977168449114
109,2011-07-17 22:11:06+00:00,174.33558261257954,178.87794473752274,,,,,,
110,2011-08-18 22:10:59+00:00,184.28369534520317,193.89025399606547,182.72940857571996,188.01608674380606,186.03899425511707,186.81285597277986,189.15447035198986,181.21294943291085
111,2011-11-22 22:11:15+00:00,179.2003269115878,186.5637325536809,177.37295159797898,177.82364712958974,180.40387186435117,179.00378513427808,187.00625456222429,182.75989385104282
112,2012-03-13 22:11:42+00:00,202.5818824874254,225.49539068193394,227.77935905342449,197.56145800824794,195.68944416056095,199.15281005755224,216.708775462938,
113,2012-03-29 22:11:42+00:00,199.36556676866908,223.15448226683912,219.74861389768168,206.4968599834736,195.88491914828592,191.93269286576785,205.9311318156593,204.91097124967055
114,2012-04-14 22:11:39+00:00,205.64770922918566,238.0891564115973,237.92263094735978,212.97109061263998,194.54539926239875,190.43768039391352,212.48687622761116,215.73157370046692
115,2012-05-16 22:12:19+00:00,,,,,,,190.35517661907784,181.35003954683492
116,2012-06-01 22:11:59+00:00,,,,,,,,
117,2012-09-05 22:12:57+00:00,189.51400495277724,,,192.6943054420442,188.7789252446534,188.4855785848575,187.1981793252386,176.66710999311925
118,2012-11-08 22:13:27+00:00,,254.2852012403841,251.88943772044854,,,,,
119,2012-11-24 22:13:35+00:00,,,,,,183.4056822623181,185.49652746467262,179.74685629148036
120,2012-12-10 22:13:38+00:00,196.81641379339976,,203.0735259203733,197.14796111788417,200.51588931724595,194.61073692852875,201.4947002112819,200.0042893418409
121,2013-01-11 22:13:44+00:00,148.66188317605156,,148.0391064799993,158.00645667414582,166.00468282441122,156.45439072614226,163.13537156522926,
122,2013-01-27 22:13:47+00:00,,,156.75324314239884,175.9220083134623,179.866438722499,167.63330606868064,168.38646896035627,
123,2013-04-17 22:13:33+00:00,,,,,,,,202.08614073546522
124,2013-05-11 22:19:31+00:00,172.53239458797665,,168.84957629264062,185.43122131431372,182.8788305828159,183.67755639801794,187.58011725101346,178.43954530153414
125,2013-05-19 22:13:27+00:00,202.7963848047927,236.51815938344356,,222.97858722565493,209.29650250150624,196.81097681672702,209.95657562265242,209.37340664315033
126,2013-06-04 22:13:16+00:00,173.460057458244,,174.31651019455546,191.13410647775524,186.55495030030806,170.12888239207834,178.39934751172333,181.14224823378663
127,2013-06-28 22:19:33+00:00,199.19132168954883,230.38723143894958,,224.91147892918536,208.21515226028816,196.59306392295923,198.20721366244794,200.11606352214693
128,2013-07-06 22:13:02+00:00,177.20832982355043,,,,,,,
129,2013-07-14 22:19:34+00:00,,,,197.786617675854,192.01631188786487,187.35358773192678,189.0200079090196,185.73589955417623
130,2013-08-23 22:12:58+00:00,163.48388430610123,,165.8300158733687,183.31456314003415,178.87721873150298,179.07815751733096,172.71970395000346,175.89142637143212
131,2013-08-31 22:19:38+00:00,199.21421224413376,226.80956412354527,,,210.18377982090522,193.9774663589549,201.75508108185034,205.80801541971618
132,2013-10-18 22:19:25+00:00,,,159.0948495718464,171.90651126648893,167.52892721186433,158.36239235701026,164.05429331888377,162.06403791534188
133,2013-10-26 22:13:39+00:00,195.93524152892803,227.72022225994021,,207.2877581540309,199.53816985518176,190.88683952353932,200.52335383104796,200.33641536498982
134,2013-11-03 22:19:20+00:00,169.98419240104613,,167.9241208684823,179.10469125875517,180.53414840127903,171.60326203989598,181.22872559647288,171.33279149065734
135,2013-12-05 22:19:13+00:00,154.13291562247142,,158.67496914943152,164.20695969517084,165.00737055524104,158.1645674757459,167.38484694763287,172.71231849073519
136,2014-02-07 22:18:33+00:00,215.26630071423904,246.64435781392987,,,,136.55080565333304,,
137,2014-02-23 22:18:20+00:00,218.5102952205062,247.06151159629857,,,211.86218806613513,209.82926796583808,227.46147242930618,232.94749541524783
138,2014-03-27 22:17:50+00:00,189.94341263663165,204.57543633815862,194.27546374652712,191.09768574865956,196.4551749827006,196.22285532141063,207.20074131253898,208.7235805730633
139,2014-04-12 22:17:37+00:00,181.26615687515255,182.7538234098272,181.95444556725263,185.48927614323657,190.78990890881724,192.12167988916235,199.1445553849682,204.07278184257507
140,2014-05-14 22:17:08+00:00,156.40718922892245,161.37034651547708,153.47754865662085,160.67771332532902,175.78446133378088,167.5066645368164,170.44275581909687,175.29534348202145
141,2014-07-01 22:17:22+00:00,,,,,,,,
142,2014-07-17 22:17:28+00:00,179.57935404998054,199.5537041272715,,,,178.62219731029427,197.7733523576158,196.25935149585305
143,2015-01-25 22:17:32+00:00,,,,,,,,
144,2015-02-26 22:17:23+00:00,221.21453994817557,244.11823926570634,244.89380239974744,,208.43608846647408,212.63853198037876,232.7039811786278,234.4253161638897
145,2015-03-30 22:17:01+00:00,188.04483254567805,208.3991456332514,212.9452274895726,192.7486687417234,195.56325631569086,195.769071808902,216.76537871319505,209.29345225621665
146,2015-05-01 22:16:48+00:00,156.2201396886399,,,,,,,
147,2015-07-20 22:17:10+00:00,181.61202300934673,187.90530525423708,177.2128310657826,186.32714287245983,185.86730767107616,183.50619978195587,184.09494567884383,176.57196224752727
148,2015-08-05 22:17:13+00:00,184.73753535147154,202.0280790806811,,187.22926412915382,183.02814265407366,177.76070319316347,184.68451212630828,180.39460790954726
149,2015-08-21 22:17:21+00:00,181.97243576681683,208.19060375530773,,193.10559926490058,185.99873181489477,181.83543545107267,189.85336299382234,205.6605187585307
150,2015-09-06 22:17:26+00:00,213.6998577374771,,,,,,,227.97350182032596
