,dates,usa_HI_0014-0000,usa_HI_0014-0001,usa_HI_0014-0002,usa_HI_0014-0003,usa_HI_0014-0004,usa_HI_0014-0005,usa_HI_0014-0006,usa_HI_0014-0007,usa_HI_0014-0008,usa_HI_0014-0009,usa_HI_0014-0010,usa_HI_0014-0011,usa_HI_0014-0012,usa_HI_0014-0013,usa_HI_0014-0014,usa_HI_0014-0015,usa_HI_0014-0016,usa_HI_0014-0017,usa_HI_0014-0018,usa_HI_0014-0019,usa_HI_0014-0020,usa_HI_0014-0021,usa_HI_0014-0022,usa_HI_0014-0023,usa_HI_0014-0024,usa_HI_0014-0025,usa_HI_0014-0026,usa_HI_0014-0027,usa_HI_0014-0028,usa_HI_0014-0029,usa_HI_0014-0030,usa_HI_0014-0031,usa_HI_0014-0032,usa_HI_0014-0033,usa_HI_0014-0034,usa_HI_0014-0035,usa_HI_0014-0036,usa_HI_0014-0037,usa_HI_0014-0038,usa_HI_0014-0039,usa_HI_0014-0040
161,2018-05-12 20:53:06+00:00,,,,,,,162.509049044575,168.18113378587253,178.1431652209567,186.36758009841537,185.87882405366196,188.46286431925512,183.374957579076,189.855763597426,181.41182153973756,183.94692093466384,184.8925759173174,186.13104409469872,196.46420681091982,200.77918309687004,,,,,,,,,,,,,,,,,,201.76445125360104,201.4348697486816,209.8109917937101,202.45285623783997
162,2018-06-05 20:53:56+00:00,,,170.254627547453,173.85880850393806,154.7461443737164,161.47139990722857,169.67595030446972,173.82139867874352,179.88705277074982,,,,175.99720392194484,172.8870868237531,169.64186553296685,172.08646716142877,178.43180680671964,181.46922646297347,195.01506378689962,192.13992856570803,179.53723591533654,,,,,179.30608108747174,181.63689154346693,177.06477991812133,182.70700089755948,184.61000557395528,181.66577788892127,,,,,,,,,,
163,2018-06-13 20:52:56+00:00,,,,,,,,,,,,,176.78258717420087,179.69628382828145,170.26427081186083,178.49350336578496,180.5184162495931,186.24084691228472,197.8962223657808,200.61253298210468,186.9709019136945,180.7925578282667,178.47305042061862,181.142200071596,180.2062195499843,182.93430358054042,188.28193867364558,183.48372297916598,194.22345983454014,191.6982496019001,187.52585510848854,,,,,,,,,,
164,2018-06-29 20:53:06+00:00,212.96069612811567,172.87371050660926,175.024558339002,177.64752246731618,171.41562494238846,171.59496472108728,176.2594379253477,174.64611141148464,181.84137072461053,186.1431620520347,187.09501350449165,184.1037810941267,186.3534844378391,187.83531941478986,180.31338839893507,185.0359667809592,189.19067619400462,188.36964560638572,204.41557050100587,198.16627174300913,192.21972796995772,182.39582166762682,181.33994948639798,181.75864231375118,185.76476707726147,188.71577328069083,194.22065593144993,181.12502041296193,196.3757426263093,191.45393995661442,,,,,,209.80111184664673,210.19659285048638,202.3575164257211,206.2148756115103,,
165,2018-09-17 20:53:41+00:00,206.81679267583664,167.59790272023062,170.2022263001362,170.4140183090447,166.32090668363674,165.01923321977688,164.9738286155901,169.32065393831516,175.3619063517998,181.36218043017638,178.11921246310487,174.23176164531262,176.52983305655368,183.44372656614598,172.36906988034792,177.44970895117848,179.7617519140671,183.14257707597724,194.44174369830384,192.33574908571788,182.77805709325105,174.14697870788825,168.3785522220686,172.69180685663758,172.60402600162007,176.90956494702567,182.5041379507952,173.86021802422067,185.94811610263133,186.54669765205932,180.27094813259336,176.58290078278574,181.18868079095122,189.38515197730706,175.42042152737807,188.69968520400658,194.53741517047303,195.46169928405914,197.01018350194957,192.7054523193861,182.60010835773278
166,2018-10-03 20:53:49+00:00,220.8297621400678,177.02214641951687,174.5701709256676,174.74084389934131,173.8762777678862,168.67609959141203,166.0986413613843,171.50963891181527,178.61959995848267,183.96632067308735,179.4840757371867,180.71633039672906,178.05528872766678,184.05593925113766,176.59218383932324,177.7540073760216,182.88953360961162,184.27701035146504,199.50937403998438,196.7599821131867,182.52376695967064,182.49300882442242,174.57636298546913,173.8484944487897,180.30365882586494,178.2779184342371,188.97207183490463,177.93038356094078,192.0233901075691,190.00289552088006,182.18862819290226,,,,,,,,,,
167,2018-10-27 20:50:59+00:00,,,,182.38709501590807,170.11934734556382,169.23276295468207,170.52138762924727,178.46446087980837,184.6482132780094,189.4343495383094,189.12758444972556,,,,174.3826471011089,178.655887630541,179.7411487468839,180.71130508608385,197.26178858541073,198.8635090660793,189.86589740558082,183.42020902702365,178.78275174199052,,,,,,,198.51454737266883,186.76711911212425,183.06259289305294,184.89149188196438,190.1382792602206,181.47650947121153,190.59059282244795,,193.44528802806173,192.9308389789926,194.49566010368244,180.08835325629695
168,2018-11-28 20:50:13+00:00,221.13654873875498,184.01206663905276,184.18216874571,185.976807992962,,,177.4668742596491,177.08727814846918,187.6036995458227,190.03139956354823,186.48656957582472,191.9804946601596,185.6462687274057,187.08361723322753,,,,,201.55886352423153,198.6854334178007,190.50165594653748,183.93480701800817,181.77924309780573,181.54040987812203,189.2412734764715,190.95073759499897,193.6235944840085,189.3946185107667,194.76982251605406,,,,,,,,,,,190.64839831616445,190.4072157282614
169,2018-12-06 20:53:57+00:00,221.36723243443234,178.93068584957092,180.96218072940124,188.58748343411145,176.2710787809401,173.98199984815773,175.5839221499812,181.52704724125084,188.40935530624165,195.83487128563934,196.93761144533187,191.25495718591372,187.90202706770265,190.08413453353012,180.17996943203488,188.39503002890115,192.06912710190903,186.8191848677185,206.11228656645568,200.8850294604656,192.6982090330677,187.70027242664645,185.51662814339738,183.38381263767326,189.2978714009252,191.1914886514207,194.65921428272077,185.18904387566394,193.97207833809367,185.8506471595398,183.99015905274075,178.94274646759004,184.21033293874794,185.85602137331796,180.72206216738417,190.86038531630447,209.53916723568489,200.19507464327177,199.25885244370096,190.35160871929227,172.9045213436993
170,2018-12-22 20:53:56+00:00,221.23387476483242,177.36427622792053,179.4717390755598,185.99541833261023,182.57770995573128,180.04153092555825,181.44920354784966,184.6161094211717,193.63325306089052,194.6985802501505,193.38887762105176,196.81587225390248,186.69123317339606,189.8777975317896,181.2131513284754,187.03569973003266,192.09813329372577,194.75408268864064,207.24256303742266,201.0097417517752,197.31196168486878,188.80886456951862,184.6260140024463,183.70288215810365,189.01423951480643,192.70987292290255,194.50012539010558,188.25382655118977,197.57962407664206,191.75592015641953,186.69614208831962,181.08482513735626,186.45700821107772,186.55866172231325,182.79812661734996,190.78631550588244,212.11673760817757,202.72931090564776,204.4615006345153,193.74471056498874,197.73049763263452
