dates,satname,nzd0093-0000,nzd0093-0001,nzd0093-0002,nzd0093-0003,nzd0093-0004,nzd0093-0005,nzd0093-0006,nzd0093-0007
2019-12-23 21:53:08+00:00,L7,,,359.91,351.01,363.10,358.56,365.08,368.04
2019-12-31 22:12:02+00:00,L8,380.37,375.21,366.77,360.74,361.79,356.34,354.90,364.26
2020-01-16 22:11:59+00:00,L8,378.91,372.97,370.12,354.04,352.18,344.94,349.10,351.30
2020-01-24 21:51:31+00:00,L7,369.16,366.72,356.97,350.77,351.07,346.03,355.98,354.71
2020-02-09 21:50:42+00:00,L7,,,346.41,346.63,345.70,348.04,,
2020-02-25 21:49:52+00:00,L7,371.18,364.09,354.84,350.22,345.18,352.58,358.52,362.48
2020-04-21 22:11:21+00:00,L8,463.27,379.77,374.80,373.87,363.98,362.35,375.23,372.93
2020-05-07 22:11:12+00:00,L8,393.80,378.69,374.32,358.21,357.99,359.12,363.36,370.40
2020-06-16 21:43:22+00:00,L7,293.89,379.25,384.43,375.05,359.79,360.32,377.99,374.53
2020-06-24 22:11:32+00:00,L8,343.30,338.45,342.10,329.51,329.97,329.58,337.58,340.14
2020-07-02 21:42:25+00:00,L7,470.20,375.86,377.91,372.16,363.33,,,379.83
2020-07-10 22:11:39+00:00,L8,449.36,364.99,371.49,359.91,351.58,358.70,365.39,370.49
2020-07-26 22:11:44+00:00,L8,437.06,364.78,364.25,361.94,353.08,356.74,365.86,368.34
2020-08-11 22:11:47+00:00,L8,642.07,,,,,,,
2020-08-27 22:11:56+00:00,L8,476.75,391.11,384.40,379.61,367.56,367.79,379.74,379.28
2020-10-06 21:36:19+00:00,L7,384.22,378.22,372.04,366.62,353.17,357.98,371.23,369.63
2020-11-15 22:12:06+00:00,L8,409.28,370.71,362.94,354.43,357.68,356.21,355.09,368.17
2020-12-09 21:31:55+00:00,L7,460.50,378.44,368.27,,,349.86,364.77,372.25
2020-12-17 22:12:09+00:00,L8,367.45,359.93,355.97,351.49,341.62,346.27,349.99,357.00
2021-02-19 22:11:51+00:00,L8,469.69,378.09,373.33,372.72,363.67,360.40,369.05,372.70
2021-03-31 21:23:31+00:00,L7,361.11,,,,,,,
2021-04-16 21:22:11+00:00,L7,385.38,359.82,362.65,352.20,360.91,353.11,358.69,372.53
2021-05-02 21:20:50+00:00,L7,455.55,367.86,374.93,355.59,358.49,364.47,,
2021-05-26 22:11:31+00:00,L8,345.16,315.23,333.41,328.20,330.79,331.82,338.42,338.73
2021-06-11 22:11:38+00:00,L8,368.17,343.53,349.00,340.69,335.58,336.74,347.07,343.70
2021-06-19 21:16:49+00:00,L7,468.59,,,,,,,363.02
2021-07-13 22:11:43+00:00,L8,351.53,324.35,338.32,331.13,328.89,327.32,338.13,337.50
2021-07-21 21:14:07+00:00,L7,470.91,382.94,,371.79,345.78,,,366.49
2021-08-22 21:11:18+00:00,L7,364.07,,363.87,346.59,330.02,343.88,352.39,354.76
2021-11-06 22:12:48+00:00,L9,342.44,340.64,354.95,349.82,340.72,342.78,350.10,348.26
2021-11-18 22:12:08+00:00,L8,466.85,368.13,372.91,366.05,364.93,360.11,365.36,371.17
2021-11-26 21:02:34+00:00,L7,459.08,369.00,371.07,355.97,356.08,355.89,354.90,367.75
2022-01-13 20:57:57+00:00,L7,476.20,376.51,381.97,359.89,356.54,356.58,373.01,351.43
