dates,nzd0550-0000,nzd0550-0001,nzd0550-0002,nzd0550-0003,nzd0550-0004,nzd0550-0005,nzd0550-0006,nzd0550-0007,nzd0550-0008,nzd0550-0009,nzd0550-0010,nzd0550-0011,nzd0550-0012,nzd0550-0013,nzd0550-0014,nzd0550-0015,satname
2014-10-12 22:27:11+00:00,306.4621052631579,308.73,303.4121052631579,306.18428571428575,303.1876923076923,302.81,303.35,293.94428571428574,286.23999999999995,283.8847826086956,283.461052631579,277.09478260869565,269.61090909090905,272.5442857142857,284.98999999999995,282.58,L8
2014-10-28 22:27:08+00:00,310.61526315789473,309.26,306.16526315789474,305.5571428571428,301.58076923076925,301.93,301.53,296.21714285714285,288.47,291.8482608695652,296.67263157894735,286.5982608695652,284.0318181818182,281.5571428571428,297.07,291.25,L8
2014-11-05 22:25:11+00:00,312.32684210526315,,,,,,,,,,,,,,,,L7
2014-11-06 22:21:01+00:00,313.28,313.88,315.29,310.9909523809524,309.7769230769231,308.39,312.94,305.8409523809524,294.42333333333335,293.22565217391303,288.96,281.07565217391306,276.42545454545456,274.8409523809524,293.37333333333333,300.50666666666666,L8
2014-11-29 22:27:10+00:00,286.43736842105267,282.57,286.62736842105267,276.9861904761905,279.66538461538465,282.03,284.01,276.8861904761905,267.7366666666667,264.8569565217391,255.16368421052633,253.29695652173913,246.7327272727273,241.78619047619048,256.15666666666664,257.8233333333333,L8
2014-12-07 22:25:21+00:00,,,,,,,274.44,265.43,,,,,,,,,L7
2014-12-15 22:27:04+00:00,311.03473684210525,312.52000000000004,310.40473684210525,312.3533333333333,310.5076923076923,304.62,303.78000000000003,295.6633333333333,293.19666666666666,285.46956521739133,280.87736842105267,276.3795652173913,270.18090909090904,275.1633333333333,290.0466666666666,292.05333333333334,L8
2014-12-31 22:26:59+00:00,295.5694736842105,275.04,,271.04714285714283,269.6738461538461,265.79,269.53000000000003,249.65714285714287,271.71,273.1069565217391,265.02473684210526,248.39695652173913,246.26454545454547,265.32714285714286,277.02,279.2,L8
2015-01-08 22:25:32+00:00,,,,,297.34230769230766,292.9,293.48,287.32238095238097,275.8833333333333,278.9891304347826,275.17,265.6391304347826,257.8036363636364,261.97238095238095,288.1733333333333,288.7766666666667,L7
2015-01-16 22:26:59+00:00,321.5757894736842,317.98999999999995,314.1357894736842,306.7038095238095,306.2369230769231,304.88,297.65999999999997,297.0238095238095,294.22333333333336,281.0095652173913,279.42789473684206,269.7695652173913,264.9118181818182,280.3538095238095,286.71333333333337,301.4866666666667,L8
2015-01-17 22:19:20+00:00,307.1068421052632,313.12,306.44684210526316,308.6452380952381,304.6030769230769,295.82,301.03999999999996,290.9552380952381,285.40333333333336,280.82521739130436,262.01842105263154,,,,,,L7
2015-01-24 22:25:34+00:00,299.11842105263156,297.9,295.89842105263153,295.98095238095243,292.2307692307692,296.06,286.09,,,,,,,,,,L7
2015-02-02 22:19:28+00:00,295.3484210526316,292.87,292.0284210526316,291.3890476190476,290.1469230769231,288.25,290.95,280.2290476190476,267.1366666666667,,,,,,,,L7
