,dates,mex0023-0000,mex0023-0001,mex0023-0002,mex0023-0003,mex0023-0004,mex0023-0005,mex0023-0006,mex0023-0007,mex0023-0008,mex0023-0009,mex0023-0010,mex0023-0011,mex0023-0012,mex0023-0013,mex0023-0014
95,1999-01-24 16:27:29+00:00,191.96761441597127,206.160382032266,190.08612684955108,188.68192180540476,194.20556286138563,195.61419270396567,191.9586945347158,193.67352941879093,187.10583005750598,174.13372315305182,162.9852339369819,164.7095136088177,184.07396873620175,169.84054355506754,158.6237416077915
96,1999-02-09 16:27:38+00:00,173.59983939383574,171.8025412392998,162.89258403197556,170.85207148962792,175.18047055941398,187.6706671651032,181.21117706012075,182.94342417147686,172.5617184188324,171.27335802372346,152.5306709690758,160.54604362229279,168.4696123292192,174.03122644274833,170.5561522024696
97,1999-02-25 16:27:40+00:00,194.6816751083823,203.68277518042038,188.76415026738908,186.45089465851373,185.58153415014104,196.3923497858053,193.2327446745813,198.03968610332458,190.7529242132372,178.73495405748662,171.02122531577504,179.77760129536733,191.77114077499607,184.45948003497455,174.45394191967614
98,1999-03-13 16:27:28+00:00,179.02335823467223,191.28236150908828,184.81017454809466,176.81099646434404,177.00550718238827,174.07794080063786,173.29147755740544,172.66224399029602,172.9842533674984,158.985434813775,159.74811597119046,154.96708848864728,169.7290437998318,163.07346000973325,168.81096866841884
99,1999-03-29 16:27:10+00:00,183.6895027721776,195.7487503341781,201.11275899315837,209.59678798811996,184.38093804371525,188.25533305522188,186.36531498084395,187.71170236030608,165.45087488963662,153.67477572926643,156.45478137807174,160.32856417569502,169.8905819398445,176.5531999452614,170.4354745702596
100,1999-04-14 16:27:10+00:00,172.79410094624302,185.01786900476716,179.193826328238,181.18828040677587,181.95868667036035,182.89291856465465,182.4922264048834,182.0432542109848,174.54305507018046,164.3388682377612,155.4100549462663,168.02754183971703,176.94978797828966,175.51262200821213,167.97190815791373
101,1999-04-30 16:27:08+00:00,183.82189563058836,190.33758697004285,182.8946072797521,176.2603716493657,178.9268712410995,180.08206835705323,180.5726691843819,179.07695045118393,175.97164540843377,170.27850397654646,165.6797475730973,171.47153441828257,167.47858424275358,171.99411349072236,163.96776090097347
102,1999-05-16 16:26:54+00:00,177.495157100261,190.9125597590422,179.22698582097087,176.52617952912857,180.32552720562907,181.7028175535007,176.10075587711154,170.42953481556452,163.97569672535673,147.6908378715451,147.42916752886342,154.89422159942126,160.88614675362385,162.75107684729278,143.44692095230857
103,1999-06-01 16:26:32+00:00,187.2977414813692,198.5950513174052,191.09010718697098,175.69542631613737,179.71738867687358,183.8005210925573,184.99005143275713,184.30233454985907,176.26846247551438,161.5654390925908,151.82778288884194,166.86264928459747,185.48785326054121,181.16781546444219,176.43676354267777
104,1999-07-19 16:26:10+00:00,173.69897966357604,192.03093023565714,181.43698853155155,178.53902624639667,174.41907521449843,167.56119192014935,162.45293130569004,158.50849537330373,148.3487078331502,130.3832240039312,124.3311465757027,136.18820828058057,155.44745229669616,154.72670387876695,159.72496511399018
105,1999-08-04 16:26:08+00:00,158.5852178379889,169.98786207755398,163.5716160105207,177.88927891594975,177.41716353394062,169.8524262097735,160.40054247761108,159.38798056131048,151.19977646982505,146.12632790446622,145.66943157834163,141.48494321119273,143.4906843713929,159.63914364085636,152.1319976138077
106,1999-10-31 16:41:19+00:00,196.90165960611438,208.99011814082434,201.03645204333876,200.7819776770461,200.1219796975079,196.50573329510007,192.71501266392175,191.5124167569457,179.70122629091665,173.04591949670615,155.04809344155606,162.55753655679297,171.10737673382334,174.96050189370416,160.9092564380576
107,2000-01-11 16:23:25+00:00,197.59124948039968,199.46089120482628,192.7414219666914,192.10746307050846,187.18757212419794,189.52104365059006,192.1026179659843,194.5767535179079,183.0380317473644,173.93486603536965,175.7588101280471,166.76400610564852,187.13857861994467,186.99793866281868,188.0845948369818
108,2000-01-27 16:22:54+00:00,192.14451545284987,197.11798840573988,196.81074731671703,189.65223318561527,200.04028126136598,196.1188352921193,197.59644942531907,191.55966642813473,181.0503171704498,171.58398880318694,167.17883202100222,173.48318023086532,188.05269925474425,192.1268316611891,189.80308681570415
109,2000-02-20 16:41:05+00:00,200.09582012429928,203.49431059753823,197.6381769481966,193.74961960926976,205.726758706911,210.5558993514877,205.01878976483584,194.05367354008703,182.1967290982671,172.99311108172645,162.640271150517,167.33100882622733,188.53103324415127,191.4796899792574,195.40684647059925
110,2000-02-28 16:21:50+00:00,187.61181941076728,197.2640567219683,182.9308325428276,179.07154334336118,180.7626902425532,189.54414995311822,193.63210819280377,198.7275297555306,196.23849526514738,181.2510038621152,168.98048103291464,171.33418794185764,195.66525203264518,191.43367672916008,188.10202286650258
111,2000-04-08 16:40:50+00:00,187.7581188924579,194.56422792583382,194.5012339857128,190.3822299962189,188.6448616567969,187.60298747271335,189.3881394162034,190.21581440211958,181.76854758985058,169.73517681956156,157.32398523501644,161.677608990898,169.0245760196482,164.77655331843766,174.87172185152653
112,2000-07-13 16:39:55+00:00,173.28646942711867,183.63359492167646,177.51881779170958,176.86092633560995,170.94743328438574,168.37255736179046,167.36927274276584,161.82596475307741,152.43163414574832,145.47495700176697,140.54806100753197,150.94903981449454,159.74583122605836,162.05465404709884,156.91751040221678
113,2000-08-22 16:26:10+00:00,177.78578566484495,190.91237509012748,178.99833552824998,180.50596064734523,179.2752494792474,185.12540969234456,180.65237892318694,178.05008824399104,169.03535775909518,156.8365995118118,155.447056022047,156.47101843505294,174.22691875571317,172.0741210491093,158.28604713853082
114,2000-09-07 16:26:35+00:00,162.02035269201969,168.64998895757054,170.67008089699246,173.02961369324174,171.38844965592403,178.34974137477437,170.87001220113126,166.48360367188562,152.40729138576452,142.5313112923931,147.5261692960231,151.98531218284194,165.4546626783197,165.98088057029645,150.64801434980097
115,2000-09-23 16:26:45+00:00,185.31436064646053,204.55304636489154,191.98388839712393,198.2393084462467,185.9573964422163,186.82076813258908,175.84439339252373,173.92851518353822,159.24036682527614,154.96544892398023,144.33679289035635,140.4156377813645,156.96717468093811,160.18959306035094,158.8557849129146
116,2000-10-09 16:26:56+00:00,175.1901595756579,193.58730433274792,177.40636936255197,182.69456465856376,184.9038072628215,187.12962092663784,186.9627777048792,181.37336092713798,170.7465411881914,165.82684591143484,154.2520517089271,160.61544152262513,177.41791305437852,167.00758036087808,162.47237890075425
117,2000-11-02 16:38:48+00:00,183.2822787174548,194.44405393655012,194.3071860250945,198.08322199633292,193.64240372828283,198.74810059455635,196.82652401409962,194.9250130320461,180.2900071678818,171.0010928140011,148.76874002219682,159.35164139742542,172.69759776928424,179.38815700243612,175.7495396163012
118,2000-11-26 16:27:39+00:00,203.27875092226165,202.21622530057158,199.97898113576258,202.16198222763057,209.24235670987306,205.7325544628067,206.39126034305266,203.24728998197173,187.888251074468,187.55033123088634,184.42609897406334,183.38327139812793,189.9942803587623,189.70546816231965,180.69380367786533
119,2000-12-28 16:28:08+00:00,200.29299964428566,198.31748714195652,185.61921801834848,195.06652789595879,192.95217098250262,200.96501945961734,211.10345394660573,206.4545461398299,195.4579208192394,186.37393435557203,191.47243905776264,179.96560925489192,171.31939439052255,190.41691228164683,196.2341194696295
120,2001-01-05 16:38:51+00:00,197.14180921734152,193.44807803851813,192.56431544592192,190.43434901499634,198.95240819928705,206.9020031073061,199.11741362410848,206.62855086431216,195.07862831477604,189.64338257410589,190.44344314738456,192.4046680735829,200.26512930514292,199.64129524727855,218.2224534296021
121,2001-01-29 16:28:23+00:00,199.41172695356477,190.57595936186797,182.622259961695,194.96488934462624,191.72267411673297,203.8578256905821,200.48452845956314,205.0098741588875,193.5564817897258,186.75224398619048,191.74116510582854,196.81179238621334,211.79499841654663,214.98987550792572,225.98608767802455
