dates,satname,nzd0509-0000,nzd0509-0001,nzd0509-0002,nzd0509-0003,nzd0509-0004,nzd0509-0005,nzd0509-0006,nzd0509-0007,nzd0509-0008,nzd0509-0009,nzd0509-0010,nzd0509-0011,nzd0509-0012,nzd0509-0013,nzd0509-0014
2013-10-26 22:16:51+00:00,L7,,,,,209.79,280.57,267.12,246.64,203.65,248.78,279.55,278.84,110.42,229.56,
2013-11-04 22:10:43+00:00,L7,390.40,333.66,324.32,340.44,337.81,338.49,341.30,325.68,319.01,336.97,348.14,328.64,304.54,325.59,322.02
2013-11-19 22:22:25+00:00,L8,425.22,346.00,348.48,352.51,346.65,353.88,355.25,343.61,337.39,351.99,357.18,356.31,338.78,349.39,345.86
2013-12-05 22:22:24+00:00,L8,434.11,341.25,342.23,349.67,343.23,347.07,348.92,339.56,343.12,354.50,351.62,354.93,354.58,352.09,367.09
2013-12-13 22:17:07+00:00,L7,,,,,,,,167.99,,,,,,,188.19
2013-12-21 22:22:15+00:00,L8,424.59,334.89,334.70,338.66,399.84,398.51,437.90,343.49,341.70,345.93,343.91,342.82,337.52,347.75,330.42
2014-01-14 22:17:21+00:00,L7,,,,,,,,,,,,313.23,202.26,285.06,285.72
2014-01-22 22:21:55+00:00,L8,387.96,323.33,319.17,329.11,329.84,330.01,325.28,338.93,332.41,332.05,333.68,329.51,313.42,322.82,326.35
2014-02-23 22:21:32+00:00,L8,370.97,309.21,302.51,312.73,312.76,311.48,313.31,308.03,326.85,315.82,315.46,301.50,268.08,288.39,295.86
2014-02-24 22:11:19+00:00,L7,302.90,312.50,313.08,318.20,328.22,299.46,315.82,309.00,321.58,300.87,316.97,302.74,277.42,293.55,298.59
2014-04-13 22:11:39+00:00,L7,400.17,353.72,356.38,357.92,345.11,342.53,369.31,381.84,382.26,373.65,372.38,373.89,379.43,391.70,393.02
2014-04-29 22:11:49+00:00,L7,392.66,330.36,333.26,336.26,328.16,335.96,364.09,374.04,375.74,384.13,366.02,365.90,396.86,407.71,402.41
2014-05-30 22:20:22+00:00,L8,387.52,305.58,305.44,322.72,311.61,314.41,317.29,284.12,347.32,279.69,353.91,355.22,348.63,352.28,343.21
2014-05-31 22:11:59+00:00,L7,443.89,312.78,451.77,450.06,337.87,322.13,476.87,433.10,366.95,432.22,440.47,351.86,417.19,419.32,
2014-06-07 22:18:11+00:00,L7,,,282.01,300.10,296.51,293.68,276.01,276.68,282.74,263.42,272.23,313.86,309.34,322.77,312.97
2014-07-01 22:20:34+00:00,L8,359.99,308.44,299.08,313.95,320.14,319.02,322.44,295.97,314.86,294.78,302.12,325.86,334.05,336.66,334.90
2014-07-17 22:20:39+00:00,L8,373.32,309.58,300.25,313.69,311.15,311.23,310.91,286.52,331.06,287.23,294.97,312.12,318.49,325.41,330.90
2014-07-25 22:18:23+00:00,L7,140.44,294.36,290.72,306.07,310.30,309.78,236.36,,,276.69,305.95,306.51,246.03,285.68,
2014-08-02 22:20:46+00:00,L8,382.34,306.92,300.75,311.91,320.24,315.99,322.53,296.61,314.01,325.48,311.86,304.69,316.76,323.60,315.72
2014-08-03 22:12:15+00:00,L7,370.90,309.40,297.20,307.40,312.33,319.51,321.54,312.91,322.61,290.92,295.74,295.71,305.74,319.69,312.48
2014-08-11 22:14:39+00:00,L8,390.01,308.26,304.29,315.46,326.02,336.23,341.96,336.58,339.49,331.60,311.99,328.93,357.08,360.41,351.26
2014-08-18 22:20:51+00:00,L8,386.23,306.76,301.58,310.73,311.44,305.74,304.70,294.89,301.01,296.29,300.84,297.86,284.42,295.49,301.06
2014-08-19 22:12:14+00:00,L7,367.70,290.13,286.11,301.65,301.84,299.93,295.92,279.70,293.32,279.85,288.49,276.52,247.24,256.50,262.46
2014-09-03 22:20:54+00:00,L8,405.33,451.85,542.15,540.76,538.29,517.19,474.95,480.75,631.86,,619.23,555.29,362.07,538.18,
2014-09-19 22:20:54+00:00,L8,389.74,326.70,324.56,332.92,344.22,341.32,350.35,350.61,342.47,341.48,338.42,328.19,306.15,322.94,323.43
2014-10-21 22:21:01+00:00,L8,489.55,507.30,530.04,511.25,507.38,545.96,541.73,547.95,510.15,496.29,481.75,447.62,412.37,600.05,
2014-11-14 22:19:02+00:00,L7,376.24,,,,,,,,,,,,,,
2014-11-22 22:20:57+00:00,L8,433.55,347.22,329.58,337.36,336.23,337.07,335.85,326.97,341.42,360.30,352.87,343.78,332.12,335.10,336.63
2014-12-16 22:19:17+00:00,L7,407.96,,,,,,,,,,,,,,
2015-01-02 22:14:38+00:00,L8,408.99,349.93,339.74,342.49,343.70,333.12,329.18,350.01,355.07,352.80,350.49,354.68,347.70,352.77,345.43
2015-02-26 22:20:34+00:00,L8,389.30,335.98,337.43,332.67,323.41,322.44,326.88,337.92,331.19,329.13,328.71,334.04,339.81,332.82,324.75
2015-04-15 22:20:10+00:00,L8,387.54,325.83,311.92,313.22,309.73,310.00,323.54,322.40,330.57,331.26,316.59,320.83,316.13,298.50,306.49
2015-05-01 22:20:00+00:00,L8,389.46,312.69,303.56,311.32,311.75,315.45,344.05,348.93,349.68,342.15,350.48,353.40,330.66,331.24,334.81
2015-05-17 22:19:49+00:00,L8,387.83,309.54,300.04,305.08,311.54,314.17,327.15,343.02,337.96,333.07,324.26,329.09,318.28,324.77,317.74
2015-05-25 22:20:14+00:00,L7,351.52,294.67,295.19,306.51,,,,,630.74,386.70,,598.89,595.62,612.93,
2015-06-10 22:20:23+00:00,L7,348.97,293.38,283.03,290.90,,,,,,,,,,,
2015-06-18 22:20:05+00:00,L8,60.31,122.40,139.76,167.44,174.20,187.04,218.42,193.50,211.41,273.91,303.04,305.98,268.44,252.45,
2015-06-19 22:14:13+00:00,L7,369.32,301.96,289.49,292.06,302.37,318.06,312.96,283.15,280.14,276.62,286.09,276.08,310.59,316.03,307.75
2015-06-27 22:13:58+00:00,L8,372.08,291.79,291.82,294.58,304.57,297.29,268.62,275.93,266.52,278.56,280.63,268.17,281.68,286.13,268.37
2015-07-04 22:20:14+00:00,L8,370.26,290.09,282.58,261.19,228.66,,,,267.73,279.09,287.39,274.93,290.04,313.09,313.01
2015-07-05 22:14:17+00:00,L7,371.96,289.07,289.68,296.76,286.60,291.25,268.40,282.45,268.08,278.02,277.31,274.75,297.88,297.00,273.13
2015-07-12 22:20:31+00:00,L7,,,,,,114.93,136.90,120.41,,,,,,,
2015-07-20 22:20:22+00:00,L8,532.47,541.62,613.51,626.29,626.11,593.27,580.58,573.09,537.03,568.74,594.41,596.94,423.92,400.23,
2015-07-29 22:14:13+00:00,L8,386.94,304.93,294.04,312.56,322.09,304.78,316.34,283.56,302.79,282.23,293.65,313.84,305.03,316.84,309.38
2015-08-21 22:20:33+00:00,L8,388.14,318.60,306.83,327.40,317.89,313.45,325.28,311.13,329.45,329.94,334.59,299.43,285.70,301.40,302.16
2015-08-22 22:14:27+00:00,L7,384.69,,,,334.12,326.46,331.90,342.40,351.72,345.02,336.06,321.20,306.78,314.87,315.58
2015-09-06 22:20:38+00:00,L8,443.59,606.66,532.02,543.90,409.89,412.31,373.89,399.93,387.69,392.03,378.16,358.87,,,
2015-09-07 22:14:29+00:00,L7,349.51,293.76,291.46,298.48,292.92,291.36,281.13,293.23,294.94,292.68,293.73,266.40,240.77,248.86,242.40
2015-09-14 22:20:43+00:00,L7,392.59,317.03,338.27,334.10,340.56,331.94,337.38,346.05,338.62,341.50,337.18,325.71,304.18,311.67,311.08
2015-09-22 22:20:46+00:00,L8,621.64,613.78,594.90,592.13,598.77,577.51,572.66,554.36,603.43,469.82,220.39,201.14,543.80,604.37,
2015-10-08 22:20:48+00:00,L8,391.08,340.08,340.21,341.76,341.14,329.41,336.24,349.16,342.16,338.92,322.41,300.51,278.34,307.62,316.32
2015-10-24 22:20:52+00:00,L8,328.97,395.98,377.54,365.12,388.77,607.70,621.33,598.86,588.39,626.91,525.21,489.71,388.55,354.28,237.57
2015-11-01 22:21:15+00:00,L7,,,,,,,,,,,,,,,
