,dates,nzd0302-0000,nzd0302-0001,nzd0302-0002,nzd0302-0003,nzd0302-0004,nzd0302-0005,nzd0302-0006,nzd0302-0007,nzd0302-0008,nzd0302-0009,nzd0302-0010,nzd0302-0011,nzd0302-0012,nzd0302-0013,nzd0302-0014,nzd0302-0015,nzd0302-0016,nzd0302-0017,nzd0302-0018,nzd0302-0019,nzd0302-0020,nzd0302-0021,nzd0302-0022,nzd0302-0023,nzd0302-0024,nzd0302-0025,nzd0302-0026,nzd0302-0027,nzd0302-0028,nzd0302-0029,nzd0302-0030,nzd0302-0031,nzd0302-0032,nzd0302-0033,nzd0302-0034,nzd0302-0035,nzd0302-0036,nzd0302-0037,nzd0302-0038,nzd0302-0039,nzd0302-0040,nzd0302-0041
504,2018-10-20 21:54:20+00:00,,281.01959179408493,289.4533432441297,,257.10771983958324,255.60133224529346,261.40344055935924,279.05046669480276,250.68243267913977,210.2256838455623,199.28220323861825,223.7076524079052,221.20361787356984,204.7987049974584,188.8120424630952,186.0103788680938,178.19996709457288,191.08399199766936,205.16743780264832,222.46556724744994,258.1415598283077,268.4441424050211,259.6659681103677,236.51642684300344,235.20178012844144,251.19004687062187,237.19189753589117,256.52611818586354,273.42886067910587,260.66670277625525,258.27587028571077,238.93253004864823,238.29670605008963,245.9478811869525,244.53470395265037,,280.21035633298675,265.31294401194833,246.93619147758162,249.56513156259405,257.00307526344346,245.20358058301446
505,2018-11-04 21:57:24+00:00,,,,,,243.967653097507,246.69876876086622,271.0242355608327,,,,,,,206.68283799137447,194.6334050236739,191.9491306145987,,,,264.0537219705031,268.6311305997152,251.3424358007251,,,,,252.6291747927239,264.23189773534983,252.4573682665925,243.60852867969922,267.1112378995658,261.1417089831685,257.13015448386903,261.78201134430594,,,,,,,
506,2018-11-05 21:54:24+00:00,,,,,,,,302.313778778415,,,225.53611231076786,236.73945219541298,,229.29161305268087,227.74938386046472,,224.09999703573664,,,,286.8267375555716,,268.9629702667837,239.36266145566344,,248.873895502163,246.17484836489905,257.7090357251655,267.8510406610904,271.0755609901687,258.9745722361146,265.5764880184625,261.99705405867826,258.71486237451893,,,289.37249126314236,279.3967639068612,278.1504205390797,,255.43842320603324,
507,2018-11-12 22:00:35+00:00,243.89419061181292,257.79121951291893,284.2942764565625,261.92552522400587,261.3437496430456,252.73120744387063,260.26756600807516,268.50919162239416,253.11639014258782,215.05447954277352,209.12479792920948,224.3287250382538,231.2153977482041,211.61557587683546,203.4508339681223,205.8149249011443,200.98805238251015,215.20929164697003,236.63191367084764,238.5823818281177,254.27282459866154,274.9340320603593,266.28480557800265,244.49899511646015,239.20161614754923,254.67624930701436,243.90733644279956,264.4475957372571,273.5260169207744,264.809001941667,246.90483969970396,249.92322404017776,264.1584781289209,254.2459312066731,253.7494167951906,264.8897832460732,281.6418462233986,263.04590116971536,257.76065461614706,265.13692729556755,278.96247580370687,
508,2018-11-13 21:51:00+00:00,244.40100172028087,265.89251337301744,,,,,262.0092001332725,271.763390646324,247.50116793894045,218.48886495910713,213.85255485503845,240.80374051835446,241.4904489131416,218.95724807271358,211.87929134827812,209.5098009104856,,,,,272.70070011800686,294.5253730590727,272.70434818646646,255.1643355595931,248.71595824834412,256.160901737711,256.4875627754025,269.74654830143936,280.54827149752185,,,,,,258.60607081490616,270.5589715173158,288.16066850788457,268.10495974582193,264.88295250356475,268.9449604192508,,
509,2018-12-07 21:54:21+00:00,,244.76405797975525,252.98717354811453,245.78039235896375,245.02725712548047,239.09165254948675,250.64394709690123,256.5888976933676,239.70068753446859,202.180627230179,191.91293435206512,206.97557479063377,215.07004985863963,206.3244407319814,197.2796529412533,196.0229759388826,192.70548865128262,200.17827352708917,213.60695246509425,231.30552173496466,236.20734310078325,264.3695833097815,251.56457338551039,240.36232375594057,232.05093653766176,235.5278962337467,237.42286233577926,248.65853217969666,260.9905736163898,248.37837775202934,238.63655243089443,245.73848769013236,251.71969410074757,246.40638214448995,241.2555057161205,245.80980426025167,258.9257377467336,255.6058698158649,244.1018363275631,245.74369626697305,253.18028501964434,240.58350483783687
510,2018-12-14 22:00:31+00:00,239.18327903626488,256.11600637329076,272.32792553113364,264.7434738625497,253.08069400584486,255.1963278523604,246.62341999787128,262.7688680119755,249.79735857704424,212.10210725191706,194.17537949711976,215.36291383201782,226.59512507062962,216.1962805874539,202.81633119712103,201.96457893217547,202.77593981898562,209.22900047126726,222.61252588146124,236.31912182965405,243.7422427376828,265.5736459615964,251.023661996713,236.10030251345378,230.74488979749657,239.76933495637044,250.6496833739049,251.69773655835763,272.61374678342713,261.2218484767826,250.8964855835806,248.1991101284918,258.2698074533608,254.5429312912871,240.27710525682397,255.0599426535064,,259.0063815868909,248.86099936556187,245.90367632139663,,
511,2018-12-30 22:00:31+00:00,228.5047859004554,247.27738599600426,250.09648384508083,254.56101519893176,249.34369173121414,251.07289758948778,252.60556885416833,270.16178288090833,250.37367882920395,213.91503433326974,202.21312797856226,227.72606673524007,236.6932384161709,218.81328487578,212.82369074772154,210.9953146314136,206.4340910299799,209.75591673481475,217.0898803478083,231.05150115763848,249.97851500290417,266.9333141960542,255.74992707599367,243.68772291513628,240.41551461418806,239.43176033882605,249.3818143128987,259.85848759056,272.55781816698806,260.9181399034482,252.06538273325108,261.22632566614544,266.0483398163919,258.0357660298688,,262.05239393545963,280.2659489091556,255.226903713992,248.44604900781826,244.81748772270907,,
512,2019-01-31 22:00:25+00:00,,,,,266.5552611101581,237.07429563587695,239.0206099186407,268.23164407887333,,208.30142649225746,206.70838732559614,220.65894082514748,239.62628653334002,,214.4221624214551,219.6683366653629,211.65559175043805,212.03531720138116,229.85545654372345,247.32306672765438,246.56759121966084,257.18334660007656,246.79443844118182,230.5672381602141,223.22937629240528,230.7874722240762,232.42396495225853,244.63242240272248,257.9229520753303,247.95117400273202,240.71035380506768,248.1203092428175,263.7340224217879,255.27502273101302,,260.1171885082449,260.09814396136096,257.59222730781573,256.45019001503533,241.20935267157645,240.88900948122154,232.3848489185782
513,2019-02-08 21:54:40+00:00,,,,250.84197054129936,,240.43255119461074,,251.8227310215392,253.60741592965118,206.40168160629787,,,,,,,,,,,243.381533074721,257.2292324010438,262.7939042189643,241.65608405745922,232.20811280791514,244.19070638262315,,,,,,240.82295194943646,,254.66367978003274,243.28002103685196,,280.8027606236614,261.1172598939046,247.13786500231103,253.66778437908914,,
