dates,sar2117-0000,sar2117-0001,sar2117-0002,satname
2020-01-26 09:45:46+00:00,,205.91,224.63,L7
2020-02-27 09:44:06+00:00,228.38,200.54,216.49,L7
2020-03-14 09:43:14+00:00,219.67,211.53,237.30,L7
2020-03-30 09:42:21+00:00,,,250.80,L7
2020-05-17 09:39:30+00:00,217.56,213.60,220.65,L7
2020-06-18 09:37:37+00:00,216.35,202.72,216.46,L7
2020-07-20 09:35:41+00:00,219.71,202.58,221.83,L7
2020-08-05 09:34:41+00:00,215.07,201.33,217.95,L7
2020-08-21 09:33:40+00:00,206.00,202.98,216.81,L7
2020-09-06 09:32:37+00:00,211.64,202.55,218.47,L7
2020-09-22 09:31:33+00:00,222.26,217.97,225.01,L7
2020-10-24 09:29:30+00:00,,,220.13,L7
2020-12-27 09:24:56+00:00,,,208.68,L7
2021-01-12 09:23:49+00:00,,219.27,,L7
2021-03-01 09:20:16+00:00,211.19,215.31,231.89,L7
2021-04-02 09:17:43+00:00,206.43,206.70,215.33,L7
2021-06-05 09:12:19+00:00,213.55,209.41,214.36,L7
2021-07-23 09:08:18+00:00,216.59,206.87,224.02,L7
2021-08-24 09:05:30+00:00,225.97,205.35,217.48,L7
2021-10-27 08:59:49+00:00,204.33,206.36,205.57,L7
2021-12-14 08:55:15+00:00,,227.32,215.18,L7
2022-03-04 08:47:24+00:00,221.37,205.87,226.51,L7
2022-05-13 08:40:44+00:00,217.70,221.96,224.73,L7
2022-05-30 08:39:59+00:00,204.81,203.64,209.55,L7
2022-06-11 08:33:32+00:00,224.40,214.63,224.57,L7
2022-07-15 08:31:18+00:00,,200.01,219.29,L7
2022-08-06 08:35:20+00:00,223.73,218.31,228.57,L7
2022-08-19 10:06:40+00:00,220.80,,208.62,L8
2022-08-23 08:33:49+00:00,228.43,199.48,230.17,L7
2022-09-09 08:32:12+00:00,222.51,206.25,217.18,L7
2022-09-21 08:25:09+00:00,225.46,201.49,214.99,L7
2022-10-13 08:28:24+00:00,,199.50,227.48,L7
2022-10-30 08:26:15+00:00,228.73,,,L7
2023-02-09 08:09:06+00:00,213.66,209.51,217.79,L7
2023-02-19 10:06:30+00:00,225.45,227.17,228.83,L9
2023-03-03 08:09:39+00:00,,195.18,199.06,L7
2023-03-20 08:04:56+00:00,227.58,227.14,204.33,L7
2023-03-25 08:09:15+00:00,212.64,204.48,216.85,L7
2023-06-16 07:56:13+00:00,222.51,200.95,213.25,L7
2023-06-21 07:59:55+00:00,,204.74,216.83,L7
2023-08-09 07:55:15+00:00,229.34,212.27,226.51,L7
2023-08-31 07:50:16+00:00,222.51,203.66,208.89,L7
2023-09-05 07:53:32+00:00,222.04,204.58,232.13,L7
2023-09-27 07:47:51+00:00,204.82,201.42,,L7
2023-10-02 07:50:57+00:00,,221.60,,L7
2023-10-25 10:06:20+00:00,,,205.23,L8
2024-10-27 10:06:09+00:00,219.72,242.22,228.24,L8
