,dates,jap0336-0000,jap0336-0001,jap0336-0002,jap0336-0003,jap0336-0004,jap0336-0005
50,1994-06-21 01:00:08+00:00,129.46768164560518,126.89991884312967,132.2618493304101,134.70103648073678,135.29612468041435,141.2849754308709
51,1994-07-07 00:59:43+00:00,135.3218836292437,137.6851012236273,140.24585569231328,145.64136997854567,139.73924752822228,148.07865931296118
52,1994-08-24 00:58:27+00:00,125.46617132633784,125.92087250410027,135.80813918123437,139.66220877262828,138.31650658361323,142.74564645620308
53,1994-09-09 00:58:03+00:00,143.3922273472648,136.70503559960838,137.02004804694144,144.69786702464748,141.92072526835761,146.50266880602072
54,1994-09-25 00:57:37+00:00,140.1684522051096,135.4242512521173,138.26794461636632,141.18854677992485,138.93695459709764,144.06753037555137
55,1994-11-12 00:56:03+00:00,150.23111475635724,143.01394278457238,145.852064791647,156.07396322768383,155.31742491484897,156.39764208282034
56,1994-12-14 00:55:01+00:00,,,137.15383923333465,147.61959165787678,144.4133880583189,149.28499157773348
57,1995-01-15 00:53:55+00:00,,,104.97529394123073,111.48149428326225,,
58,1995-01-31 00:53:19+00:00,123.46425681192926,117.77558595168827,121.85373563395319,133.7994624564192,134.55576411365087,141.65810052771133
59,1995-02-16 00:52:39+00:00,154.9391978336159,148.19759254667179,147.9207433450612,153.33625314910955,149.3252199184761,146.21542097747925
60,1995-03-20 00:51:22+00:00,138.464748903696,136.50942082627128,,143.5494276014836,134.21316131843759,137.40587902164597
61,1995-07-26 00:45:41+00:00,132.15931712275017,132.78021597336073,134.1076774407255,141.5274437427069,137.13152672857802,142.0320127571072
62,1995-08-11 00:44:57+00:00,122.17304483012504,124.45674174463556,127.71107143078822,132.31787770752314,130.96712422721484,136.4403270053302
63,1995-10-14 00:41:47+00:00,148.01664955760447,139.69879323177048,135.5057311556849,143.23831161473683,147.47536183631914,150.11703640332766
64,1995-12-17 00:42:31+00:00,,,147.251812581484,,,
65,1996-01-02 00:43:41+00:00,,,148.39334414854613,149.2336203689224,152.00196362226978,157.88348952643062
66,1996-03-06 00:48:06+00:00,152.04121574643906,146.09387446955287,142.07517538816145,148.9630805122786,145.1576667557038,144.02731920560532
67,1996-03-22 00:49:08+00:00,,,117.87155934145183,129.95082641645226,130.83177985675488,136.43501606046107
68,1996-04-23 00:51:07+00:00,133.6047740957133,133.66910551185182,,137.58369576665424,140.69851795404693,145.69074352334957
69,1996-05-09 00:52:04+00:00,127.38843391961117,128.84805464560083,,,133.05536890172172,131.82843874931396
70,1996-05-25 00:52:59+00:00,125.73603241916412,126.71127562900124,130.700238366262,131.94432594524463,136.21967463001852,140.16561570229823
71,1996-08-29 00:58:06+00:00,118.87462077396081,121.75645482328505,121.73382776830219,129.48827011114045,126.16944942901074,129.84317805844634
72,1996-10-16 01:00:41+00:00,159.43275072083165,149.03934359639243,148.42854640945527,148.89689056457246,150.184419142333,153.4381077865838
73,1996-12-03 01:02:59+00:00,158.61485725799523,153.051639084988,150.4650292303069,153.7939008367486,156.18687800947933,158.05587117912157
74,1997-01-20 01:05:14+00:00,164.47665508659296,151.44413425708575,154.1542753696182,163.11678244790966,160.27820813197172,162.32216443912083
75,1997-03-09 01:07:17+00:00,,,132.403105229715,137.05348590227513,133.0008699473061,138.49683130508322
76,1997-03-25 01:07:54+00:00,137.28141222139445,134.43500610496534,136.11621091352654,149.4513720655903,146.03716225844624,154.15218008478553
77,1997-04-10 01:08:28+00:00,122.33138070704773,119.82655599785411,,,134.963777751798,136.22102636783552
78,1997-06-29 01:11:16+00:00,129.83476768833293,124.09076791694304,131.50236188362595,131.86587184353553,138.3898073326815,145.728443620298
79,1997-07-15 01:11:48+00:00,146.93786013734575,142.61727406356695,147.4983810880584,149.5620100280341,144.2998839824599,148.37713196847557
80,1997-07-31 01:12:20+00:00,132.005067870713,130.27421005738967,133.91631166598572,135.71155896829802,138.5733127861802,133.9623310747983
81,1997-11-04 01:15:07+00:00,,,,,,107.48876030126044
82,1998-01-07 01:16:38+00:00,154.20478896793452,147.616221676574,144.9573426267636,151.66273465407735,152.6646014861043,151.3273434739019
