dates,satname,nzd0541-0000,nzd0541-0001,nzd0541-0002,nzd0541-0003,nzd0541-0004,nzd0541-0005,nzd0541-0006,nzd0541-0007,nzd0541-0008,nzd0541-0009,nzd0541-0010,nzd0541-0011,nzd0541-0012,nzd0541-0013,nzd0541-0014,nzd0541-0015,nzd0541-0016,nzd0541-0017,nzd0541-0018,nzd0541-0019,nzd0541-0020,nzd0541-0021,nzd0541-0022,nzd0541-0023,nzd0541-0024,nzd0541-0025,nzd0541-0026,nzd0541-0027,nzd0541-0028,nzd0541-0029,nzd0541-0030,nzd0541-0031,nzd0541-0032,nzd0541-0033,nzd0541-0034
2006-01-01 22:04:22+00:00,L7,408.88,401.62,411.71,417.12,417.74,412.26,418.36,422.25,417.80,423.97,425.41,424.21,,,,,,,,,,,,,,379.07,384.28,399.90,434.22,450.33,430.33,461.70,459.27,452.93,445.35
2006-01-08 22:10:37+00:00,L7,,,,,,,,,,,,,,,,,345.30,357.03,,,350.84,336.99,354.31,349.00,346.24,339.84,337.82,,351.16,351.50,345.05,357.79,376.71,382.10,387.28
2006-02-09 22:10:49+00:00,L7,374.23,,,,,,,,,,,,384.18,387.56,396.93,419.59,418.65,405.89,398.17,388.82,386.92,377.82,366.75,368.90,369.89,372.07,375.19,379.06,386.48,391.86,389.13,412.12,412.91,411.45,420.05
2006-02-18 22:04:40+00:00,L7,,,,,,384.84,377.64,,,,,,,,,,,,,,,,361.05,361.23,364.66,368.05,376.14,381.07,383.97,384.93,386.27,401.79,406.13,406.10,411.44
2006-03-14 22:05:42+00:00,L5,462.82,453.85,392.24,394.65,404.93,399.80,408.18,413.22,410.29,408.99,413.52,414.92,414.59,433.93,450.41,464.04,461.17,442.76,419.61,400.48,392.72,386.35,389.27,401.10,399.37,400.21,388.73,,400.34,384.81,396.71,424.42,441.34,445.24,448.18
2006-03-22 22:04:42+00:00,L7,353.63,359.71,,364.22,,,375.71,,,375.12,378.93,382.06,377.77,375.98,376.57,388.56,397.20,389.55,385.24,374.89,364.00,,,,,,,,,,,,,,389.97
2006-03-29 22:10:52+00:00,L7,449.99,429.23,396.27,420.18,412.88,406.24,416.70,423.86,420.06,405.43,421.26,424.89,429.86,438.85,,,,,,,,,,,411.34,421.65,426.67,421.35,435.70,438.14,520.71,,482.68,500.50,502.34
2006-04-15 22:06:18+00:00,L5,440.34,406.55,401.21,408.36,403.15,396.34,400.20,408.20,411.42,407.43,416.62,422.68,419.75,420.54,426.73,428.69,436.17,435.83,417.06,413.57,407.89,400.60,394.49,398.52,409.31,415.15,414.21,408.09,399.04,394.93,,,,,
2006-04-22 22:12:36+00:00,L5,353.43,361.95,363.34,368.22,366.85,363.88,368.91,375.93,372.05,369.35,373.04,377.10,384.20,386.15,387.88,396.35,394.58,386.12,383.39,371.62,364.09,358.80,360.03,363.99,360.74,360.63,360.08,360.66,355.59,348.52,347.26,366.90,382.41,388.26,395.86
2006-04-30 22:10:50+00:00,L7,445.08,435.93,396.46,404.95,400.07,399.04,401.77,409.47,417.80,421.87,425.94,424.00,421.01,416.97,420.40,422.95,431.75,431.29,429.46,423.72,423.41,411.43,401.20,402.53,404.47,409.00,,,,,,,,,122.99
