dates,satname,nzd0578-0000
2019-10-20 21:57:22+00:00,L7,212.09
2019-10-21 22:07:37+00:00,L8,
2019-10-29 21:51:12+00:00,L7,
2019-12-08 22:07:32+00:00,L8,
2020-01-09 22:07:25+00:00,L8,
2020-01-24 21:53:06+00:00,L7,209.51
2020-01-25 22:07:21+00:00,L8,
2020-02-09 21:51:54+00:00,L7,223.81
2020-02-10 22:07:16+00:00,L8,
2020-02-25 21:51:04+00:00,L7,217.89
2020-02-26 22:07:12+00:00,L8,
2020-03-12 21:50:36+00:00,L7,222.80
2020-03-13 22:07:06+00:00,L8,
2020-03-29 22:06:57+00:00,L8,
2020-04-13 21:48:47+00:00,L7,236.56
2020-04-14 22:06:50+00:00,L8,
2020-04-21 22:12:57+00:00,L8,222.10
2020-04-29 21:47:27+00:00,L7,228.33
2020-04-30 22:06:41+00:00,L8,
2020-05-07 22:12:48+00:00,L8,
2020-05-15 21:46:52+00:00,L7,237.24
2020-05-16 22:06:39+00:00,L8,237.23
2020-06-01 22:06:44+00:00,L8,235.86
2020-06-08 22:12:35+00:00,L8,229.17
2020-06-16 21:44:58+00:00,L7,
2020-07-02 21:43:37+00:00,L7,236.65
2020-07-10 22:12:51+00:00,L8,236.06
2020-07-19 22:07:07+00:00,L8,227.42
2020-07-26 22:12:56+00:00,L8,239.96
2020-09-20 21:38:56+00:00,L7,231.26
2020-09-21 22:07:30+00:00,L8,
2020-09-28 22:13:43+00:00,L8,
2020-10-22 21:36:28+00:00,L7,227.57
2020-10-23 22:07:33+00:00,L8,
2020-11-15 22:13:18+00:00,L8,191.87
2020-12-10 22:07:35+00:00,L8,
2020-12-25 21:32:19+00:00,L7,216.62
2021-01-02 22:13:16+00:00,L8,
2021-01-11 22:07:26+00:00,L8,
2021-01-26 21:30:03+00:00,L7,
2021-01-27 22:07:22+00:00,L8,
2021-02-11 21:28:29+00:00,L7,214.69
2021-02-12 22:07:19+00:00,L8,
2021-03-16 22:07:03+00:00,L8,
2021-04-16 21:23:23+00:00,L7,225.58
2021-04-17 22:06:54+00:00,L8,
2021-05-02 21:22:25+00:00,L7,248.87
2021-05-03 22:06:44+00:00,L8,
2021-05-19 22:06:52+00:00,L8,237.05
2021-05-26 22:12:42+00:00,L8,
2021-06-03 21:19:19+00:00,L7,236.22
2021-06-27 22:13:18+00:00,L8,223.98
2021-07-06 22:07:08+00:00,L8,225.81
2021-07-13 22:13:19+00:00,L8,231.12
2021-07-21 21:15:19+00:00,L7,
2021-07-22 22:07:12+00:00,L8,221.96
2021-08-06 21:14:18+00:00,L7,215.69
2021-08-22 21:12:30+00:00,L7,208.92
2021-08-23 22:07:25+00:00,L8,
2021-09-23 21:10:05+00:00,L7,
2021-09-24 22:07:32+00:00,L8,
2021-10-09 21:08:16+00:00,L7,231.66
2021-12-21 22:07:31+00:00,L9,
2021-12-28 21:00:42+00:00,L7,221.91
2022-01-06 22:07:29+00:00,L9,
2022-01-14 22:07:27+00:00,L8,
2022-01-22 22:07:30+00:00,L9,
2022-01-29 20:57:59+00:00,L7,
2022-01-30 22:07:22+00:00,L8,
2022-02-14 20:55:57+00:00,L7,215.04
2022-02-15 22:07:18+00:00,L8,
2022-02-23 22:07:19+00:00,L9,
2022-03-02 20:54:49+00:00,L7,218.08
2022-03-02 22:13:01+00:00,L9,
2022-03-18 20:52:49+00:00,L7,220.37
2022-03-27 22:07:10+00:00,L9,
2022-04-03 20:51:17+00:00,L7,235.78
2022-04-28 22:06:58+00:00,L9,
2022-05-06 20:46:12+00:00,L7,
2022-05-06 22:07:05+00:00,L8,228.68
2022-05-21 22:12:31+00:00,L9,232.34
2022-05-22 22:07:10+00:00,L8,236.92
2022-05-23 20:45:10+00:00,L7,261.63
2022-05-30 22:06:45+00:00,L9,
2022-06-07 22:07:19+00:00,L8,231.34
2022-06-09 20:44:41+00:00,L7,
2022-06-14 22:13:11+00:00,L8,222.37
2022-06-22 22:13:14+00:00,L9,236.81
2022-06-26 20:43:39+00:00,L7,
2022-06-30 22:13:39+00:00,L8,
2022-07-01 22:07:06+00:00,L9,
2022-07-08 20:37:02+00:00,L7,
2022-07-13 20:42:05+00:00,L7,
2022-07-16 22:13:14+00:00,L8,229.70
2022-08-02 22:07:19+00:00,L9,
2022-08-10 22:07:44+00:00,L8,
2022-08-26 22:07:46+00:00,L8,
2022-08-28 20:32:46+00:00,L7,
2022-09-02 20:37:42+00:00,L7,240.95
2022-09-03 22:07:27+00:00,L9,
2022-09-10 22:13:15+00:00,L9,
2022-09-14 20:31:05+00:00,L7,
2022-10-05 22:07:34+00:00,L9,
2022-10-06 20:34:04+00:00,L7,
2022-10-13 22:07:43+00:00,L8,
2022-10-29 22:07:52+00:00,L8,
2022-11-06 22:07:39+00:00,L9,
2022-11-09 20:30:04+00:00,L7,210.18
2022-11-14 22:07:47+00:00,L8,
2022-11-22 22:07:41+00:00,L9,
2022-12-24 22:07:37+00:00,L9,
2023-01-16 20:19:09+00:00,L7,229.05
2023-01-17 22:07:30+00:00,L8,
2023-02-02 22:07:36+00:00,L8,
2023-02-07 20:20:06+00:00,L7,220.77
2023-02-10 22:07:44+00:00,L9,
2023-02-18 22:07:25+00:00,L8,
2023-02-25 22:13:28+00:00,L8,
2023-02-26 22:07:30+00:00,L9,
2023-03-06 22:07:14+00:00,L8,
2023-03-13 20:12:05+00:00,L7,
2023-03-14 22:07:23+00:00,L9,
2023-03-18 20:16:27+00:00,L7,
2023-03-22 22:07:04+00:00,L8,
2023-03-30 22:07:11+00:00,L9,
2023-04-07 22:06:52+00:00,L8,
2023-04-23 22:06:45+00:00,L8,
2023-04-26 20:09:32+00:00,L7,263.25
2023-05-16 22:12:16+00:00,L8,229.32
2023-05-24 22:12:53+00:00,L9,231.58
2023-06-01 22:12:43+00:00,L8,
2023-06-02 22:06:41+00:00,L9,
2023-06-09 22:12:24+00:00,L9,237.19
2023-06-10 22:06:39+00:00,L8,236.48
2023-06-26 22:06:46+00:00,L8,234.48
2023-07-03 22:12:39+00:00,L8,
2023-07-11 22:13:00+00:00,L9,236.77
2023-07-27 22:12:38+00:00,L9,233.41
2023-07-28 22:07:02+00:00,L8,223.97
2023-08-05 22:06:59+00:00,L9,
2023-08-12 22:12:47+00:00,L9,204.82
2023-08-13 22:07:07+00:00,L8,
2023-08-19 19:55:26+00:00,L7,
2023-08-21 22:07:04+00:00,L9,
2023-08-29 22:07:14+00:00,L8,
2023-09-15 19:53:24+00:00,L7,
2023-09-29 22:13:02+00:00,L9,208.26
2023-09-30 22:07:21+00:00,L8,
2023-10-08 22:07:22+00:00,L9,
2023-11-09 22:07:24+00:00,L9,
2023-11-17 22:07:27+00:00,L8,
2023-11-25 22:07:32+00:00,L9,
2023-12-10 19:42:37+00:00,L7,217.51
2023-12-11 22:07:30+00:00,L9,
2023-12-19 22:07:27+00:00,L8,
2024-01-12 22:07:30+00:00,L9,
2024-01-20 22:07:19+00:00,L8,
2024-01-28 22:07:30+00:00,L9,
2024-02-05 22:07:19+00:00,L8,
2024-02-21 22:07:17+00:00,L8,
2024-02-29 22:07:23+00:00,L9,
2024-03-16 22:07:23+00:00,L9,
2024-04-17 22:07:03+00:00,L9,
2024-05-03 22:06:49+00:00,L9,
2024-05-10 22:13:00+00:00,L9,223.18
2024-05-11 22:06:27+00:00,L8,229.23
2024-05-19 22:06:42+00:00,L9,
2024-05-26 22:12:24+00:00,L9,227.96
2024-06-03 22:12:05+00:00,L8,228.05
2024-06-11 22:12:42+00:00,L9,236.30
2024-06-20 22:06:18+00:00,L9,267.20
2024-06-27 22:12:04+00:00,L9,237.45
2024-06-28 22:06:31+00:00,L8,237.20
2024-07-05 22:12:45+00:00,L8,228.09
2024-07-06 22:06:32+00:00,L9,230.49
2024-07-22 22:06:40+00:00,L9,
2024-07-29 22:12:29+00:00,L9,
2024-08-23 22:06:59+00:00,L9,
2024-08-31 22:07:03+00:00,L8,
2024-09-08 22:06:59+00:00,L9,
2024-09-24 22:07:01+00:00,L9,
2024-10-10 22:07:10+00:00,L9,
2024-10-18 22:07:18+00:00,L8,
2024-11-11 22:07:15+00:00,L9,
2024-11-19 22:07:19+00:00,L8,
2024-12-05 22:07:21+00:00,L8,
2024-12-13 22:07:21+00:00,L9,
2024-12-29 22:07:22+00:00,L9,
2025-01-06 22:07:18+00:00,L8,
2025-01-22 22:07:13+00:00,L8,
2025-02-07 22:07:17+00:00,L8,
2025-02-23 22:07:07+00:00,L8,
2025-03-11 22:07:03+00:00,L8,
2025-03-19 22:07:06+00:00,L9,
2025-03-27 22:06:52+00:00,L8,
2025-04-04 22:07:03+00:00,L9,
2025-04-11 22:13:17+00:00,L9,222.39
2025-04-12 22:06:48+00:00,L8,222.32
2025-05-05 22:12:48+00:00,L8,227.96
2025-05-06 22:06:54+00:00,L9,236.82
2025-05-21 22:12:27+00:00,L8,237.14
2025-05-22 22:06:43+00:00,L9,228.42
2025-05-29 22:12:27+00:00,L9,225.76
2025-05-30 22:06:42+00:00,L8,227.78
2025-06-06 22:12:30+00:00,L8,230.41
2025-06-07 22:06:40+00:00,L9,229.52
2025-06-14 22:12:35+00:00,L9,229.62
2025-06-15 22:06:52+00:00,L8,230.81
2025-06-22 22:12:43+00:00,L8,
2025-06-23 22:06:54+00:00,L9,230.02
2025-06-30 22:12:43+00:00,L9,236.00
2025-07-17 22:07:04+00:00,L8,237.55
2025-07-24 22:13:17+00:00,L8,
2025-07-25 22:07:06+00:00,L9,
2025-08-01 22:13:18+00:00,L9,227.13
2025-08-02 22:07:09+00:00,L8,236.92
2025-08-09 22:13:01+00:00,L8,222.87
2025-08-10 22:07:16+00:00,L9,226.88
2025-08-26 22:07:21+00:00,L9,
2025-09-19 22:07:27+00:00,L8,
2025-09-27 22:07:30+00:00,L9,
2025-10-05 22:07:28+00:00,L8,
2025-10-21 22:07:27+00:00,L8,
2025-10-29 22:07:29+00:00,L9,
2025-11-06 22:07:31+00:00,L8,
2025-11-14 22:07:36+00:00,L9,
2025-11-30 22:07:36+00:00,L9,
2025-12-08 22:07:30+00:00,L8,
2025-12-16 22:07:36+00:00,L9,
