,dates,aus0249-0000,aus0249-0001,aus0249-0002,aus0249-0003,aus0249-0004,aus0249-0005,aus0249-0006,aus0249-0007,aus0249-0008,aus0249-0009,aus0249-0010,aus0249-0011,aus0249-0012,aus0249-0013,aus0249-0014,aus0249-0015,aus0249-0016,aus0249-0017,aus0249-0018
495,2011-09-20 23:38:42+00:00,170.66761936105758,180.17506646536143,163.6518997842051,161.03083724203032,166.308096240629,172.37155681953286,175.18391708212053,171.5767439825073,194.60631788103422,195.5189530664668,212.33770966194734,226.05423912412425,235.80648079994768,232.9765460753119,231.25070132021708,223.1304487961798,210.9499736372073,204.90071167794417,229.57527317733692
496,2011-09-21 23:37:22+00:00,176.54360573607428,176.0697946324866,168.49565664992764,,,183.9587869320224,183.96864677093052,180.15358314646343,198.2518527817781,197.34390924652843,212.95333935016342,223.52435747198297,232.8381760474097,,,,225.78586925354506,208.0962852796147,225.8897127470741
497,2011-10-15 23:32:08+00:00,168.3087309937437,171.4459237127932,159.3880180694769,164.99020216558011,169.59553059897152,161.9808710773807,162.73049692456092,179.03140029328495,191.6549898691109,202.74080378306653,217.3053835101082,220.56068132509802,221.72925990798154,238.57056423651537,237.2401681506658,231.64038601465728,223.1365235153036,189.1961006443205,209.24434911454807
498,2011-10-23 23:37:28+00:00,174.11931981136766,,,,189.3914246015288,182.85915501756497,177.16800678624932,196.82711940026266,199.0526989833067,199.96679800542503,218.17433120397115,221.1642225668125,,,244.08417727314708,240.80577660081786,224.280907885307,205.92021361439183,208.09106782569924
499,2011-10-30 23:43:39+00:00,,176.87892974419663,176.86573916437433,179.43805446487394,182.87430339138692,183.52593022786544,182.31414437598724,,,,,230.22607475910235,241.06590208240797,257.217169243739,249.02688710868796,248.3915663800012,244.31096794117892,,
500,2012-01-11 23:38:08+00:00,,160.16784560314454,161.74532511293734,168.06861770095088,171.68481023817392,174.76564135726943,167.25734956580817,,,205.40596681059063,222.72216063999795,229.19149689525662,235.87783383206255,246.47780868570115,238.06140486480498,243.76094348495346,239.4899968736975,,
501,2012-01-18 23:44:18+00:00,,,,,,183.15991634297666,184.6935688596707,193.44488190704726,200.77266780499767,208.0604476456338,,,,,,239.70241406721385,231.273145557772,208.8871626645999,208.39403015476518
502,2012-02-03 23:44:22+00:00,167.85187150778566,165.15149651143108,155.83388072711725,,,,,186.98200857243611,201.86038645136887,198.77229638621532,227.77311149381347,231.29178363524036,237.50209189283822,,,,,,208.67492592040463
503,2012-03-15 23:38:14+00:00,175.21419003283066,161.78097416879436,154.4643003523381,155.87937388257103,164.73922385529085,164.75026259056122,179.8783752049228,,,,229.97226086631852,236.74048109964363,241.14847282011286,251.8446193208324,244.13225178160857,248.8752890490128,246.61810393119782,231.30071527538797,
504,2012-03-22 23:44:25+00:00,,139.90370355362342,129.7631560837327,,,,,161.2921083281631,186.1068717220753,194.27129298923927,210.1535767877909,224.6895175316849,,,,,,218.03062730866787,216.45085375746032
505,2012-04-23 23:44:33+00:00,,,,,,,,,,,,,,,,,,,
506,2012-05-02 23:38:36+00:00,,,149.6285869400309,158.08207705000342,172.88523326764692,166.09793299660694,,,,,230.33211869573458,231.95095451939747,240.75037928794816,262.11161494204,249.0610824009679,258.84775601946626,,,
507,2012-06-19 23:38:34+00:00,,,128.4125012531724,133.5292284909444,143.3755103409915,144.57897336732557,139.4930983072518,164.27626299298646,181.73179947981797,,,214.01839918196228,215.71276300276674,218.53504822911918,217.94812151257867,235.5765859461058,240.89542669047816,213.65240579591523,218.60369114541027
508,2012-07-05 23:38:46+00:00,,,,147.46908840392192,151.1139005412721,153.49098640611962,157.2524283846614,173.36845112450482,190.62896856926358,203.3613030768226,,,224.9526621324523,221.45184412468228,223.35480067563898,237.37690023906424,237.5107506333486,214.96515402294978,217.01620648812974
509,2012-07-12 23:45:03+00:00,136.5833243989238,156.62349580801563,153.0190019471188,151.41090476194347,,,,,,208.92929570398002,214.2451504711531,234.61889647706417,227.02858453892128,225.47361920674626,,,,,
510,2012-07-28 23:45:12+00:00,,154.85591383531633,161.429570357168,166.35879299267165,162.59810339472673,169.669852738336,176.35415981431026,,,,,229.94508344098594,242.13150485545967,239.92024683659966,244.16692662438717,243.49115492577693,248.99910358007884,,
511,2012-08-06 23:39:09+00:00,164.33897337362114,163.94080030599483,174.15331743936017,173.8217130567323,177.9813345735866,169.46515083229036,,,,209.41176501919082,229.7985207819969,230.04226792502732,247.46425197396084,246.41971788298406,244.60727096738924,238.33767908319558,,,
512,2012-09-23 23:39:38+00:00,175.56003424454732,179.26519898245766,175.03642654716697,172.6246894513231,180.31242323643065,184.94917052036922,190.87220649264313,195.5455286397331,,,221.5956405421822,218.11297877703495,218.49594606012454,230.44871918400403,233.54787364291687,244.27232955914806,240.32349849769565,222.31777612163066,
513,2012-09-30 23:45:54+00:00,153.41571517486125,154.23033804597037,146.580217452589,153.5713563916331,,,,,,188.0497988047423,207.84973356217856,204.05057412159812,214.9838490686178,224.71560061975973,,,,,
514,2012-10-09 23:39:45+00:00,169.44903679327513,170.10718312777914,166.91163777522019,164.22122530931708,,,,184.37693095889847,195.68339887733677,202.47265796091108,203.92188700432948,204.43485711453047,220.71981608836361,223.1713443940003,,,,212.4831887462481,226.80807475713655
515,2012-11-01 23:46:08+00:00,,158.14905569900205,151.63979209626964,163.41493638895653,171.54774329758905,,,,,,199.56177310570897,197.77272473105168,198.34933073181722,221.83051456839755,224.38437461762692,,,,
516,2012-11-10 23:40:00+00:00,,,,170.21588724500162,194.1827832775499,196.54637489604428,183.9728080357582,200.08312930891563,187.97956809940118,210.1713587944591,,,,235.5567810097963,226.01897441440363,231.75343310537588,228.6398298680895,219.1677247373437,226.04096852193285
517,2012-12-03 23:46:15+00:00,183.83603873260176,169.23175751251034,,,,,189.06614181689372,185.88292036315713,188.7201926823817,201.4857051879917,221.55411467031215,223.76354427760916,,,,,226.28531435811715,213.59833575049484,219.97737437900474
518,2012-12-12 23:40:10+00:00,,166.26314955629786,164.53626177416197,168.92764600811324,169.91607334117631,193.81133330100695,190.4336912357324,195.7145823453716,196.58922298463537,,,,222.59275930430485,233.178374654495,223.80566253246093,234.97601404095423,231.2399590808815,214.04383806523265,216.95995311366286
519,2013-01-13 23:40:15+00:00,,,,,161.5826745666451,173.06805710755327,180.43484062294485,181.69207998865383,190.7245949243518,184.74890324958452,206.43622143819195,,,226.43126743072463,227.38515450050122,232.28853003355655,233.1508010925074,223.29469291651256,220.7967467720726
520,2013-03-09 23:46:26+00:00,170.76419569610508,155.9958454054613,154.55351793566763,163.08867644041223,169.25201556680403,178.52600946666047,,,,,234.91276917797114,240.51860791996123,251.71769151082324,260.2601138176233,260.21022863495017,257.115575109903,,,
