dates,satname,nzd0580-0000,nzd0580-0001,nzd0580-0002,nzd0580-0003,nzd0580-0004,nzd0580-0005,nzd0580-0006,nzd0580-0007,nzd0580-0008,nzd0580-0009
2005-10-22 21:56:51+00:00,L7,643.62,661.85,,,,,,,195.33,200.25
2005-11-14 22:03:17+00:00,L7,645.14,634.43,287.02,235.14,230.28,255.53,270.45,299.84,611.55,766.89
2005-11-22 22:02:22+00:00,L5,654.36,675.29,217.79,202.20,196.59,214.84,171.93,178.87,649.57,791.75
2005-12-25 21:57:19+00:00,L7,645.02,660.58,222.95,219.50,215.81,226.77,196.57,202.91,652.03,766.89
2006-01-26 21:57:35+00:00,L7,648.98,660.63,241.99,216.25,216.18,234.47,193.51,219.44,642.12,767.24
2006-02-10 22:04:14+00:00,L5,646.37,634.31,249.24,226.45,227.61,247.63,255.49,285.53,620.28,789.57
2006-02-11 21:57:40+00:00,L7,637.01,636.93,,,,,,271.79,299.84,219.86
2006-02-19 21:58:15+00:00,L5,651.37,663.31,210.02,206.66,192.95,219.48,175.71,197.09,650.61,791.30
2006-02-26 22:04:34+00:00,L5,629.18,606.67,294.50,243.84,234.09,272.88,287.95,328.27,590.87,790.56
2006-03-06 22:03:54+00:00,L7,,,,,,,,,,
2006-03-07 21:58:35+00:00,L5,652.05,662.45,202.86,192.72,193.44,213.08,175.60,193.81,656.67,791.85
2006-03-15 21:57:43+00:00,L7,642.03,670.31,,,,,,,,192.50
2006-03-31 21:57:42+00:00,L7,,202.23,191.22,190.73,199.08,196.85,148.67,,655.40,
2006-04-07 22:03:51+00:00,L7,651.00,666.78,182.34,186.30,192.92,212.51,166.04,192.61,665.92,772.71
2006-04-15 22:05:30+00:00,L5,715.85,666.59,190.35,188.15,200.73,213.51,168.64,203.63,677.08,794.11
2006-05-17 22:05:57+00:00,L5,713.50,809.51,282.61,279.18,291.42,275.25,272.36,173.25,424.82,785.29
2006-06-19 21:57:36+00:00,L7,755.80,732.55,166.37,165.27,,,88.01,,,128.93
2006-06-26 22:03:44+00:00,L7,780.51,784.70,158.29,153.74,,,147.31,253.36,229.89,224.70
2006-07-12 22:03:37+00:00,L7,630.67,651.33,,,,,,202.39,211.80,209.95
2006-07-13 22:00:37+00:00,L5,783.20,658.20,163.31,184.03,197.92,206.98,190.40,196.24,802.71,720.71
2006-07-21 21:57:21+00:00,L7,,,155.28,153.69,130.69,186.04,151.99,176.26,213.42,
2006-08-29 22:03:26+00:00,L7,649.53,662.39,182.49,186.41,194.22,212.50,166.63,183.12,673.59,771.38
2006-10-08 22:07:52+00:00,L5,653.95,664.51,250.57,215.37,204.33,226.55,192.52,219.83,634.31,792.09
2006-10-09 21:57:00+00:00,L7,649.83,662.93,223.03,215.80,202.94,225.99,181.04,202.96,647.42,767.73
2006-10-25 21:57:17+00:00,L7,649.74,661.28,224.37,222.77,223.55,226.27,194.89,210.49,649.65,767.86
2006-11-02 22:01:56+00:00,L5,651.49,662.96,220.89,226.49,222.11,230.74,203.23,220.16,641.69,789.65
2006-11-10 21:57:30+00:00,L7,652.46,666.26,211.26,203.28,198.93,214.03,174.59,180.93,660.25,768.35
2006-11-18 22:02:05+00:00,L5,650.82,660.46,225.40,216.43,215.85,229.55,206.43,235.10,636.24,790.59
2006-11-26 21:57:40+00:00,L7,651.20,663.59,209.04,205.80,198.85,217.58,175.63,184.03,654.05,768.01
2006-12-11 22:08:27+00:00,L5,700.42,666.88,220.00,201.91,192.87,212.00,168.04,172.48,640.68,792.61
2007-01-04 22:04:01+00:00,L7,,,,,,,,,,
