dates,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045,satname
2004-12-08 21:43:14+00:00,353.17,356.64,357.98,367.88,352.75,371.09,385.08,404.71,402.42,379.84,368.55,385.58,378.67,381.34,378.06,346.39,332.00,331.97,329.15,348.42,354.56,362.78,361.88,352.98,352.87,356.45,347.80,355.81,349.65,370.45,370.66,,,,,352.36,356.08,355.13,359.11,349.51,339.10,337.31,345.12,334.70,327.81,329.87,L7
2005-02-10 21:43:38+00:00,335.25,349.70,370.98,375.60,399.89,384.00,374.14,393.40,381.86,381.69,378.84,388.66,394.29,387.24,370.71,366.62,365.16,363.76,363.60,363.27,371.87,369.47,368.65,365.73,,,365.98,364.37,358.85,379.14,374.77,367.30,354.50,373.88,367.42,364.32,369.50,373.48,366.94,358.30,352.68,354.00,,,339.58,351.85,L7
2005-02-18 21:40:42+00:00,349.12,367.77,366.91,379.35,367.28,377.87,377.39,405.22,393.33,374.07,372.58,396.24,394.31,382.77,365.27,349.58,353.01,360.35,357.48,365.68,363.38,372.23,378.06,380.65,373.58,387.57,372.50,368.25,364.07,375.17,366.12,354.27,349.58,363.18,364.40,368.37,370.43,366.94,362.03,351.25,353.53,354.07,356.88,346.93,343.44,348.55,L5
2005-02-26 21:43:44+00:00,165.72,,,388.54,,,,,,,382.81,,389.72,,,,,352.96,349.23,349.52,352.46,354.63,358.64,367.94,360.06,378.88,372.64,369.96,359.01,383.02,383.02,367.86,362.97,375.38,370.22,,,368.42,364.02,361.91,349.93,350.68,353.08,336.09,329.62,333.80,L7
2005-03-22 21:41:05+00:00,146.74,341.32,356.75,366.16,352.48,370.46,379.55,382.86,374.16,365.75,364.42,383.43,375.88,379.66,364.29,350.12,354.49,366.47,353.31,359.61,358.21,361.89,356.00,358.94,352.86,376.64,364.18,352.48,329.96,346.25,362.33,353.82,356.67,368.01,357.91,362.02,365.48,368.12,357.26,352.89,344.25,346.89,356.32,341.50,336.89,340.04,L5
2005-03-30 21:43:44+00:00,,149.55,134.24,377.20,,380.77,372.42,,,,,,,,,,354.70,361.28,359.74,362.61,367.23,366.89,361.60,361.29,359.36,369.53,365.84,355.92,348.22,373.01,376.32,363.32,355.95,374.66,,,361.81,358.97,363.21,363.73,346.47,351.44,358.58,350.37,343.32,345.93,L7
2005-04-23 21:41:13+00:00,152.01,125.29,108.44,,129.49,330.61,369.53,369.56,367.14,365.48,358.10,371.22,377.18,374.16,357.90,344.11,344.62,357.21,348.67,354.30,357.32,359.35,361.75,358.13,356.44,362.66,348.12,354.24,346.79,361.69,351.87,331.47,336.31,357.56,351.59,352.38,354.99,354.33,352.47,351.23,343.43,343.44,352.63,341.08,341.34,342.14,L5
2005-05-01 21:43:39+00:00,144.02,,,,,,,369.17,358.75,365.28,354.26,372.92,378.29,376.69,360.55,348.36,340.49,346.69,344.62,350.25,355.55,353.14,350.97,353.41,351.12,359.72,344.84,347.77,341.89,358.22,354.83,339.04,335.36,353.98,351.69,355.66,360.82,354.76,355.65,350.48,338.04,341.05,349.22,337.98,337.68,345.03,L7
2005-05-09 21:41:19+00:00,,,,,155.72,160.16,172.27,361.90,373.58,371.52,363.63,378.80,387.32,382.07,369.00,353.09,348.74,348.27,347.37,351.83,355.59,350.90,350.01,353.39,349.85,359.73,352.40,353.31,348.69,365.28,360.50,344.39,349.57,370.32,361.21,355.82,361.85,357.05,355.31,349.97,340.69,341.87,350.41,342.43,342.31,354.55,L5
2005-05-25 21:41:28+00:00,,,,,160.18,164.92,177.36,192.24,380.54,376.14,368.31,370.77,383.81,383.33,374.92,361.32,356.85,359.22,353.66,360.23,367.07,366.06,366.93,359.05,358.95,372.17,363.76,360.59,356.95,378.58,366.75,347.83,345.73,368.24,368.27,357.46,365.58,365.37,366.30,368.92,348.36,351.65,360.81,354.18,345.98,359.51,L5
