,dates,nzd0266-0000,nzd0266-0001,nzd0266-0002,nzd0266-0003,nzd0266-0004,nzd0266-0005,nzd0266-0006,nzd0266-0007,nzd0266-0008,nzd0266-0009,nzd0266-0010,nzd0266-0011,nzd0266-0012,nzd0266-0013,nzd0266-0014,nzd0266-0015,nzd0266-0016,nzd0266-0017,nzd0266-0018,nzd0266-0019,nzd0266-0020,nzd0266-0021,nzd0266-0022,nzd0266-0023,nzd0266-0024,nzd0266-0025,nzd0266-0026,nzd0266-0027,nzd0266-0028,nzd0266-0029,nzd0266-0030
172,2016-10-28 22:06:47+00:00,159.98473382440673,158.7635066754692,159.75463373954875,162.65344062935313,,174.94164279783544,162.91396036118547,172.7966049077621,,,181.21147604578107,162.85147245658493,148.9688294679539,145.82791114093152,,157.22518517826947,163.13100424024012,158.91193708477167,,,181.73864475348842,167.13692239822075,178.52194233394965,,,,183.3000680563743,181.37075977345575,,138.81146168466836,153.82708925794913
173,2016-12-15 22:06:42+00:00,154.38639465195223,156.6430256668164,154.84161380585047,161.24169360936568,,173.02007373690736,167.3428155015688,170.96410889381772,,,183.27195783637018,167.05086538247747,144.25889934766838,137.25455236041822,,155.75261746836776,162.82131712365734,152.02492958267288,172.95073783643235,,183.5714806830261,176.88599365401146,181.52362856312598,181.17511378155834,,173.48513215166258,182.52930002141397,177.85569726513796,167.48601672690288,,178.469913412877
174,2016-12-23 22:08:48+00:00,152.65129801566917,151.58276516190762,144.58953554180601,,167.5391536702592,181.09369936406358,167.6504010781618,,179.2308723983149,171.90427059154544,,,150.99060400845502,,,146.55560973129838,176.01307208332605,,,200.0752596903751,166.8813090430739,170.371203377683,177.21766816091156,,,166.48984645886418,173.39879685447454,171.3792866660581,,,149.82524476591385
175,2017-01-16 22:06:35+00:00,150.03915454305837,148.25415533303556,154.97028102909073,,,176.25306202226955,157.87772945919315,169.86197085034595,,,175.2637686844291,149.97682992921298,137.9151964557833,127.49367368263692,,145.29201170496088,159.350514273955,162.82714586908335,,,169.92604873795815,171.59145695247744,174.8025190435355,,,170.47606468076918,179.06516175848597,179.18445785205066,162.87214800497972,,175.70928349732316
176,2017-02-25 22:08:29+00:00,169.5930063131502,177.32490288460153,175.78374236374694,,199.4895049041429,202.59179838169,188.50196587342668,192.45856451594858,,,,183.63127007020225,166.59984772739523,,182.3167956540094,174.8544566424192,187.39479790720824,177.8500941112192,,,204.34434127645275,,,,,191.2804963131066,200.94323817447633,190.18672394734503,,186.8550127514049,195.09458079599665
177,2017-04-06 22:05:57+00:00,165.40413342445277,155.32626193548631,,,175.81613509431375,181.883535569106,166.286888197142,,,173.91100546820084,180.30243145917925,178.9696060361383,166.15570411214355,161.07433380436194,168.51488408530068,165.62769483168185,180.40117403280624,180.18797024788861,,,178.91655238876268,176.2548350294536,189.57563598336336,191.0038661007075,,182.04521754191035,176.04186821009648,183.60839559072122,,,177.4317133548443
178,2017-04-22 22:05:48+00:00,170.58698490638338,166.38048680229412,,,178.56311087401653,189.4994186963654,176.63566479533216,,182.01993958707317,,181.73823569149022,180.53072523231853,,,173.6793195452288,172.25018569171317,185.4292326120848,184.5730411058778,,,183.50788900696125,180.04929836341444,199.29113328459943,,,183.92776843015628,181.8291531439538,193.96628014238013,174.8710394319378,,182.77940699751522
179,2017-04-30 22:08:52+00:00,,156.00668001717617,150.68113914881928,,163.7682140646385,175.61202707267373,159.7147848569452,,,,173.1494840264747,164.3556530922361,150.51407618897818,166.65957094074966,167.25439475974156,154.93767793742973,175.13221472493376,169.5236421337597,158.7155289652616,,,,,,175.99872121746586,189.71518915058323,168.15831132881374,180.86544777682255,,,
180,2017-05-24 22:05:58+00:00,,172.10472873500504,163.49244108028444,173.6172037786144,,190.38164334295703,172.34905423664483,173.59871465476516,,182.1663129963859,,187.3986524871199,168.84449103297595,,,177.4042976809235,176.97302105728497,173.35993845534585,,,194.77526259341042,164.99722545650323,186.0414851544723,190.14806145405583,,189.55422744472898,181.64042891436802,190.89045345593428,,,46.441163518035836
181,2017-06-17 22:09:03+00:00,,,,145.11652671442303,174.9747525151592,179.555222846809,,,,,,178.64957933471786,175.98848245551716,,,,176.0565715473458,,,,,,,,,,,,,,-8.364089143295242
182,2017-07-27 22:06:22+00:00,,157.3795311529065,147.8991401012005,144.89132090233295,,172.34596561436805,,,,,,181.47625319991747,165.20672045128958,158.99468143084695,,141.0954155232776,158.42049375442468,149.0215842499102,,,,,,,,,157.88044828183806,,,,8.494709889660445
183,2017-08-04 22:09:03+00:00,,,181.84267091671728,192.37022344369825,197.67306261316378,198.61503869876847,,,,,185.862500391116,189.2520192744294,156.91879208906897,151.62578919617778,,157.86819313199175,195.64749045776227,190.48740150548483,,,182.94694789150867,,,197.48345937020022,162.78406076517348,,160.82817920780386,168.58786416174138,,,37.90249659341068
184,2017-08-20 22:09:02+00:00,,160.4101729458223,158.0631292142583,165.1553509766626,,,,,,,178.66958947671586,168.25210715364057,147.45279856395683,,157.35999536394138,150.74033636780217,,152.56677904042834,,,173.18155734679402,164.7245727272517,,,,168.5219660974726,181.3966505419341,181.54423102443752,160.93052894230667,,
185,2017-10-31 22:06:43+00:00,170.06460015661995,168.10879869569618,165.99526106177726,,185.95996062848633,190.45929469104553,180.13354893587754,,184.90445075429835,193.9356764441575,201.0896770728969,181.59951667987232,,,,161.35822676306165,174.49870560433556,168.70172996610768,,,179.3680501183593,175.59341868851138,183.63747329193157,,,189.34738273255476,194.93729939288505,191.58029346494197,177.858544036463,,194.3027085033481
186,2017-11-08 22:09:03+00:00,170.34669948576294,161.4014633078813,151.05476457999745,,,176.658752087593,157.99914585772677,,,,189.8461515747555,160.48641663097877,146.3990407414771,,,139.98683015703608,146.44523726475572,146.02410142176961,,,,163.16193742423533,173.97776081798978,172.01118048918448,,164.89832201160914,174.23577798766308,170.564690348486,158.55513113899877,,167.68274665278324
187,2017-11-16 22:06:40+00:00,166.10941295274984,167.43116594085288,171.3146297832122,181.8181165904193,,193.63703212725687,181.66812711128142,182.12647014463118,,195.51098353599104,198.93004534025997,176.9906028795889,162.86131747150463,,,171.21551241334777,178.5925471382745,169.01705255065067,181.86958367270995,189.70081663397667,187.20027872044597,178.48954243598382,189.90682816945045,,,190.38985389560918,196.30211289307388,191.70317898687242,,,188.90249348200678
188,2017-12-02 22:06:34+00:00,186.5776716035794,180.97296787061757,,,198.28610923881675,210.4419726794712,190.5874425926661,189.8870960648177,,,207.07247723665955,187.5407385340745,167.80480871097674,,180.77958215784204,188.13348439537955,189.013796435886,177.56142704596235,,,201.3177330533399,201.83139147301506,194.9118431416998,,201.96631702043607,203.84602908409897,211.4614951126002,188.0481381839857,,,206.82357703752143
189,2017-12-26 22:08:39+00:00,155.35084706844248,150.9393903852054,,,,,163.31264857601082,,,180.83897585621227,183.23738542125403,169.16124072994785,,,169.75786894799063,173.21548542532474,,,,171.51706492015995,162.45437647115114,168.6242937942923,191.92927431171972,,197.9542833222022,163.82166626931334,182.34280435921818,,,,184.19356679267233
190,2018-01-19 22:06:26+00:00,177.44418486990892,167.18291102564058,173.71074485400888,165.57159579363187,,189.58621396932315,169.78495127802427,175.4184969471176,,,188.7583263649912,173.04338403824102,159.48213905889557,,172.48201212406164,,173.9430603556135,167.134562674395,,,178.00932996640682,179.0593882865222,179.87605072730835,,,181.34882125365445,191.711926345436,188.1811438175607,,,183.16108420982764
191,2018-01-27 22:08:11+00:00,,180.9116428754931,,,188.4215525378082,200.58514617717955,186.81924515503215,191.9483690460044,,204.7334783535982,201.77405467780886,,,,188.12964880722635,188.8708038923585,184.45288867464012,,197.27648222488344,204.43050229041958,197.85489573549322,191.52678151090922,198.7243682286548,,,,197.9381226385841,190.0026761172133,,,191.08218248073908
192,2018-03-08 22:06:03+00:00,194.50879109391056,181.64950209786147,171.2688051635221,173.62329918565723,198.0748702080927,200.60782653026774,,,,199.92266160876008,201.93360174543284,197.1068885747319,,,180.59113539833353,191.1571984961759,183.65719185992538,,210.14567292494036,195.24165087848726,200.21160764445492,198.09882813599387,200.177545706581,195.97616204171942,215.00068743838244,,204.21216909860163,207.19140312239907,,,195.57239720419577
193,2018-04-25 22:05:38+00:00,193.27636876921997,182.88499937285513,184.42982754671914,190.97465137471767,199.06174578864375,201.85772280044975,198.7514028159494,,,210.7161766129047,199.16033011295121,198.1122606227409,,,188.24808869356323,194.11678585759935,199.29883583378927,,,203.06892155930257,208.00763556061713,200.22737795765684,195.7213668538697,,,191.4792713563139,195.69368261691665,204.2635110512316,,,186.8862024919799
194,2018-06-28 22:05:28+00:00,,168.08554847674264,157.8558075523388,,,192.8862917936981,,,,,,186.31092510682416,164.89630134357603,171.30641656676602,,171.4776442911474,,,,,,,,,,160.91541624099455,170.967301631339,,,,
195,2018-08-23 22:04:49+00:00,169.13578872349473,170.0369266878116,157.7327504366366,,183.28725225571972,190.98139793518473,177.52527863551393,182.3335525507741,,,188.24642030588305,174.04490784801584,150.1188524275646,140.1796746405659,,155.36738677981867,,165.88305717215846,,,183.45473754906212,,,,,,171.46821150720282,184.21346666574522,169.50895664503722,,173.06852901997553
196,2018-08-31 22:05:59+00:00,169.9325901750145,170.2816701705206,,,183.57165116022568,180.40009995623376,174.01165653671652,,184.67965323300768,175.34735164291376,180.09283958221636,167.58912783462054,160.36753912238905,,,151.59922048747558,172.3593350327275,171.7621361611176,183.19194739063278,,175.48235879249037,174.77645978077334,180.7525193577164,191.2931689348338,,170.20324389145748,177.52187782203777,185.901536615318,,,175.91121177852432
197,2018-09-08 22:04:29+00:00,190.30696603831834,184.57463839663436,191.3659696993178,,,,184.20889551422445,188.5600288350504,,,201.838854405168,184.11855891853693,172.97492714983997,,,170.94251691619903,,,189.00111777216034,,203.6712037417719,193.56906490536173,186.3190006318843,195.38113269254566,,193.9937493380162,195.8265182361205,201.1845538108509,,,
198,2018-10-18 22:06:17+00:00,184.01483985579273,,178.5110718162,180.97537013248294,203.36531473417406,210.64454004850808,,,210.53788683209626,,214.19518907297748,,,,220.39012252774612,,,,,221.8676573592303,202.15868897834784,,,,228.05343879873936,,,,189.71107428023777,,
199,2018-12-21 22:06:18+00:00,167.63830000420097,166.89167992809053,165.9348301664252,171.46024368731926,,177.59535407932205,172.99641325815873,173.8015001033803,,,191.06848528736649,179.65235881108458,157.5779929884336,,,173.81601834501794,181.09785772441114,171.14306968611936,,,186.71141231711212,182.41592995302648,189.42056211925802,,,190.07562173889798,195.0571468497658,194.12798614046272,,,185.54894189951693
200,2019-01-30 22:00:42+00:00,,155.53669731144842,,,174.08915342324758,180.3716744460423,164.08334166809396,173.35143513455435,,173.09744150453997,194.07055970441408,,,,,159.95507264668174,164.9745765373591,177.17958987740244,180.59263689129364,,175.6116786480744,169.36370816327727,183.88888048533278,,,,182.67028483155082,175.0650528933679,,,179.225824488221
201,2019-02-07 22:06:11+00:00,178.54420279823955,179.25210989613439,164.1246726558216,,,199.3855567298896,187.86560618235006,185.22479310343715,,,200.2031113919578,200.12944702980255,,,197.71918675208724,199.33531455826633,199.08338465323726,197.7530184905272,201.540229941526,,195.8404103420998,192.0170388108257,193.5932576541229,,,195.61301519466397,208.52660788471863,194.62010665501322,,,205.47619192569323
202,2019-02-15 22:00:14+00:00,178.91244262750058,,,179.30802868569907,193.4536177859953,,,,,201.9077541164809,215.8810081489353,207.58068073119415,,,200.73722029226832,199.2775050086595,203.6545806891005,,,,,199.44206743874196,204.3701633324121,,194.86545979851493,192.13995602495774,195.60686855633801,196.1319694510302,,,
203,2019-02-23 22:06:08+00:00,165.80491897234413,158.13012854330702,,,174.22936308445733,183.61814470928957,164.93815581880278,165.82936319124414,,,182.00049627452142,183.92213492116127,,165.3264736432726,157.4119803109441,,,177.13546212125894,,,178.6300616221031,179.19442389171581,181.80056106153518,,,,173.9318878284052,153.6598718866688,,,
204,2019-03-03 21:59:44+00:00,,174.76051544920074,172.53841326358605,,194.63305512229698,204.25805972857364,187.33993535198604,185.6447025839364,,207.13057454365006,204.33338936527463,,,,198.08145407057907,199.07522678273625,200.72844991089983,188.3946369719904,,,199.61413222050965,201.58815403042803,199.7999359192986,,,,206.6536353101681,198.14372622876414,,,196.85222630438327
205,2019-03-27 22:05:59+00:00,165.0076616987262,160.70808039863098,153.28353803493303,,170.6291726969265,190.68885439857218,161.76267415906221,,,176.2172378295894,193.42013255574489,189.62761063389397,,,172.80202921224287,157.04768098977928,165.97509419154596,153.75549277547003,,,,,,,,164.71832979915087,158.40833653574495,179.72164440203952,,165.72384089180804,173.42540378028426
206,2019-04-12 22:05:54+00:00,178.10290648040765,173.67964420060648,162.38371031422858,163.3021575724013,187.73495488321137,187.82824642706825,182.18596769970407,,,191.63915795020552,194.05210268473974,184.89791188707898,,,184.9667690928939,180.58956958458612,179.43271317271922,,,201.5710032939589,185.2828179855157,187.06147845921058,,,217.01651414313943,188.4786392336272,191.83195653154385,212.40659725422736,,,200.2422888523362
207,2019-04-20 21:58:06+00:00,172.6177801130724,174.79943832856333,172.38153564194465,,,197.7598976324658,186.22753906680686,181.38179045956784,195.29211140861645,188.3246515232552,199.29313070547673,192.33110515825877,181.6027739567571,,183.11127365618248,,,,,195.36790254378522,191.90723753341814,186.19787602610617,191.50870864072044,198.1679185938248,,174.8694116473363,185.79808601150756,192.1016285732514,,,
208,2019-06-23 21:55:43+00:00,,,,156.5678812382748,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2019-07-01 22:06:20+00:00,,172.59564766389462,165.40730858947018,,,191.36165616466207,167.45889884600945,169.64095753026112,188.0152462255544,177.19873940486394,,181.62274983363,165.5760454212254,169.90870527655716,175.3560370786262,,180.98256820106067,179.26136372085318,189.8261985430568,,200.36088261712672,193.99939114873177,188.251972938285,192.27876217690502,,181.2535309502143,177.66992426417778,192.0011641931264,,,
210,2019-08-18 22:06:35+00:00,171.06844740274465,169.3408963912669,159.40819441413245,,,183.5418166882925,179.88797035952896,174.523144673185,180.6962743058761,,190.60343916051417,176.77535185478578,156.47790290307734,,167.1461932974828,,176.73800726958763,165.56577338295438,179.886233633475,,185.50004405053974,177.63232480771083,181.9879814465063,184.9917156351384,,179.96778977785513,185.35027220933043,189.95043479691836,,173.63577975609792,
211,2019-09-03 22:06:38+00:00,158.58800280539188,160.05396754933795,148.48578622571026,,,166.745890309281,158.64447591842878,168.92201896120022,182.8815642883752,,190.0903840114761,188.45504263376966,,186.5613357751175,,189.14013545462362,186.897262243259,184.68985078491218,162.50188476029177,,173.83609885984592,160.917407238165,148.24355828622805,145.54602745999003,,,165.7805508050652,170.9961726156848,,159.95754624892066,
212,2019-09-19 22:06:44+00:00,144.93765603955796,156.73630197335197,149.49004830737232,,,177.28165665062565,161.004898677842,174.5011545149529,,182.07841386970816,182.70540203541722,165.54563883698557,148.8892996276115,,150.24035644703667,,165.1745166132462,160.85683413956235,,189.24521428960497,187.72533739832662,178.44850232381492,182.99058503753116,,,172.85010282565608,173.3329424225896,178.11219557382583,139.07950856889175,,
213,2019-10-05 22:06:48+00:00,167.68916196886542,176.68623018088095,169.18944155821814,168.01543386966662,195.21800284138598,194.42636558331213,191.43059163690657,202.14375000616846,,207.50127950939395,206.7722510978874,187.6651821698954,,,,,,123.23058925191924,,,,,214.7571158729537,,235.40838302973924,197.3949307547498,209.2638283781425,149.29662282751843,125.51741991553486,,198.9692810792094
214,2019-11-06 22:06:48+00:00,169.32119713884768,,,,182.61526101540963,185.09174806694136,170.445531019365,,,198.1067915005604,203.94282663879824,179.41539703596723,,179.74526702525924,179.78253574675148,186.26590121632134,191.02861027870213,184.70982146067144,,180.16440799487336,182.35271024561735,187.53165683305835,,,,186.33846512616225,188.47546570411382,198.12172678616218,,,202.23016677374335
215,2019-11-22 22:06:45+00:00,159.65654163679312,164.68383115973862,159.7941729505567,,182.59483267813374,183.4818218028374,168.4697832266963,,178.67552812736852,,189.95935780244773,175.79436463427515,161.04281557084772,156.95641943345916,143.42960792466917,151.00557776566913,168.62429677161725,189.96377032611827,,,194.34550116059455,192.96872201281252,192.080661237194,185.3324739134541,,175.49565552936156,183.62075803318797,186.92872497283258,,,185.84072555485832
216,2019-11-30 21:48:54+00:00,,,171.72841528979885,166.96343142580824,188.25111003254426,193.2444060856576,174.08398328978018,,194.83826005240374,,194.26303920592449,183.6392272047077,,,174.37995638034556,167.95077560588507,173.3442398250849,186.26381047598318,,,198.5733497557221,198.24700076109585,197.74903936755433,193.8561198661569,,,,193.89789665115586,,,191.5359307724633
217,2019-12-23 21:53:56+00:00,,166.06787634834913,164.19526264739432,170.8749027174508,,,,,,,,,,152.22709271002415,177.5405950066142,,,,,,,,,,,,193.75239563802504,189.22837563618285,175.31049236117678,,
