,dates,usa_HI_0057-0000,usa_HI_0057-0001,usa_HI_0057-0002,usa_HI_0057-0003,usa_HI_0057-0004,usa_HI_0057-0005,usa_HI_0057-0006,usa_HI_0057-0007,usa_HI_0057-0008,usa_HI_0057-0009,usa_HI_0057-0010,usa_HI_0057-0011,usa_HI_0057-0012,usa_HI_0057-0013
47,2002-05-31 20:48:51+00:00,204.55827432676398,197.02349190778966,195.67003865619915,195.20608599824047,199.24719630861853,184.47043512029262,190.07985167111121,186.08886692207966,188.51700167633123,178.33269952716537,187.90606614773293,198.84229931545306,207.2753704512678,208.22231705330583
48,2002-08-26 20:54:25+00:00,,,,,,,,,,,,,,
49,2002-09-04 20:48:13+00:00,168.24821100076218,184.15075798540693,189.24292319802845,200.87982610561136,198.1290312068179,181.8015839347531,197.12504741272272,203.72830371285477,223.57326899521877,,,215.10073576886205,184.66625756470927,198.0995439523955
50,2002-09-20 20:48:01+00:00,161.39512993415227,172.9182159362638,193.32723301992405,197.2370996019018,204.8345814245807,181.16646896411748,197.00288109615516,215.98545915353708,223.64123400151274,,,235.62437436174702,194.90205961546854,211.96420306764
51,2002-09-27 20:54:10+00:00,159.22820482140315,167.05778254500035,174.87692945572252,179.14363790633325,185.02264650453236,163.6607474004273,190.84249900463487,193.50039555535093,193.37958299534625,,,,193.11083832067663,226.45741811138237
52,2002-10-29 20:54:11+00:00,156.60605797215197,,158.58532979767398,149.36722255428677,146.41419071403877,151.71613225414237,119.72023833278807,,120.19807743522401,141.62447001335357,126.60273870381417,,,
53,2003-01-01 20:54:45+00:00,153.16316902807668,,177.9673552153758,188.40831965492305,,122.86642767976963,73.22354043773318,,,133.22226729089525,129.51370029709625,,193.43728451678638,200.24288026157637
54,2003-01-17 20:54:52+00:00,154.9425970598976,,,156.89625744026355,,130.82325165114202,108.49932795913217,,88.79216453549624,132.18468243582836,131.8992480784383,,148.0411703305071,145.30705213484123
55,2003-01-26 20:48:44+00:00,,,,159.5020536461862,136.57224921935233,148.06299222853244,90.02125105211893,,121.6138222827285,149.7214885887325,137.39973928515525,,160.952301826389,132.37348966263997
56,2003-02-02 20:55:00+00:00,153.90264740578786,,200.25037713200442,192.84203944530321,137.65592742094765,145.50955231839163,84.15253722256168,154.48846744946928,145.30816603987785,140.91742601966968,131.96601700062283,,175.75219329801536,139.82709290062888
57,2003-03-22 20:55:05+00:00,244.9273233051511,231.09439331197635,232.68470427373433,221.5972105236583,191.91789684972414,180.83185105809105,202.64562244585198,199.63028926011077,201.7144258118355,,,211.14072944738655,206.9060069373756,196.0108091490127
58,2003-05-02 20:49:00+00:00,239.27277121935634,230.90100995328942,217.60541498011716,231.89643976515083,,218.69150660608798,213.6037623969993,204.33974160253894,208.00081165039393,207.41291517303645,231.03482948392158,204.49780192607557,198.13749371552376,184.37992471281473
59,2003-07-21 20:48:46+00:00,,,,,,,,216.18564821067537,212.67975844182516,206.08621716685212,224.37951754545594,208.41920750612502,181.0999147404894,184.47621908565802
60,2003-07-28 20:54:53+00:00,218.25685249526407,210.678226201292,219.57879748085412,220.6696674876384,225.7584700561192,222.92811924582907,,,,,,,,
61,2003-08-06 20:48:37+00:00,214.80814916053137,205.82533871611116,213.08012674432723,218.637895429445,222.92097991672097,219.1656608658064,,,,,,,,
62,2003-08-22 20:48:38+00:00,,,,,203.06224064023462,187.49576641904252,203.7848899784115,198.49207595540437,218.4857439501515,223.97439185423946,239.87198813047098,207.63547078294272,179.45428383938594,176.30777240517253
63,2003-08-29 20:54:46+00:00,,,,,,,205.73081862358134,212.40675088741872,215.40543778798394,220.16023996616477,229.08737305137103,209.42953668194306,182.32464552716527,187.90524366935475
64,2003-09-23 20:48:25+00:00,162.8552543473131,,,,,,,,,,,,,
65,2003-09-30 20:54:36+00:00,,190.41656649437775,190.15779528708435,192.59197850761691,,,,,,,,,,
66,2003-10-16 20:54:37+00:00,,,,,,,,,183.4220830080692,138.40762423391465,,,191.95713462922822,205.70283569849278
67,2003-10-25 20:48:36+00:00,,,,,,,,,,174.12214056645686,210.64097400151445,223.24909823396786,216.28415298049686,209.92174999181339
68,2003-11-01 20:54:50+00:00,152.82413344945815,,194.29162997658565,198.15637189500765,,,,,,,,,,
69,2003-12-12 20:49:00+00:00,162.33460645854444,,,147.360001508309,,,,,,,,,,
70,2003-12-19 20:55:14+00:00,154.61080878179004,,,142.15821150111208,,,,,,,,,,
71,2004-01-13 20:49:09+00:00,153.3390860499615,,,,,,,,,,,,,
72,2004-01-20 20:55:25+00:00,157.49571753081807,,,112.36700617623268,,,,,,,,,,
73,2004-02-14 20:49:21+00:00,156.14738749914906,,,,,,,,,,,,163.68778932114148,
74,2004-04-25 20:55:33+00:00,,,,,,,,,,,,,,
75,2004-05-27 20:55:34+00:00,,,,,,,,,,,,,,
76,2004-06-05 20:49:20+00:00,186.669655885315,177.48278112974197,178.79091974957436,,,,,,,,,,,
77,2004-07-07 20:49:14+00:00,182.61476326292598,185.25496588411391,183.834381163896,187.12717230758983,195.37315893817612,,,,,,,,,
78,2004-07-23 20:49:09+00:00,169.0587097246539,167.63738209409655,178.033933554718,181.94308668049615,192.70884502929607,184.87758484555394,,,,,,,,
79,2004-08-08 20:49:02+00:00,164.13240620788469,162.89521075305424,172.60470135799756,,,,,,,,,,,
80,2004-08-15 20:55:13+00:00,,,,,,,,,,,,,,
81,2004-08-24 20:49:01+00:00,169.1207799897433,156.39409569553962,167.9181341285445,174.35311446664048,182.83328215622862,165.50786359149805,184.35912275988028,189.1733180721333,193.85777600157874,208.3402795603894,224.86160943784992,,,
82,2004-09-16 20:55:03+00:00,,,,,,,,,,,,,,
83,2004-09-25 20:48:50+00:00,159.35134171950054,153.94585297563913,162.29757971320515,174.76364342353236,183.50305228770299,170.10989537880897,188.7892095958535,200.60293671631632,,,,,,
84,2004-10-11 20:48:47+00:00,157.92699987036337,155.4501959179865,167.58631855515807,169.7485251031676,180.05233899759634,164.87805703017585,180.93143033461905,181.5930010927608,190.0661173081919,,,,,
85,2004-12-14 20:49:25+00:00,,,,,,,,,,142.948957967558,134.39338022093852,161.47463434189697,168.5073684606641,187.90147983352554
86,2005-01-06 20:55:48+00:00,,,,,,,,,,124.28633122538747,128.52814768033747,147.2725048312632,145.5855786191122,149.78250788339201
87,2005-01-15 20:49:38+00:00,,,188.58375332713996,183.42930413066375,142.40056144600817,148.40691815561297,144.68173225596604,163.3261388672372,,144.1041659933395,135.04534748454577,163.84026410074796,168.35615076981543,175.5721375001869
88,2005-01-22 20:55:49+00:00,,,187.3678211894861,,,133.78140744753875,,,,133.413655510658,131.7619484336787,155.16848236602414,156.1232932005532,148.32877665820084
89,2005-03-20 20:49:56+00:00,186.06515371587682,189.81721037765644,183.15672989553684,155.836258741885,155.84143037782854,167.06923576097,,,,,,,,
90,2005-06-08 20:49:44+00:00,225.8511175476049,215.01685912641403,221.08646543997995,,,,,,,,,,,
91,2005-06-15 20:55:51+00:00,,,,,,,,,,,,,,
