dates,nzd0453-0000,nzd0453-0001,nzd0453-0002,nzd0453-0003,nzd0453-0004,nzd0453-0005,nzd0453-0006,nzd0453-0007,nzd0453-0008,nzd0453-0009,nzd0453-0010,nzd0453-0011,nzd0453-0012,nzd0453-0013,nzd0453-0014,nzd0453-0015,nzd0453-0016,nzd0453-0017,nzd0453-0018,nzd0453-0019,nzd0453-0020,nzd0453-0021,nzd0453-0022,nzd0453-0023,nzd0453-0024,nzd0453-0025,nzd0453-0026,nzd0453-0027,satname
2006-12-17 22:16:45+00:00,352.08,362.39,358.34,348.53,328.30,316.08,307.73,309.59,314.31,323.70,336.35,336.64,319.96,311.82,305.45,316.19,346.35,360.30,344.21,325.67,333.97,338.69,318.26,299.78,302.00,304.97,300.85,289.75,L7
2007-01-02 22:16:47+00:00,329.59,356.39,367.34,366.35,350.56,329.65,325.20,322.33,321.88,326.64,338.81,341.59,326.18,323.68,313.10,328.47,351.05,350.64,348.40,331.42,351.11,352.56,331.90,307.45,306.41,295.88,296.52,292.50,L7
2007-02-11 22:21:32+00:00,340.01,339.87,343.66,346.50,344.04,326.22,325.02,318.02,327.45,330.55,339.69,340.07,328.26,327.06,335.22,346.28,343.68,346.88,348.84,336.49,338.77,358.69,339.02,319.32,322.04,327.60,310.24,291.27,L5
2007-02-27 22:21:32+00:00,341.86,345.64,345.17,338.98,332.18,317.69,308.09,306.97,302.54,310.29,336.84,337.38,331.26,331.33,326.16,337.04,349.29,339.43,344.43,329.32,325.98,339.31,338.69,327.45,310.65,245.72,259.80,283.89,L5
2007-04-08 22:17:05+00:00,336.12,336.17,333.88,334.31,349.11,366.73,324.15,311.63,323.10,322.19,322.64,322.32,321.55,331.01,332.77,335.19,325.24,335.28,350.22,353.47,341.21,343.15,336.42,336.06,309.69,212.50,233.30,261.90,L7
2007-05-26 22:16:50+00:00,360.87,370.02,357.85,342.95,346.69,350.74,334.17,340.12,326.48,312.39,312.82,327.08,332.93,327.93,307.39,297.09,314.28,336.94,345.93,350.44,346.23,337.90,314.12,,,213.05,222.85,257.99,L7
2007-07-13 22:16:46+00:00,416.95,399.48,380.10,381.51,363.30,351.40,338.71,329.16,328.54,324.35,325.04,325.03,324.24,332.12,320.67,329.09,334.70,339.45,362.80,361.95,364.11,355.93,325.44,,,220.19,243.23,277.77,L7
2007-08-14 22:16:36+00:00,379.21,372.08,367.04,363.64,356.52,344.45,333.17,337.45,345.92,338.33,330.76,336.16,344.06,342.66,328.65,330.94,338.20,342.32,352.91,346.72,332.53,325.16,324.51,317.97,,215.83,249.79,268.85,L7
2007-09-23 22:19:35+00:00,396.76,359.73,349.65,344.47,336.52,329.41,325.81,314.10,304.77,327.61,327.82,313.43,310.76,315.10,319.94,333.92,355.81,368.53,381.32,365.08,356.22,321.09,309.52,314.66,309.60,228.13,260.75,289.86,L5
2007-10-17 22:16:23+00:00,369.68,357.87,350.94,347.13,339.83,308.71,323.90,329.06,320.26,305.99,291.01,298.63,319.34,330.51,337.29,344.96,337.91,343.12,347.77,348.13,331.90,311.43,303.01,306.54,307.42,302.68,250.49,273.72,L7
