dates,satname,sar2320-0000,sar2320-0001,sar2320-0002
1999-01-08 09:44:46+00:00,L5,,198.52,147.91
1999-01-24 09:44:47+00:00,L5,119.72,182.55,162.38
1999-03-06 09:39:06+00:00,L5,254.11,203.96,218.33
1999-03-13 09:44:46+00:00,L5,,,
1999-03-29 09:44:28+00:00,L5,,215.41,104.06
1999-04-07 09:38:38+00:00,L5,259.00,211.24,216.87
1999-04-14 09:44:27+00:00,L5,,,
1999-04-23 09:38:17+00:00,L5,89.18,203.11,110.06
1999-04-30 09:44:26+00:00,L5,,204.51,98.47
1999-05-25 09:37:45+00:00,L5,330.45,118.65,256.72
1999-06-01 09:43:50+00:00,L5,,,
1999-06-17 09:43:41+00:00,L5,,,
1999-07-03 09:43:32+00:00,L5,,203.39,97.84
1999-07-12 09:37:17+00:00,L5,,212.11,97.40
1999-07-19 09:43:28+00:00,L5,,211.61,98.76
1999-08-05 09:52:28+00:00,L7,246.66,208.56,125.15
1999-08-12 09:58:37+00:00,L7,,215.40,94.38
1999-08-20 09:43:15+00:00,L5,,,
1999-08-21 09:52:49+00:00,L7,246.59,209.26,97.47
1999-08-28 09:58:41+00:00,L7,245.98,200.59,127.73
1999-09-05 09:42:46+00:00,L5,,204.00,107.36
1999-09-13 09:58:35+00:00,L7,246.81,191.78,155.47
1999-09-22 09:52:53+00:00,L7,252.22,205.39,216.56
1999-09-30 09:36:28+00:00,L5,106.48,195.40,147.66
1999-10-07 09:42:21+00:00,L5,240.17,204.12,206.02
1999-10-31 09:58:37+00:00,L7,247.56,197.33,124.72
1999-11-08 09:41:42+00:00,L5,,,
1999-11-09 09:52:28+00:00,L7,,208.45,94.34
1999-11-17 09:35:33+00:00,L5,,205.56,97.33
1999-11-25 09:52:19+00:00,L7,251.27,211.79,212.46
1999-12-02 09:58:32+00:00,L7,269.07,210.13,221.65
1999-12-03 09:34:41+00:00,L5,265.41,203.23,233.89
1999-12-18 09:58:40+00:00,L7,258.76,203.54,216.74
2000-01-03 09:58:33+00:00,L7,261.25,211.51,216.91
2000-01-20 09:34:42+00:00,L5,272.50,205.49,211.86
2000-01-27 09:40:13+00:00,L5,280.83,130.36,220.21
2000-02-13 09:52:17+00:00,L7,252.20,207.35,222.09
2000-02-20 09:58:23+00:00,L7,246.19,208.56,125.00
2000-03-07 09:58:18+00:00,L7,257.58,206.69,217.16
2000-03-16 09:52:31+00:00,L7,116.59,214.88,173.54
2000-03-23 09:58:20+00:00,L7,250.44,196.05,127.12
2000-04-08 09:58:08+00:00,L7,243.65,205.89,125.44
2000-04-24 09:58:03+00:00,L7,99.12,205.22,110.79
2000-05-03 09:52:12+00:00,L7,248.71,191.41,155.62
2000-05-19 09:52:01+00:00,L7,243.74,209.94,98.44
2000-06-03 09:41:49+00:00,L5,,200.11,139.22
2000-06-04 09:51:26+00:00,L7,243.38,207.26,97.14
2000-06-11 09:57:36+00:00,L7,,221.61,89.17
2000-06-12 09:36:15+00:00,L5,,205.81,105.49
2000-06-19 09:42:11+00:00,L5,90.49,203.84,110.18
2000-06-20 09:51:46+00:00,L7,246.17,206.49,124.78
2000-07-05 09:42:32+00:00,L5,,,
2000-07-06 09:51:08+00:00,L7,243.56,207.69,96.75
2000-07-13 09:57:13+00:00,L7,,215.10,95.56
