dates,satname,sar1375-0000,sar1375-0001,sar1375-0002,sar1375-0003,sar1375-0004,sar1375-0005,sar1375-0006
1999-10-31 09:59:25+00:00,L7,176.47,154.39,148.30,142.23,139.05,144.28,151.36
1999-11-08 09:42:30+00:00,L5,,127.87,118.66,117.12,122.45,124.08,
1999-11-16 09:59:25+00:00,L7,180.21,155.16,151.62,141.17,139.01,144.11,148.83
1999-12-18 09:59:28+00:00,L7,178.31,148.03,137.20,140.18,127.01,131.25,133.83
1999-12-26 09:41:37+00:00,L5,,130.55,117.54,115.53,105.34,108.70,113.22
2000-01-03 09:59:21+00:00,L7,,156.29,155.95,139.95,142.81,147.47,160.59
2000-01-11 09:41:31+00:00,L5,186.09,155.08,145.46,132.56,132.25,139.85,140.54
2000-01-19 09:59:18+00:00,L7,152.52,140.96,124.28,118.90,119.54,118.41,120.55
2000-02-04 09:59:18+00:00,L7,177.46,146.21,136.80,134.87,128.63,136.03,138.42
2000-02-20 09:59:11+00:00,L7,157.02,139.93,126.41,122.92,124.49,119.87,110.23
2000-03-07 09:59:06+00:00,L7,,167.39,172.42,165.68,162.00,161.67,177.64
2000-04-24 09:58:51+00:00,L7,,131.53,127.67,128.34,128.31,133.13,136.50
2000-05-18 09:42:19+00:00,L5,184.72,151.08,161.75,160.86,157.95,155.01,157.04
2000-06-19 09:42:59+00:00,L5,202.68,174.27,177.17,173.45,175.10,170.48,171.42
2000-06-27 09:58:13+00:00,L7,,138.67,135.01,134.54,137.50,134.59,146.93
2000-07-13 09:58:00+00:00,L7,,129.82,125.42,127.45,123.39,125.63,129.96
2000-08-14 09:57:37+00:00,L7,176.85,149.46,149.91,141.50,144.50,145.21,152.23
2000-08-30 09:57:26+00:00,L7,186.59,156.85,157.04,149.43,147.38,149.05,157.20
2000-09-15 09:57:07+00:00,L7,,161.02,169.01,157.58,159.90,162.52,167.27
2000-11-02 09:56:53+00:00,L7,186.34,155.61,152.08,142.42,147.74,,
2000-11-18 09:56:51+00:00,L7,,141.90,125.39,122.09,104.31,66.42,
2000-12-20 09:56:57+00:00,L7,,160.18,169.12,154.03,143.24,162.35,165.47
2000-12-28 09:46:14+00:00,L5,,131.49,,71.60,87.49,91.98,
2001-02-06 09:56:56+00:00,L7,182.40,153.70,143.68,149.40,140.42,142.45,150.73
2001-03-18 09:46:41+00:00,L5,173.29,146.86,132.48,140.15,140.31,128.06,132.52
2001-05-13 09:56:27+00:00,L7,178.85,148.19,151.05,146.80,151.98,148.34,154.93
2001-05-29 09:56:18+00:00,L7,,156.80,171.69,164.62,156.64,157.45,169.69
2001-06-06 09:46:54+00:00,L5,169.06,151.08,155.79,146.47,148.57,148.39,157.70
2001-06-14 09:56:07+00:00,L7,176.06,149.28,149.43,143.10,145.23,146.11,157.75
2001-06-30 09:55:52+00:00,L7,170.69,143.01,144.73,134.82,143.78,138.21,146.91
2001-07-08 09:46:56+00:00,L5,,133.55,130.20,127.31,119.09,135.66,130.13
2001-08-01 09:55:40+00:00,L7,183.01,159.12,170.05,159.44,159.89,157.21,166.63
2001-08-09 09:46:50+00:00,L5,,155.75,158.61,144.65,155.35,164.38,155.25
2001-08-17 09:55:21+00:00,L7,180.61,154.70,152.00,139.75,143.80,146.52,151.50
2001-08-25 09:46:46+00:00,L5,193.58,165.39,171.21,165.81,159.74,165.98,175.88
2001-09-10 09:46:41+00:00,L5,154.37,137.51,121.89,123.51,121.06,122.78,118.62
2001-09-18 09:54:59+00:00,L7,,139.07,126.72,128.62,123.89,133.40,132.03
2001-10-04 09:54:47+00:00,L7,180.71,156.99,158.00,147.43,148.41,144.10,152.57
2001-11-05 09:54:55+00:00,L7,185.16,155.30,150.42,145.93,141.42,144.73,145.32
2001-12-07 09:55:05+00:00,L7,170.93,142.36,136.56,135.12,124.26,132.12,130.56
2001-12-15 09:45:59+00:00,L5,184.35,150.74,132.04,133.54,118.24,128.42,124.62
2002-01-08 09:55:16+00:00,L7,,159.90,173.11,154.58,146.32,156.47,169.53
2002-02-17 09:44:59+00:00,L5,,152.42,145.84,147.23,134.48,141.93,146.51
2002-03-21 09:44:35+00:00,L5,168.59,140.69,129.94,132.04,131.40,120.53,120.78
2002-04-14 09:55:20+00:00,L7,,138.20,134.24,128.88,128.16,128.72,130.18
2002-04-30 09:55:22+00:00,L7,183.15,148.57,147.42,136.48,150.59,146.10,147.85
2002-05-24 09:43:15+00:00,L5,,118.13,107.42,109.98,127.01,123.82,
2002-06-01 09:55:09+00:00,L7,197.29,166.36,169.75,164.57,160.12,162.83,172.12
2002-06-17 09:55:02+00:00,L7,,159.26,173.01,159.16,162.15,156.86,163.48
2002-07-03 09:54:58+00:00,L7,,143.16,141.80,127.05,139.38,137.18,147.23
2002-07-19 09:54:50+00:00,L7,,137.30,139.57,126.31,140.16,136.00,142.63
2002-08-04 09:54:43+00:00,L7,172.36,153.21,147.42,137.28,142.33,140.85,145.45
2002-08-20 09:54:40+00:00,L7,187.94,159.08,169.09,155.23,157.57,153.00,161.36
2002-09-05 09:54:31+00:00,L7,,138.38,138.35,139.94,132.00,135.88,140.91
2002-10-07 09:54:14+00:00,L7,154.12,141.10,132.53,130.43,125.70,131.76,133.06
2002-10-23 09:54:19+00:00,L7,156.21,139.70,134.37,132.58,125.82,131.22,134.59
2003-01-27 09:55:01+00:00,L7,,135.55,130.16,131.20,120.63,128.29,126.43
2003-02-12 09:55:12+00:00,L7,179.00,156.78,147.68,139.25,142.95,147.96,154.20
2003-03-16 09:55:15+00:00,L7,175.69,147.21,147.58,138.85,140.96,139.83,150.10
2003-04-01 09:55:15+00:00,L7,182.89,156.02,157.32,152.57,154.85,152.34,155.90
2003-05-19 09:55:12+00:00,L7,178.01,155.02,157.72,151.75,145.19,150.96,156.52
