,dates,usa_CA_0298-0000,usa_CA_0298-0001,usa_CA_0298-0002,usa_CA_0298-0003,usa_CA_0298-0004,usa_CA_0298-0005,usa_CA_0298-0006,usa_CA_0298-0007,usa_CA_0298-0008,usa_CA_0298-0009,usa_CA_0298-0010,usa_CA_0298-0011,usa_CA_0298-0012,usa_CA_0298-0013,usa_CA_0298-0014,usa_CA_0298-0015,usa_CA_0298-0016,usa_CA_0298-0017,usa_CA_0298-0018,usa_CA_0298-0019,usa_CA_0298-0020,usa_CA_0298-0021,usa_CA_0298-0022
239,2010-04-22 18:48:06+00:00,223.25828626854647,236.015852579009,258.62807300949544,254.64510212257497,239.65089744008785,227.73081044680475,225.98296520642063,216.24961613543496,196.4120262189195,194.22678503424214,203.96141980589738,207.01893859355994,211.7544283574416,235.61744778524508,236.72196073847772,242.39515157190652,262.9291235566907,274.10375822269384,277.71689745542096,267.62703483107316,255.69733036970624,256.425535435542,255.82249366738307
240,2010-04-30 18:49:25+00:00,220.83851102551853,231.17431426317998,266.1197832921543,268.9192364414166,251.3706815429561,225.97665193148387,206.873294748228,195.42368164103212,201.65523614345227,196.4312028346862,200.79463220160395,209.48287652358164,215.093106164019,236.12038403853737,253.45134568065285,264.7054199578594,266.1751694147599,264.36556758474967,272.5521938472714,271.5827324918039,259.7659141214116,257.16608536539167,266.8558217763452
241,2010-05-08 18:48:03+00:00,233.8275599813398,251.66277261636446,277.2723386168137,276.43790735459754,258.628686392698,230.26620238086025,226.6110994388124,217.5256497545596,231.37130518147387,210.58481569379154,215.588752402067,219.2911156793487,228.149879572415,248.09150871405592,246.002110619305,246.85015185724714,269.43805908488713,288.62796856325133,284.66809568099467,281.2607198527206,276.5096036342419,283.48616869900366,279.66725601171504
242,2010-06-01 18:49:22+00:00,212.8917571527784,233.98689246337855,258.5844390039814,241.29221451734088,228.41980102217914,,,,,,,194.37372113365933,212.01352331753725,241.77879246936033,,238.57447374646688,240.19178097453693,,279.33065958798335,278.8381995158221,259.405464354952,263.1009638855338,254.8586126478191
243,2010-06-17 18:49:23+00:00,240.22805310931545,251.8674371286553,290.3744298189757,255.02804837715155,261.1121734774882,257.33743624539494,251.94913155053314,236.63700094664955,224.31475626417375,226.9808397486417,222.16448506022334,221.18765601408757,242.2977573498681,254.03203253113992,262.13162032829086,270.0043653552258,267.803596711493,264.4927487518319,288.2902475233167,287.59233663929786,288.89965943418815,284.3052786531136,279.7089421160108
244,2010-07-03 18:49:26+00:00,237.13895156198095,274.9162523164172,280.3381842107653,265.7613212193914,260.4537552859035,253.35789716160585,243.0601514578823,237.6931645877448,226.58990835536719,,222.80423583867568,230.25649759902967,247.2540652891051,252.61987035810614,,268.0658083441339,259.8495716292724,279.2782184019869,289.50323108739286,297.38105639443006,293.89110038815335,285.24286514363945,270.91682496356884
245,2010-09-05 18:49:31+00:00,240.09388157956613,261.59449856095256,265.1690244845699,251.90368478699705,230.26722048134616,215.44845367000806,210.4162546702951,220.81264805050324,223.8412136327551,214.94059238233297,219.2654076565808,238.14657084457485,271.7850882826094,278.06700213709536,277.28916704365616,274.16004165285,266.41068844336576,258.9689930890842,250.2611810564763,257.52396038675147,246.96242091736946,241.85688322943597,232.66581436596826
246,2010-09-29 18:47:20+00:00,206.15237803790615,220.73951283042726,236.5004980630317,240.2942074741605,225.60678672232805,209.96846682909123,200.01563601251627,198.03100283860138,211.83044219519917,204.46545599357626,203.48945892216182,205.24737195669422,210.52391040047542,222.52905714657865,239.5834369013949,245.1932882920703,241.92643601990534,235.0658708024876,227.46577701017713,225.9171944492971,217.18400624106778,200.5771016935283,201.68390493251252
247,2010-11-08 18:49:52+00:00,179.54539330711725,198.44771610523844,224.1030342592032,237.41848949543657,226.7317929611879,202.33340874531743,202.76187659886125,195.12765999787752,174.6161664860344,163.07741617738162,172.26834439957685,174.70617490708574,187.20579092524693,211.84995910913656,228.46932363985124,236.0630058493448,238.03613691598127,225.7072699883108,237.2544822710302,216.57952353564514,205.39705136470394,204.6609608817061,211.9207297629478
248,2010-11-16 18:47:02+00:00,202.71159379491462,220.81706603709335,248.34985850161075,244.7555855489143,238.46971283787144,224.23609442014197,217.31138136419864,213.2538721026695,190.11878048657866,182.70042030678516,179.7723000888815,186.42540912003705,212.5794697139028,237.61973911201042,249.80196261778954,252.87377849463024,240.26602242556152,236.67097553095556,230.3364321669106,221.59882637776965,199.4915478587361,210.50253042348007,207.05899664477948
