dates,satname,sar1299-0000
2000-08-07 09:51:26+00:00,L7,180.73
2000-08-23 09:51:20+00:00,L7,183.19
2000-09-16 09:38:35+00:00,L5,
2000-10-10 09:50:42+00:00,L7,185.68
2000-10-26 09:50:39+00:00,L7,173.48
2000-11-11 09:50:41+00:00,L7,174.84
2000-12-05 09:39:36+00:00,L5,
2000-12-13 09:50:44+00:00,L7,
2000-12-21 09:39:58+00:00,L5,
2001-01-30 09:50:51+00:00,L7,174.23
2001-02-07 09:40:22+00:00,L5,
2001-02-15 09:50:46+00:00,L7,186.20
2001-02-23 09:40:26+00:00,L5,
2001-03-11 09:40:27+00:00,L5,
2001-03-19 09:50:34+00:00,L7,193.29
2001-05-22 09:50:12+00:00,L7,181.64
2001-06-07 09:49:59+00:00,L7,185.40
2001-06-15 09:40:41+00:00,L5,
2001-06-23 09:49:46+00:00,L7,187.71
2001-07-25 09:49:36+00:00,L7,187.25
2001-08-02 09:40:41+00:00,L5,
2001-08-10 09:49:18+00:00,L7,184.56
2001-08-18 09:40:39+00:00,L5,
2001-08-26 09:49:07+00:00,L7,185.19
2001-09-03 09:40:31+00:00,L5,
2001-09-11 09:48:55+00:00,L7,186.79
2001-09-27 09:48:46+00:00,L7,175.81
2001-10-13 09:48:31+00:00,L7,182.90
2001-10-29 09:48:38+00:00,L7,183.52
2001-11-14 09:48:50+00:00,L7,176.26
2001-12-16 09:49:01+00:00,L7,165.18
2002-01-17 09:49:08+00:00,L7,173.48
2002-01-25 09:39:18+00:00,L5,
2002-02-02 09:49:11+00:00,L7,168.00
2002-02-26 09:38:39+00:00,L5,
2002-03-06 09:49:16+00:00,L7,182.58
2002-03-14 09:38:26+00:00,L5,
2002-03-22 09:49:08+00:00,L7,182.48
2002-04-07 09:49:09+00:00,L7,178.54
2002-05-09 09:49:10+00:00,L7,178.98
2002-05-17 09:37:13+00:00,L5,
2002-05-25 09:49:00+00:00,L7,185.16
2002-06-10 09:48:54+00:00,L7,181.91
2002-06-18 09:36:28+00:00,L5,
2002-06-26 09:48:46+00:00,L7,180.87
2002-07-28 09:48:36+00:00,L7,180.40
2002-08-13 09:48:31+00:00,L7,179.38
2002-09-30 09:48:05+00:00,L7,173.47
2002-12-19 09:48:38+00:00,L7,161.21
2003-01-04 09:48:41+00:00,L7,162.03
2003-02-05 09:48:58+00:00,L7,173.51
2003-03-25 09:48:59+00:00,L7,185.06
2003-05-28 09:49:03+00:00,L7,183.00
2003-07-07 09:36:38+00:00,L5,
2003-08-08 09:37:12+00:00,L5,
2003-08-24 09:37:29+00:00,L5,
2003-09-01 09:48:41+00:00,L7,188.47
2003-09-09 09:37:46+00:00,L5,
2003-09-25 09:38:00+00:00,L5,
2003-10-11 09:38:11+00:00,L5,
2003-11-04 09:48:44+00:00,L7,173.46
2003-11-20 09:49:00+00:00,L7,166.77
2003-12-06 09:49:03+00:00,L7,173.48
2004-01-15 09:39:07+00:00,L5,
2004-02-08 09:49:27+00:00,L7,175.70
2004-03-03 09:39:21+00:00,L5,
2004-03-27 09:49:38+00:00,L7,186.64
2004-05-14 09:49:32+00:00,L7,188.59
2004-06-07 09:41:34+00:00,L5,
2004-06-23 09:42:01+00:00,L5,
2004-07-17 09:49:19+00:00,L7,180.15
2004-08-02 09:49:10+00:00,L7,187.20
2004-08-10 09:43:13+00:00,L5,
2004-08-26 09:43:40+00:00,L5,
2004-10-05 09:48:54+00:00,L7,186.11
2004-10-21 09:49:04+00:00,L7,181.56
2004-11-06 09:49:16+00:00,L7,173.49
2004-11-22 09:49:22+00:00,L7,174.24
2004-12-24 09:49:38+00:00,L7,171.56
2005-01-01 09:46:18+00:00,L5,
2005-01-17 09:46:29+00:00,L5,
2005-03-14 09:50:03+00:00,L7,185.76
2005-03-30 09:50:01+00:00,L7,182.74
2005-05-01 09:49:56+00:00,L7,192.00
2005-06-10 09:47:52+00:00,L5,
2005-06-26 09:47:57+00:00,L5,
2005-07-12 09:48:04+00:00,L5,
2005-08-13 09:48:23+00:00,L5,
2005-08-29 09:48:27+00:00,L5,
2005-09-30 09:48:26+00:00,L5,
2005-10-08 09:49:22+00:00,L7,186.92
2005-11-01 09:48:26+00:00,L5,
2005-11-09 09:49:47+00:00,L7,
2006-01-12 09:50:12+00:00,L7,
2006-05-12 09:52:25+00:00,L5,
2006-05-28 09:52:37+00:00,L5,
2006-06-13 09:52:54+00:00,L5,
2006-07-07 09:50:12+00:00,L7,182.18
2006-07-23 09:50:04+00:00,L7,185.20
2006-07-31 09:53:36+00:00,L5,
2006-08-08 09:50:02+00:00,L7,188.48
2006-09-01 09:53:58+00:00,L5,
2006-09-17 09:54:10+00:00,L5,
2006-10-27 09:50:02+00:00,L7,180.48
2006-11-12 09:50:15+00:00,L7,174.42
2006-11-28 09:50:25+00:00,L7,173.47
2006-12-30 09:50:34+00:00,L7,
2007-01-07 09:55:10+00:00,L5,
2007-01-15 09:50:34+00:00,L7,
2007-02-08 09:55:20+00:00,L5,
2007-02-24 09:55:21+00:00,L5,
2007-03-04 09:50:51+00:00,L7,185.20
2007-05-15 09:54:52+00:00,L5,
2007-05-31 09:54:39+00:00,L5,
2007-07-18 09:54:00+00:00,L5,
2007-08-27 09:50:18+00:00,L7,179.10
2007-09-12 09:50:10+00:00,L7,
2007-09-20 09:53:24+00:00,L5,
2008-03-14 09:50:24+00:00,L5,
2008-04-15 09:49:39+00:00,L5,
2008-04-23 09:50:27+00:00,L7,188.47
2008-07-04 09:47:30+00:00,L5,
2008-08-13 09:49:31+00:00,L7,188.39
