,dates,chi0111-0000,chi0111-0001,chi0111-0002,chi0111-0003,chi0111-0004,chi0111-0005,chi0111-0006,chi0111-0007,chi0111-0008,chi0111-0009,chi0111-0010,chi0111-0011,chi0111-0012,chi0111-0013,chi0111-0014
71,1992-01-20 14:01:19+00:00,227.54021608432407,185.86702385699454,177.66737450308264,167.52604559856664,168.6711436864174,170.78571472415945,171.53842241190233,161.1781269010194,155.31925513649836,147.15076576601592,145.79870793394085,161.78009661239182,156.81586159950274,143.1007330393149,215.9162073233502
72,1992-01-27 14:07:33+00:00,239.92030029878276,178.38404395577584,176.78503931750643,177.5606688015733,178.69882543318616,176.03564676951459,173.7756941104256,169.3737744959949,151.57159335739243,144.88309050474976,135.32384934661107,156.5161102989621,129.9092425178003,132.39317007891663,207.8665492916718
73,1992-02-05 14:01:17+00:00,227.9295275281907,177.84628664100677,171.95546975532727,162.41710335346147,163.88684908231582,172.2450329273774,169.26107778919013,161.7912712726912,151.3422986821579,149.32963605488098,137.3758921720669,156.71198306231042,,,
74,1992-02-12 14:07:22+00:00,215.0964257760097,194.86195217443623,186.27768287113025,184.00867773359226,186.872276028805,181.02059878316535,178.58051540314202,172.37023904547473,148.35025974686351,142.30572587335385,140.2392085478947,160.5323427596036,140.42288455864974,133.0826761135148,193.74582200428824
75,1992-03-31 14:07:18+00:00,227.63243634180424,184.4912950207678,180.5876359761808,176.44207198859218,183.37470869604223,189.40865391173392,180.94973943000926,178.2135303215362,163.5294255020216,156.57268215453408,151.60142085716754,164.07819594879683,149.10708409794375,132.22750246998962,130.59015431616814
76,1992-04-16 14:07:12+00:00,229.38779368051215,187.7467710642095,183.52442981421243,,,,,181.76830975153698,162.92738594396957,162.04121752407085,148.0576443391179,160.00566678088742,150.0749911669679,133.70399547777765,129.3326988126517
77,1992-04-25 14:00:54+00:00,229.3227593848906,182.6718173434889,177.9552508924665,176.53593060499094,173.99772317101184,178.83125976381598,170.86660998093384,166.14157647256653,153.957511027292,149.4429424573518,140.2985150634325,157.0330600096761,142.2588955775094,125.16971525541125,130.39090183226773
78,1992-05-02 14:07:02+00:00,233.86843148160477,193.07482936257773,185.78597431240595,184.41515367746172,181.3652762785229,184.9531629212971,179.2652047574905,180.3050478830495,166.7764639008637,156.48977163260992,152.5046480734385,167.71688643200903,151.3377163158795,134.8272936607566,136.3835799714995
79,1992-06-12 14:00:28+00:00,242.80614104538202,184.41164477809497,176.01507178826463,170.90913393791624,178.37084381832676,182.78131398794335,173.91725928910262,174.55093120489636,165.10300343602114,160.01003522551963,138.9392067029835,164.41561537120998,148.96176538916447,132.05017463051746,130.29502321907984
80,1992-07-14 14:00:04+00:00,229.60819754996854,183.71478487250081,178.42721071541575,172.96073366459157,179.31773935994144,182.80257383498267,179.69893317147142,166.453612488128,157.35285253118,155.49006602607605,144.05810821553695,162.73112891684767,153.0417862934834,144.34070298103939,141.9022215814689
81,1992-08-22 14:05:40+00:00,219.21606994894296,176.53689670239336,171.5489179697459,170.93404018038933,175.51776428925456,176.8648125705706,170.58922901155339,165.5894792532916,154.2688881810909,150.8255070073187,144.51708047508336,159.42210591217028,144.2882629774868,129.53328220149527,124.89608040070814
82,1992-09-16 13:59:08+00:00,227.1862575357025,182.17445123421328,171.44678062994237,166.42831731019643,172.79806216488143,175.01120563628086,172.87609910514368,164.0172973641946,151.74785208575958,147.21405396728244,141.44444157747034,,,,
83,1992-10-18 13:58:32+00:00,240.47521724758843,180.3037116852431,176.4760102815799,162.8534207704938,169.80714613823298,169.78437421347462,168.66909131788745,164.04498528892742,,,,,,,
84,1992-11-03 13:58:19+00:00,224.74695202283422,174.87451104869714,167.47181339967378,161.18292571715966,168.00367617499202,169.1826404875888,169.1161509980717,160.50861670737328,146.69612533881394,140.7788846439383,137.23438220583057,159.74569647166632,,,
85,1992-11-10 14:04:19+00:00,220.7720852111833,179.80240917480327,172.68243103658176,168.10717728169746,171.52678238335642,175.98335758201554,173.5947068701697,169.9169527268337,157.04249654336735,156.41337086519803,155.52043633611154,172.94436991894176,152.7179829061592,176.71545966051934,196.5678770253663
86,1992-11-26 14:04:17+00:00,227.61088481271074,180.42879353328843,169.40572514422718,170.348125571057,173.94617074003372,174.627572772985,176.22283190098437,171.73817409880434,163.58942345111726,146.08572784944207,142.8950619949796,159.54501869872755,150.65639428767545,190.37165148461563,202.15157489145994
87,1992-12-05 13:58:15+00:00,226.4195466977918,175.24216738553395,166.1918823732511,161.7449573009043,164.5993395278568,165.83516241752622,166.65692415574378,160.92955129876248,148.49671107730708,140.63047873195384,136.5640973829629,153.2811932489733,139.47349350686181,176.3966259328482,196.31902738099578
88,1992-12-12 14:04:31+00:00,227.9328052050648,175.88453776192895,170.39069120039764,164.58808217831307,172.18331589412477,171.27254801675616,173.9317354065845,171.00763112395774,153.18224259331464,153.08621182316728,145.37414424246882,165.92067281024353,145.1199753224244,173.93030896887626,193.65603972496052
89,1992-12-21 13:58:25+00:00,222.235080525708,171.8255430109194,161.52766209775464,163.03334278585868,163.54315222609114,168.58934676790548,171.0861373376854,161.85576174849209,150.64069316068216,144.81937825907423,140.21105145165,,,,
90,1993-01-06 13:58:35+00:00,226.891047633926,176.6436454894606,171.35318479925957,174.16128019780933,171.5718010938804,167.3790560620911,168.7295167314332,164.1952740491916,146.3777577485715,147.9549460636713,141.37018063866657,160.01568334262902,,,
91,1993-01-22 13:58:47+00:00,229.15465617373795,179.07062359473008,171.86161344085065,165.13152132159755,169.98768954846437,171.50831999091562,172.82280683293558,165.41797914815834,158.8012612908301,149.8625763251764,143.56004572852112,164.85129650929355,,,
92,1993-02-07 13:58:58+00:00,237.49614637966872,186.17247673087454,169.58673355153118,160.04770670045988,159.51604562829485,164.54024923959366,168.9224656530506,165.42726829862372,153.36917277179435,148.75349353749263,142.1912458695907,157.0794988045683,,,
93,1993-03-11 13:59:13+00:00,229.691967487655,185.92592073015052,173.66682541911428,167.86503088046388,168.11943250126197,173.25520249747177,171.30424158078384,170.0435653554002,163.34356837555643,151.7938596383766,145.86815576146589,160.8146683536316,154.49645834658284,142.3000950166521,140.87206663232956
94,1993-03-27 13:59:14+00:00,230.3246475070512,177.671419268729,164.65356780582633,163.01742687165995,171.1007353839918,169.26461112622673,169.0728355296053,161.97224505324678,148.36842359583608,147.80268911613675,,,,,
95,1993-04-19 14:05:37+00:00,215.62657236366772,185.07976501638998,186.9129190975789,181.41128292921013,186.21813401862252,187.20902426093159,175.21885993724712,169.22888116260188,153.37344096029113,153.234757560476,140.35858702832607,164.4696256472606,150.0485472299212,132.60427683886562,130.15569232012228
96,1993-05-30 13:59:36+00:00,231.35810868573105,181.40138500933884,173.56364493348093,166.3272533570244,172.37695122259188,175.5260319719489,169.61910570538964,166.41738497976417,151.26423427398163,147.1215971049188,133.21697557034636,155.49386645965274,135.22440745680336,119.03677293520472,123.5638103834284
97,1993-07-17 13:59:27+00:00,243.81087569830083,187.09548893440862,179.08432736110913,176.8278024334646,178.65728055404202,176.21047329633993,171.08796086036483,164.16555859509467,160.03873261823185,150.74912682592733,144.4488419709087,161.91834665947403,143.69441761375435,128.04988874712348,134.0270441800398
98,1993-08-02 13:59:26+00:00,224.75414896638995,194.4212734919906,178.1191263555021,168.73717153837666,168.4766518901035,173.75887521173837,171.8941593112394,163.83709368448947,153.2275577480584,153.34520659696832,143.1773092985753,164.72610117252756,152.91059034199216,140.65227714834762,145.96587256985356
99,1993-09-26 14:05:32+00:00,227.12100813114827,187.75625023921094,182.0458547604253,174.29357893062803,178.99563603764832,180.91143869695807,180.95021359181328,170.98066243289648,157.63894897578714,154.22142569566827,150.468801298548,167.71629248476125,139.71132396291796,,211.70411883085944
100,1993-10-12 14:05:27+00:00,221.42304211560355,185.51523578109212,175.66515310380507,171.69838172937054,168.9268636002802,168.08233371362928,166.99387941049298,160.52865023572542,149.45782362096136,148.80102813848347,143.35424964895537,165.7472331570487,137.34725214572393,,195.6128475392615
101,1993-10-28 14:05:21+00:00,220.26118204722664,181.30450983318312,174.11062475873436,171.43328033429356,177.36406944020183,175.92292261530275,178.88159056046268,172.14374766161586,157.56338700250564,158.5225697362223,152.68225402979203,165.11219802027506,142.03046640000645,178.40589391533615,196.52516055603567
102,1993-11-29 14:05:08+00:00,230.22723670359485,178.79656861420045,170.931367177067,169.17917004862605,171.58861793125382,176.80973355138113,175.01077435125163,171.1356433957993,153.9840631847514,156.7014591907655,147.66616989103784,158.20609018645246,144.51721794039892,187.56753750026334,198.26410743782102
103,1993-12-24 13:58:46+00:00,233.9290751534167,185.24302899886155,164.0932171440829,160.08294561265706,161.2334223080252,166.46204970463927,168.61112061422313,164.93051966874472,151.88048023374046,144.3239888849484,142.58006774434452,154.28411990252565,141.60557754045115,163.04063826016926,209.1528901540749
