,dates,jap0025-0000,jap0025-0001,jap0025-0002,jap0025-0003,jap0025-0004,jap0025-0005,jap0025-0006,jap0025-0007,jap0025-0008,jap0025-0009,jap0025-0010,jap0025-0011,jap0025-0012,jap0025-0013,jap0025-0014,jap0025-0015,jap0025-0016,jap0025-0017,jap0025-0018,jap0025-0019,jap0025-0020,jap0025-0021,jap0025-0022,jap0025-0023,jap0025-0024,jap0025-0025,jap0025-0026,jap0025-0027,jap0025-0028,jap0025-0029,jap0025-0030,jap0025-0031,jap0025-0032,jap0025-0033
274,2016-04-20 01:01:01+00:00,184.95304291786306,189.46387592042922,192.46087357738654,183.27021348457208,173.19690056992837,176.20162047560405,182.54489463068356,186.1104874165475,192.57482644908555,162.7380041699636,,,,150.203791213745,155.70311487862514,,149.9533626455329,,,171.26867993445487,169.84914758928352,168.53785110356708,,,168.56632089433012,163.21489328049358,164.4539324656091,,172.7393883640373,162.1597855890482,174.93134625830706,188.28227680180967,195.80393603920814,184.01795379454876
275,2016-05-06 01:01:04+00:00,193.188940995862,195.52322922444313,195.10916909783592,182.44355753759044,174.12710617574479,174.08215848142888,183.30001462646027,184.75275282795283,183.61565593859095,159.46021724532602,,,,,154.578369350729,,,,,171.72531129357463,174.88768428792602,171.4239488865769,,,166.05160557428343,158.65646112935167,161.18197099017823,,168.71573082915685,160.1261988710217,171.4673415717582,186.29290751136094,197.26990663375892,183.3237023146921
276,2016-05-15 00:54:50+00:00,188.49907180051835,192.84738395227632,196.13764874096205,193.23548206691763,183.6992361449444,179.3288797706533,189.90421757148044,184.12634699277794,187.46879403404117,158.42631924895687,,,,152.08537897240578,159.05565156944266,,,,153.9633932633334,158.52338849665298,166.19237960315743,170.3066625719975,,,172.3607046965665,161.87984883947902,164.4616718250432,,174.5827962762685,168.2468861777283,,194.74593452527333,202.22761782439187,193.33814314949709
277,2016-05-22 01:01:05+00:00,177.7501565128408,,188.99922449546662,183.6886026957326,168.0692059087409,167.63651067865604,172.81836239187592,174.4864845774788,172.63583232904813,151.87435391242633,,143.18651721624735,,143.69088087852452,148.56710848808902,143.7004055175017,,,,152.8448866547512,160.03500825585823,162.41703105500878,,,166.4625377586576,159.48201234209014,,,166.89783755193952,159.46886277494912,173.27118118007965,186.5719017455021,191.19412752882891,188.09614675217662
278,2016-06-23 01:01:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2016-09-04 00:55:29+00:00,174.74852017598235,173.94863449705818,177.34205268465777,173.90562790530277,163.01329259662128,169.83340746729715,183.15923770968854,179.84852013283611,183.29455382938252,162.7087220391927,,,,,,,,,149.60887718678725,147.00567975751338,152.36920008331882,147.85469467745185,,160.33205896730797,160.64964680390446,153.79281665257915,,153.32040253719887,157.75829067364006,163.91840473514245,214.55398266534334,,200.38711083726687,182.74553769907553
280,2016-09-11 01:01:42+00:00,175.59150965266588,178.66153725645896,187.40038676382417,181.84147416821898,176.64388556268455,177.29543758629396,185.98807371731715,182.32937311684773,172.24202279304072,151.95490813675565,,,,,,,,,152.93418201643095,153.02090161116422,160.40756715316928,,,174.0401297237198,169.18144430146387,158.48984203681286,,,163.86140282462716,161.74119039577576,,188.91768212463458,192.49076342778997,201.30724833724437
281,2016-09-20 00:55:32+00:00,151.02865716942347,150.00558101342054,151.79873413490003,146.2262166454616,138.21379847521993,148.32869071550365,153.7311923641086,,,110.61721096537211,105.70888801549064,,,,,97.95591171079425,107.18001384863159,,,125.70377906041718,133.86558522477728,,,126.19829083524026,131.1888617717333,115.77956617521853,,110.54719944065559,,119.64713320505349,,142.6312647348235,149.9471753702197,
282,2016-10-22 00:55:38+00:00,185.77567462771975,181.4836080585832,185.49171608587844,170.57127417583726,167.51432245468766,167.1606573409504,180.17681565708708,175.78690070749846,169.507371173341,151.3622485949983,,,,,,128.1724157408638,131.87706725678194,,,149.2902288598653,155.11077593303634,152.09954617188117,,154.58081116969944,158.31897574456522,142.87496066934435,,,150.56548349807,142.8888954607087,156.30324932068658,170.01851365522725,177.3451640796005,166.3093349123513
283,2016-11-14 01:01:48+00:00,186.98657168977584,,195.100292777463,188.24386486612394,174.33811654864252,176.19569279714023,,179.3935901649738,175.9759668822548,153.30800758816878,,,,145.69749515145998,143.20740551486045,,,,154.67807961036846,156.80896627078369,161.34215426115745,,171.8034006927988,167.19346932170492,162.00075356384949,148.41527611345248,144.74387190876044,,152.6241808313005,145.58669367272407,158.28239054011527,170.4244440930849,177.2385032977982,167.49557332185867
284,2016-11-23 00:55:38+00:00,197.90775450063052,186.24659174197419,190.59037222282677,188.03662752747107,179.29840389864273,174.48801571536717,184.8262992074479,173.0676277689465,170.63871729111207,154.09809154734754,151.17609571163666,147.12847006311236,,,,,,,133.75872557618266,,,151.50376112190432,,157.1505954333103,155.01657784124453,138.5031201541716,,138.554420418514,140.11676424022755,140.82239108684627,154.78099681618878,,171.12640780807487,159.1304918083842
285,2017-04-16 00:54:44+00:00,192.69432741625053,,192.51297636056668,188.35054724705722,182.86531478613978,189.3269922766876,195.13222833685776,187.60912258915212,181.02370342040618,155.82529550753537,,,,146.59642185603764,144.86432572132773,,,,,,158.94785170213433,,,170.28449219943326,165.20248265198003,149.26721419514652,,150.38953491170753,154.30645609370862,149.73292107857264,162.56637614400844,173.642480185778,181.59578741437832,170.3716410873697
286,2017-05-09 01:00:49+00:00,188.89807534303208,,192.39932225012677,188.35179236536246,177.86759966521964,182.16427032363995,190.9334058321054,188.22265095781435,183.73702606866493,176.13884714275284,,,,,154.10825562909721,,,,,166.48275872802364,167.97794708339373,162.40933412148155,,,176.91789236220453,162.40772024933793,,,165.834386219996,159.78514123484595,174.01097746014605,187.47276339632165,186.6072608736284,181.61739858546306
287,2017-05-18 00:54:45+00:00,189.8893517497211,,192.2142884580942,191.60380639277318,182.03701404930771,184.96578940790153,194.8286678482201,190.84020464386327,188.78056160916012,175.47250767028257,168.48559146578813,,,,161.84914322686652,,,175.04148341712707,,168.1804657155523,172.11311911482028,167.6137639349744,,185.76677746392818,183.86118771691324,169.1254658534014,161.45821055865835,,172.71818290178115,166.88066064817767,178.25696314988178,189.323928037929,195.3421631870161,184.37735755272288
288,2017-06-10 01:01:09+00:00,171.81259776682867,173.86893073824083,178.4568600491865,172.50569609596985,169.41239138103427,168.10490076416093,174.8964495812736,178.6832082671891,173.62595891816594,155.3527224763572,,,,147.2440795854093,158.78627128668418,,,149.9559567782322,147.49950642298427,151.81365002558596,153.52396082892167,151.63377880850766,164.31693350940563,169.01111955157293,164.38754856492153,146.62822568266643,,148.40974395822403,151.96392866402826,145.54914479497702,157.3706130860857,166.78575852008353,173.31112497864098,179.93373530250557
