,dates,per0242-0000,per0242-0001,per0242-0002,per0242-0003,per0242-0004,per0242-0005,per0242-0006,per0242-0007,per0242-0008,per0242-0009,per0242-0010,per0242-0011
126,2002-03-11 14:20:07+00:00,197.14273110046068,211.68044632476744,175.30610389549972,189.8089251582919,223.1548507581782,212.7381432284876,195.04875689608136,194.49043709417225,187.38473832573706,193.50340460620936,195.9085009569711,184.5274993346535
127,2002-03-19 14:30:48+00:00,202.74711596464056,,180.64424013581444,201.90638159559546,233.71585202458638,220.33202930687685,201.62735274578267,198.33859267509365,188.65965844092932,188.25593292111236,191.23427871703598,181.5644885135928
128,2002-08-26 14:30:02+00:00,175.5712748291677,177.22549384267188,171.87350929324492,197.40687958886883,209.62535800280276,189.22785057489494,166.67712907881224,145.1603961309391,160.60203815253556,163.0922066502428,169.3941294170702,164.72356227588017
129,2002-09-27 14:29:47+00:00,193.65380504114262,199.58424852611682,190.75178303453697,202.91441681358958,230.54269289765895,200.47869719165396,174.83456668629515,158.08062727231516,173.6621141771017,173.332066396672,171.17993052381436,169.64223140751255
130,2002-11-30 14:30:17+00:00,202.9322311773555,,188.04824797054425,204.45166893229424,238.94006525302905,206.20566304806118,176.42264045069422,171.33414912857268,181.29394679595313,176.83119221204333,177.45437180716868,179.67199178533673
131,2002-12-16 14:30:17+00:00,206.66681778564546,230.77332883343325,187.94044465320383,205.15486185771977,243.58449278803354,204.87644478481758,183.91799816750006,170.06482594205025,184.9649768353554,185.69417014808246,184.049151320767,179.10317048949264
132,2003-01-17 14:30:30+00:00,208.0666702625587,214.9996002197016,183.91434035361107,204.7793873619849,224.3788796782306,196.0629214300203,180.808987224161,173.99766376122486,189.32794499339798,191.20389483099967,189.01417883418026,191.42923095589464
133,2003-02-02 14:30:37+00:00,207.53184290536856,222.95763192333519,193.51327791381993,200.27814361828067,227.86884558640313,207.32135063359334,186.21244550743126,180.2640907550686,184.46533412530707,190.3990384292237,190.85666098261015,189.9574761509038
134,2003-02-18 14:30:43+00:00,183.22829006151335,178.65381532428054,189.427641245825,199.4863444750046,219.05419419577908,199.95862200852855,174.56748231192208,173.84937268115235,176.08866837270614,176.67464006436137,182.47852703452065,177.91954303285212
135,2003-03-06 14:30:46+00:00,193.98265241844013,,206.12323887878418,200.94444312200244,231.74806662787384,205.6847874834314,183.2148904020999,175.24825269681156,185.92086834660688,188.1598654987937,185.1637763429067,188.51945540014066
136,2003-03-22 14:30:42+00:00,180.3827006972585,195.06770824107002,203.2584041254433,199.2475075297486,212.22367471563587,202.75643754767728,169.88791087052874,172.0828582789868,184.2573680335702,182.44278231578443,183.43013952530094,188.70473578480272
137,2003-04-23 14:30:46+00:00,200.58972974945766,226.59398180649117,215.42834064257926,214.80582256498062,242.15734952800153,222.14675795426194,200.97928534472422,178.00443897190615,182.93685455779365,194.3935705096136,200.6504429183587,200.39216629993624
138,2003-09-30 14:30:13+00:00,,,187.35470420418068,201.21687863087973,217.94642885325027,195.6882728719885,165.4410811086184,129.9575886360136,164.59765496412774,164.5593433502894,174.86923106221002,169.3391015698881
139,2003-10-16 14:30:14+00:00,,,,,,,187.9444485145114,156.84600176553383,183.28937707442242,183.92789887261083,199.2815904419274,189.77876402575652
140,2003-11-01 14:30:27+00:00,,,,,,,186.82538592389403,150.4403656437882,175.9473269222522,176.42916335906165,188.81367081762968,183.4646283039809
141,2003-11-09 14:20:10+00:00,186.04458529485652,205.63385490190865,191.0709765497105,204.69635783832894,231.47031661780727,213.6300450675465,177.87585810821543,140.46779380926722,170.3122197965813,173.11572227178644,179.62265649405913,173.30580915385977
142,2003-12-03 14:30:42+00:00,204.4185322825387,259.1515787042406,207.41396295256698,226.19651036883636,267.5934551241055,,,,,,,
143,2003-12-19 14:30:51+00:00,,,199.0994281009148,217.75183505036702,248.26124146545777,226.92426738442288,185.0330946392177,155.06630482689866,179.33671227907206,196.2766627978705,213.49734763752303,202.00930153393688
144,2004-01-28 14:20:53+00:00,200.7181605953166,229.6949343341929,194.77120490681608,205.1231205487599,235.08940592821355,214.22746445806658,193.1611595138207,180.01333241573874,186.60998837956066,195.8894558936252,196.64575710453573,193.2307839285536
145,2004-02-04 14:26:41+00:00,219.66139276300208,244.15850798172687,205.09477478074763,209.9078834915601,250.28615498090483,223.8728662569414,201.52109227801935,198.19353518312323,191.31742379844988,198.20131556140677,197.7699172002041,196.23700922384216
146,2004-02-05 14:31:08+00:00,208.3091300925697,226.78506014818356,199.76273754952155,200.6370129018052,239.0187771789346,,,,,,,
147,2004-02-13 14:20:56+00:00,202.8512067706063,239.11584423147286,209.48724738217095,224.63815528599434,253.69258424218057,223.5502411292635,212.0190346542513,219.47012159471657,199.80016306531434,203.11968169688086,208.66462095436052,205.72185070688016
148,2004-02-29 14:21:02+00:00,221.6536801317859,247.8807737103231,226.7842246474686,215.55080924480592,249.23010711115109,218.64064196334252,210.86126369743425,209.57716824991428,203.1911271137297,215.50048685314323,210.34439652063452,205.81867903802285
149,2004-03-07 14:26:51+00:00,,,,210.05420326544174,235.15226019053807,221.43184360892272,205.25360966117682,210.70921976281215,196.33504409762787,202.61555948067834,200.91741262046608,198.00145441976827
150,2004-03-08 14:31:15+00:00,,,,,,,,,,189.22907868392178,186.98303417457754,187.0840859159808
151,2004-04-01 14:21:16+00:00,191.88737092627338,230.37916080654676,220.1891758060508,222.989103160488,238.80732239685221,205.48831900117082,182.97519569102113,206.58328833488275,209.74886503150998,209.7635113291019,199.8985559639206,196.9368448834354
152,2004-04-08 14:27:18+00:00,,,,197.54073168560677,208.94889798310265,187.83518502118554,171.074844786676,184.08184318565358,183.3959217892455,177.263210231727,177.41093762557196,178.8889646258255
153,2004-04-09 14:31:15+00:00,183.4563531060009,192.91624886283967,,,,,,,,,,176.0500698919364
154,2004-04-16 14:36:58+00:00,,,,,,,,,,,,
155,2004-04-17 14:21:48+00:00,170.5356437945073,180.2858670098073,188.47818874411058,190.4459234501327,206.07572871125308,186.68289876225168,164.69920293133222,183.50835805469868,176.60799851995114,180.96108528422283,172.47788893359748,172.57189729427506
156,2004-04-25 14:31:10+00:00,,,,,,,,,,182.86739989243102,174.25868562112709,174.01724464369067
157,2004-05-03 14:22:14+00:00,179.9717409552249,188.89894805170076,195.6507620365078,197.33610756779754,222.78083286097615,190.68360811917836,168.01019965949482,185.73899585503617,188.15563192250806,184.60540798737537,180.28121605618153,175.60004838435924
158,2004-05-19 14:22:42+00:00,170.6778249225688,184.79248725751728,187.9397241123774,193.99366366288723,197.9800457914713,184.39511468371356,162.78798800170023,179.78018868668747,176.9988002357445,186.28365364516299,178.95392271592374,173.4264328836697
159,2004-06-19 14:36:50+00:00,,,,,,,,,,,,
