dates,satname,sar1742-0000,sar1742-0001,sar1742-0002,sar1742-0003,sar1742-0004,sar1742-0005,sar1742-0006,sar1742-0007
1990-12-26 09:19:37+00:00,L5,160.06,176.62,210.24,191.79,162.21,151.02,175.88,194.52
1991-01-11 09:20:03+00:00,L5,170.43,179.54,214.05,200.60,174.71,151.07,179.56,195.48
1991-01-27 09:20:30+00:00,L5,170.13,181.93,203.80,197.36,190.41,152.71,181.48,310.99
1991-02-28 09:21:00+00:00,L5,158.95,181.38,210.78,182.82,172.11,148.83,182.41,181.89
1991-04-01 09:21:34+00:00,L5,149.00,127.53,213.60,192.36,170.16,148.57,172.27,184.34
1991-04-08 09:27:30+00:00,L5,172.20,180.56,218.20,201.91,185.67,165.29,185.31,194.61
1991-05-26 09:28:22+00:00,L5,143.48,161.23,206.09,175.72,,138.80,171.39,188.57
1991-06-04 09:22:42+00:00,L5,164.28,178.52,218.87,201.09,170.89,155.50,178.22,194.96
1991-06-27 09:28:49+00:00,L5,147.41,159.05,209.97,183.25,169.71,146.85,179.42,182.71
1991-07-06 09:23:10+00:00,L5,156.14,169.76,213.73,191.78,,151.72,175.65,181.90
1991-07-13 09:28:57+00:00,L5,149.39,161.84,210.47,192.60,170.31,151.61,174.71,186.57
1991-07-22 09:23:22+00:00,L5,158.29,167.51,223.59,198.26,171.76,147.54,173.08,184.41
1991-07-29 09:29:13+00:00,L5,146.81,162.13,206.25,189.28,162.51,145.91,179.21,195.89
1991-08-07 09:23:28+00:00,L5,162.57,181.93,224.68,201.75,173.53,148.83,173.53,185.49
1991-08-14 09:29:15+00:00,L5,149.63,164.02,215.20,193.71,173.07,150.13,182.19,190.56
1991-08-23 09:23:34+00:00,L5,167.88,181.39,232.56,204.68,,152.26,169.82,181.18
1991-09-08 09:23:24+00:00,L5,152.36,164.74,220.65,193.04,166.16,147.29,176.61,194.59
1991-09-24 09:23:55+00:00,L5,165.19,184.39,220.43,200.90,179.40,164.11,187.44,190.63
1991-10-17 09:29:54+00:00,L5,171.63,180.74,230.01,208.53,,160.06,174.41,189.84
1991-11-11 09:24:09+00:00,L5,173.66,184.17,225.01,206.59,,154.60,177.48,179.80
1991-11-27 09:23:53+00:00,L5,,,447.01,475.01,,,398.44,315.38
1992-01-05 09:30:23+00:00,L5,167.17,173.66,205.06,193.24,175.41,158.91,183.06,192.13
1992-01-14 09:24:13+00:00,L5,171.10,181.29,221.19,200.03,176.41,151.91,180.59,179.42
1992-01-30 09:23:54+00:00,L5,187.59,185.65,229.55,-52.82,,157.00,182.41,192.07
1992-02-06 09:29:56+00:00,L5,160.61,174.16,219.80,196.82,169.77,150.31,182.80,186.99
1992-02-15 09:24:02+00:00,L5,161.45,177.93,218.28,184.16,161.78,145.43,182.75,194.79
