,dates,usa_CA_0278-0000,usa_CA_0278-0001,usa_CA_0278-0002,usa_CA_0278-0003,usa_CA_0278-0004,usa_CA_0278-0005,usa_CA_0278-0006,usa_CA_0278-0007,usa_CA_0278-0008,usa_CA_0278-0009,usa_CA_0278-0010,usa_CA_0278-0011,usa_CA_0278-0012,usa_CA_0278-0013,usa_CA_0278-0014,usa_CA_0278-0015,usa_CA_0278-0016,usa_CA_0278-0017,usa_CA_0278-0018,usa_CA_0278-0019
1052,2020-09-24 18:57:56+00:00,207.82475316863992,209.03243064329823,203.97776226112842,204.10686594331077,198.0066538383182,190.82153090420056,188.86508529905086,176.67111671441256,188.36122321769773,186.15160959615378,180.54699655062007,189.24360684692945,191.52813981213274,189.53932067847944,197.6263676740804,196.44570250077305,199.8252016354301,180.33658198559297,174.94692424344188,205.7268258960396
1053,2020-09-25 18:16:40+00:00,208.61937931340665,208.4066380510478,216.36165946135068,215.93205257482245,201.25205682272852,202.18079634968356,,,,,,179.17780500041908,189.96020830780284,185.06504871393577,199.7801779861521,200.08180396734582,195.2517334757123,176.40755042743328,167.87265117759833,194.94011872902453
1054,2020-10-02 18:22:24+00:00,,,,,,,,,,,,,,,,195.08116767503608,190.5347683668352,162.0023818428777,,
1055,2020-10-11 18:15:39+00:00,,,230.4707263846208,230.66928953586878,221.44264348426307,208.02711595714894,199.71138524855823,192.96034412453267,,,,,,,204.01714804907996,202.06026961368056,198.7264152395799,176.80889255334282,165.5180768556724,210.2816893470936
1056,2020-10-18 18:21:23+00:00,239.50003561253584,233.15451785883852,238.43788292558236,240.63576417455556,,,,214.85379427136544,217.665568507167,208.36554010369366,193.64108491502805,202.56217057653194,208.8722088351427,216.13033771993938,221.21864572968497,216.9108883523225,,,,
1057,2020-10-19 18:51:47+00:00,248.83294203244702,245.86504320812435,244.1620715553391,248.02736240232662,240.57704640821893,229.53137654050138,217.2958261539911,213.16099921054385,220.91124222041879,215.29866340890277,204.24004188303525,209.96308627565642,212.10843960256108,216.12399317756515,224.74308425136707,221.03248889476862,215.48320748011758,197.29181783837583,188.91193661570014,227.10222175025388
1058,2020-10-26 18:57:58+00:00,241.88520640423152,234.34243795277732,240.8562950457867,245.5736719470206,239.8021177275224,228.23305045068724,214.83983389952803,213.33472781589987,218.6858863439365,207.60833527472175,200.23763542738206,207.75091523029997,206.421601274722,209.54946938670932,217.31359815225815,214.00372493578968,212.9155940380542,189.81898143946168,185.52325149173697,221.19321813072798
1059,2020-10-27 18:14:36+00:00,,,228.14334608142067,224.75496254421702,221.40949635584806,213.95453440272644,201.79348823046388,194.86713744848316,207.24768174897895,,,,,,209.6666542084223,198.26734507139298,198.4716876012315,164.94591602722863,163.50743699425186,208.54333538451746
1060,2020-11-03 18:20:19+00:00,216.67788223967247,219.0189220746603,218.97676664377852,,,,193.69989928612418,187.35956425198907,200.3519212074623,187.5491263173162,177.43661056765862,194.50850027571119,205.86146666070266,200.6859569361206,214.6061835722682,,,,,216.46669545348874
1061,2020-11-11 18:57:55+00:00,233.29426057140827,229.41495656534678,232.84499210541225,236.7907497508196,225.48218507538584,214.52419132489334,204.36378322053378,198.85961211602458,202.14229160211636,197.93046602429374,190.02154826623956,198.14508635202648,203.7207614470161,204.27415220162587,212.59985752239868,206.66296977541555,205.81171277220767,175.15235497640498,174.62957485157486,215.60594602807478
1062,2020-11-12 18:13:31+00:00,,,243.0594959757244,242.1467736619091,228.45431632174865,224.41588769967134,212.4192504376506,210.62976808999267,,,,,,,229.53972118340118,222.301593461737,219.54078231490527,180.3021290052834,169.86290961657244,228.30727877447237
1063,2020-11-19 18:19:12+00:00,213.9695918428575,220.7982012532238,,,,214.0834468538514,,192.2667639121832,207.29532309110232,191.36762827982602,189.25147447826004,201.12431619453463,208.7007724518396,199.17138313151136,,,,,162.40629677163415,212.3493627761484
1064,2020-11-20 18:51:46+00:00,224.6478933920221,222.24874344738225,229.53267922407946,233.22976574163272,220.1145012662877,214.0385824071986,200.66379856135433,202.426446729321,201.85364080920047,188.67391279018,189.19789284014468,197.96060255717015,205.89129137906363,204.59110183991632,212.79449940144647,204.87467696104648,200.30887644989784,168.94809023136284,162.17392715737068,214.59387062178027
1065,2020-11-27 18:57:59+00:00,232.40833826981796,236.28860487314617,239.145903107449,233.34353498316517,227.84584238070033,220.39225790625704,218.6957987254367,212.3478792800745,216.64594577287062,203.26871897769007,195.98333974720612,205.76815539313344,209.21408965711748,209.18000814065843,221.7722058004924,210.33668697627706,213.6957321885932,182.1441484307748,177.93542100122008,221.46941261079533
