,dates,jap0010-0000,jap0010-0001,jap0010-0002,jap0010-0003,jap0010-0004,jap0010-0005,jap0010-0006,jap0010-0007,jap0010-0008,jap0010-0009,jap0010-0010,jap0010-0011,jap0010-0012,jap0010-0013,jap0010-0014,jap0010-0015,jap0010-0016,jap0010-0017,jap0010-0018,jap0010-0019
39,2000-06-05 00:40:35+00:00,122.08725139996389,114.24982478334925,113.33702925542332,119.12334065362965,135.10773742587904,141.81608694344294,135.03278329584595,146.42940634527986,132.6190651778173,128.86499607467317,121.17023732311429,122.58668114311956,140.0663117428121,136.37521274611652,143.3468562106102,137.84014363736998,150.35278984922115,155.69853550834165,165.92529554469766,171.85511126623652
40,2000-12-05 00:45:12+00:00,130.77998506422264,120.62994653384494,121.76487568237886,122.8545333118709,132.24492974884197,,,,143.06360148038848,,141.14435908130395,,142.10080467879976,,148.8961909273428,148.25970341136576,,,,
41,2000-12-30 00:39:08+00:00,119.10833637900734,98.24863180021336,77.52111649765403,,,,,,,,,,,,,,,,,
42,2001-04-28 00:44:58+00:00,,107.99749551670874,110.27069781228069,,,,,,120.93374750838359,,115.56302520270303,,108.73242594503265,,111.53303272132891,125.71465786383709,147.58249046819253,,,133.36371635256404
43,2001-05-14 00:44:47+00:00,,95.68846198934747,93.97385759135972,106.64304503799508,114.86476220857215,132.06105680057635,139.01679250747713,144.57120822486414,133.57472377844815,139.88859602594567,136.54674378494843,128.1594271045888,127.77944529766941,121.21487301095766,120.60989775147792,120.77872131311244,136.1983610374608,138.14377941784636,155.1880786072339,151.60235384552715
44,2001-06-24 00:38:07+00:00,114.16313629829517,109.50448048157503,111.10760771579928,118.72284231080125,,,,,,,,,,133.33428651643618,142.51407226739374,159.78266993094752,162.88659169940544,169.63177869271584,177.0234920481362,152.53131991314172
45,2001-07-09 00:35:18+00:00,125.64254993235828,121.0429760579485,117.63819211085679,122.27278267503519,131.17446363333946,132.28646254758547,133.35852977566205,147.65551961573846,145.73056241112852,138.11364894415505,145.13167289072786,143.56711997377442,150.4875503591981,150.6839981155352,152.2057393073236,156.55072839713335,164.0649391254559,164.4249547537628,166.97156274978857,159.27730446816463
46,2001-07-26 00:37:57+00:00,111.31593741120949,112.9899890894421,111.41873923032855,117.42895318475178,121.3027025931539,125.21972068323629,128.97957663032238,136.66181873759143,139.74448675481582,139.11611325473865,136.91176879364525,146.57737037581308,144.3054577774539,119.00625965155365,114.14795805501257,,,,,
47,2001-08-02 00:44:01+00:00,,,,,,,,,,,,,,,,,,,,
48,2001-08-18 00:43:43+00:00,126.90391712141776,127.0871046512589,125.92894658360458,132.64392070288784,133.59719402986758,132.48022683005433,128.54673706400393,136.03894196974875,138.6023664272122,138.2356326346158,142.31020947348213,139.15163081321782,139.7159524179508,140.7834393773693,145.7996734383168,153.01647527859816,162.75889248012643,170.46109683860735,178.57746244122623,174.96320056563843
49,2001-09-19 00:43:20+00:00,,,111.84978320194756,125.94553487874745,136.53517681060146,130.2096310737565,137.47503559999296,138.75911640176048,131.0193861058542,128.66603680189758,119.85050848970604,118.03781336140072,129.92173593204814,134.61786640051508,135.96927430574146,128.2667467730004,137.4968690630402,148.91751823083672,156.10435070965534,152.44778186768835
