dates,satname,sar2181-0000,sar2181-0001,sar2181-0002,sar2181-0003,sar2181-0004
1993-01-07 09:27:40+00:00,L5,272.10,197.66,169.51,196.23,241.67
1993-01-23 09:27:51+00:00,L5,237.20,196.70,169.82,196.30,243.29
1993-02-01 09:21:47+00:00,L5,360.49,205.89,178.32,195.54,234.37
1993-02-08 09:27:38+00:00,L5,349.35,,,,
1993-02-24 09:28:05+00:00,L5,220.57,185.96,173.31,194.68,236.51
1993-03-12 09:27:54+00:00,L5,248.67,196.72,172.10,198.47,244.41
1993-03-21 09:22:07+00:00,L5,260.97,208.78,178.49,191.23,231.93
1993-04-13 09:28:04+00:00,L5,245.70,196.57,159.64,195.12,247.51
1993-05-08 09:22:25+00:00,L5,235.90,203.82,177.39,191.57,235.45
1993-05-15 09:28:37+00:00,L5,222.21,189.11,173.77,207.64,238.06
1993-05-31 09:28:16+00:00,L5,233.69,181.52,161.02,190.84,242.27
1993-06-16 09:28:14+00:00,L5,232.49,197.43,175.36,203.20,241.29
1993-06-25 09:22:24+00:00,L5,285.14,200.79,176.52,194.06,244.31
1993-07-11 09:22:22+00:00,L5,247.98,196.61,172.48,189.46,239.33
1993-07-18 09:28:08+00:00,L5,229.75,198.21,166.98,190.47,234.07
1993-07-27 09:22:20+00:00,L5,265.99,205.29,178.67,196.74,235.55
1993-08-03 09:28:32+00:00,L5,240.26,203.06,174.26,202.16,239.21
1993-08-19 09:28:08+00:00,L5,263.75,199.10,174.24,192.18,236.12
1993-10-06 09:28:23+00:00,L5,240.11,190.00,166.03,193.66,241.07
1993-11-16 09:21:53+00:00,L5,280.60,211.68,180.28,191.95,230.19
1994-01-03 09:21:32+00:00,L5,271.65,208.86,173.65,190.54,231.36
1994-02-27 09:26:35+00:00,L5,274.86,200.18,177.98,192.31,237.66
1994-03-08 09:20:40+00:00,L5,250.62,211.74,173.59,193.83,235.92
1994-03-15 09:26:45+00:00,L5,239.00,202.73,174.33,198.08,238.60
1994-03-24 09:20:26+00:00,L5,282.03,216.35,174.49,195.77,242.06
1994-03-31 09:26:06+00:00,L5,267.70,201.53,168.13,193.57,238.54
1994-05-02 09:25:29+00:00,L5,248.71,198.24,174.41,192.21,237.04
1994-05-11 09:19:31+00:00,L5,249.81,205.04,177.36,195.73,236.72
1994-05-27 09:19:15+00:00,L5,231.12,199.47,176.54,192.95,230.68
1994-06-19 09:24:34+00:00,L5,226.80,191.65,165.17,193.15,230.02
1994-07-05 09:24:11+00:00,L5,237.02,192.68,159.67,185.68,231.34
1994-07-14 09:18:08+00:00,L5,253.32,207.96,173.21,195.03,231.39
1994-07-30 09:17:41+00:00,L5,276.55,204.38,179.88,193.09,232.84
1994-08-15 09:17:16+00:00,L5,260.03,202.03,174.05,192.43,235.49
1994-08-22 09:23:17+00:00,L5,273.28,202.58,168.48,192.00,231.88
1994-08-31 09:16:53+00:00,L5,257.73,199.94,174.85,191.73,237.24
1994-09-07 09:22:53+00:00,L5,237.62,198.30,178.65,195.01,244.59
1994-09-16 09:16:28+00:00,L5,231.79,201.36,174.32,189.90,235.72
1994-10-25 09:21:28+00:00,L5,269.35,202.39,176.65,192.99,239.05
1994-12-12 09:19:28+00:00,L5,297.92,207.50,173.60,211.53,242.68
1994-12-21 09:13:24+00:00,L5,290.98,15.85,190.07,287.87,265.33
1995-01-22 09:12:15+00:00,L5,231.58,208.83,179.93,195.92,225.75
1995-02-14 09:17:31+00:00,L5,260.09,196.41,182.08,204.11,235.84
1995-02-23 09:10:59+00:00,L5,,,,,
1995-03-18 09:15:50+00:00,L5,249.67,206.18,177.25,193.52,233.88
1995-03-27 09:09:40+00:00,L5,282.00,215.03,180.54,194.19,227.72
1995-04-12 09:09:01+00:00,L5,257.54,203.61,178.75,196.95,240.58
1995-04-19 09:14:54+00:00,L5,257.82,205.94,178.02,191.44,238.01
1995-05-05 09:13:47+00:00,L5,276.68,207.59,176.44,201.30,242.24
1995-05-14 09:07:35+00:00,L5,228.06,200.23,180.51,194.16,235.66
1995-05-21 09:13:04+00:00,L5,245.57,201.61,181.44,194.03,238.84
1995-05-30 09:06:52+00:00,L5,243.24,208.57,173.94,193.82,232.96
1995-06-06 09:12:43+00:00,L5,255.24,200.97,176.34,196.87,238.88
1995-06-15 09:06:08+00:00,L5,237.73,196.76,172.68,208.96,241.07
1995-07-01 09:05:25+00:00,L5,273.72,199.94,168.26,193.98,240.71
1995-07-08 09:10:53+00:00,L5,268.07,207.45,178.62,195.56,233.88
1995-07-17 09:04:40+00:00,L5,282.29,204.78,179.11,195.08,237.19
1995-07-24 09:10:09+00:00,L5,235.38,193.12,176.72,198.02,238.09
1995-08-02 09:03:58+00:00,L5,245.66,203.23,172.90,190.46,234.23
1995-08-09 09:09:49+00:00,L5,268.83,201.55,175.27,193.26,239.40
1995-10-21 09:00:00+00:00,L5,248.30,203.57,179.70,194.07,232.79
1995-11-06 08:59:27+00:00,L5,263.44,204.12,176.74,195.02,238.31
1995-12-15 09:06:48+00:00,L5,,,,,
1996-01-16 09:09:29+00:00,L5,272.82,198.76,173.96,194.35,239.61
1996-02-17 09:11:43+00:00,L5,274.36,201.19,173.25,193.83,239.84
1996-03-13 09:07:12+00:00,L5,280.28,203.23,179.26,196.10,240.21
1996-03-29 09:08:13+00:00,L5,280.26,205.53,175.68,192.85,237.94
1996-04-05 09:14:27+00:00,L5,298.33,203.17,179.07,195.91,239.00
1996-04-21 09:15:49+00:00,L5,237.33,198.73,167.14,192.01,238.51
1996-05-16 09:11:06+00:00,L5,279.20,196.93,174.03,193.67,244.05
1996-05-23 09:17:17+00:00,L5,284.42,213.82,177.70,195.49,240.72
1996-06-01 09:12:00+00:00,L5,274.21,205.21,178.16,195.08,237.31
1996-06-08 09:18:10+00:00,L5,272.14,196.42,172.88,194.55,242.79
1996-07-03 09:13:43+00:00,L5,249.65,196.49,168.86,192.52,241.70
1996-07-10 09:19:52+00:00,L5,273.72,206.78,174.09,193.31,233.57
1996-07-19 09:14:34+00:00,L5,274.16,211.59,189.12,196.87,230.62
1996-07-26 09:21:07+00:00,L5,247.85,203.33,175.48,190.88,228.87
1996-08-04 09:15:24+00:00,L5,267.56,206.16,180.11,195.95,235.52
1996-08-11 09:21:57+00:00,L5,246.02,196.81,174.00,193.87,243.52
1996-08-20 09:16:14+00:00,L5,253.34,211.51,180.70,189.15,229.89
1996-09-05 09:17:07+00:00,L5,284.77,208.78,176.46,192.89,240.06
1996-09-12 09:23:18+00:00,L5,,,,,
1996-09-21 09:18:00+00:00,L5,279.81,211.78,179.56,189.69,229.28
1996-09-28 09:24:09+00:00,L5,272.95,204.40,179.46,193.48,236.01
1996-10-07 09:18:51+00:00,L5,264.76,208.22,178.68,192.97,226.68
