dates,nzd0375-0000,nzd0375-0001,nzd0375-0002,nzd0375-0003,satname
2014-04-22 22:04:24+00:00,345.0169230769231,331.2869230769231,329.4211111111111,344.06666666666666,L7
2014-04-30 22:06:58+00:00,332.9807692307692,328.2407692307692,329.35555555555555,330.55333333333334,L8
2014-05-08 22:04:28+00:00,333.6815384615385,327.79153846153844,327.1633333333333,334.95,L7
2014-05-16 22:06:45+00:00,335.9230769230769,331.6230769230769,329.6977777777778,338.0566666666667,L8
2014-05-24 22:04:35+00:00,305.54,308.94,317.1466666666667,328.86,L7
2014-06-25 22:04:41+00:00,298.04846153846154,289.64846153846156,306.5444444444445,324.5266666666667,L7
2014-07-03 22:07:01+00:00,321.28230769230765,320.5423076923077,322.19555555555553,338.3933333333333,L8
2014-07-27 22:04:50+00:00,299.14153846153846,302.9915384615384,307.59,316.46,L7
2014-08-04 22:07:14+00:00,344.59461538461534,332.26461538461535,330.0733333333333,345.05,L8
2014-08-12 22:04:53+00:00,324.3607692307692,318.89076923076925,,333.69,L7
2014-09-29 22:05:04+00:00,335.32846153846157,328.27846153846156,324.0088888888889,332.1533333333333,L7
2014-10-15 22:05:13+00:00,337.64,325.81,323.83222222222224,333.0333333333333,L7
2014-10-23 22:07:27+00:00,331.14230769230767,321.27230769230766,321.29,321.84,L8
2014-10-31 22:05:23+00:00,321.1453846153846,317.48538461538465,307.4866666666667,331.84,L7
2014-12-18 22:05:45+00:00,333.85923076923075,324.89923076923077,322.22222222222223,331.43333333333334,L7
2014-12-26 22:07:18+00:00,343.2592307692308,327.8192307692308,326.15222222222224,339.81333333333333,L8
2015-01-19 22:05:46+00:00,329.1323076923077,317.4823076923077,324.2211111111111,322.50666666666666,L7
2015-02-04 22:05:55+00:00,322.0692307692308,317.2392307692308,325.2322222222222,331.0933333333333,L7
2015-02-28 22:07:00+00:00,344.34769230769234,338.46769230769235,338.3933333333333,338.43,L8
2015-03-16 22:06:49+00:00,302.28461538461534,295.37461538461537,303.9266666666667,317.47,L8
2015-03-24 22:06:16+00:00,323.38153846153847,,,333.62333333333333,L7
2015-04-01 22:06:37+00:00,328.45923076923077,320.1792307692308,321.2333333333333,326.87,L8
2015-04-17 22:06:36+00:00,324.4561538461539,317.98615384615385,319.2077777777778,321.8466666666667,L8
2015-05-27 22:06:42+00:00,267.9138461538461,274.58384615384614,298.1011111111111,,L7
2015-06-12 22:06:50+00:00,300.4384615384615,303.52846153846156,303.3977777777778,328.56666666666666,L7
2015-06-20 22:06:32+00:00,328.33384615384614,322.83384615384614,,,L8
2015-06-28 22:06:52+00:00,305.9838461538461,,316.85777777777776,345.7966666666667,L7
2015-07-22 22:06:49+00:00,331.34769230769234,325.0876923076923,,,L8
2015-07-30 22:07:00+00:00,297.53,292.49,308.99333333333334,,L7
2015-08-23 22:07:00+00:00,348.1176923076923,335.5176923076923,333.68555555555554,345.2933333333333,L8
2015-09-08 22:07:06+00:00,342.9946153846154,334.27461538461534,334.26111111111106,346.2866666666667,L8
2015-10-02 22:07:10+00:00,354.3638461538461,347.25384615384615,347.16777777777776,358.2066666666667,L7
2015-11-27 22:07:23+00:00,331.90923076923076,332.16923076923075,330.7266666666667,338.72,L8
2015-12-13 22:07:21+00:00,331.3161538461539,326.11615384615385,327.1488888888889,336.4033333333333,L8
2016-01-06 22:08:44+00:00,335.87615384615384,324.3161538461539,339.8355555555555,345.18333333333334,L7
2016-01-22 22:08:57+00:00,321.1453846153846,316.2653846153846,,,L7
2016-02-15 22:07:09+00:00,347.0630769230769,339.5130769230769,336.1044444444445,343.3266666666667,L8
2016-02-23 22:09:06+00:00,341.0330769230769,331.6230769230769,333.4433333333333,336.1,L7
2016-03-02 22:07:07+00:00,345.57384615384615,334.7938461538461,340.66,347.66,L8
2016-03-18 22:07:01+00:00,349.08461538461535,338.5546153846154,334.4066666666667,345.78,L8
2016-03-26 22:09:23+00:00,343.5769230769231,332.9669230769231,334.0422222222222,340.6933333333333,L7
2016-04-19 22:06:46+00:00,345.95384615384614,341.94384615384615,344.1488888888889,348.0433333333333,L8
2016-04-27 22:09:35+00:00,330.4130769230769,333.64307692307693,328.69,342.13,L7
2016-05-05 22:06:50+00:00,340.3161538461539,343.6961538461539,342.4977777777778,352.5466666666667,L8
2016-05-29 22:09:43+00:00,307.2623076923077,313.9123076923077,310.84555555555556,331.0233333333333,L7
2016-06-06 22:06:54+00:00,321.7769230769231,322.3269230769231,326.44444444444446,334.87666666666667,L8
2016-06-30 22:09:47+00:00,309.71769230769235,302.2376923076923,,,L7
2016-07-16 22:09:48+00:00,302.53461538461534,301.63461538461536,315.38222222222225,,L7
2016-07-24 22:07:13+00:00,330.21076923076924,323.9207692307692,325.06666666666666,342.17,L8
2016-08-01 22:09:50+00:00,,306.94,308.5133333333333,320.98,L7
2016-08-17 22:09:51+00:00,320.59461538461534,311.21461538461534,322.25333333333333,324.1,L7
2016-09-10 22:07:27+00:00,343.6869230769231,336.0969230769231,334.0366666666667,343.37,L8
2016-10-04 22:09:59+00:00,341.96769230769235,335.91769230769233,337.5411111111111,352.4566666666667,L7
2016-10-12 22:07:33+00:00,353.0469230769231,340.16692307692307,336.4988888888889,354.5233333333333,L8
2016-12-15 22:07:29+00:00,,355.70923076923077,356.5366666666667,397.15,L8
2016-12-23 22:09:36+00:00,341.16615384615386,339.4561538461539,339.92888888888893,368.4133333333333,L7
2017-01-16 22:07:22+00:00,373.78,361.51,367.07222222222225,,L8
2017-01-24 22:09:15+00:00,,344.28923076923076,,375.2966666666667,L7
2017-03-05 22:07:02+00:00,368.8130769230769,354.9630769230769,356.3644444444445,378.5566666666667,L8
2017-04-06 22:06:45+00:00,350.5869230769231,346.2669230769231,348.7944444444445,363.0466666666667,L8
2017-04-22 22:06:36+00:00,,351.4369230769231,356.99444444444447,377.2366666666667,L8
2017-04-30 22:09:40+00:00,346.75384615384615,347.59384615384613,351.8833333333333,372.93,L7
2017-05-08 22:06:35+00:00,,349.1723076923077,352.8955555555555,,L8
2017-05-24 22:06:46+00:00,344.4876923076923,339.03769230769234,348.69111111111107,401.18666666666667,L8
2017-06-09 22:06:54+00:00,339.4930769230769,332.8030769230769,346.0688888888889,362.1533333333333,L8
2017-06-17 22:09:51+00:00,316.4330769230769,300.6630769230769,311.97,339.26,L7
2017-07-03 22:09:53+00:00,302.76153846153846,301.66153846153844,305.4788888888889,321.0133333333333,L7
2017-08-04 22:09:51+00:00,,316.4492307692308,317.0077777777778,353.8366666666667,L7
2017-08-28 22:07:19+00:00,,357.90846153846155,359.2588888888889,381.2333333333333,L8
2017-09-05 22:09:50+00:00,,340.0192307692308,343.87333333333333,359.85,L7
2017-10-23 22:09:52+00:00,,355.48615384615385,,,L7
2017-10-31 22:07:31+00:00,,358.65153846153845,364.93444444444447,,L8
2017-11-08 22:09:50+00:00,,358.6815384615385,360.51,379.74,L7
2017-11-16 22:07:28+00:00,,358.6476923076923,369.01,,L8
2017-12-10 22:09:38+00:00,,365.31538461538463,354.6666666666667,412.07,L7
2018-01-19 22:07:14+00:00,,364.3,366.95444444444445,447.2966666666667,L8
2018-02-12 22:08:46+00:00,,347.42615384615385,360.5211111111111,422.12666666666667,L7
2018-02-28 22:08:36+00:00,,,,401.52,L7
2018-03-08 22:06:51+00:00,364.95923076923077,354.64923076923077,359.24333333333334,379.9,L8
2018-03-24 22:06:44+00:00,369.97153846153844,364.17153846153843,365.3011111111111,380.56666666666666,L8
2018-04-01 22:08:11+00:00,,350.83307692307693,355.6733333333333,,L7
2018-04-25 22:06:26+00:00,350.3969230769231,347.7169230769231,351.6644444444445,395.0566666666667,L8
2018-05-03 22:07:38+00:00,321.7053846153846,,314.99333333333334,345.45,L7
2018-05-27 22:06:04+00:00,349.3269230769231,344.5869230769231,357.3611111111111,372.3566666666667,L8
2018-06-28 22:06:16+00:00,311.9946153846154,311.83461538461535,,367.2933333333333,L8
2018-08-23 22:05:37+00:00,,345.71384615384613,358.8933333333333,375.54,L7
2018-08-31 22:06:47+00:00,,,406.30777777777774,,L8
2018-10-02 22:06:59+00:00,,371.6730769230769,372.60888888888894,412.18333333333334,L8
2018-10-18 22:07:05+00:00,,359.70923076923077,365.53,383.06,L8
2018-11-11 22:03:49+00:00,,372.02,371.77777777777777,409.2666666666667,L7
2019-01-14 22:02:01+00:00,362.5876923076923,355.6976923076923,366.11555555555555,407.2033333333333,L7
2019-01-22 22:07:02+00:00,480.40769230769234,358.41769230769233,361.7933333333333,411.78,L8
2019-03-03 22:00:32+00:00,457.2030769230769,349.1830769230769,355.45444444444445,372.7366666666667,L7
2019-03-19 22:00:01+00:00,451.34769230769234,332.5876923076923,343.8411111111111,378.2766666666667,L7
2019-04-04 21:59:28+00:00,477.5876923076923,360.65769230769234,365.27444444444444,379.3666666666667,L7
2019-04-12 22:06:42+00:00,,363.3123076923077,366.49555555555554,382.62333333333333,L8
2019-05-14 22:06:48+00:00,475.22615384615386,357.3861538461539,373.21,393.97,L8
2019-05-22 21:57:40+00:00,312.31384615384616,320.8538461538461,,365.1566666666667,L7
2019-05-30 22:06:57+00:00,351.7761538461539,344.5861538461539,363.0155555555555,381.7233333333333,L8
2019-06-23 21:56:31+00:00,322.40846153846155,309.95846153846156,318.65444444444444,372.4666666666667,L7
2019-07-25 21:55:16+00:00,339.15923076923076,335.85923076923075,333.3644444444445,,L7
2019-08-02 22:07:17+00:00,,359.3715384615385,367.24,402.44,L8
2019-08-10 21:54:37+00:00,371.33384615384614,354.69384615384615,366.5022222222222,379.5733333333333,L7
