,dates,per0120-0000,per0120-0001,per0120-0002,per0120-0003,per0120-0004,per0120-0005,per0120-0006,per0120-0007
86,2007-03-19 15:12:03+00:00,174.1038375507241,171.359550839617,180.42577204535755,184.76930546919533,180.2619702562907,182.77158561279452,190.12653913530843,
87,2007-04-20 15:11:53+00:00,163.31914218028885,155.44100288236675,,167.4815633742602,,181.0184359355987,180.56702714816132,182.3082518645793
88,2007-05-22 15:11:33+00:00,176.5875858229174,170.44007214790454,178.36358564831443,187.1852827483503,178.6935951109899,185.39104912973085,184.6190230175539,184.52971064665797
89,2008-01-25 15:07:28+00:00,180.73960139831516,171.47496563986,174.28522756651367,188.16294566854253,189.2665127957017,196.69675015861839,201.4106851295511,201.6772035335468
90,2008-02-10 15:07:25+00:00,181.3814705735203,171.1875557533283,175.88835279954384,188.1888062394303,185.7744133284665,192.15176352321527,197.6941434576796,199.30944144864588
91,2008-02-18 15:07:39+00:00,175.43791774991686,170.7368384705084,172.6984297695136,184.35342695927272,183.90889036199206,188.1366930572928,198.0004784164582,200.8975538437997
92,2008-03-05 15:07:21+00:00,185.4890634655491,178.75025847491526,179.93736657079592,184.03351530393255,190.12571714876725,193.62809158012246,203.9209497566803,197.51792060568434
93,2008-03-21 15:07:01+00:00,183.54825668445747,177.5262917206668,178.28640855557333,190.98954742536995,188.22188989368226,194.73750643580036,198.20880646728864,197.1581884162182
94,2008-04-22 15:06:16+00:00,181.67536202799675,181.1241182685705,183.2776496020731,191.203719834705,193.95667811450195,196.20968106045433,193.71600977779264,192.55592240819675
95,2008-10-15 15:01:12+00:00,175.51192007654208,162.06109176199578,168.4841728295866,179.69782239336462,178.78887373269697,183.64037869056781,192.99461314382486,193.11066955533857
96,2008-11-16 15:00:26+00:00,183.57340857482998,176.45087586650448,177.93567919264413,181.92601763779967,182.48455943221302,182.26922895880801,194.29069581442604,192.45985158523925
97,2009-01-03 15:01:53+00:00,171.3046333951642,158.2048692811854,170.47910255331777,179.26994705485563,175.3591759097568,184.02708973362863,191.22891836125774,190.42584449226942
98,2009-01-19 15:02:18+00:00,188.82131391124545,182.6385604164421,189.0053953013226,188.31552579381338,188.515152165611,197.4499712810861,200.2084814730561,201.6554333322278
99,2009-02-20 15:03:08+00:00,175.51651184359133,165.87029695426634,176.20557611631963,186.41172498867704,185.2315667709613,189.7403485345829,193.20792748528424,175.3523109266005
100,2009-02-28 15:07:10+00:00,179.70289208994564,169.63630763645295,,,185.72300657581667,190.75408165843632,196.24745736196058,198.7159083837078
101,2009-04-17 15:07:29+00:00,175.4702325118993,164.74291438308916,169.18432515676395,181.74962959868014,182.72334257729278,186.59587724944708,194.77123524355068,193.09468775529774
102,2009-05-19 15:07:34+00:00,188.57294624339664,180.249724855812,191.46490464527218,,,195.95078896745167,201.1873077073982,201.70130088177444
103,2009-11-19 15:07:30+00:00,173.28566283008644,164.0425894052397,172.91941540041478,185.21484613311674,180.83158140324832,187.75305522745785,192.38534798008763,198.48000808078308
104,2010-01-30 15:08:51+00:00,167.66059898660865,171.31652509940278,,,179.57290445565474,,,192.93453193991306
105,2010-05-14 15:07:55+00:00,171.59311849030254,,,,,,,177.33716971521142
106,2011-02-02 15:10:31+00:00,171.9173456771403,162.88053325395458,162.32260555437477,179.76269476820084,175.63065254436896,,,188.31032498112296
107,2011-10-16 15:10:25+00:00,169.3715599205309,177.19149853980758,170.41755752958346,196.3435023785452,177.40670753752852,183.44999867236712,189.10807723823734,185.49891217388043
108,2012-01-04 15:11:09+00:00,,,,186.62183887507706,185.3473696178905,191.65141921442725,197.75079610309714,199.4673752443254
109,2012-02-05 15:11:13+00:00,181.95750032737692,173.63106281410484,180.89821114903393,190.29816677572137,193.67447042789917,198.54417733972724,204.0562249724009,206.71351711326236
110,2012-02-21 15:11:16+00:00,178.01436806585912,171.07456720761758,178.99399855160055,191.33428848523081,190.26017634268558,,,
111,2012-03-24 15:11:15+00:00,177.46568944356937,,174.25167069650496,184.54554496216534,182.0369136315305,189.37177840888637,,
112,2012-04-25 15:11:26+00:00,171.08473407451234,166.3345476906979,,,,184.78545540004203,195.53119816113391,191.43054994643603
113,2012-05-11 15:11:48+00:00,182.56689990454458,169.20128212132784,,,,182.5785472934904,186.124925916272,186.33429115782263
114,2013-01-06 15:13:17+00:00,184.99829351149435,175.27938134111355,178.87820039461542,190.4997517822032,187.73769343498023,197.17975243234883,201.14236356658574,200.93659710191685
115,2013-03-11 15:13:16+00:00,197.57941072178994,191.06957538325167,184.75278428022995,192.2921174089338,196.4112204402341,202.9277348148872,207.87454317962954,
116,2013-12-08 15:13:29+00:00,192.29987869934098,188.26009214201514,189.23250268406247,194.46738331489382,192.63451281705062,198.95598928358038,201.8677023822912,200.61395467369505
117,2014-01-09 15:13:33+00:00,191.22842490636043,188.1190714970388,188.35402838648042,197.70154744465864,198.6933086149436,205.4092991220972,203.6328236422899,204.02659719425415
118,2014-01-17 15:18:16+00:00,202.37289598146626,193.52587389273214,193.58542319040524,201.3518578101745,201.91492723688773,206.29028952359366,211.00461806349864,208.87884370934754
119,2014-01-25 15:13:54+00:00,,,,193.94806396590542,194.09256551275382,199.74119702418895,199.7995754284804,202.2637618223083
120,2014-02-10 15:13:58+00:00,189.35382533369403,184.67951162991943,185.20665574723503,196.57375049554213,,,208.91951343372318,207.55118935515358
121,2014-02-26 15:13:50+00:00,198.61675485297906,194.3235320852121,196.2082717001682,204.46992840153476,,,210.55035406593305,209.15186053486661
122,2014-03-30 15:14:06+00:00,194.94027654577164,184.74193721033475,185.73222171625878,196.87562312892243,195.33667079875562,202.22375623872614,207.2776328542269,205.94560152162111
123,2014-04-07 15:17:16+00:00,,,,,,,,
124,2014-04-15 15:14:12+00:00,199.3756735340755,194.46543753820228,191.4542835313944,195.10725379121013,,,203.47143178920658,202.6273263602136
125,2014-11-09 15:15:22+00:00,192.2661010918399,185.6245675066555,186.78752616326057,193.6997653344128,192.2944126882821,,,197.8706663563928
126,2014-12-03 15:17:18+00:00,205.0560921373904,197.47098152362378,198.63578153222716,206.74687951297773,203.93209861049027,209.01440356411894,214.12799480558672,210.7494033237086
127,2014-12-11 15:15:33+00:00,,184.3845524083635,186.91493152706462,195.35373291035333,194.1929118984506,199.00314884119823,199.56297208420148,201.58939842224464
128,2015-01-04 15:17:10+00:00,209.0204931238203,200.88099491089105,196.34279340658244,202.79285428003553,205.08815988380582,207.6122389482066,212.23354343205597,214.99943418462516
129,2015-01-12 15:15:42+00:00,189.40588186450145,,,,,,,231.26025148832775
130,2015-03-01 15:15:59+00:00,190.83391841588332,185.6870927880598,185.64089991810917,193.84219823904638,194.02923614947414,200.69460187056706,207.583379280954,203.77252415626907
131,2015-03-09 15:16:47+00:00,194.2876855287589,189.44620234696822,183.86524105783084,190.4986361227652,192.8773238328439,192.34886682271946,197.9483961585135,200.21949733963598
132,2015-03-17 15:16:07+00:00,201.59406219853162,192.2111887475051,188.490423561074,199.77460926339748,197.84727257778326,202.4806778833406,,
133,2015-03-25 15:16:39+00:00,184.66618664344293,,,,,,,
134,2015-04-02 15:16:13+00:00,184.92985628791058,179.4824874226845,184.5596003164618,,,188.77086228802625,197.32887218998246,197.62766681832204
135,2015-05-12 15:16:10+00:00,150.13208221438876,134.47362534465492,121.66963802173242,,,,,
136,2016-03-03 15:19:07+00:00,172.12269242278987,,153.19815591469282,153.93641813439444,176.08116659577777,183.2219380770967,186.13169339278772,178.8700331785164
137,2016-03-27 15:16:50+00:00,180.56942067373691,169.90936436354832,174.26564111740697,184.7409040280055,179.26628462992943,184.96129988012797,185.66856775189353,192.04558819182503
138,2016-04-04 15:19:18+00:00,198.17193308731726,192.7872910173428,190.59084485662135,202.72233973790915,208.4042700646001,,,206.64038808955922
139,2016-04-28 15:16:42+00:00,183.75275280811712,176.35073645004042,179.53639457857406,187.37742998184982,186.27460411774294,190.80012384121017,194.09413257812267,192.20216537227887
140,2016-05-06 15:19:31+00:00,,191.66516805912727,194.68657447366164,201.15225003670673,199.3951806061479,203.91603603683356,208.60094915452328,204.5354516455298
141,2016-12-08 15:17:26+00:00,188.7108635098757,187.25630922078278,186.8730637044725,197.58961503264527,202.43380599590523,199.44406749159745,202.41011141060864,202.47503146583958
142,2016-12-16 15:19:33+00:00,183.94812069684136,176.51316512594542,181.13617128499703,,,191.40528169105602,198.1612407471561,
143,2016-12-24 15:17:22+00:00,204.40830705468588,189.87317535170317,188.57450008180882,200.77195977244787,197.29155210945987,204.35057717147993,208.3807109514854,205.970491259396
144,2017-01-01 15:19:25+00:00,178.21558036587786,171.68246145616456,177.04211061455055,189.8167002863384,191.8695171797499,195.89046743623265,,
145,2017-02-02 15:19:07+00:00,175.4806051471301,162.70733976147778,170.16667203160935,179.91010276752095,180.7006404173241,183.87933924652276,,179.30949252548544
146,2017-02-10 15:17:05+00:00,193.4731388989032,186.96733059125518,190.91634561583814,198.17223917574427,196.42012596463542,205.22063702158448,208.520653676201,208.18232646679505
147,2017-02-18 15:19:07+00:00,181.3872355391699,,172.17165524760247,177.75366399875782,,188.29158558956934,189.2784121144293,190.0470034712742
148,2017-02-26 15:17:00+00:00,181.9687133761857,173.10529083020782,176.67251439893337,188.69444371066038,185.49016326268685,192.81135317960326,193.61832178009297,197.71853003222253
149,2017-03-06 15:19:15+00:00,,,180.98448061528313,189.93264880151665,190.75891254165532,194.45125330626922,199.8065369766183,195.0144044020903
150,2017-03-22 15:19:20+00:00,187.43738844469885,186.4871203586823,185.44682018686808,,,196.03934600810285,201.75545970584466,200.6427112486291
