dates,nzd0066-0000,nzd0066-0001,nzd0066-0002,nzd0066-0003,nzd0066-0004,nzd0066-0005,nzd0066-0006,nzd0066-0007,nzd0066-0008,nzd0066-0009,nzd0066-0010,nzd0066-0011,nzd0066-0012,nzd0066-0013
2007-02-13 22:06:23+00:00,175.86750785607836,165.6232826945011,159.76856165794533,167.2553827871769,189.24947237554133,192.6497850873232,190.38881042766343,195.5503961022386,197.79995229904085,187.4543956504456,192.75234887193497,194.91898451925658,,
2007-05-12 22:02:11+00:00,173.23739476834237,175.45415150230184,159.11875229821936,165.60073876510742,,,,,,,,201.24893126607023,204.63109407773354,197.7816179072548
2007-05-28 22:02:04+00:00,177.2929321431248,179.05702974239236,161.59136888989886,170.74453179287875,196.16255911260447,195.6850717736349,196.24727949407304,197.63018889206225,206.12676989501065,208.95837010598257,203.62834247965802,204.89647256273054,203.45422806904554,204.2426044998054
2007-06-13 22:02:04+00:00,,,,,,,,,206.34074092481274,205.20445402476568,201.29785964205914,199.4940461809109,201.62001464248007,195.87080602834493
2007-07-15 22:02:00+00:00,164.04635141393547,157.9111182207909,150.5045946965746,160.85762815741597,192.0813622118074,191.8006569828338,192.1294861145496,,,,,,,
2007-08-16 22:01:50+00:00,170.69391056883725,159.3478054274609,150.57332138733435,164.74854455305388,186.69685243019123,191.20583347826852,193.60846412663136,197.34198897061015,,,,,,
2007-11-20 22:01:34+00:00,,,160.4182587872781,167.82451989088153,190.9307642008799,189.68648398453877,187.5739678852559,197.5251060098173,201.7285120345083,,,,,
2008-01-23 22:01:45+00:00,164.70619873376242,161.59674080310987,157.59180445303292,172.56049534932455,189.15882509201984,,,,,201.8292295869526,194.0182741664845,196.91691391930644,198.0416352856603,198.05945624544356
2008-02-24 22:02:02+00:00,162.85424173261498,156.72306266043938,157.44195139326075,169.16939573027105,,,,,216.0770085168888,194.1803946921749,191.66820116727916,194.5324821391482,189.4743023352912,196.00602230131153
2008-03-11 22:01:56+00:00,,153.6845671697857,161.05486988293578,174.54434754143733,187.9215825887261,188.0016246663365,191.728382753689,203.10609096943557,198.8148082456988,189.1107269760417,199.96715509787524,195.71052974193023,191.57231440648255,196.66142182572986
2008-05-14 22:01:48+00:00,178.27778892495448,181.34584445229274,165.16273780624684,,,,,,206.09393591842056,204.89990646185632,203.71771589069894,197.40068084902808,203.67775895425518,193.85573582266116
2008-05-30 22:01:17+00:00,,,,171.09836180905538,194.4103275004932,194.794285227931,198.3389948527972,207.59246921368995,206.38178366339392,204.5255079016704,203.29603949608097,198.16872133051913,202.7980980051705,194.94390982261638
2008-08-02 22:01:03+00:00,,156.70004080583232,152.6606857789696,167.87056209178124,186.74400288125196,188.97513688739303,192.1004227280985,189.90184088868233,198.14691781807724,196.18270640101125,187.22753843593568,195.6372986431567,194.630166983087,195.97541498967166
2008-09-19 22:00:16+00:00,,,,182.12040355335472,196.72580324834016,202.132519199656,201.70313604768336,205.5261369257609,214.19191833785968,199.49394299298416,204.2991614695332,199.18839810522186,200.90925216148602,201.01980794537428
2009-01-25 22:01:34+00:00,167.48869035476946,166.56520088885583,161.76011159624565,173.95943188648118,192.0287127747268,191.13805237684906,,,,,,,,
2009-03-30 22:02:04+00:00,167.81845334475128,160.19939017107856,154.84776485731683,168.47768878832105,187.96795375063738,195.4247242423271,189.1352340544855,195.91453626693394,197.5706117395952,188.7635251523276,195.89993697051096,190.98414833549913,188.97277566871762,197.24109590349732
2009-05-17 22:01:51+00:00,,,,,,,,,,,,,,
2009-06-02 22:02:15+00:00,159.67815197197558,148.79814315793328,140.59931802728937,158.29833263295524,183.22939946442744,187.19338357299995,184.5609077686538,197.7843360463279,204.4173641832294,202.94901922599743,204.67900122247275,199.4109113698796,203.64492111270647,212.48283436273206
2009-07-04 22:02:11+00:00,,162.63990904815438,158.5214797737461,168.87583046623976,193.9182494118781,194.74180615583322,190.3939481310377,200.1934017786235,205.230842683031,200.04400336256305,197.56086011469228,198.36441715341257,190.28014028189617,196.291355348553
2009-07-20 22:01:42+00:00,175.5929315978737,170.7899271605976,166.98530076019782,169.902994631883,,,,,210.61489509640379,204.59407223468162,202.15221328052263,198.53745119360684,203.79333773054324,195.6176048701952
2009-08-05 22:01:37+00:00,,,,178.96650119283512,200.74594625807464,200.47841769862495,196.5414752054374,205.94731144310023,205.9382732414451,206.88696860919984,202.8339900201029,195.1337402234772,207.0249167350683,200.3174436828219
2009-09-06 22:01:35+00:00,171.68439953612264,166.64719643183884,160.6779239543051,175.9497373145175,193.4091082598084,190.32723564550002,193.47325634305457,198.7210599518113,196.40640004546984,195.93048376541765,194.4526030868952,195.09013341525872,198.08160104842733,199.02203007990494
2009-11-25 22:02:33+00:00,,166.37697182986903,163.55507601201822,173.5270121912903,193.7333352887541,193.13420279510464,192.28801841610343,196.55351852917235,197.47033397996987,200.1128283646548,199.74770894500114,191.39884368093252,199.6257809588074,190.72958209489406
2009-12-03 22:02:19+00:00,173.9180071268054,166.93808208254794,165.47219285481052,177.1589341748664,196.49091898034587,194.6183845756613,191.38344002737543,204.47075640674817,199.074102239683,195.97776332525356,201.53002749525612,197.98451660534033,195.95319487348107,196.50784741292387
2009-12-27 22:03:02+00:00,162.71013086898427,157.8518932661433,,,,188.37012537138688,188.3546741200797,191.23138781115597,193.49513966917996,191.68578557624934,186.59669351976817,186.6687968039269,187.30241203663587,187.9921363946005
2010-01-12 22:03:17+00:00,,159.8210066506672,152.93993301500404,167.6068357257432,188.36611504390248,190.54513505638238,190.01225174402185,191.96215537275097,196.0723346358328,187.72218749141769,193.4504435041521,192.05163082644162,185.0663811367065,189.90143965622158
2010-03-17 22:03:33+00:00,169.99181184874925,165.29145118012786,155.03640376386693,170.77015634627207,189.19522849258405,189.30231656696012,186.28631494512044,185.6988235238943,187.47277467339444,192.6772839556266,187.38248314206425,193.30746389747642,191.8641762453412,196.7739609864798
