,dates,chi0496-0000,chi0496-0001,chi0496-0002,chi0496-0003,chi0496-0004,chi0496-0005,chi0496-0006,chi0496-0007,chi0496-0008,chi0496-0009,chi0496-0010,chi0496-0011,chi0496-0012,chi0496-0013,chi0496-0014,chi0496-0015
491,2017-11-08 14:42:07+00:00,56.23945152888131,58.591521585346094,111.4415733965875,156.53679664551166,160.2057880472657,168.16644467530807,159.4394274285014,148.3997174419813,175.7129850316133,166.99086152642624,162.2205628520374,159.4847953184031,163.01033515244256,157.58749583733717,164.98372983838823,156.5918537810306
492,2017-11-24 14:42:02+00:00,60.71120482129825,50.69707937696337,122.38714929987123,130.22425546276628,149.4687719951836,159.85947316966272,148.74949080461934,141.10552401083896,158.44130438502526,158.88281832661826,145.65824996552251,140.13339736110737,125.98213214652324,149.4999340998501,139.79441827570008,137.6455294478911
493,2017-12-02 14:44:20+00:00,62.39409798234187,62.30768471386753,101.26107575932656,,,,140.09982172483055,135.8696434653206,151.21404496423278,156.5793387764404,140.87238406846006,136.9313206529152,132.42188066024352,,,
494,2017-12-18 14:44:10+00:00,,65.00342554978184,121.03380002270328,149.79143539416415,148.11518976398833,148.74270055739464,155.61080714266166,147.42960451353363,,,148.7790306830884,143.85778733135416,151.34345972407854,157.7450221824118,158.71789654953977,156.2012436878727
495,2018-01-11 14:41:55+00:00,66.80114192660955,62.384749632062245,135.39769367196706,154.16493901715606,158.2579496912316,161.2276946209546,160.24658856547458,170.79144123209068,157.4095677467297,193.82872587644513,165.67138527952554,162.44547344897217,153.235241603221,168.98595477263635,151.8138731496417,175.21721366746272
496,2018-01-12 14:37:40+00:00,54.52547268548972,49.335754949989386,,,,,139.2661273970027,151.40048920604048,138.94251290539177,166.86760930663826,148.4298274277371,135.64471544573553,,,,140.54822225883143
497,2018-01-19 14:43:45+00:00,,,,,,,,,,,,,,,,
498,2018-01-20 14:35:40+00:00,50.131610090194755,53.6391023554464,,,,,,,,,150.28461410425507,134.98793379318738,121.07261410236073,145.44285067652214,136.21642674646122,130.874289417078
499,2018-01-28 14:37:25+00:00,,,147.78561883973526,159.74087804813666,158.7905717261634,166.33641484219822,153.75738556899955,156.668223175276,158.26984068428337,,,,159.76224695125003,159.27977610124123,160.59136661909267,170.2333375406609
500,2018-02-04 14:43:28+00:00,57.35982576435052,105.9703662069968,156.6588115249804,,,161.94734081711502,152.88643989038096,149.76613105337415,161.23203614176717,183.42024229897245,167.133725702994,163.80302594082121,163.86166332157845,,,166.11938478344268
501,2018-02-05 14:35:31+00:00,62.98586086136418,109.99316010288739,157.78798045874487,174.36188580504844,176.12139782517036,180.04004582921928,177.8733068281672,172.83813567902877,178.80800332734185,201.58304486572797,178.88317680495788,185.72403775390424,182.24871508415143,176.40476341620135,165.7601991518832,184.76610010268223
502,2018-02-12 14:41:40+00:00,93.89098846545502,133.01176870289248,169.17644815175075,193.1572625181443,189.70863184821383,184.5298733187871,186.8637564099212,178.42307568850666,177.99119277707976,189.90413732153118,188.20728175521404,185.8867121648545,190.6116307262979,184.8496650876903,178.37317197622986,181.35504201966253
503,2018-02-13 14:37:12+00:00,,71.92485574044372,149.72218272123058,171.29023710527684,169.0550084493794,167.97976466152042,168.9599170950821,,,,173.3527254424073,168.6934946413082,178.38503289075766,174.73369931823217,164.55765267693423,163.0340758938089
