,dates,mex0222-0000,mex0222-0001,mex0222-0002,mex0222-0003,mex0222-0004,mex0222-0005,mex0222-0006,mex0222-0007,mex0222-0008,mex0222-0009,mex0222-0010,mex0222-0011,mex0222-0012
52,1995-07-27 16:22:49+00:00,212.13380005534907,222.95498357544645,229.36434126395073,235.3278742696239,235.83285050300654,236.46273904664366,229.00596389619167,230.7067133914274,237.55778651426633,239.17823312328426,233.07127450460612,230.47130353820316,235.74118695773575
53,1995-08-12 16:22:05+00:00,203.09618358882136,207.41500202429447,206.17447600614938,217.2565872811765,221.17052297066783,222.24228311725136,218.51180511796002,224.90503794972113,227.56278428510407,229.8581129154429,227.62212685074948,226.31606112168566,227.69774807754106
54,1995-09-29 16:19:46+00:00,196.04022583656445,209.70719973008255,207.38672276289114,204.2771621918817,214.90497489619813,220.8833902571748,216.50050952339015,222.66555738224974,221.2988897254296,235.605286994864,234.70101803477957,222.63356935374458,230.02441880992382
55,1995-10-08 16:13:30+00:00,221.99585231983815,217.6008012061484,212.17495145975565,222.39858531645558,225.2936748057007,228.8413503244481,223.69980623651557,,,,,,
56,1995-10-15 16:18:54+00:00,212.69910049983775,213.9199349946393,213.46815234860702,213.89015275866296,219.39476777427515,227.86205454119394,225.97956325991797,226.63141313070713,221.52535698857892,229.8915119120832,223.81469645537467,220.35729196312275,226.1094218779751
57,1995-10-31 16:18:06+00:00,222.8253596652065,221.56148341955065,217.58970095932813,226.41558725693372,231.14108568848187,230.58070046108645,237.46015014141076,235.23114189694135,238.96490037872272,235.26441983970372,228.99328646240357,225.1829560765633,235.86845863695356
58,1995-11-16 16:18:03+00:00,209.50378638214718,213.6861133096059,215.07705976131854,215.34897608089778,218.6440184056039,226.59385552891584,226.53638256800815,229.05688144654403,226.02602931208938,230.4084235289478,222.54536119318962,222.8509412222434,234.8693977525143
59,1995-12-02 16:18:39+00:00,216.62076188956374,222.49849927971047,220.52400605717474,228.70967842968562,223.90015407941928,232.12869106901786,231.55202285012354,229.86634893636048,230.20277242176826,235.79857495491464,238.5750482371808,234.5026074844033,238.55067633489477
60,1996-01-19 16:22:08+00:00,,,224.0412098192364,230.32041012226662,231.61231629253817,231.79969065273787,227.27008464246512,233.7538490113407,238.40595195928128,239.15981797730456,237.19710495184455,227.858219584345,228.5967738381421
61,1996-02-04 16:23:15+00:00,221.9754388360077,225.33268577033266,230.00549608060334,232.47435957966977,234.223590668787,238.25838353831642,231.26615708511127,238.07652778617614,238.53650955542003,252.5832544392537,244.2173734184142,240.71247660383352,237.47592654745733
