dates,nzd0006-0000,nzd0006-0001,nzd0006-0002,nzd0006-0003,nzd0006-0004,nzd0006-0005,nzd0006-0006,nzd0006-0007,nzd0006-0008,nzd0006-0009,nzd0006-0010,nzd0006-0011,nzd0006-0012,nzd0006-0013,satname
2020-03-27 22:17:20+00:00,370.16,358.65,357.26,353.83,350.72,344.85,343.36,338.72,346.74,354.04,344.14,359.67,359.22,359.18,L8
2020-09-03 22:17:46+00:00,356.48,338.09,336.96,334.15,323.58,329.72,330.62,328.26,324.83,325.48,329.82,338.57,337.68,325.18,L8
2020-09-19 22:17:52+00:00,368.30,348.23,344.84,349.93,337.22,341.23,342.10,339.91,348.19,341.37,342.93,350.75,352.42,340.99,L8
2020-10-05 22:17:55+00:00,362.10,352.60,339.44,342.19,322.68,335.38,342.73,335.21,344.44,345.99,331.66,339.39,343.65,336.60,L8
2021-01-25 22:17:44+00:00,378.52,370.14,365.68,360.23,359.52,354.16,357.79,351.85,360.31,367.31,378.25,384.97,394.18,387.53,L8
2021-04-15 22:17:16+00:00,380.06,373.51,366.63,362.63,353.39,357.66,360.48,353.67,350.18,361.18,376.49,373.95,384.70,392.05,L8
2021-05-01 22:17:07+00:00,371.82,368.66,356.16,351.47,354.06,358.94,348.98,347.95,348.89,355.11,366.89,371.02,375.18,384.28,L8
2021-07-04 22:17:29+00:00,331.74,315.75,318.06,303.86,296.27,293.90,299.25,298.79,303.67,302.22,298.79,291.18,304.25,,L8
2021-11-09 22:17:58+00:00,345.43,337.15,323.22,322.68,324.17,326.27,312.93,313.18,320.47,326.31,328.64,322.38,315.78,323.98,L8
2021-12-19 22:17:52+00:00,361.64,342.51,337.52,341.58,333.68,334.36,332.95,329.23,335.45,331.69,337.25,341.15,341.91,343.60,L9
2022-01-12 22:17:49+00:00,348.83,329.26,327.73,328.31,326.85,319.94,315.72,313.96,322.13,328.26,330.80,321.71,331.69,345.29,L8
2022-03-09 22:17:37+00:00,329.53,312.22,298.36,295.36,278.42,286.08,272.48,270.76,277.87,294.12,293.64,295.74,304.70,302.35,L9
2022-05-04 22:17:26+00:00,,,,283.55,279.77,289.17,293.64,278.20,285.80,307.45,321.05,332.71,314.36,314.36,L8
2022-05-12 22:17:13+00:00,336.51,,,,295.34,290.44,278.43,291.44,289.91,298.18,309.37,310.88,308.65,298.76,L9
2022-06-05 22:17:39+00:00,,,,,,,,,317.42,316.92,324.25,333.04,334.33,337.52,L8
2022-06-13 22:17:12+00:00,,,,,,,,,,319.57,317.29,341.02,330.60,330.62,L9
2022-06-21 22:17:48+00:00,334.72,311.10,293.07,295.01,287.51,277.66,275.94,283.23,288.76,299.57,308.00,314.57,312.91,303.97,L8
2022-07-15 22:17:24+00:00,346.25,324.68,304.33,311.75,304.20,302.21,284.36,294.11,296.56,314.76,321.51,321.90,,,L9
2022-07-31 22:17:39+00:00,365.77,342.56,329.72,335.70,325.87,319.09,303.68,305.35,315.63,330.01,333.18,339.69,346.62,352.51,L9
2022-08-08 22:18:05+00:00,350.55,332.32,317.41,306.96,316.95,300.15,308.40,330.07,315.93,308.47,312.35,314.55,324.99,348.70,L8
2022-09-09 22:18:11+00:00,350.53,337.24,329.06,323.10,305.22,304.90,308.91,312.43,315.13,319.80,329.99,340.15,329.95,329.60,L8
2022-11-12 22:18:10+00:00,339.45,327.78,311.31,312.44,305.03,304.55,291.61,300.04,293.62,313.22,324.33,335.77,326.93,,L8
2022-11-28 22:18:09+00:00,363.24,341.82,330.87,318.55,328.86,330.82,313.88,310.67,326.38,326.49,337.70,352.13,354.19,351.74,L8
2022-12-22 22:17:59+00:00,353.05,327.57,311.77,316.60,313.22,309.18,307.90,318.36,312.31,336.88,353.82,358.78,341.14,332.74,L9
2023-01-15 22:17:53+00:00,348.94,,298.08,311.44,315.52,305.19,293.99,302.73,327.37,328.92,326.95,338.44,331.72,313.70,L8
