dates,satname,nzd0414-0000,nzd0414-0001,nzd0414-0002,nzd0414-0003,nzd0414-0004,nzd0414-0005,nzd0414-0006,nzd0414-0007,nzd0414-0008,nzd0414-0009,nzd0414-0010,nzd0414-0011,nzd0414-0012,nzd0414-0013,nzd0414-0014,nzd0414-0015,nzd0414-0016,nzd0414-0017,nzd0414-0018,nzd0414-0019,nzd0414-0020,nzd0414-0021,nzd0414-0022,nzd0414-0023,nzd0414-0024,nzd0414-0025,nzd0414-0026,nzd0414-0027,nzd0414-0028,nzd0414-0029,nzd0414-0030,nzd0414-0031,nzd0414-0032,nzd0414-0033,nzd0414-0034,nzd0414-0035,nzd0414-0036,nzd0414-0037,nzd0414-0038,nzd0414-0039,nzd0414-0040,nzd0414-0041,nzd0414-0042,nzd0414-0043,nzd0414-0044,nzd0414-0045,nzd0414-0046,nzd0414-0047,nzd0414-0048,nzd0414-0049,nzd0414-0050,nzd0414-0051,nzd0414-0052,nzd0414-0053,nzd0414-0054
2003-05-24 22:08:40+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,377.68,372.70,387.44,384.83,354.75,347.21,345.96,349.11,350.75,359.26,369.63,369.74,371.85,378.92,386.28,398.92,409.97,404.21,414.45,414.44,405.15,404.99,400.37,389.17,386.16,400.16,400.29,394.79,390.93,393.21,400.08
2003-08-20 21:57:03+00:00,L5,,,,,,,,,,,,,,,,,,,,,378.91,381.98,384.50,379.02,382.04,391.21,403.28,394.51,391.07,380.24,384.52,384.40,383.56,379.53,382.94,382.39,391.36,405.69,416.43,410.45,407.93,414.88,422.23,411.18,399.26,387.78,387.29,382.77,370.41,367.25,370.32,368.29,371.09,374.44,381.33
2003-08-28 22:08:21+00:00,L7,385.83,378.30,396.11,394.41,390.21,376.23,351.81,345.01,330.47,316.84,324.31,335.37,343.40,366.51,378.80,371.34,368.04,360.73,365.24,366.86,366.48,359.32,366.29,368.52,371.02,381.10,385.32,385.32,371.30,368.44,361.44,362.09,372.57,349.96,356.69,355.81,367.14,381.94,386.95,396.72,386.90,386.48,382.44,381.56,371.15,360.82,354.76,348.20,339.59,341.77,344.24,336.61,333.08,341.42,357.11
2003-11-16 22:08:35+00:00,L7,495.26,479.06,461.82,443.45,,312.54,297.37,316.42,314.72,324.21,328.10,333.89,357.84,348.85,357.19,334.33,332.57,337.64,346.50,,,,,372.29,376.20,389.97,397.98,402.68,421.70,416.97,379.57,375.71,374.80,370.48,371.29,377.57,388.61,395.04,411.59,421.60,419.74,423.93,420.97,415.93,399.79,382.92,,,,371.46,383.52,391.14,385.88,390.83,397.83
2003-12-02 22:08:38+00:00,L7,463.19,469.19,461.75,465.83,,,292.19,291.93,302.46,304.56,310.19,311.05,319.68,325.49,331.24,338.52,328.66,322.04,332.66,335.13,340.15,353.22,352.81,349.84,357.30,361.49,366.71,370.17,366.42,362.34,362.38,,,,345.78,354.99,363.09,376.43,387.23,390.99,395.87,400.62,397.65,388.34,374.45,363.96,352.82,348.48,350.13,352.87,358.28,359.70,362.98,368.10,
2003-12-10 21:58:29+00:00,L5,471.13,470.50,478.09,486.19,,,,288.70,295.91,290.27,290.25,300.19,318.94,327.88,340.19,343.21,344.39,336.76,343.53,344.07,355.02,355.32,360.26,364.80,370.96,383.26,386.88,388.66,378.23,370.27,367.51,361.01,360.27,354.72,352.95,364.13,376.50,382.28,385.44,400.68,407.76,406.91,400.47,393.78,384.75,373.58,373.09,369.16,364.83,373.73,380.95,383.37,387.00,383.61,384.39
2004-01-03 22:08:54+00:00,L7,400.00,425.12,442.14,463.16,,,,,,278.68,271.99,273.56,271.83,276.27,295.98,305.73,310.44,320.95,326.49,335.28,337.30,344.26,347.05,351.88,356.72,358.45,376.64,386.29,372.24,372.50,372.89,,,,351.05,352.87,359.99,367.24,378.42,384.86,387.52,388.76,381.79,374.79,370.89,358.75,342.53,338.17,335.57,341.07,356.83,363.76,370.31,376.67,
2004-01-19 22:08:59+00:00,L7,395.26,421.50,438.78,456.77,,,,,,,269.52,274.66,268.56,264.78,273.39,284.85,288.04,298.75,313.65,315.07,323.63,332.27,343.51,346.94,352.80,353.25,365.85,367.55,361.36,357.86,353.48,358.27,,,,358.80,373.82,379.94,391.09,389.92,389.09,384.97,383.14,373.16,367.90,361.53,347.02,324.10,327.25,328.56,328.39,331.84,338.37,343.35,357.50
2004-01-27 21:58:50+00:00,L5,423.59,445.17,465.78,483.63,491.95,501.81,506.19,499.83,485.14,436.21,,345.89,329.28,297.56,303.43,309.01,310.50,317.89,336.21,348.24,360.43,370.75,374.43,378.31,384.43,388.63,400.31,395.64,392.50,381.72,382.79,386.28,385.23,385.50,385.92,393.09,400.68,411.35,418.12,417.19,416.20,416.05,413.79,403.30,397.04,387.80,385.48,381.14,370.93,362.58,367.12,378.96,382.19,387.28,392.26
2004-02-04 22:09:05+00:00,L7,379.76,419.64,416.86,410.95,,,,,,,,276.91,271.65,261.97,269.68,,,,,306.65,312.05,322.97,329.16,338.19,347.85,349.65,358.90,355.45,354.14,348.79,344.96,351.95,340.97,342.85,348.99,351.62,354.01,361.02,382.25,383.58,382.41,378.33,373.64,,,,342.22,330.89,321.32,323.86,323.49,324.11,331.63,343.40,349.11
2004-03-23 22:09:16+00:00,L7,392.58,413.02,419.64,419.78,,,,,,,,,,349.69,341.76,312.30,294.01,293.33,296.16,302.15,311.70,328.65,336.42,344.24,358.05,364.62,379.99,387.71,378.89,,,,382.30,389.06,382.83,375.89,380.97,389.23,406.62,411.64,413.80,406.28,411.97,410.83,394.67,379.14,375.83,367.33,364.54,368.56,368.93,357.30,356.81,364.19,
2004-04-08 22:09:12+00:00,L7,,,,,,,,,,,,,,,,,,,295.19,292.33,294.16,312.45,328.26,339.19,357.01,357.45,356.51,368.35,369.76,370.32,364.78,370.47,377.47,377.17,381.26,380.59,385.76,393.25,407.06,413.93,417.29,419.22,,,412.41,402.01,375.81,363.97,342.84,351.30,350.41,352.15,352.87,342.08,350.19
2004-04-24 22:09:07+00:00,L7,370.73,361.65,385.59,418.96,,,,,,,,,,391.32,336.52,322.18,327.42,321.15,317.83,309.94,332.85,338.49,345.63,344.02,346.60,364.18,,,,383.68,396.52,,381.52,382.66,386.01,395.74,413.46,412.62,415.27,422.19,423.14,420.34,427.48,433.35,437.09,439.13,439.93,446.97,,359.62,369.49,373.57,378.60,363.82,372.45
2004-05-18 22:00:38+00:00,L5,359.42,358.62,385.84,413.42,435.04,452.27,464.84,474.68,495.53,505.82,498.81,,384.83,381.80,364.82,320.25,305.39,311.49,319.53,325.20,328.54,330.12,334.17,344.53,355.91,376.21,391.23,384.85,379.02,384.11,383.84,381.69,381.65,389.59,388.38,400.52,407.29,415.35,421.98,426.91,424.35,420.73,418.50,405.92,401.16,390.11,390.29,384.46,370.90,370.80,362.04,355.98,347.31,346.45,358.62
2004-05-26 22:09:09+00:00,L7,339.09,,,,,,,,,,,,,,,,,,,,,,,,,346.79,,,,378.25,367.62,383.52,377.96,377.55,388.45,398.96,,,429.37,433.57,427.84,433.91,435.22,435.55,430.98,436.08,422.28,418.91,427.71,414.54,408.38,400.98,395.76,386.97,387.36
2004-06-11 22:09:02+00:00,L7,,,,,,,,,,,,,,,,,,,,,,326.23,333.79,339.65,346.61,357.11,378.78,380.94,385.67,385.67,392.59,390.13,392.39,397.62,395.82,405.09,415.58,421.79,441.48,442.03,445.59,448.94,430.79,435.05,440.46,439.56,427.60,425.72,420.92,417.39,420.63,411.03,401.69,378.25,378.57
2004-06-19 22:01:34+00:00,L5,140.04,,,,262.48,,218.57,,,,,,,,247.64,,,,,,,,,,,,,,,640.23,626.75,,,,408.51,430.76,,,,,,126.22,146.20,,,,,,,,,313.89,355.01,385.08,
2004-06-27 22:09:00+00:00,L7,,363.95,,,,,,,,,,,,457.00,461.23,445.41,422.41,,300.23,300.96,301.29,309.46,320.02,329.27,332.80,333.96,343.36,,,546.67,507.26,,,,,369.08,378.28,390.06,405.80,414.71,413.13,,,,,,394.76,,,,,219.14,65.48,65.37,64.31
2004-10-01 22:08:33+00:00,L7,327.66,329.51,333.33,351.78,352.00,342.59,349.62,360.15,,,,,,410.68,407.11,396.08,360.57,344.76,346.02,355.47,348.00,332.39,315.95,319.85,330.42,335.13,348.82,359.82,363.17,363.02,358.31,379.06,400.56,395.64,383.38,356.08,355.02,360.45,,,,395.80,392.41,393.71,384.47,382.14,375.64,384.08,385.43,381.03,385.09,385.19,381.61,381.97,384.49
2004-11-10 22:04:59+00:00,L5,322.06,317.65,317.96,322.23,326.92,324.46,341.40,363.62,385.49,401.92,393.97,381.65,366.66,,407.29,395.25,366.01,355.88,350.11,337.57,342.41,348.36,345.94,345.97,344.60,336.35,332.01,329.57,330.36,339.65,348.50,368.80,382.67,394.17,397.78,386.05,365.20,366.36,378.20,389.33,397.73,399.51,404.75,404.51,394.24,378.51,376.81,370.68,366.60,371.31,370.74,369.72,364.19,368.07,374.70
2004-11-26 22:05:17+00:00,L5,325.15,316.15,313.17,315.50,324.43,318.78,322.12,336.15,346.79,360.34,375.36,395.44,408.38,358.11,380.78,358.22,331.62,320.62,316.37,317.62,325.56,322.22,321.63,317.22,334.82,343.20,355.25,355.58,335.21,322.36,316.47,328.52,348.35,371.71,380.57,381.57,377.94,371.40,366.56,364.53,351.48,351.54,352.92,364.05,370.89,361.46,348.01,342.05,344.54,345.17,350.20,357.71,363.82,364.43,375.13
2004-12-12 22:05:37+00:00,L5,329.87,320.96,318.90,311.21,318.28,325.14,342.48,348.10,309.75,,364.80,379.33,386.06,401.68,423.27,402.55,381.43,329.34,304.82,300.69,302.64,308.16,313.34,333.98,340.76,332.41,347.13,362.20,366.35,348.40,329.73,314.03,323.33,349.54,365.99,369.38,379.66,384.63,381.47,370.07,363.88,359.49,357.35,363.88,362.48,364.64,351.99,347.18,340.77,344.00,344.82,347.94,358.12,361.68,365.98
2005-01-29 22:06:17+00:00,L5,547.45,,,,,601.63,,,,,,,,,,,,,,,291.24,,,,,,,,,468.66,508.17,,,,,,,476.52,,,,,,,,,,,256.85,,374.48,362.66,465.92,456.45,418.60
2005-03-02 22:06:47+00:00,L5,378.80,354.36,345.27,359.45,365.48,377.85,373.24,353.55,356.39,351.55,353.05,357.02,376.44,392.83,409.62,418.88,418.92,420.71,410.71,389.10,376.35,385.02,368.46,362.49,367.14,377.97,389.34,389.04,384.38,383.43,386.28,386.52,396.06,404.93,396.52,390.91,392.29,405.79,422.55,439.89,446.35,444.23,437.32,420.07,401.45,373.11,368.90,370.00,379.37,378.65,379.56,387.97,392.58,395.61,403.25
2005-03-18 22:06:58+00:00,L5,373.81,376.88,345.22,345.09,359.94,366.21,357.37,365.94,360.14,360.00,353.98,358.76,377.46,396.82,414.73,412.79,421.28,430.10,418.07,410.26,395.72,375.22,376.26,381.83,383.12,376.50,388.00,387.14,377.37,370.59,369.67,378.61,382.08,386.14,385.84,392.52,405.42,417.89,433.17,447.07,456.53,464.68,448.75,439.42,405.79,378.98,367.29,367.91,360.27,360.73,365.53,368.43,371.36,380.80,383.75
