,dates,chi0224-0000,chi0224-0001,chi0224-0002,chi0224-0003,chi0224-0004,chi0224-0005,chi0224-0006,chi0224-0007,chi0224-0008,chi0224-0009,chi0224-0010,chi0224-0011,chi0224-0012,chi0224-0013
227,2016-11-21 14:38:36+00:00,212.76414581803712,212.77684249779062,220.17158298704595,213.79103808775338,217.51479550511556,213.0016337690173,218.13350042396345,212.0021090872001,218.43412660135928,215.68402489748541,208.08592269850874,208.99567332681121,211.76029553948473,224.82089991542387
228,2016-12-07 14:38:34+00:00,213.198287202465,206.1768376714659,215.1712832283604,216.49562456191398,232.69480425020225,220.0113912843233,222.29614392636316,216.50231009784073,220.36661646734333,218.7914134906922,215.46225920358833,227.45134408568828,227.3807904250336,230.34326178159245
229,2016-12-23 14:38:29+00:00,212.60435580679194,208.67446448209557,215.91892177860404,216.59472531984892,217.4970575612288,216.37074903033545,214.5259101382192,218.1568117371553,219.30023488122364,209.28916410972383,223.79890854862956,222.86500738656258,225.5905701167938,221.00539725699747
230,2017-01-08 14:38:26+00:00,241.68695848216075,229.60945911707566,220.21609355744266,220.71435476420575,221.84013627479595,218.32659671976006,218.86039002627675,220.86499035172272,221.9264569262017,216.5166115475709,214.66962887822623,210.107455100669,221.67014173247824,226.2638386768031
231,2017-01-16 14:40:23+00:00,226.1983425501933,221.28029680512162,224.28105196540818,219.27896038567565,223.58134909616825,217.6197879582725,225.03329949628943,221.9136798249053,,,229.4568501812115,231.5953033920805,232.11351911932067,216.0867413146092
232,2017-01-24 14:38:21+00:00,218.64715715578373,212.41540265201664,222.2606579644184,224.75001108809866,224.72670381568545,222.24478685774616,220.13468360362427,217.876950914107,217.93861316635534,216.97772251890703,214.3640888602976,213.31846812089125,212.9461180961922,
233,2017-02-09 14:38:13+00:00,212.39042987650484,209.77249974722375,216.82000031166805,214.22434591111247,216.82751090283597,207.87841115878365,217.98300838571276,213.69295645606383,217.72613190129755,215.35145279052952,213.64723217148793,213.14143502548353,212.46544138129823,216.61108878460917
234,2017-02-17 14:40:14+00:00,204.01671616086688,200.18658147518977,209.27386217262014,212.25997743431833,214.19111465636658,213.87075874525422,216.89791738990343,218.46441768709724,219.05608198789497,222.03927558920563,,216.16082349336253,226.6465019812471,218.12635837914667
235,2017-02-25 14:38:08+00:00,212.34382851600884,210.02762241271512,216.31624688184013,219.9525076170615,218.74084079761133,210.19463434864272,215.7540287839403,230.450793314973,223.14983631551067,213.81187866065915,216.75727395852772,211.851056583842,212.0278948806078,225.531823767905
236,2017-05-08 14:40:43+00:00,214.802002014556,210.75277882002865,216.4159298440038,217.11250133499732,221.30373082231995,216.0446382820008,224.11687875622243,219.2685725543611,229.53538873008762,213.83480705899828,216.45661677919122,216.55293235667853,206.80397642478843,218.76425648649897
237,2017-05-24 14:40:46+00:00,220.51579283943553,211.82280854304133,218.40261583135242,220.15641186717474,229.797366008756,223.71377820798162,227.92519501435302,224.9789552256784,235.66816282247987,228.371762598397,217.06817698333455,216.19040686443103,209.63162748094638,210.94877814841203
238,2017-06-09 14:40:51+00:00,216.41632430099548,216.41645046164865,227.22513817822892,223.55135594379516,228.57780485433483,225.07389752928123,226.398849674183,230.57481993097318,235.61076309991856,229.56040729713027,225.64924769563788,223.26147151963033,220.55267217259623,238.97764763170807
239,2017-06-17 14:37:58+00:00,212.48509568235647,209.60672258087985,214.56238607186404,216.6691822498529,222.0453717687294,218.12848848820565,224.5547549979706,217.31757870632586,226.92452901010637,220.03415134540805,216.48216931337905,214.75433546336774,208.18102351359414,214.43856008246206
240,2017-06-25 14:40:54+00:00,220.16981542628065,205.11754968396536,213.43485506078858,206.4242011464958,199.61836412323868,189.0395992586082,187.52791941867343,191.4309646114716,,,216.342447830492,208.67716767080233,207.1876414976163,211.01320677861992
241,2017-08-12 14:40:51+00:00,204.69894024046155,206.74191523757344,209.72879482728487,210.3727190005023,212.20021288296644,,210.07485862952106,209.150632985846,212.8534950714506,207.5265993385679,214.66868337404216,209.83949327493676,206.6397347860149,214.56223732527255
242,2017-08-20 14:38:19+00:00,205.19398685904974,210.1521414530901,210.95247685401822,,,,,,,,,,,
243,2017-08-28 14:40:52+00:00,209.05010269165697,205.56081141290704,206.56591099504425,207.87729812495297,208.8584917858295,207.8166076489774,211.17017611637382,214.74857304321634,,215.98227359912127,215.06474970660412,212.58407455588664,218.95678780906005,224.0968584994995
244,2017-10-07 14:38:31+00:00,,,,216.7472788948875,,,,,,,,,,
245,2017-10-31 14:40:53+00:00,201.95484742866964,202.6509874719252,198.66164664469648,200.0354754685373,196.88409763703072,195.94332913881257,199.59187834950066,201.3280921739639,201.1692220202609,200.97816832651858,203.4959257016576,200.62016794560523,196.92624961683535,203.05975133665387
246,2017-12-18 14:40:35+00:00,210.9310071592287,212.30795520895774,205.95361193142412,212.09464796876114,214.81366658809256,211.54339881652996,211.18583909064492,218.04030265959557,217.54694407553134,208.93678878086615,215.42440259027617,212.7010558522792,208.67968616650552,220.74874349210972
247,2018-02-12 14:38:04+00:00,215.38224502036212,209.5191729017658,218.83256810013694,216.18120272892253,222.38969871425525,217.6739903336539,221.56659181326046,216.65433495427885,229.04864892056943,222.20542592263686,216.97684448368065,215.0138517294603,224.93727478067922,217.53480137730014
248,2018-02-20 14:39:43+00:00,220.754953630535,212.51395561500175,,212.7044446645038,213.79475012440707,210.45955969530303,214.31226019827997,218.23420078815488,223.48113880648893,217.59420005373255,215.0169250049212,213.7318499395012,210.16083978044662,
249,2018-02-28 14:37:58+00:00,219.35531867840572,213.36291258076636,220.95521882976152,219.49311372073564,225.26602132101078,220.05758068395946,227.47816023372633,220.95838885569202,229.7961961899964,224.6306885661219,220.71249766038568,219.01240602553915,225.81357592932375,220.338544750103
250,2018-03-08 14:39:32+00:00,215.8918638832015,210.8962449784619,215.79516536100306,218.5909160587946,218.6489572910729,219.45727507007302,223.63874046849133,,231.37639715229477,225.03045252300183,230.36521440233912,234.13593744577258,232.41978334643346,219.41234088002932
251,2018-03-24 14:39:20+00:00,220.87179792199072,218.71660748571693,,214.58308875877384,221.36725092540883,215.58303120813025,223.2662845930181,220.88674978162095,233.60143335029505,225.14091726898226,233.6474582068968,234.2868738005177,234.53462356051236,
252,2018-04-09 14:39:05+00:00,220.6866894746608,217.4541422671006,219.50530626183868,223.24449216330297,,217.3578955828624,227.2908794758745,224.34547777552282,231.0808225997467,221.753853640689,226.46154632676627,225.23704190484082,222.9365399144338,219.43027366037666
253,2018-04-17 14:37:32+00:00,212.86447953108356,211.9385244248077,217.23838319316948,217.43181171387238,219.13096036399867,216.82463921109306,218.59269342547285,227.15175832443023,232.91649195601644,224.59417391395854,225.2823262551889,228.9249121009804,231.59542157459583,217.30573433135885
254,2018-05-11 14:38:31+00:00,208.08056552800065,206.98102620163831,211.21268168295305,211.85123590967137,,,,,,,,,228.41617323934483,221.34773946346579
255,2018-06-04 14:37:02+00:00,213.81834510788113,210.95958439790184,217.65786208706407,217.90236176147633,221.167111319002,223.58824782765026,228.4180144364578,227.32142038113497,233.4074260488822,226.63005533091967,240.88178358301587,230.14600717203143,229.62750621645068,220.9370670494192
256,2018-06-12 14:38:00+00:00,201.47374290719557,199.4184587984786,212.375114887468,211.8124246212595,216.41506739601934,211.52178137529575,217.95708895536214,,223.08988220608092,214.45128362811238,217.6528220656433,219.65878750363092,205.92370537044957,206.20333636985228
257,2018-07-06 14:37:21+00:00,212.20865841264984,209.53393293019852,217.41143241841408,216.36863959188958,217.060946579393,218.56832843967865,221.0136777312477,225.05181639131467,228.67882193883796,224.88905213710865,222.82301304414966,216.3208574886028,214.5174954183063,215.1189855821196
258,2018-08-07 14:37:37+00:00,212.31560688403172,209.38734667082122,216.15710890822243,215.57067628006794,219.56508157552227,217.29257919359128,222.02371776754424,222.64331879806906,228.16696920979044,221.38316814904627,223.32217537174014,218.9040966897792,211.0022756585905,218.3875759302791
259,2018-09-16 14:36:08+00:00,209.15591578157324,206.55747909385238,212.33450964359335,214.7413103690715,220.31749032658627,224.23377720647167,229.96235340130823,234.19436109262008,236.56125731895574,232.02855785434286,,221.55785725876672,221.10977615017936,223.94876812682963
260,2018-10-18 14:35:22+00:00,207.04054386691095,207.12167619625004,213.64803064438152,214.18806254518617,,,,,,,,,,221.9331909048469
261,2018-11-03 14:35:02+00:00,211.21330717832038,210.60368797829688,218.3799083816412,,213.99144891945153,214.96237782224784,221.58481603462977,225.06560201514435,228.09119464678196,229.6842708945573,238.49306905139065,232.7455366457817,227.37533129089226,215.93141232922073
262,2018-12-05 14:34:14+00:00,209.08129537067592,206.6639604363466,204.23366411142624,211.4524292007683,214.7841675305394,207.37069058227604,208.39631778868028,212.53308224323195,215.37447725188952,,213.6558594832353,213.32162434867283,205.62271191659556,206.2657847453365
263,2019-01-06 14:33:19+00:00,215.96406628626448,,195.20865670337264,200.98700502323814,205.82920052595261,208.65010117460545,212.8212071033207,211.8380300748233,215.14538711075673,204.9554391370787,212.14704954343554,199.3049675571303,,205.37188217957794
