dates,satname,nzd0007-0000,nzd0007-0001,nzd0007-0002,nzd0007-0003,nzd0007-0004,nzd0007-0005,nzd0007-0006,nzd0007-0007,nzd0007-0008,nzd0007-0009,nzd0007-0010,nzd0007-0011,nzd0007-0012,nzd0007-0013,nzd0007-0014,nzd0007-0015,nzd0007-0016,nzd0007-0017,nzd0007-0018,nzd0007-0019,nzd0007-0020,nzd0007-0021,nzd0007-0022,nzd0007-0023,nzd0007-0024,nzd0007-0025,nzd0007-0026,nzd0007-0027,nzd0007-0028,nzd0007-0029,nzd0007-0030,nzd0007-0031,nzd0007-0032,nzd0007-0033,nzd0007-0034,nzd0007-0035
2019-05-12 22:17:08+00:00,L8,,,,,,,,,,,,395.18,392.10,382.97,375.38,365.79,,,,,,,,,,,,,311.86,319.82,317.06,319.25,340.72,359.99,369.19,357.29
2019-07-31 22:17:38+00:00,L8,,,,,,273.80,,,360.97,346.61,,,,,,,,,,,,,,270.91,232.65,232.77,267.75,,,,,,,,,
2020-02-08 22:17:38+00:00,L8,338.91,331.38,331.45,337.33,356.81,382.30,385.40,391.28,394.78,408.60,409.91,403.47,396.71,392.35,379.27,372.51,370.74,368.44,359.98,353.81,341.50,339.61,339.49,330.78,317.78,320.12,326.21,321.99,323.94,322.74,328.36,336.63,342.59,344.83,357.89,359.17
2020-03-11 22:17:28+00:00,L8,,,,,,,,,,,,391.75,383.83,374.14,357.82,356.72,348.63,347.30,343.74,348.85,337.39,339.27,335.75,325.86,308.21,313.96,308.28,307.26,304.57,300.52,294.42,309.24,318.37,329.51,337.66,332.57
2020-03-27 22:17:20+00:00,L8,,,,,,,,,,,,388.55,388.89,365.41,371.10,363.50,357.08,353.01,340.39,343.08,331.76,326.76,317.48,325.28,309.05,298.22,286.47,289.80,288.99,279.54,287.04,298.58,309.38,326.71,334.72,334.92
2021-07-04 22:17:29+00:00,L8,,276.52,270.34,288.10,306.06,327.12,334.20,335.89,348.80,355.77,353.62,342.32,322.10,314.79,330.25,317.95,323.86,318.96,309.80,306.12,301.95,284.49,275.57,272.15,261.60,250.29,253.15,263.18,264.44,263.70,261.63,276.49,287.63,292.76,294.63,293.10
2021-11-09 22:17:58+00:00,L8,289.77,273.11,260.45,279.01,304.24,325.26,332.78,336.09,346.58,364.50,350.91,343.14,337.46,344.15,342.92,333.44,325.98,322.61,304.58,303.83,308.74,298.02,308.02,299.66,280.72,276.96,279.81,269.18,264.57,266.86,267.32,277.48,277.08,291.91,314.46,326.49
2021-12-19 22:17:52+00:00,L9,305.80,289.79,280.29,296.81,322.56,339.30,350.03,359.73,363.84,370.50,361.48,350.70,345.69,352.74,346.00,337.51,339.85,334.56,306.30,305.58,307.82,302.68,310.11,301.30,283.73,289.97,286.31,278.57,278.72,275.29,281.69,,,,,
2022-01-04 22:17:52+00:00,L9,252.37,,173.10,235.98,271.88,291.03,298.60,305.20,307.67,319.13,314.45,312.32,313.66,318.33,314.31,305.48,299.75,295.58,288.60,282.66,278.68,261.33,276.20,239.58,195.03,204.50,246.74,242.78,251.19,248.96,249.06,258.22,268.37,275.77,297.34,303.32
2022-01-12 22:17:49+00:00,L8,342.06,337.58,,330.95,348.80,356.71,361.58,370.65,378.89,378.47,381.97,376.32,364.86,356.05,353.61,354.63,349.72,345.11,329.65,313.57,311.01,320.64,312.12,310.74,294.86,297.87,289.13,291.99,287.02,283.93,284.05,294.93,316.36,327.44,350.28,351.46
2022-02-13 22:17:40+00:00,L8,319.15,323.01,315.61,317.94,326.51,343.05,349.71,366.78,382.93,381.50,375.76,365.07,357.88,353.95,351.67,348.93,342.32,336.49,328.96,320.33,323.90,316.45,309.14,298.03,,,,,278.04,276.17,282.75,291.44,306.81,313.65,323.56,301.74
2022-03-09 22:17:37+00:00,L9,,,,,,,,,,,,,312.20,322.01,311.76,302.75,299.91,299.50,293.77,286.21,276.80,274.29,264.00,265.59,233.20,243.17,239.18,243.55,249.56,238.15,242.62,251.13,268.18,274.41,296.25,294.60
2022-05-04 22:17:26+00:00,L8,,,,,,,,,,,,310.58,297.43,290.76,292.30,284.69,274.85,261.87,254.71,,,,,,,,220.01,234.14,243.01,237.03,249.31,260.90,272.46,273.26,290.45,285.78
2022-05-12 22:17:13+00:00,L9,,,,,,,317.53,316.82,315.64,319.55,342.78,344.89,341.44,332.21,326.32,330.43,325.42,314.49,303.34,295.23,288.53,304.10,294.81,291.57,263.90,264.96,,,,,,,,,,
2022-06-21 22:17:48+00:00,L8,,,,,271.93,309.29,,293.96,295.85,333.65,334.59,323.62,325.28,325.22,319.68,322.18,316.88,301.43,297.77,291.06,282.69,275.78,266.10,267.62,239.44,,243.13,250.38,253.42,252.03,251.38,268.89,280.15,282.38,293.57,295.84
2022-11-04 22:18:00+00:00,L9,334.22,315.84,317.70,317.31,338.63,334.26,354.82,345.16,344.67,364.07,366.99,366.52,359.51,358.91,352.01,340.79,336.58,324.07,316.56,318.91,321.82,313.44,305.23,300.26,295.77,276.29,287.58,308.23,291.74,294.65,286.69,297.75,318.86,327.23,337.65,334.35
2023-01-04 20:25:07+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-07 22:18:02+00:00,L9,271.26,261.35,260.30,275.47,292.77,288.31,299.79,298.66,303.81,312.98,307.89,305.99,320.85,320.20,313.37,306.42,297.67,297.02,297.37,288.04,277.68,268.32,255.74,264.05,255.39,231.63,239.39,243.81,251.02,252.20,253.11,260.97,276.35,281.56,296.74,293.81
2023-01-15 22:17:53+00:00,L8,290.87,279.21,277.73,288.70,303.72,318.02,318.01,312.14,318.79,329.68,328.41,335.49,337.56,335.64,329.08,324.26,319.86,320.23,313.21,306.38,303.93,290.36,281.65,281.80,277.69,258.72,264.06,267.83,272.65,270.60,276.19,279.20,300.42,301.65,307.72,306.97
2023-02-16 22:17:50+00:00,L8,307.41,309.42,319.97,344.67,324.29,347.26,323.44,312.29,343.49,342.05,365.10,356.90,342.79,345.88,345.20,346.65,340.00,334.99,323.08,313.65,307.47,305.88,291.59,297.49,288.44,,284.80,276.05,277.53,276.25,277.25,285.67,305.33,322.36,325.10,317.24
2023-03-01 20:19:07+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-20 22:17:28+00:00,L8,291.01,282.80,286.76,301.71,314.42,322.27,309.15,315.28,333.73,346.25,352.78,342.91,338.82,353.32,341.58,332.72,326.15,325.18,306.99,306.90,313.72,301.27,307.53,281.28,282.67,275.87,288.05,266.96,277.11,294.70,302.01,318.03,317.29,306.97,314.72,307.55
2023-03-28 22:17:33+00:00,L9,292.61,288.47,292.63,301.93,310.67,323.88,311.21,320.80,338.53,348.38,356.81,347.53,342.61,361.01,347.07,336.94,332.09,336.11,315.42,315.90,313.56,305.59,308.45,282.38,278.89,284.64,283.02,268.91,274.43,285.16,292.79,305.58,307.85,308.16,319.73,318.11
2023-04-13 22:17:27+00:00,L9,301.51,307.33,319.44,331.22,344.75,324.30,323.85,328.38,349.38,360.41,371.86,356.10,349.54,365.26,352.84,341.88,345.65,341.08,326.91,330.15,329.54,323.17,313.52,293.34,291.89,288.99,289.95,281.52,289.33,293.06,292.45,297.29,309.53,315.17,324.90,324.00
2023-05-15 22:17:12+00:00,L9,215.10,,,303.73,312.18,323.13,332.59,309.88,323.14,333.26,341.59,356.52,337.19,332.78,335.58,334.57,324.27,322.67,,,,,,,,,,,,273.96,282.72,279.85,283.42,299.48,323.60,299.42
2023-07-10 22:17:17+00:00,L8,,,,,,,,,,,,355.30,342.16,345.81,349.98,346.51,344.79,345.69,326.65,323.44,320.48,310.43,309.69,316.45,308.20,296.32,306.12,286.58,300.12,278.12,282.22,284.43,301.52,302.45,310.99,310.88
2023-09-20 22:17:40+00:00,L9,289.39,291.06,286.81,278.22,297.94,332.25,337.59,347.71,363.75,361.83,350.66,348.76,360.60,358.13,367.61,360.39,331.62,341.65,340.88,344.83,326.64,303.22,298.43,292.99,291.52,297.95,285.88,288.50,287.20,285.11,283.12,291.00,304.52,306.43,322.59,319.82
