dates,nzd0267-0000,nzd0267-0001,nzd0267-0002,nzd0267-0003,nzd0267-0004,nzd0267-0005,nzd0267-0006,nzd0267-0007,nzd0267-0008,nzd0267-0009,nzd0267-0010,nzd0267-0011,nzd0267-0012,nzd0267-0013,nzd0267-0014,nzd0267-0015,nzd0267-0016,nzd0267-0017,nzd0267-0018,nzd0267-0019,nzd0267-0020,nzd0267-0021,nzd0267-0022,satname
2006-09-17 21:47:54+00:00,294.48,267.49,249.50,228.92,229.65,257.90,268.25,287.42,288.47,292.45,293.75,286.54,276.40,297.61,298.20,294.68,291.19,295.05,275.77,248.38,223.90,232.56,268.33,L5
2006-10-27 21:43:45+00:00,313.50,293.89,266.91,251.46,252.08,270.73,286.87,,,303.23,294.96,300.27,290.37,307.81,303.57,301.49,303.61,318.86,292.14,262.87,,,274.69,L7
2006-11-12 21:43:58+00:00,,,,228.14,236.17,250.26,266.44,294.14,293.33,290.83,287.89,281.18,274.66,291.37,291.98,290.34,,294.86,275.96,242.03,217.90,229.44,269.32,L7
2006-11-28 21:44:08+00:00,317.49,288.67,273.34,255.04,253.78,265.44,282.97,305.29,306.35,303.79,300.81,291.76,,,301.32,296.11,297.58,306.77,280.74,256.51,225.87,241.20,267.64,L7
2006-12-06 21:48:41+00:00,290.20,262.09,241.70,,,,,,,,,247.83,236.78,260.61,259.59,,261.15,267.08,,,,,,L5
2007-03-04 21:44:34+00:00,314.07,284.06,276.52,270.26,258.07,261.72,,,300.78,299.01,289.40,284.30,284.73,301.22,297.89,295.93,300.45,304.79,283.85,,,229.77,269.25,L7
2007-03-20 21:44:36+00:00,306.98,283.06,278.88,261.03,252.72,264.29,283.53,302.30,303.14,304.79,298.57,299.59,,305.92,304.01,297.09,305.02,306.70,281.26,256.30,232.14,241.23,283.95,L7
2007-06-08 21:44:20+00:00,291.86,274.79,270.02,,,,272.48,303.61,300.08,293.59,280.72,279.31,289.84,296.01,294.69,291.82,299.75,,,240.75,224.35,228.37,259.01,L7
2007-06-24 21:44:19+00:00,,,,,,,,,285.15,278.12,274.39,259.40,250.68,285.99,284.58,282.34,286.56,283.21,,225.14,222.86,231.59,261.82,L7
2007-07-26 21:44:13+00:00,310.97,273.80,,,232.53,255.43,264.09,284.06,283.65,286.89,291.70,281.05,279.60,304.79,303.82,292.10,,,282.77,249.12,219.35,245.34,268.99,L7
