,dates,aus0035-0000,aus0035-0001,aus0035-0002,aus0035-0003,aus0035-0004,aus0035-0005,aus0035-0006,aus0035-0007,aus0035-0008,aus0035-0009,aus0035-0010,aus0035-0011,aus0035-0012,aus0035-0013,aus0035-0014,aus0035-0015,aus0035-0016,aus0035-0017,aus0035-0018,aus0035-0019,aus0035-0020
560,2020-07-19 23:42:01+00:00,228.74168764785267,222.26546484796694,220.99164523463656,217.89291807720224,203.55558542878535,197.79813214297818,204.91949878248482,207.0557894671093,215.43602402669143,228.75984587497797,243.43582415839708,254.17037917946948,255.64213138895337,259.38072118144214,255.15921690238557,232.30886769302043,,323.9805496692752,,,
561,2020-07-27 23:11:12+00:00,216.67656426561643,211.37638764225292,216.21372981636625,199.77062589355498,186.2719716646507,189.52155387913203,193.04859503927716,200.71047907405833,210.43336945197314,220.69657626979023,230.29235905540799,247.90572450918765,244.3301232970927,251.75434034191412,,,,,,308.83522935528987,250.85823729241926
562,2020-08-04 23:42:05+00:00,212.08617228235084,216.4886354449801,219.89594309516252,210.59093602577292,196.26437985882566,192.18277379109423,194.0760579289468,198.8267879066853,212.79595430167512,222.20272010102096,241.21560656941386,249.79985633805177,255.75268417370782,256.6581893417713,256.7047233241739,,,328.6518868894678,329.77797677889714,314.89398415753857,259.10651571399444
563,2020-08-12 23:10:11+00:00,216.89077728140177,213.59825696865116,217.35715077633384,206.50828734274702,198.92939706766686,192.07915910044338,194.05861854258876,198.74220372838377,204.29226934936042,215.41755292918643,234.03151383626152,229.10314773125367,,,,,,,326.1042798022294,300.42399994476074,243.64895768902718
564,2020-08-20 23:42:11+00:00,211.69660125127393,224.8907656952377,215.2998412930998,208.96407409792732,201.42752690135399,197.61687359244854,198.69461643393547,202.76338765043008,211.55014010359292,224.8189166399009,240.98421695573754,253.04450390016973,260.49477640767293,255.6001796835151,260.77454141043745,225.30161758428892,,330.16971972235075,345.11915969407005,327.6128571715406,253.0224804728848
565,2020-09-29 23:07:04+00:00,206.85657309308687,209.81722904074962,210.45360309589222,209.73440492617422,203.0484127425909,194.7638577139807,183.43026373168004,196.24546078391342,211.60649420415848,219.0192530151037,233.5246613415479,248.42582127740144,256.0424555796145,,,,,331.53714271631105,308.10044403539024,,
566,2020-10-07 23:42:27+00:00,206.4229622079234,200.26090124920987,209.44423627222636,209.35544135822767,203.23838346611305,192.09661217325117,185.35449246890832,192.29695561297126,205.40505216926013,220.98264096042996,233.94634627940408,247.47469565078106,,,,,,320.10424306784336,308.99949018018265,287.0141222604137,240.5939862665284
567,2020-10-15 23:06:02+00:00,201.2383748019747,199.12503895947722,208.54285457416609,209.49159664015804,202.24699131274895,190.32010563409935,191.58961414762967,194.66487484506962,210.01970458682956,220.07443773565203,234.5962036012551,245.3200441604268,257.3920405848173,,,,,293.43381666349023,298.1406708817681,285.62365307825115,231.47028736660616
568,2020-10-31 23:04:59+00:00,,,,207.33507233316422,202.51156911456053,192.5226303514563,191.65496666022642,195.43425209398515,211.59912187941336,220.72336738752222,239.09771553844587,252.20795177896397,,,,,,306.6495199579213,315.3970402497945,,
569,2020-11-16 23:03:53+00:00,205.45273880255354,211.00748845017978,212.22116482708134,220.33057921827836,208.53055251827095,206.03212935283472,197.55998425881964,206.47848691429806,207.43173873049858,229.05186583956586,,,,,,,,307.653221281329,,,
570,2020-12-26 23:42:25+00:00,185.7862644331502,173.12994238257454,177.54310386343332,177.2627441029492,180.18557486655786,187.7571442791357,190.9800327115554,205.7292418138386,224.2340284524603,,,,,,,,264.51647801380096,255.84672784353452,238.83091669366442,211.9770822346127,
571,2021-01-27 23:42:15+00:00,187.28257228553565,174.39412622847328,175.78962174241232,181.28446205247252,182.48241762743456,188.246627518865,190.46620559222174,197.5569887761402,194.21789013123418,202.92339509406605,224.48063238956578,238.49912077441184,243.20564661255224,243.2773198500073,241.3043665852415,,,241.16355259309768,232.94995628361562,,
572,2021-02-04 22:58:06+00:00,184.7689562579588,181.7745470576725,192.39802217772342,193.613897447761,192.83395063383063,208.38565153078608,217.7085517018919,229.86609244505263,244.96939157362323,262.5060064813082,,257.9214359330111,,246.82223714844827,232.68047059152644,,,246.92062326985757,227.1524875396915,195.5037485018307,157.52139491182967
573,2021-02-12 23:42:12+00:00,200.165209905099,190.8429555945651,193.98569992814868,194.58312178099075,193.72584576604226,201.27034072521496,205.73714595825413,226.05127462472456,255.92180987136175,264.2330819788701,239.22725549057145,245.83622414806473,247.87830706944013,244.5009307694454,244.01555785224696,,,251.79635953657032,246.25162429753397,223.64552721533263,168.24963801392522
574,2021-02-20 22:56:54+00:00,203.10538988646113,208.06455594620903,218.8287253563295,231.61057128052622,241.80990025659054,253.0611257697003,244.2192586651663,257.4791757926535,271.06861798571117,277.7544428565797,,,,,287.4711191332727,287.78396763263447,267.89152188397105,252.51975449761767,228.59161647533182,200.5414323654389,172.32827593960175
