,dates,usa_CA_0134-0000,usa_CA_0134-0001,usa_CA_0134-0002,usa_CA_0134-0003,usa_CA_0134-0004,usa_CA_0134-0005,usa_CA_0134-0006,usa_CA_0134-0007,usa_CA_0134-0008,usa_CA_0134-0009
1301,2021-05-26 18:34:12+00:00,200.69075894224568,186.83917231524626,190.2249813431894,,,,,,,
1302,2021-06-10 17:46:27+00:00,196.59868645030983,189.57124973321095,193.24220612165215,192.78478768974458,199.34526505934818,199.53575060460776,212.20681047390843,201.95791861889225,203.8374222490715,215.5796798023657
1303,2021-06-11 18:34:19+00:00,207.94352180630148,197.472820255726,193.15860716755213,195.3427110545578,201.59629078139432,204.9983276492356,211.65968449136793,202.7973806436434,207.83251200346672,224.7602284220561
1304,2021-06-26 17:44:44+00:00,179.10560243425306,,,,,,,,,
1305,2021-06-27 18:34:24+00:00,206.63402358180156,188.92527852246695,193.63885671434076,198.63676569282967,196.22015417235485,195.03351282109864,213.29281098581612,203.34202545776188,206.25061141363886,221.8078036591495
1306,2021-07-04 18:40:35+00:00,201.82052251594362,191.21964806496018,194.85198883374443,197.82196458280805,199.16464081360806,201.07013497149543,214.21430172894122,204.9859691522995,205.1293962571087,222.5369397420726
1307,2021-07-05 17:38:12+00:00,,,195.18803247812798,,,,,,,
1308,2021-07-13 18:34:25+00:00,204.29374867922235,186.58901281364535,191.49334360158628,196.5443135034518,194.595855374023,192.6382778955728,213.24352245951746,202.29592914046916,206.51475994933517,222.10541531878096
1309,2021-07-20 18:40:15+00:00,200.08783024613928,192.30111871522936,194.20858831737058,196.99534452227266,196.87103683194903,202.63256756835355,216.741791680667,205.5441372048075,208.67117006847343,226.88353152362978
1310,2021-07-21 17:36:49+00:00,,,,,,,,,202.017947307827,210.26745637574356
1311,2021-07-29 18:34:33+00:00,,,,,,210.31347718415435,213.73287054414394,207.124508971297,218.78663042344124,229.2708841357143
1312,2021-08-05 18:40:47+00:00,195.17623306151336,191.61605506269376,195.42166361158525,199.46324008161704,197.76625086512954,202.04929366268422,215.3404468551844,205.44665169540758,208.79856819815396,218.42038411762042
1313,2021-08-22 17:34:01+00:00,183.94776138150726,179.89796120639087,179.78895570944962,186.1322335772881,184.59378160454202,186.82284586198858,192.2864475624271,188.01229840884764,195.94347926593719,199.52657728343314
1314,2021-09-22 18:40:59+00:00,192.57677303926772,179.1619384648472,182.54089314600958,189.7114357814175,189.75300326387332,194.6931648867957,198.53776023845836,202.61783361816975,202.8181926994085,212.90844441836117
1315,2021-09-30 17:36:45+00:00,182.03457525370888,183.02100859512737,181.93027822107314,189.05407913769602,187.5343902814673,192.0079046086265,204.93684031319657,203.03454334986253,202.4999626824837,209.0568754301052
1316,2021-10-01 18:34:52+00:00,,,,,,,,,,
1317,2021-10-08 18:40:41+00:00,188.29223988722907,170.52884195944262,173.4545849121152,181.86481127528452,179.12418784767678,178.632822339323,199.31586305719088,196.76645646809254,198.71240655076863,193.072337800717
1318,2021-10-09 17:29:47+00:00,187.03179788598794,180.6559745193719,182.30431299388664,189.9478969618861,187.13626992288027,187.58907009012142,200.59734318595955,200.84474084133404,202.1346509107073,203.51939734311475
1319,2021-10-16 17:35:21+00:00,186.60762452738794,180.62709187705278,180.4760687270688,189.06698500574754,189.5626252143831,194.92160052908653,,202.73542562820978,202.5543539840878,209.9078924609206
1320,2021-10-17 18:34:56+00:00,206.02918394343598,184.01705438878886,190.17865725672038,195.46825458409717,,,,,,
1321,2021-11-02 18:34:56+00:00,194.65590268875812,183.0205887844219,178.55735970457297,183.0982302867225,175.70862954501237,177.9014284301053,184.1978824071422,174.34570305385964,173.282036330074,172.06543746254326
1322,2021-11-06 18:35:58+00:00,197.96185124281143,181.04596504265692,178.02506419294107,170.91581431508968,166.30686208911894,161.46080179109762,161.26239529973174,151.85495722934877,154.4318612812929,146.42008793643927
1323,2021-11-10 17:26:50+00:00,,170.76401680136865,173.278634306549,181.34518152985788,181.04488302433543,183.14528987967208,182.1000941757825,177.40467739780212,175.6866394550308,179.25245941819585
1324,2021-11-11 18:38:27+00:00,199.7221431891693,184.8507565257628,180.4526615458569,189.96772181687984,186.91734833529983,187.60689386991885,197.70811688318344,183.95749156122628,186.2598593877131,192.87880891376875
1325,2021-11-25 18:40:39+00:00,202.21164962910262,187.2382467305306,185.14438324528072,190.25539036667269,191.91313267702185,196.1627480907747,194.95655008706012,181.66884282077766,185.9423530823347,184.89469822608572
1326,2021-12-04 18:34:52+00:00,189.0267334931691,176.60309683603722,174.21672078391495,171.12680955330995,165.54849583652936,170.18695748114095,174.00363377187205,165.23739080118867,164.01266399944896,152.454301634446
1327,2021-12-11 18:41:02+00:00,207.93415420726782,191.80215245419646,193.8710915873242,199.778461747586,201.4022450425273,202.531348517786,213.3463403609816,,,
1328,2021-12-12 17:23:47+00:00,,,,,,,,,,
1329,2021-12-12 18:34:49+00:00,211.239584101933,192.59871648836645,199.61696538154035,199.12638552004222,200.03905449319308,207.19580857571805,217.3292314141931,,203.8279075096733,
1330,2021-12-19 17:29:17+00:00,191.30971295959267,174.6464732652835,175.6877210404836,177.4144094896374,167.75762752340393,167.67643065438693,,166.9748426612661,159.9372390111248,155.43715243909514
1331,2021-12-19 18:40:34+00:00,198.11721016632163,179.94105836454386,184.8390723855078,185.95617378665258,175.44445201069013,173.1426555759827,,173.83928434225325,170.90657810915383,169.44471392872407
1332,2021-12-20 18:34:50+00:00,161.00065374292438,149.59169002710343,149.13638139453553,,,,,,,144.54843990460824
1333,2021-12-28 18:34:48+00:00,206.82508488630506,186.7668919247769,189.90035845051733,194.09920223208314,194.9773524679397,193.66726348777618,213.98736188974607,201.32671657579013,203.33558094276077,
1334,2022-01-04 18:40:34+00:00,186.5764094605473,160.65867050870776,170.33045800398725,164.14179117785307,157.8407807463543,160.26813258449093,159.88134513854732,152.2077273061048,151.6136030840272,134.93500227774788
1335,2022-01-05 18:34:45+00:00,191.64237677713328,181.0634086250524,183.54904478327904,167.74716352675318,166.92840973714775,168.7145116644815,175.0631817421644,158.07115975164882,160.59473772465861,147.2622457795132
