,dates,chi0488-0000,chi0488-0001,chi0488-0002,chi0488-0003,chi0488-0004,chi0488-0005,chi0488-0006,chi0488-0007,chi0488-0008,chi0488-0009,chi0488-0010,chi0488-0011,chi0488-0012,chi0488-0013,chi0488-0014,chi0488-0015,chi0488-0016,chi0488-0017,chi0488-0018,chi0488-0019,chi0488-0020,chi0488-0021,chi0488-0022,chi0488-0023,chi0488-0024,chi0488-0025,chi0488-0026,chi0488-0027,chi0488-0028,chi0488-0029,chi0488-0030,chi0488-0031,chi0488-0032,chi0488-0033,chi0488-0034,chi0488-0035,chi0488-0036,chi0488-0037,chi0488-0038,chi0488-0039,chi0488-0040,chi0488-0041,chi0488-0042,chi0488-0043,chi0488-0044,chi0488-0045,chi0488-0046
525,2017-01-17 14:35:49+00:00,229.318296353604,207.74578709672903,189.42682786243398,195.7442445339069,185.25670114033414,203.30658993603507,181.292609959517,179.518397797579,,,,,,,122.92210570960923,,,,203.76702692783923,190.34258022133972,203.44429942531815,208.7438392002729,221.26214114346467,240.0765271248643,214.6800595817414,201.18552727730096,217.1174816675821,197.16424502638634,228.054181057729,208.69131305926427,188.86875553598895,212.0835776667961,219.76464374376485,184.13948485678893,182.25381821212355,213.50792574655978,212.83522604286821,225.67431491730028,220.49103577605965,226.26940622796192,,155.061718234627,170.26259195511486,214.82589343851419,180.81422223430746,181.33536966535695,198.879591266046
526,2017-01-25 14:37:41+00:00,241.3649715822925,,,,188.10943261524397,183.13902433812927,174.5695614560776,179.06526607044128,193.60457012996434,170.1729526619631,169.12848087516957,,,,,163.72827662625133,157.6227463645521,196.0065574203454,185.22958789023983,204.76813630031447,193.2639887162287,194.98220619900133,,,,185.26218166131227,210.15306172769073,192.17572041702567,207.10859913298216,201.1860164492375,185.27537440330994,198.40193708063234,,,,,208.0791065864596,221.01177182250547,215.48136515388686,215.8166217274084,190.46145903683143,152.27104985989206,147.75526482283576,195.93747975381214,,,
527,2017-02-01 14:43:27+00:00,,,166.25010045997735,182.97208349496532,177.06601927035402,170.31657835032664,172.47932312722034,173.83351843615594,183.85467746726485,,,,172.58530460651673,188.30497923608544,188.70224166792167,161.91637315276645,162.59991284884535,185.35010395964778,179.56976518951464,,,,206.47753631711618,217.1501857230592,203.70838308451954,181.1584701608303,204.84612922540046,191.713763335724,202.9390099627277,201.83283311783651,,,,169.66949071454778,163.28953652379107,199.18438412509852,202.03399180735903,212.47526438821438,206.7749079992525,195.50361417704977,183.87429831050392,,,,158.01776245468545,167.1207640228047,185.01896107523396
528,2017-02-02 14:35:42+00:00,238.97358138802144,228.98949599178584,,209.4043925679914,190.2800986858159,181.72054848058846,188.9575400360011,187.5362104298254,209.41896008480094,187.07735915834635,176.33012424196852,192.41482103321025,198.52892451252842,205.5437644179618,217.85439235125796,186.6604314961078,175.32848931518228,207.21111514925727,197.12797744530025,223.66399171444556,206.38473305939004,191.97722296973834,223.5787863928841,245.35310547705905,230.25305002784992,203.62686084683506,220.74942140333366,213.35882273211655,212.27557277520776,229.07926633168952,193.50567979752145,205.36646453638608,234.86773963217266,187.49633435297108,179.57876495130822,217.69803650032046,220.69268671397532,226.61128167913125,219.07514366518194,218.99066863154798,211.15368356184615,163.31037365356642,182.88064879174613,219.364510814446,180.21941834127958,188.38370836935624,204.7278071090724
529,2017-02-09 14:41:48+00:00,208.1790061759787,201.9340839864925,173.67229685969636,180.48257290294336,169.08387170204887,148.55652554465988,183.41986076224214,183.99595493297915,183.50152868869375,186.7450553535995,167.48652585290466,181.35270503472287,187.3969961038143,199.84744996643911,204.42840703135346,181.13834230725553,163.51806987730123,191.59652697709214,191.88663279751202,208.5001765112375,196.84086397336486,200.3472940677094,225.19127467377035,235.32793321447096,209.12243971488454,193.13832887102296,204.36585139613825,206.95610169122423,204.99643876490603,213.6276833115898,191.83415497590286,194.29972239423523,217.02440433215463,192.63013830617302,180.6391860504357,193.74281641490177,205.17524148093196,210.67274907621402,195.12971040646462,187.50443877452187,193.1421182526743,163.32998614421882,165.59915861494815,194.4827894046679,172.94415042863457,178.31292337440647,187.32901887470686
530,2017-02-10 14:37:34+00:00,222.36296810351445,215.07523785057992,187.92705127227012,198.15187364438685,193.05259386095008,174.89953204947537,,,,196.04429419816265,176.79816723971695,178.48550479791606,188.18414529882205,190.4953539102934,201.70983196104424,180.5756719127217,,,,,188.14862596709426,193.26657278893768,221.64222647398273,231.40689874706092,221.7531259509633,192.6401846251813,198.0406436982584,,,,194.895090510751,206.33219251073325,215.9682579800803,195.79553316371567,179.50577194300016,197.53091664212593,210.78693048543846,203.52488515991223,,,,,171.69460504536926,187.5944362634454,165.2010957452902,179.38326875194232,193.3877136246808
531,2017-02-25 14:41:43+00:00,227.3251977350164,213.67133845028974,211.3920152897994,189.45127634200884,206.6551823871602,201.62067422103055,186.82094213973093,165.07116251541416,190.5453792154983,206.92608900929218,184.55850274814742,187.16935822338777,198.34599200364838,193.40470123143538,200.77989774554305,188.55296117337457,178.0796159939783,195.25229606334776,200.56454322154298,204.04986247634113,205.1653910019532,201.65610328996513,216.91587539844426,212.65391961091893,218.77739498797501,221.01803038266917,213.1763885927619,208.5204718644727,208.6191839737831,217.73559440782017,203.16328522396586,208.3252561343617,216.8661020104872,214.7568010272387,203.04679772508783,200.59290744891047,205.29828704848268,208.50947675895014,201.68161361314677,188.46123017403937,205.8116372737395,196.6466322008316,167.68450528788148,170.09571110711065,184.19099410518206,185.0506715704681,174.33787697132092
532,2017-02-26 14:37:43+00:00,,188.06381989948116,200.70667747869442,173.062950673497,183.7255933844011,188.64271746453335,172.38051099789536,145.05826862819566,,,,,185.6689420916764,182.05725726928287,188.50257499507507,172.95525793051993,164.31395304001796,190.5092188010475,185.478577140857,,,,188.16689983475143,195.10135294570068,199.64512553811718,199.96038949048133,209.78150192901072,193.2052497421273,192.60222009551381,,,,,202.75329542612005,190.3435049673865,189.83685006058357,190.16902527239478,195.10238426319103,185.3461152941452,164.60438111169364,,,,,184.8801262954665,169.15043835108844,156.6256664241638
533,2017-03-06 14:35:28+00:00,220.99283305688633,203.95788647100176,196.35711552790207,200.27234910359994,206.9496080087506,204.35506242554854,205.37217925054097,177.32705357199217,174.6301069572185,197.16773682361668,200.83497948953442,176.42392000225257,191.92803201530967,189.02883904761785,189.01662526543092,187.90554114281028,183.66057258170022,202.0661136680292,199.8773201255964,223.00733477740962,214.59668858343662,205.02825476206775,198.84111659976884,209.60942901280717,224.18755424065947,223.48158353585805,230.62069550280154,223.05922334585435,205.40082838719894,214.66638680500932,203.0361693762545,206.2523879082067,222.49510786188523,224.01861226072748,206.38093814637546,214.6638772507794,203.3929214695849,202.78395781161825,189.32393180472556,196.41053401719114,227.7858850928508,214.7985875328668,170.48792104645463,167.17290047756634,206.92912958978985,204.6517931860798,167.89911547619045
534,2017-03-13 14:41:11+00:00,208.13662956620303,200.99696676407274,199.07727443420492,189.78381114178543,199.58835661233215,186.76832781216928,184.54462595659538,189.72629452965785,164.9109595175635,176.30597970785342,191.5178043142929,175.59559948487154,175.2650695315649,193.2532453891368,181.9971822065396,176.57456989542177,185.12484142839222,188.58669989658773,190.84437257491584,211.99391219220985,207.5154396975321,210.5539769412388,204.68711624689675,205.2300540690513,212.7485202970443,215.97185425739977,226.8313335750949,207.219145624538,195.35593525279992,216.01751024685012,206.78155728282184,201.18844543417583,219.26595448710898,201.98291049452823,211.4732763151932,218.7127901809786,195.0769219635992,197.90853493144948,181.46363577700035,185.50366030763453,225.14271074245093,189.27209820764847,158.27159250030232,163.63910852588396,205.5620966236504,202.95219160218866,176.99610121798378
