,dates,usa_HI_0007-0000,usa_HI_0007-0001,usa_HI_0007-0002,usa_HI_0007-0003,usa_HI_0007-0004,usa_HI_0007-0005,usa_HI_0007-0006,usa_HI_0007-0007,usa_HI_0007-0008,usa_HI_0007-0009,usa_HI_0007-0010,usa_HI_0007-0011,usa_HI_0007-0012,usa_HI_0007-0013,usa_HI_0007-0014,usa_HI_0007-0015,usa_HI_0007-0016,usa_HI_0007-0017,usa_HI_0007-0018,usa_HI_0007-0019,usa_HI_0007-0020,usa_HI_0007-0021,usa_HI_0007-0022,usa_HI_0007-0023,usa_HI_0007-0024,usa_HI_0007-0025,usa_HI_0007-0026,usa_HI_0007-0027,usa_HI_0007-0028,usa_HI_0007-0029,usa_HI_0007-0030,usa_HI_0007-0031
213,2016-07-09 20:53:58+00:00,186.30015426363076,187.4600970363312,190.1296009146701,178.99038850497095,180.6943197121555,178.19389288621866,187.50555599300986,169.74629253963053,173.78632299387635,179.50893536092684,184.81159201238262,177.21985000712965,181.75944809076285,187.2065117246571,166.61673494962918,188.95156701168295,176.58350044707998,173.6307774199046,190.65845461709063,189.50938380499935,192.84077151210687,182.93720282314916,174.3789701449515,193.23552857622423,177.87982954231944,181.18496173604785,186.19762504462824,187.3925453083482,185.13682007910745,187.32131491704808,184.38715784307686,189.33878591521167
214,2016-08-02 20:56:40+00:00,210.61844513530608,202.61785257906237,203.91742627299877,190.03155158157,188.46074713975463,188.9029181090146,193.532590959591,175.4836496838048,182.06979328565947,180.4100440957246,192.880186803898,189.8620347351765,189.9241908843518,195.88393585279647,185.24341581046434,188.26175851785138,183.46115201245104,189.85102262833198,194.90882945701168,195.5343496434544,202.02800643254722,193.10318758498076,184.53932825754464,199.87527293944493,197.4604433017695,188.50286707635215,192.08124979634795,190.63737486564543,192.35799980820568,190.00891063480347,189.16468590860845,205.04302904950697
215,2016-08-10 20:54:05+00:00,212.44495570741236,207.67627471410083,203.20874257651786,188.81838591749604,189.45076628781558,185.92296312345576,191.23916353724357,175.25461896089917,174.23914573967357,180.66136736872795,188.66514282412584,184.3363119289399,184.36893151954095,186.47117819059287,180.9138799660724,183.76730535206752,179.27545310936708,184.29536671203365,191.68908993121156,192.07698892971098,191.93045617005464,186.64870531831227,176.428464790419,196.7756256451662,195.9806141787882,,,,,,,
216,2016-08-18 20:56:41+00:00,210.9550080124292,198.8722639622057,194.040710137876,187.78108246809262,186.73221246610936,185.28029462535463,190.48187922532327,176.17467127167282,184.79734338054405,184.78939225805678,185.20494236206915,190.74417989004465,196.5875245872844,181.9261590780474,177.41175077547075,181.97433407245347,180.89875904413114,184.29335999213288,188.44618296950088,196.87124769730403,195.4541624121911,188.80041000158369,181.21222609356553,196.26232108708246,185.23205733158642,172.09589891200642,173.72302333442155,180.10103076551297,188.52756270588313,186.49020087238463,185.43760481941322,207.43365548312252
217,2016-08-26 20:54:13+00:00,215.57717777999497,206.36752797977107,206.67522919807308,191.27629553486307,194.15440275361223,193.71029536642308,194.56909801333873,177.04257958690778,175.67873178413484,184.31754204004622,191.04860695082786,189.67226721425854,189.8153578759977,187.08918281754654,186.60891043107748,185.2512200813654,186.71724163557,189.41488617627616,194.73216167828903,196.81039324587206,194.97969343530934,189.08964950034098,180.28852046011147,199.56727575003066,190.7533681497708,187.67861109711922,183.16044013861156,190.37207618389016,188.6063884127116,190.05554792581486,184.61804448952864,189.02550951080636
218,2016-09-19 20:56:47+00:00,209.06229000624887,198.89980464738446,197.4735515626993,182.36649428162298,178.11097006703966,189.04328858429147,198.5861744812384,179.53771581354926,178.66208469038557,161.74693783069404,172.50739690698862,197.90057418905909,203.08732042360896,193.96611972136566,169.8927041687263,169.3403911836699,165.74423430142966,177.8137495208059,184.79880341926003,189.39000068179575,186.3871992359561,182.25838694073212,179.0136564047089,185.61003951957963,175.5468563047143,180.90571945815805,174.8768968549701,179.23170809904818,186.892261568777,180.30937153404562,,
219,2016-10-05 20:56:49+00:00,216.99938857055474,213.9084093691245,205.84746379132952,189.4620685110063,189.31914706641624,195.74178809680302,208.211306813957,186.90835654918652,187.39850597743867,184.3090706706397,190.8300437266407,201.40144213525514,206.01552606693122,200.25511986757138,189.94781755326358,178.3787279991633,176.39310881368596,182.9314037948805,193.22835847648548,195.84414191666738,197.92363106579242,194.6960590854691,184.90390147635532,199.5845305637552,191.090700061784,188.37008364804922,189.21158663061988,179.46492599117624,191.64110198742526,186.00829118301948,185.5144988592823,187.63270326534476
220,2016-11-06 20:56:40+00:00,201.33277905018315,200.31636554561837,199.02717581819712,188.9408277036867,191.9195582983878,195.6283182986099,208.52275891736375,186.6623158547963,165.10001061754758,157.08098422203017,165.82047220406008,187.30687309478165,188.70186906998808,177.67057588927366,,150.12784293034667,149.99563085442193,,,,172.66094512206197,171.67916871203957,166.77218274785918,172.3551477729418,169.52050352085968,178.97729952942535,,,,,,
221,2016-11-14 20:54:23+00:00,178.28882608278707,184.30229707884098,174.81446662786675,169.4117427483224,172.86939496189365,187.70462310416076,198.3080589395774,170.21489672204035,156.90828793245925,148.40707638298852,149.85672584655788,172.06815713844924,181.8543515155486,163.9207734503384,,134.640459631223,127.90761634101229,138.33396767325593,146.0857802176067,157.20885463016182,156.08873507092147,156.15519407334602,146.50855278263003,169.14526276005307,160.49027555829463,163.09844980979238,164.11851421430612,169.37288377636727,170.0527181869653,167.67221648037616,148.48218852398108,159.35346466389126
222,2016-11-30 20:54:23+00:00,,,214.92032329392197,200.4456429817733,201.43883277797525,209.42126128627729,223.21798124691514,206.86635429855642,192.62699714144767,186.68819804282418,197.41150789622822,201.75344744486563,206.44266968927195,197.90534195474947,166.57995254274402,167.20845205810127,158.25108969298321,159.30375956059476,173.6476942872474,181.9416617952325,179.08828469280036,181.15879761608517,,,,,,,,,,
