dates,nzd0455-0000,nzd0455-0001,nzd0455-0002,nzd0455-0003,nzd0455-0004,nzd0455-0005,nzd0455-0006,nzd0455-0007,nzd0455-0008,nzd0455-0009,nzd0455-0010,nzd0455-0011,nzd0455-0012,nzd0455-0013,nzd0455-0014,nzd0455-0015,nzd0455-0016,nzd0455-0017,nzd0455-0018,nzd0455-0019,nzd0455-0020,satname
2014-02-06 22:23:27+00:00,403.06,351.1038461538461,348.96999999999997,347.74,352.58,358.1742857142857,365.92,359.28999999999996,356.05,350.38,353.45363636363635,343.53999999999996,346.44363636363636,349.1333333333333,343.68363636363637,338.93363636363637,328.2133333333333,334.3436363636364,334.24,338.0936363636364,340.7136363636364,L7
2014-03-02 22:27:09+00:00,354.78,344.56,340.44,346.31,353.83,361.08142857142855,353.91,350.94,353.01,355.76,354.1281818181818,343.49,344.4081818181818,343.9633333333333,347.8081818181818,337.1181818181818,334.8533333333333,342.5581818181818,343.09,346.6781818181818,338.8481818181818,L8
2014-03-26 22:23:30+00:00,374.11,350.65461538461534,348.92,353.71,359.66,364.01,366.95,361.42,,,358.4036363636364,349.15,353.75363636363636,355.7233333333333,356.24363636363637,349.9636363636364,341.74333333333334,342.64363636363635,344.83,350.9236363636364,343.7236363636364,L7
2014-04-11 22:23:35+00:00,384.49,361.65461538461534,360.87,362.57,365.85,376.85857142857145,,,371.14,369.25,368.2709090909091,361.47999999999996,362.28090909090906,366.2866666666667,364.2709090909091,359.59090909090907,349.8466666666667,351.7609090909091,347.87,359.98090909090905,359.6409090909091,L7
2014-04-27 22:23:46+00:00,354.89,341.8692307692308,334.26,337.23,352.02,357.71285714285716,344.0,345.32,341.78000000000003,346.35,342.4481818181818,342.31,344.5881818181818,339.9066666666667,,331.91818181818184,327.8966666666667,327.4581818181818,317.66,333.9381818181818,,L7
2014-05-29 22:23:57+00:00,387.24,363.2269230769231,360.97,370.14,373.85,376.6271428571428,374.06,,,370.74,375.36727272727273,361.65000000000003,356.98727272727274,343.2933333333333,348.33727272727276,358.11727272727273,348.0833333333333,336.58727272727276,342.33,351.07727272727277,351.54727272727274,L7
2014-06-22 22:26:17+00:00,376.97999999999996,351.77461538461534,352.44,356.76,360.0,366.6457142857143,364.21,356.32,354.96,365.65999999999997,362.06,354.44,345.97,342.9766666666667,354.25,356.7,347.1166666666667,339.34,341.64,354.39,351.08,L8
2014-07-16 22:24:05+00:00,,358.9338461538461,353.19,367.37,370.32,375.94,372.06,373.28000000000003,378.23,378.5,370.77,,,355.6366666666667,355.82,352.27,334.4666666666667,328.86,352.87,,338.98,L7
2014-09-26 22:26:40+00:00,364.94,342.3723076923077,339.9,345.38,357.46,360.59142857142854,365.96999999999997,358.08,357.71,357.21999999999997,356.74727272727273,350.82,347.3872727272728,342.18666666666667,344.61727272727273,345.70727272727277,344.2166666666667,341.45727272727277,343.15999999999997,351.3872727272728,343.99727272727273,L8
2014-10-20 22:24:37+00:00,356.90999999999997,343.9376923076923,343.73999999999995,,,375.0728571428572,360.0,359.92999999999995,352.90999999999997,358.32,359.3418181818182,352.21,340.7518181818182,338.2166666666667,357.8018181818182,350.8618181818182,332.6566666666667,323.6818181818182,338.71,,348.39181818181817,L7
2014-11-13 22:26:47+00:00,357.69,341.0469230769231,335.75,347.28,351.38,362.41857142857145,347.7,343.29999999999995,340.97999999999996,344.03999999999996,345.61454545454546,340.06,338.36454545454546,338.6033333333333,349.38454545454545,341.00454545454545,327.1133333333333,323.0345454545454,337.83,353.1045454545454,340.02454545454543,L8
2014-12-15 22:26:40+00:00,369.21999999999997,353.02923076923076,344.9,348.84,354.53,363.86571428571426,366.75,355.28999999999996,356.77,354.88,359.2481818181818,353.07,346.9281818181818,349.1733333333333,363.5581818181818,354.0781818181818,343.43333333333334,339.3481818181818,344.84,351.6481818181818,359.8981818181818,L8
2014-12-23 22:25:06+00:00,382.7,,,357.06,366.17,362.98,371.03999999999996,365.15,362.37,362.55,362.7518181818182,358.44,353.2818181818182,355.8933333333333,363.0718181818182,358.20181818181817,342.9833333333333,342.33181818181816,,350.8718181818182,360.8218181818182,L7
2015-01-24 22:25:10+00:00,402.62,349.23615384615385,345.94,354.5,356.26,363.7628571428572,364.71000000000004,361.05,,,357.19,354.19,353.76,359.15,354.73,351.57,345.05,336.22,341.51,356.9,357.87,L7
2015-02-09 22:25:15+00:00,400.69,351.53538461538466,348.48999999999995,356.96999999999997,356.8,372.5757142857143,368.0,,,356.35999999999996,356.9327272727273,354.45,358.64272727272726,354.72,356.91272727272724,354.42272727272723,348.71,337.08272727272725,333.90999999999997,351.97272727272724,351.32272727272726,L7
2015-03-13 22:25:30+00:00,365.75,348.82153846153847,341.83000000000004,352.90000000000003,355.61,369.0757142857143,368.46000000000004,359.5,362.91,,361.29727272727274,353.99,358.6872727272727,352.5266666666667,351.8172727272727,350.90727272727275,346.7366666666667,330.5072727272727,329.22,350.66727272727275,351.30727272727273,L7
2015-03-29 22:25:37+00:00,,,345.69,350.73,352.94,359.03142857142853,361.79,357.66,355.03000000000003,355.07,354.3863636363636,346.62,344.8463636363636,343.63,341.2263636363636,344.49636363636364,,,334.44,352.25636363636363,349.3463636363636,L7
2015-04-06 22:25:56+00:00,351.81,338.1769230769231,332.13,345.19,345.83,358.1485714285715,356.92,351.61,348.16,346.35,349.46,337.21000000000004,344.15,345.63,342.8,342.71,340.02,334.48,333.28000000000003,347.11,347.35,L8
2015-04-14 22:25:47+00:00,,,,355.72,364.24,370.45142857142855,365.78000000000003,367.16,367.73,365.74,365.01181818181817,357.66,352.9218181818182,351.5333333333333,347.45181818181817,349.3518181818182,347.6933333333333,338.6118181818182,,345.4718181818182,352.9018181818182,L7
2015-04-30 22:25:52+00:00,387.96000000000004,365.42615384615385,362.96000000000004,370.05,384.28,,,372.59000000000003,378.47,376.64,375.6963636363636,369.73,361.3963636363636,364.7866666666667,361.61636363636364,363.5363636363636,356.7366666666667,355.5163636363636,355.94,369.7863636363636,,L7
2015-05-24 22:25:38+00:00,403.72999999999996,340.1276923076923,336.37,346.08,347.74,361.1,351.53,355.90999999999997,348.4,357.62,365.93545454545455,344.44,334.8954545454546,336.04,344.44545454545454,352.2154545454546,337.74,318.60545454545456,324.58,365.3954545454546,344.0954545454546,L8
2015-07-11 22:26:05+00:00,,345.45461538461535,348.14,360.51,370.03,368.4057142857143,373.84999999999997,359.78999999999996,357.46999999999997,361.09,359.17,350.82,347.67,347.7666666666667,354.15,354.76,340.37666666666667,335.42,360.91999999999996,,,L8
2015-07-19 22:26:19+00:00,377.6,360.83230769230767,360.92,366.32,371.6,377.3042857142857,,,359.4,368.51,361.10272727272724,351.98,350.14272727272726,344.49,,,345.83,346.66272727272724,345.87,351.91272727272724,348.1127272727272,L7
2015-08-04 22:26:22+00:00,,349.3961538461539,344.48,349.04,348.58,355.1228571428572,361.63,345.0,335.61,343.37,354.62,347.33,342.56,330.03,327.24,338.66,,,311.68,325.03,330.24,L7
2015-08-20 22:26:25+00:00,,360.3676923076923,349.92,357.1,364.89,375.50428571428574,372.52,362.17,353.46,362.85,,,348.52909090909094,341.2966666666667,352.32909090909095,359.38909090909095,346.2166666666667,334.00909090909096,330.43,350.76909090909095,346.83909090909094,L7
2015-09-05 22:26:26+00:00,362.46,345.4876923076923,344.51,350.96999999999997,351.91,355.5,356.03,348.84999999999997,341.31,354.58,361.41545454545457,349.79999999999995,342.47545454545457,332.75,337.0254545454546,,336.71,325.41545454545457,323.15999999999997,339.56545454545454,338.37545454545455,L7
2015-09-13 22:26:29+00:00,364.12,346.67,348.36,349.74,363.25,370.9157142857143,366.40000000000003,360.08000000000004,358.73,364.94,361.7918181818182,356.20000000000005,348.2418181818182,339.47,352.9718181818182,356.45181818181817,352.31,345.5318181818182,347.65000000000003,356.3718181818182,354.01181818181817,L8
2015-09-21 22:26:31+00:00,,,342.40999999999997,350.14,357.18,360.5071428571428,361.06,353.46999999999997,351.29999999999995,358.04999999999995,360.6136363636364,351.82,345.9636363636364,344.9866666666667,348.7136363636364,352.2936363636364,347.2866666666667,,327.90999999999997,348.2736363636364,345.1736363636364,L7
2015-10-07 22:26:37+00:00,376.28999999999996,343.10153846153844,335.18,347.36,352.56,365.95142857142855,355.67,356.07,345.86,,,345.78,337.4190909090909,331.44666666666666,337.83909090909094,335.2990909090909,331.3866666666667,326.52909090909094,332.36,337.45909090909095,348.1790909090909,L7
2015-10-23 22:26:55+00:00,357.21000000000004,340.4923076923077,336.33,349.05,357.97,366.60714285714283,360.83,353.64,349.97,361.93,358.3436363636364,341.88,340.8536363636364,341.87,350.5336363636364,345.4136363636364,332.94,330.99363636363637,333.90000000000003,344.45363636363635,342.81363636363636,L7
2015-12-18 22:26:42+00:00,,348.85769230769233,343.11,346.36,346.06,358.7157142857143,348.61,345.67,350.12,349.42,352.5018181818182,348.8,344.7218181818182,342.8233333333333,334.5718181818182,337.8518181818182,335.8333333333333,338.8018181818182,327.3,339.7518181818182,343.89181818181817,L8
2015-12-26 22:27:53+00:00,367.92,348.68615384615384,354.06,357.67,368.53,371.98571428571427,369.38,367.28000000000003,368.95,,376.60636363636365,367.14,362.87636363636364,357.12666666666667,358.73636363636365,360.6663636363636,358.0366666666667,354.85636363636365,351.39,362.24636363636364,362.0763636363636,L7
2016-01-03 22:26:39+00:00,367.45,338.33384615384614,344.06,345.64,352.57,364.9271428571428,360.32,350.75,355.98,357.75,360.17454545454547,364.48,351.2245454545454,347.0433333333333,348.62454545454545,347.62454545454545,350.4833333333333,343.07454545454544,336.74,349.55454545454546,358.3445454545454,L8
2016-02-04 22:26:36+00:00,355.51,342.4630769230769,342.17999999999995,341.03,341.66,358.46285714285716,354.87,351.59999999999997,355.19,358.19,354.72818181818184,347.97999999999996,345.8681818181818,341.5933333333333,345.2681818181818,346.8881818181818,341.43333333333334,341.3181818181818,342.7,356.8381818181818,354.48818181818183,L8
2016-02-12 22:28:26+00:00,,352.83538461538467,349.2,348.64,352.29,359.96142857142854,364.63,363.83,369.11,364.95,368.37909090909096,364.42,355.95909090909095,,355.9290909090909,350.39909090909094,346.05333333333334,338.21909090909094,345.72,361.09909090909093,359.6190909090909,L7
2016-02-20 22:26:27+00:00,,,,,,,,,,,341.55545454545455,322.92,334.4654545454546,341.7866666666667,334.42545454545456,339.2054545454546,330.4766666666667,332.9654545454546,338.34999999999997,351.79545454545456,359.3454545454546,L8
2016-02-28 22:28:30+00:00,358.13,338.2438461538461,334.7,346.81,347.05,357.86857142857144,,354.92,351.85,352.74,354.67727272727274,339.13,349.1272727272727,342.06,334.84727272727275,328.7572727272727,334.64,330.41727272727275,325.63,343.05727272727273,342.24727272727273,L7
2016-03-07 22:26:26+00:00,359.78999999999996,339.0261538461539,343.08,344.17,359.01,368.20285714285717,362.5,362.52,351.19,357.28999999999996,342.05090909090904,343.11,342.3809090909091,343.9033333333333,345.15090909090907,345.68090909090904,339.6633333333333,344.0809090909091,346.34,354.87090909090904,354.22090909090906,L8
2016-03-15 22:28:40+00:00,403.13,346.0684615384615,343.17999999999995,349.96,350.07,358.74142857142857,371.38,,365.59,369.45,374.62636363636364,353.34,357.73636363636365,359.49666666666667,348.3263636363636,345.4463636363636,354.2666666666667,350.36636363636364,349.09,353.8863636363636,359.5763636363636,L7
2016-04-24 22:26:04+00:00,364.47999999999996,340.19461538461536,336.09,349.63,352.6,362.8857142857143,368.54999999999995,365.22999999999996,358.44,363.02,359.75,359.28999999999996,360.2,340.87666666666667,340.11,345.73,335.5366666666667,336.11,339.75,346.45,347.34,L8
2016-05-02 22:28:56+00:00,393.94,339.89307692307693,335.33,344.98,347.37,,,,,,319.0945454545454,318.76,324.4745454545454,319.6366666666667,317.9145454545454,324.12454545454545,319.6666666666667,316.56454545454545,329.73,,,L7
2016-05-26 22:26:12+00:00,365.16,341.2830769230769,338.39,348.53000000000003,355.43,364.03714285714284,367.94,369.88,359.67,360.8,353.4063636363636,347.11,364.5263636363636,364.1633333333333,354.6663636363636,334.04636363636365,333.4833333333333,362.4163636363636,362.86,348.60636363636365,335.8263636363636,L8
2016-06-03 22:29:05+00:00,406.07,349.29,356.0,367.56,,,379.34,368.35999999999996,372.08,373.28999999999996,375.4927272727273,352.34,358.16272727272724,361.99,357.0627272727273,351.01272727272726,340.94,360.79272727272723,375.07,,,L7
2016-06-11 22:26:15+00:00,396.41999999999996,340.9984615384615,335.76,344.45,348.4,357.77142857142854,351.9,344.57,342.72999999999996,346.37,351.0263636363636,346.22999999999996,347.9163636363636,349.18666666666667,339.4463636363636,336.10636363636365,334.6466666666667,344.86636363636364,354.02,345.9163636363636,331.1463636363636,L8
