dates,nzd0316-0000,nzd0316-0001,nzd0316-0002,nzd0316-0003,nzd0316-0004,nzd0316-0005,nzd0316-0006,nzd0316-0007,nzd0316-0008,nzd0316-0009,nzd0316-0010,nzd0316-0011,nzd0316-0012,nzd0316-0013,nzd0316-0014,nzd0316-0015,nzd0316-0016,nzd0316-0017,nzd0316-0018,nzd0316-0019,nzd0316-0020,nzd0316-0021,nzd0316-0022,nzd0316-0023,nzd0316-0024,nzd0316-0025,nzd0316-0026,nzd0316-0027,nzd0316-0028,nzd0316-0029,nzd0316-0030,nzd0316-0031,nzd0316-0032,nzd0316-0033,nzd0316-0034,nzd0316-0035,nzd0316-0036,nzd0316-0037,nzd0316-0038,nzd0316-0039,nzd0316-0040,nzd0316-0041,nzd0316-0042,nzd0316-0043,nzd0316-0044,nzd0316-0045,nzd0316-0046,satname
2004-01-12 22:01:55+00:00,342.87,335.00,331.59,324.90,320.49,331.25,333.39,342.13,,,342.06,353.37,357.55,362.27,366.58,360.86,360.47,364.88,364.08,362.28,361.55,371.78,367.96,,,375.03,374.44,372.73,366.03,372.05,374.20,366.29,372.35,374.41,378.86,374.78,,,,371.70,356.57,351.93,356.46,357.31,357.05,357.74,365.36,L7
2004-02-05 21:51:52+00:00,365.80,343.89,329.36,311.19,312.04,314.87,326.63,327.37,329.46,324.95,335.20,347.20,363.89,369.33,374.31,376.10,368.63,369.34,359.73,355.35,360.08,369.91,372.96,364.19,364.78,373.29,373.45,376.33,373.78,368.55,366.57,365.68,367.23,358.28,361.09,358.51,353.88,355.53,376.70,378.72,360.92,351.49,352.30,363.85,362.83,359.74,366.26,L5
2004-02-21 21:51:58+00:00,329.98,321.09,312.12,303.90,305.80,305.34,320.40,320.69,326.67,321.33,321.03,338.22,346.12,347.88,353.31,352.17,354.94,358.54,345.24,338.12,342.97,355.70,347.32,354.13,350.35,350.87,350.52,348.91,344.97,352.47,358.49,351.21,356.24,355.72,356.74,350.98,350.59,347.15,357.04,351.86,348.54,341.35,344.97,348.19,349.21,335.05,344.25,L5
2004-04-09 21:52:31+00:00,353.69,349.48,338.41,332.40,333.29,338.24,,,,,,,,,,,,,,,,361.69,360.06,362.58,363.34,362.03,356.66,354.08,356.84,351.61,354.89,354.91,369.40,372.36,367.40,376.72,382.24,370.64,374.94,365.78,364.87,354.88,363.27,357.27,363.24,353.59,327.29,L5
2004-05-19 22:02:11+00:00,,,,,353.33,,,,366.79,364.03,355.27,372.56,377.71,377.24,380.05,381.32,375.20,387.62,378.62,376.85,,,,382.11,374.28,376.21,385.82,388.81,388.84,,392.15,383.63,,,,,,,,,,,,,,,,L7
2004-06-28 21:54:52+00:00,339.99,345.03,337.96,330.95,328.40,322.83,337.64,345.82,343.33,333.03,326.83,352.92,347.31,343.81,353.44,358.72,350.67,354.43,346.29,341.54,334.54,345.47,342.41,353.09,352.77,350.21,348.18,341.84,340.94,330.36,347.89,344.45,346.90,349.33,351.11,351.41,355.97,347.48,357.56,366.35,356.14,345.54,349.52,333.07,339.75,335.34,336.32,L5
2004-07-14 21:55:18+00:00,356.51,349.88,340.14,329.79,333.49,317.92,333.15,341.37,332.79,330.69,322.40,343.33,351.06,359.55,365.99,365.57,362.64,362.26,356.87,357.94,357.27,368.41,362.35,365.68,358.64,352.00,354.45,354.28,361.46,357.26,360.66,359.80,368.39,366.47,368.26,363.57,349.38,350.80,359.05,352.37,353.99,356.35,347.65,328.92,350.16,356.71,354.73,L5
2004-07-22 22:01:56+00:00,360.67,,,,337.20,343.58,346.92,337.97,344.04,337.34,327.50,347.75,348.75,358.02,363.87,365.30,,,,354.13,360.14,371.63,360.37,370.81,355.64,350.57,349.52,349.71,360.47,355.37,,,,364.68,361.59,366.70,362.73,355.11,368.04,363.53,361.90,369.11,357.03,353.57,,,370.19,L7
2004-08-07 22:01:48+00:00,,,,,,,,,,,,,,,,,,,,,,320.72,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2004-08-15 21:56:01+00:00,352.75,330.98,319.60,317.32,316.77,315.30,325.71,332.85,338.53,332.67,320.83,340.21,352.63,352.44,360.85,358.75,350.38,356.90,348.29,344.44,344.88,354.96,353.38,358.56,354.47,359.52,361.38,366.05,360.12,358.56,361.81,367.26,367.17,366.08,364.95,358.09,352.37,352.40,361.60,354.40,357.72,348.45,344.56,344.19,355.82,356.92,356.01,L5
2004-08-23 22:01:47+00:00,347.63,326.62,324.30,319.84,322.87,330.20,332.54,337.62,331.17,329.89,,,,360.87,378.80,359.71,354.20,361.98,355.78,349.21,352.46,357.40,357.14,353.90,347.35,,,,348.83,338.87,345.46,358.98,368.03,361.31,356.24,354.19,349.88,360.83,370.44,,,,350.00,344.69,344.00,343.85,356.08,L7
2004-09-08 22:01:41+00:00,351.80,338.28,333.24,334.08,,,,352.32,354.79,347.71,338.92,348.39,365.46,367.27,372.59,364.26,368.11,366.62,367.50,,,,365.26,376.11,369.36,366.81,362.33,360.31,363.10,371.22,367.29,360.92,379.68,,,,362.39,369.23,384.66,386.63,374.34,366.23,368.03,364.25,362.57,368.28,374.97,L7
