,dates,jap0106-0000,jap0106-0001,jap0106-0002,jap0106-0003,jap0106-0004,jap0106-0005,jap0106-0006,jap0106-0007,jap0106-0008,jap0106-0009,jap0106-0010,jap0106-0011
94,2003-01-01 01:02:58+00:00,,,,,,,,,,,,
95,2003-02-18 01:03:18+00:00,,,,,,,,,,,,
96,2003-03-22 01:03:18+00:00,146.87731904458585,,,,,175.94000158917504,183.81034836186097,193.8430024764241,193.5999619311971,184.64905646875016,178.03440238470404,177.69882190428876
97,2003-04-07 01:03:23+00:00,,166.22700489416002,187.1707662673393,188.65222623258134,191.9371401874515,197.82423122298522,190.9680431346062,206.3295239428044,203.8756231334718,183.4956978480845,185.11791063612011,179.94452990599996
98,2003-07-28 01:03:07+00:00,216.5429690604928,235.2287438729394,211.49551529071744,208.1736630591957,190.35261266701923,,184.30970591592197,190.11142512670833,177.94735953916586,161.19644991952816,,
99,2003-08-13 01:03:02+00:00,252.5186514167462,249.4976017876588,236.1199243250496,225.3676489281271,217.51745922174052,209.62701916138826,215.6529062833763,207.9079413300275,198.94350962751005,182.4438835865079,166.27654445874012,156.16685164369494
100,2003-10-16 01:02:49+00:00,236.15877751083167,223.13941948060204,219.21571305132093,220.71086602278868,,,194.00917146752366,186.66319058583062,,171.2665280227239,,151.17615949379626
101,2003-11-01 01:03:02+00:00,243.48166907015565,237.29733421435085,224.9974984085037,214.3433751839073,213.01441443139396,210.44705928672076,199.82057702363537,191.89258770621515,,,179.17029384307477,171.3865099007953
102,2003-12-11 00:53:08+00:00,,,,,,,,,,,,
103,2003-12-19 01:03:26+00:00,,,,,,,,,,,,
104,2004-03-24 01:03:54+00:00,182.29273278261405,188.194336617554,195.57454054283502,197.71640610692896,203.77329944533744,214.28339517261338,212.59900376303582,218.55482499802804,216.05703155467074,210.82806859857791,,
105,2004-04-09 01:03:51+00:00,195.33786158530967,,197.9187473346913,203.1483248086849,208.89753399295515,214.42217993164266,215.31387596330106,215.80876111727835,224.7649352175673,,212.65693255581337,
106,2004-04-25 01:03:46+00:00,203.66598940100263,193.75904317340965,194.1182672873409,197.8461796123018,,,210.63194899865735,210.4890629631317,214.74893536010163,206.9959255222594,197.74707644694934,196.48414082599547
107,2004-06-04 00:55:44+00:00,188.46639693714695,199.60546589212905,201.56422280401927,206.93350046287458,198.56481228242154,200.15924728783145,203.87220932327335,199.16147657481503,195.54105526358222,186.16618074292415,167.41705988805865,168.65446012443633
108,2004-06-12 01:03:40+00:00,218.31105540406182,,,210.85951633671544,215.49929796785457,216.08142969142858,219.85837701190843,214.26160560896528,209.76779873730567,204.04489234593055,179.784824049321,178.64307115208993
109,2004-07-06 00:56:41+00:00,215.78484151538595,211.4474454838529,217.3702286522986,193.1726793154682,181.6245751856293,156.85684325674168,,,165.69963551291093,,,
110,2004-07-30 01:03:29+00:00,,,220.37484655209664,217.38661236825462,,,,187.35610766073083,179.29513484946798,,153.11383318088417,
111,2004-08-07 00:57:25+00:00,247.2140034077541,228.64128313835593,215.78530084878048,203.1548019958001,201.50437518243248,193.8148343080366,185.60176896534668,167.99017274664354,,,146.29275556181378,
112,2004-08-15 01:03:26+00:00,253.21026069135095,,,230.925051847607,220.16188055944008,,,,,,,
113,2004-09-16 01:03:15+00:00,252.21895032926045,232.086846766061,221.9796770351905,220.22811692969134,215.389175277326,210.95950718450808,199.4739832352251,192.6258162784247,181.8599845201571,162.20392740037278,157.22385444003413,157.05629360677491
114,2004-10-18 01:03:17+00:00,240.2051219178517,235.45184925174388,231.36990935307608,226.14980420038245,215.68587845929662,210.53694936401962,203.07371609224148,189.81475583739132,192.31138610701043,,,
115,2004-12-13 01:00:17+00:00,206.10664464620893,199.61484618576716,,,,,,197.0452058741618,188.77537649509296,184.32505410330882,182.91563331396551,170.7774223536497
116,2005-05-06 01:01:52+00:00,182.59984145233648,185.87157573020693,,181.02645198836754,185.74389377721997,185.89334341432092,186.44935191169768,183.25947724133397,,,175.92665430833398,170.87378729779238
117,2005-10-13 01:02:39+00:00,225.68092449354953,219.2967154164394,205.29084838389232,190.1692151087211,192.73880266668374,,,163.2969513555138,168.955960782894,,,144.03713527157146
118,2005-11-06 01:04:02+00:00,235.77381250573382,229.79073036863102,215.69247892661645,211.40116107238177,201.84686699880297,190.4315044073844,183.62595769091948,,174.4291324676956,,,142.27762836176726
119,2005-12-08 01:04:14+00:00,,,,,,,,,,,,
120,2005-12-24 01:04:17+00:00,,,,,,,,,,,,
121,2006-04-15 01:04:38+00:00,181.33503523630984,187.1682714191142,180.8741867979541,178.20041838703858,198.28609132869542,199.75405807220443,185.9601353779018,193.60548193140434,190.38624692883965,,,180.6188653634462
122,2006-05-01 01:04:40+00:00,190.7069075304674,192.42970948138128,180.1436453649823,178.47779111680254,196.56134639649085,187.25211649102766,196.86550760614884,,,189.96301541454727,176.55045485674768,178.68869867930817
123,2006-05-25 01:06:51+00:00,198.5764745712943,206.2607341958272,195.8056713592012,189.2926741714083,187.02547233293802,194.6951006973773,192.67577495778036,202.84128597183195,187.7540899903192,186.7682205535267,175.49674280572145,177.45334252573863
124,2006-08-05 01:04:19+00:00,212.06239917281601,,,203.21268141950657,197.39365932740623,192.23927768367375,192.06605550776783,184.61067026327686,,,159.42184557084275,158.83118746123867
125,2006-08-21 01:04:17+00:00,221.45354742038668,217.08941207536088,215.9355280014636,208.21807365523668,201.28929115629515,203.51192738726363,192.6668090352787,186.87245179393003,182.9531927184358,165.9089549161529,157.7378063692954,156.62670510090044
126,2006-09-22 01:04:07+00:00,201.5414343535988,203.05100276889655,196.3155847256268,181.88820991898362,167.8175739890356,194.56099116000124,,,,164.78146801542806,152.04352585618352,152.14457269327218
127,2006-11-01 01:08:57+00:00,204.02417275362265,199.81165028601507,179.03743809725106,187.07713610804598,,,164.404132750815,,,150.3495035253665,156.62493069312708,
128,2006-11-09 01:04:29+00:00,,,,,,,,,,,139.6780810263547,136.1778023187179
129,2006-11-25 01:04:40+00:00,,200.42915642673387,202.42462596664248,190.36324401946914,193.51490178016098,198.92473804999483,192.09467137473814,,192.589746442834,183.45479707993573,178.73533940941908,164.90778930475054
130,2007-03-01 01:05:07+00:00,,156.7085131587968,,,154.6677455683234,,164.71809738564775,171.02570044895666,,,,153.49488149267134
131,2007-03-17 01:05:09+00:00,,170.4597089371099,,,168.5483594384492,,157.99470788099654,187.73896839661518,185.86389355820046,172.60683146744992,190.80219336625208,183.4072051446692
132,2007-04-18 01:05:08+00:00,,175.54209006541748,,180.36409413850285,,195.87617595005568,191.81859362359322,184.9939810075815,180.29005740809563,,176.23836863331724,178.84941527298645
133,2007-05-04 01:05:04+00:00,176.3369566469126,191.0786866919285,191.05451562522984,178.56031162470336,,,,,,152.00763470931648,169.02700498681574,164.4154341207142
134,2007-05-28 01:08:59+00:00,185.09330091547474,190.43839391366268,,,,183.8055862702909,,,,168.03582650621527,179.1226494407748,157.42204205112418
135,2007-06-05 01:04:53+00:00,167.4857897378621,,,,165.51668927612275,,,,161.8410286086962,160.062821873665,169.88535338371773,157.3860788392838
136,2007-07-07 01:04:51+00:00,190.17017211751178,,,,,,185.7686260873766,185.80423620449548,168.1962633276243,,155.6107380930594,160.5144954470743
137,2007-08-24 01:04:36+00:00,228.2838463055362,220.04000341124706,208.85977076181325,215.00133396881867,218.42377923225195,213.6976346447293,,,,149.85853189210533,159.307445552404,155.73180099801505
138,2007-09-01 01:07:48+00:00,202.00642639749367,182.90382377375195,,181.44562640208372,,,,,,,143.131921628827,
139,2007-09-09 01:04:28+00:00,193.7928718984456,182.79337747810945,197.53324525373415,186.92675642043113,186.18476359228194,192.41902808793841,,165.61304106398904,167.575588824036,158.9044372020311,,136.49020110883012
140,2007-09-25 01:04:24+00:00,,,,,,,,,,,,
141,2007-10-03 01:07:34+00:00,211.86696653970338,198.69005899155255,195.14174253924526,188.83734911347554,,,,166.60038587116216,,,146.31802580338444,
142,2008-04-20 01:04:44+00:00,,183.3496089652505,168.55880952682077,,,178.61516939944934,183.74055785642935,,148.49419004937397,,171.0916744224615,165.03047656213215
143,2008-04-28 01:03:36+00:00,,,,,154.35105909905363,,165.28134850135305,,149.89521065183038,150.13578103844242,,
144,2008-05-06 01:04:40+00:00,163.2480240011449,179.02254657847996,179.7758639981164,,,184.132788100573,179.62746295131006,,,,174.3816172775848,161.1663179598022
145,2008-07-01 01:01:52+00:00,179.1381883531435,183.74223901133868,188.79193798598163,184.9007318534106,189.88689157643248,,187.31233111983056,,,,152.18163073119817,152.69434092797616
146,2008-08-10 01:03:49+00:00,241.54793008231118,219.83462153255607,214.6735947873055,208.59140264921072,207.92133585857877,,185.8097468773511,,,,,134.75194765703196
147,2008-08-18 01:00:28+00:00,207.88763877775634,195.2776635144146,191.60200710618176,187.5650406357987,,186.25484540936392,188.68859477369122,,163.51234680357913,,,134.0914370174698
148,2008-09-11 01:03:34+00:00,237.4194163575955,220.11544776598382,214.60357110091425,208.61517756388326,198.96767313369676,202.9464503553843,202.8275736712456,195.19696332324784,187.26691232293848,177.9508517443884,164.88292820387835,153.68175914842112
149,2008-09-19 00:59:35+00:00,218.89148533297075,194.70825191849414,199.80969085718394,183.14434970308864,,176.51254849974137,,,,,,
150,2008-10-13 01:03:16+00:00,,237.69021175665745,226.0325408144368,,201.37702260343457,204.68078579588328,199.00079221417602,203.33794736838095,201.73222684311398,185.90753210813213,178.41829263023473,166.13047360697675
151,2008-10-21 00:58:32+00:00,230.83510681807726,211.69724912273327,197.5999122355233,188.14463251592656,,182.64453098264892,,169.72469364997698,,,,138.06272334892589
