dates,satname,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026
2004-09-16 21:55:41+00:00,L5,381.74,381.75,385.20,382.12,364.68,360.20,374.18,372.36,373.95,361.95,358.36,361.44,387.10,389.14,363.28,337.82,336.07,340.72,340.52,347.55,356.41,356.63,370.49,390.73,368.56,352.71,346.75
2004-09-25 21:49:43+00:00,L5,442.09,386.81,390.34,394.42,380.56,376.63,392.40,404.98,404.48,386.11,380.05,390.45,405.70,434.03,422.67,351.98,351.25,348.21,352.63,366.60,368.85,391.18,400.06,416.97,402.39,357.96,363.11
2004-10-02 21:56:02+00:00,L5,374.64,371.32,369.00,368.70,352.10,352.76,363.11,363.62,365.70,359.53,351.89,354.63,378.87,382.09,365.16,329.29,329.14,324.55,328.44,334.10,346.97,362.83,357.61,383.39,356.78,339.58,342.43
2004-10-10 22:00:20+00:00,L7,208.81,,381.50,378.04,363.65,345.32,374.02,379.72,386.74,371.29,369.54,376.64,392.51,406.52,387.45,,,,,,,,,,,,
2004-11-03 21:56:42+00:00,L5,389.08,385.03,379.20,376.77,363.32,357.99,371.65,373.28,375.11,369.25,364.83,370.80,374.27,393.60,374.87,339.91,333.47,337.74,342.30,343.59,351.60,363.32,370.92,394.48,365.09,351.16,345.31
2004-11-04 21:54:31+00:00,L7,386.52,379.46,380.41,382.01,362.68,362.92,370.36,371.27,,,,,,,,,,,350.79,353.18,358.16,367.36,374.36,397.48,375.15,357.73,352.11
2004-11-19 21:56:55+00:00,L5,,382.23,387.83,387.51,372.20,377.79,388.39,395.37,400.06,392.34,392.57,392.09,414.52,426.36,412.63,367.80,364.32,363.60,360.35,368.27,372.68,383.18,388.88,411.93,395.34,363.83,364.09
2005-01-14 22:01:13+00:00,L7,364.97,365.97,363.58,364.70,,,,,,,,,,,,,330.05,327.93,330.71,337.30,345.64,355.30,353.98,374.81,352.95,339.13,337.00
2005-01-15 21:51:45+00:00,L5,387.83,378.26,378.96,379.02,366.03,362.29,372.56,375.54,375.61,370.40,366.80,373.03,395.48,390.92,369.24,356.61,349.69,346.82,348.90,353.46,367.80,372.10,375.93,395.93,374.99,357.67,348.20
2005-01-22 21:58:02+00:00,L5,422.29,387.19,387.91,386.27,367.70,373.00,385.31,384.41,388.59,379.29,379.08,387.50,409.59,410.80,,346.68,355.87,358.87,358.29,369.56,374.21,378.41,392.69,407.45,384.20,370.25,360.87
2005-02-08 21:55:11+00:00,L7,373.08,373.38,371.04,,,,,,,,,,,,,337.60,337.81,335.78,332.61,343.92,349.60,352.54,360.20,,,,
2005-02-23 21:58:31+00:00,L5,392.08,384.17,378.86,378.07,362.70,360.28,375.23,376.78,377.15,375.38,369.96,373.25,401.17,402.54,376.57,347.71,343.15,343.09,345.41,352.46,361.97,362.41,371.90,395.25,369.07,355.17,353.27
2005-03-11 21:58:44+00:00,L5,382.25,378.90,378.53,376.02,362.41,366.46,376.13,371.76,373.38,364.30,357.02,364.44,386.28,385.71,361.45,336.23,339.90,338.32,336.26,351.37,359.79,365.57,366.70,381.37,366.41,348.20,348.68
2005-03-19 22:01:30+00:00,L7,401.89,,,,,,,,,399.99,380.37,389.92,408.77,409.51,417.65,353.83,352.49,351.31,351.50,366.12,368.58,375.34,372.96,406.05,386.29,360.30,357.95
2005-03-28 21:55:18+00:00,L7,,,,376.46,359.73,361.31,369.11,374.26,371.88,363.19,365.28,365.56,393.45,386.27,363.75,343.02,345.13,340.23,339.97,346.42,350.92,360.99,366.61,377.68,360.28,,
2005-04-05 21:52:43+00:00,L5,417.10,395.69,400.32,404.41,392.23,397.51,410.53,414.77,416.22,408.42,402.10,404.30,424.45,440.92,438.88,389.74,387.46,377.74,377.60,387.02,377.24,399.96,396.65,431.33,403.66,391.03,368.33
2005-04-29 21:55:12+00:00,L7,395.23,,,,,,,,372.42,372.45,370.01,370.13,398.48,388.49,364.96,341.75,340.29,340.24,342.96,351.25,356.81,370.08,370.61,392.81,374.70,353.61,358.00
2005-05-07 21:52:53+00:00,L5,388.74,385.40,387.85,386.49,370.86,369.16,388.72,391.76,388.75,383.56,378.36,389.40,412.17,404.32,384.49,361.32,362.24,346.30,347.93,356.00,370.76,376.79,371.68,391.46,377.80,366.92,375.58
2005-05-22 22:01:24+00:00,L7,392.65,384.55,389.38,382.94,367.03,369.64,376.01,380.08,382.23,,,,,,,,,,,,374.80,359.53,389.71,400.65,375.56,360.76,353.83
2005-06-08 21:53:09+00:00,L5,386.49,383.11,387.57,384.62,368.92,369.32,377.50,378.85,385.03,378.14,379.62,378.33,402.93,406.99,390.60,362.50,355.08,348.27,348.32,355.82,364.50,373.08,381.05,397.89,378.85,360.47,362.99
2005-07-09 22:01:14+00:00,L7,369.62,375.46,377.77,372.62,353.84,359.29,,,,,,,,,,,,,335.25,343.92,348.71,358.33,366.41,379.26,362.20,,
2005-07-17 21:59:35+00:00,L5,463.72,385.31,388.11,383.27,367.67,374.77,380.03,388.73,384.61,380.30,373.45,377.91,406.74,435.70,,380.99,361.44,361.80,352.25,368.13,363.00,374.08,416.99,424.25,393.40,366.28,356.42
2005-07-26 21:53:30+00:00,L5,380.51,381.76,381.10,373.30,364.89,361.84,379.14,378.80,378.06,372.58,366.26,372.96,392.20,401.57,391.86,348.30,350.67,346.91,339.87,353.43,354.52,363.73,377.72,397.04,376.63,352.27,357.10
2005-08-19 21:54:56+00:00,L7,,374.74,376.70,372.80,359.09,358.84,363.73,368.30,371.87,364.85,359.35,366.18,393.34,397.14,384.92,346.18,343.11,337.59,,,,,,,,,
2005-09-11 22:00:53+00:00,L7,,,,377.99,354.05,357.14,366.54,365.32,365.75,358.44,353.54,366.56,,,,,,,,,,,,,,,
2005-09-20 21:54:42+00:00,L7,361.54,365.96,366.63,366.22,347.25,,,,,,,,,,,,,333.04,323.33,338.09,341.26,344.09,344.72,368.60,348.83,,
2005-11-07 21:55:03+00:00,L7,,,,,,,,375.64,368.52,366.83,364.28,365.01,395.73,390.20,370.27,342.08,343.45,344.11,344.29,356.83,352.84,366.49,370.86,390.58,368.80,348.80,351.13
2005-11-22 22:00:23+00:00,L5,392.71,388.15,388.42,376.97,362.37,363.83,375.07,374.97,378.59,366.05,368.28,376.22,395.79,395.04,371.79,344.56,346.65,349.57,358.58,369.38,367.16,372.66,380.73,394.28,389.35,361.21,352.52
2005-11-30 22:01:24+00:00,L7,374.18,370.61,,,,,,,,,358.95,364.26,393.94,386.54,367.69,336.97,340.03,336.57,338.44,349.45,352.14,360.31,357.65,375.12,364.41,344.96,346.52
2006-01-10 21:55:28+00:00,L7,441.84,387.76,394.53,397.41,383.45,382.74,395.15,398.49,395.05,390.34,388.63,,,,,,,,,,,,,,,379.78,364.65
2006-02-03 21:55:55+00:00,L5,371.16,370.86,372.47,367.92,356.96,352.33,365.30,367.09,367.46,361.76,355.21,378.94,408.97,405.15,375.71,345.32,339.34,338.86,339.03,344.48,351.16,353.44,366.98,385.09,366.74,349.15,346.68
2006-02-11 21:55:41+00:00,L7,382.83,,,,,,,,,364.30,357.85,364.16,389.41,393.93,378.25,340.37,338.77,340.19,339.16,346.28,353.31,361.78,372.13,390.35,370.25,348.68,351.80
