,dates,nzd0364-0000,nzd0364-0001,nzd0364-0002,nzd0364-0003,nzd0364-0004,nzd0364-0005,nzd0364-0006,nzd0364-0007,nzd0364-0008,nzd0364-0009,nzd0364-0010,nzd0364-0011,nzd0364-0012,nzd0364-0013,nzd0364-0014,nzd0364-0015,nzd0364-0016,nzd0364-0017,nzd0364-0018
208,2012-01-27 22:01:14+00:00,242.72902004780858,246.81655232286235,252.32897042723744,264.47497743621403,258.26482870842267,255.8845379483329,261.0914847924593,264.29039386041717,260.40061664289817,261.8194710610743,,266.1934052943863,272.00245017401824,,278.8215298539411,262.2979868932571,,,261.0885094437179
209,2012-04-25 21:55:22+00:00,,,,,,,,,,,,,,,,,,,
210,2012-05-02 22:01:43+00:00,226.8438531155554,224.34295457706054,235.65597660368658,238.96966560194235,242.13245691440247,243.3968159831792,241.38979046470766,245.975735066552,247.04475332140865,240.8448871106257,243.81181560522245,234.85207384452565,243.3887253844671,,248.19634030490124,,224.3865274930396,,245.74890929207513
211,2012-05-11 21:55:44+00:00,,,,260.69234689527724,257.27963168348845,260.5873777342276,262.62769647397,268.215212865892,271.11757259812657,265.48171078668366,,,281.976241323076,,297.2392245758654,289.5150640176177,,,
212,2012-05-18 22:01:56+00:00,226.84215172877438,,,,,,,,,,,,,,,,,,
213,2012-06-03 22:01:35+00:00,229.23165192218156,235.04099880485285,241.38603351467253,247.47841619364863,,,,,,,,,,,,,,,
214,2012-07-05 22:01:52+00:00,,,,,,,,248.78826549910093,248.3162747650699,248.54577252403453,251.25363073493145,246.68802977504205,257.42077047174337,250.16509492912934,253.93153542356848,,,,
215,2012-08-22 22:02:26+00:00,243.1549824945534,245.15880229444747,255.6998897969242,256.3850183509759,259.9562699504888,255.6841865924142,257.8647483675511,255.70485570632133,259.5335263858531,252.96222782535747,253.39429808472943,257.8637178526478,259.14726272802,271.4530347273838,261.06879779830336,,247.9230008517903,,263.35513045185843
216,2012-10-09 22:02:52+00:00,,,,,,,,,219.87592747691784,252.24923480394102,258.1789173425132,246.45327192032224,,,,,,,
217,2012-12-12 22:03:17+00:00,242.6077873476211,242.13147355404615,248.99903879601752,250.65256568465057,254.9569245274802,253.62702850677167,256.324733327692,259.1286619566631,260.85510755369614,262.1576170863609,259.1074241597367,,,,263.47013884033333,,226.72628490785112,,
218,2013-01-29 22:03:26+00:00,,,,256.00809845330605,260.6584531871283,254.65008064123413,262.4853208214839,263.98177365446196,265.3328242950304,266.35168921006596,259.09677733359996,,266.943286410823,,260.8037833775477,,245.93487545241746,260.4490985339015,
219,2013-02-14 22:03:25+00:00,249.51405196743173,254.87915985613773,263.9448583883453,267.63291788828553,264.68115603255126,266.87015161595286,268.25061200554717,270.72671430765627,268.8525536084121,265.1997120942762,262.4115883275848,260.63732999552894,264.9938289797344,,267.90689095725355,,,273.04527819714616,
220,2013-04-11 22:09:27+00:00,226.73710029789802,231.1083178041022,242.62943319214435,241.49696026971174,244.98226563816885,240.96786695930658,245.0313241126082,251.42407055212524,248.853287727003,250.2553104477753,247.92658222163752,244.93412822111856,250.67524617086602,253.01787283796443,250.32679403054706,,,,242.21066648469463
221,2013-05-13 22:09:11+00:00,238.78053978854447,239.45419644467117,247.27184294867143,252.27328876213957,251.49714403406543,252.06276169710705,257.62184008949964,259.6458942901197,265.20264977325576,252.8733280035292,252.86110438939542,256.27674662288916,261.4005917231035,267.6878380993784,260.4003679729146,,244.62825519991523,,
222,2013-05-29 22:09:17+00:00,252.69034270810548,254.12437580496245,263.9904791457461,269.6233460184235,266.454363555023,269.25785314520596,272.01895320668876,270.62401036095844,272.1493938016377,267.1215866445453,263.3656917629734,271.0410162930442,277.60072066534553,288.7252655693439,276.15724925974246,,,,
223,2013-06-06 22:02:55+00:00,235.1396299848512,243.99642221218744,242.44794510320878,252.98954360420413,247.36006507132709,258.85786513496623,250.99682270603194,258.60722795377274,258.69750253913867,261.6885460376304,250.73605974947895,253.28313287382545,255.58410903560724,255.08157935467256,252.15224571540605,,,,247.2021195224067
224,2013-06-22 22:02:50+00:00,209.4306887569325,212.02500923706083,214.5642942527429,225.80110847739303,221.76851133609682,,,230.47348389143684,238.67200982743907,231.52322210865657,227.79521639698197,,231.8034974807847,231.46765371845152,226.73256559699192,,205.7960032905739,,
225,2013-06-30 22:09:11+00:00,234.93335792849751,236.23569517298796,245.04151206278618,248.21671705154094,249.97516649457646,248.76689240128016,254.61472234298682,256.0825921952283,258.99896216112757,250.61269675756785,251.40757326343368,254.4908620052977,259.27477721297475,,261.4172889081767,,240.8516558973583,,258.1764252948908
226,2013-07-24 22:02:32+00:00,226.34562543358442,229.55038646068448,243.4692180738077,239.39047246069725,239.5010577273113,245.52515974717795,248.68441159149933,249.38680234791664,254.23291307357567,243.59985901500443,244.63639691305897,241.23850255087484,247.09012674662054,,246.0142634639854,,228.39738179435133,,
227,2013-08-17 22:09:15+00:00,208.0157629720473,211.87507173171406,224.1383334950329,225.58425831260388,227.73910114572902,232.591434172027,228.9989028004269,233.48108681453192,232.31723132938154,227.81912209504642,224.10110811469545,223.5063691764265,233.64680944141816,,235.28551832490723,,231.28354304061781,,236.93669840641445
228,2013-08-25 22:02:37+00:00,,,,,,251.35183750202108,251.19650208985018,249.38369499488527,249.86085771080104,,246.2036398156007,256.10692189585336,262.0570651113355,,263.73352991450014,267.17735740191836,,,261.75780331816804
229,2013-09-02 22:09:16+00:00,245.99246138388781,245.39591984610934,251.34204911215028,258.23685865769653,256.07066871298883,252.5875633181223,252.04516632127803,253.81282756216677,256.12340311266865,,253.0634160468989,252.709579169865,260.29673874996945,,,,,281.2119762231022,271.7068039557348
230,2013-09-26 22:02:59+00:00,249.70149257987018,250.04789559086916,258.5742099788443,266.7082379853183,262.88067328181984,262.90019437938383,261.9574013725486,267.3544854222628,264.6478723927305,267.6499918202273,,,,,,,,,278.97179651083104
231,2013-10-12 22:03:12+00:00,,243.90933346229647,250.05530628070474,259.0098771006131,256.72849132951075,256.5546325783566,255.25198955085636,254.73309215719195,258.5068477590979,259.04170855644435,254.00824228122255,264.97669386753336,266.8143445385896,280.01502785331957,266.54403972572607,,263.5208879428982,,
232,2013-10-28 22:03:18+00:00,242.16066689825078,247.1597404885586,250.88365733915316,260.8208162894873,257.49193935495765,256.4237639604064,257.47296386445,262.1260896489122,258.2651891246549,262.6504023837359,259.8983130784126,,266.6727206003796,,275.7520682454153,,268.19026969807777,,270.87272358009864
233,2013-11-13 22:03:24+00:00,241.86253512764992,240.57895402727806,245.0663473060317,257.63969694467715,252.78474271211277,255.6279095089387,249.73303777004676,236.89488399813445,247.48231518370218,,251.99573371034236,246.93447699493794,253.40098463176113,,266.36131866381044,,,281.0514279283955,283.018188289467
234,2013-12-07 22:08:50+00:00,240.07385941409106,237.57781399102714,244.5603597301658,249.3053125195791,250.22285136676183,246.89832730174234,252.47850940471196,255.0856956845929,257.2204774281224,254.17889983299258,255.14342195552032,262.0335224421608,269.980733443304,275.3223922417843,265.11764316237355,,266.3501524661446,,269.7148994114792
235,2014-01-08 22:08:30+00:00,247.68457026105068,249.5533137741269,259.6742097415885,261.9271379286051,267.2472546596844,257.0562806394397,259.96099124312815,261.28068487802335,261.9574574376481,261.91074031145104,265.02676288404626,,277.139247849738,,273.37539652177577,,,271.9955708653954,
236,2014-01-24 22:08:21+00:00,238.54371496487622,238.29763544656,243.60908831643295,252.8107081851046,253.3174235481856,255.23443447356505,259.8656657280335,257.056221660776,265.28623185156783,262.6419742086067,261.7885634878804,268.0702489977724,264.41480117449146,274.0592974476793,269.2119880368648,274.9252963393418,,,276.74724341725675
237,2014-02-01 22:04:06+00:00,230.77090529593306,232.88473286046212,234.78165913117016,243.42912996247154,244.9474529252624,242.07206338092698,244.44307746202304,,,,261.90851101248785,249.55128131143832,250.41942880036189,,245.1592623024925,,,252.85354060901173,260.8621391649343
238,2014-03-05 22:04:01+00:00,230.6646648654745,228.91200986535745,234.8985850839967,242.4193477267704,245.81077204709027,241.49642210057965,247.85884351002386,243.16197723144575,251.8353065800648,245.55478652044485,249.9568161964433,253.39945376335487,259.66081450606856,271.1175335092426,261.2727177606203,264.7593428145467,265.60233094542406,,
239,2014-03-13 22:07:45+00:00,242.34228771516857,243.48988626547006,254.62766881900214,254.58398114881854,256.6697025344714,259.73740494509383,262.2119416871519,269.0099434451134,,264.46800426355776,267.2246196841935,267.15692183814724,,,276.23544728616173,281.59632361526167,,277.8235606186005,273.8520161228677
240,2014-03-21 22:04:08+00:00,247.37446999932303,248.44923028383897,252.3491165392596,264.1284777042919,260.764070460736,261.3543652637511,263.84844944348623,268.4092934515592,,264.982122612774,260.7822098522153,267.3730405298973,270.9845026341636,281.70752135053186,273.7083884009671,,,,
241,2014-04-22 22:04:24+00:00,230.22729826317084,235.8921880464565,239.78481830101947,248.60516815442713,249.77731616027316,248.82483422028463,247.50257471095733,252.5743657550197,253.45327580171806,249.09504188339474,247.9833357798791,253.96444459901497,260.47531749772554,,258.66003862058204,,,,277.7984389315514
242,2014-04-30 22:06:58+00:00,222.9412787390466,222.8447060112898,235.76416942041408,235.41902106466938,234.5706728182077,237.1455653871492,235.86060944835742,241.1998251116666,242.38442539713813,235.87753792632856,242.09992321003187,239.62296545227372,247.98286370945777,249.634977124803,244.05484389699026,,,252.34350806975178,260.5348176827261
243,2014-05-08 22:04:28+00:00,219.42726340216632,228.77024516089782,230.88221778819243,243.04001136038588,250.65850200581056,247.67818914634134,248.85536209048027,248.7281351135144,252.48662291124253,239.5205212092635,234.5095583223663,241.86335499356224,246.90397756321488,,240.93457288838763,,241.24619949231865,,
244,2014-05-16 22:06:45+00:00,237.78313495508388,234.66325104102523,245.88821214378217,250.8478546278106,247.53648504797866,244.5240674941132,248.09545416020867,251.7245361348965,252.52453175839403,247.28125725779446,251.95225692852097,250.8064936527608,255.06053052006368,259.1455711408942,255.8178503664404,,255.4342230568152,,
245,2014-05-24 22:04:35+00:00,243.8020121574036,241.6016478892244,256.348365241801,254.06666313032125,263.9340687463892,261.7510101748394,259.76951836239624,266.33162581495793,263.69223606411225,262.3155044585344,263.8313086542061,257.7736664363686,272.6127628840818,,281.60020980188415,262.67294040306484,264.1113669315954,,272.8877894125047
246,2014-06-01 22:06:50+00:00,243.47691147161544,260.07056411079446,244.98849879313906,245.2734148612623,245.9612221423161,240.58100734678337,246.64741066869635,246.39400716027393,251.43698981342249,244.9762398554721,244.2496226163652,248.4023623908372,262.6182853205788,,261.73697367009873,,,,276.39690057212164
