,dates,chi0369-0000,chi0369-0001,chi0369-0002,chi0369-0003,chi0369-0004,chi0369-0005,chi0369-0006,chi0369-0007,chi0369-0008,chi0369-0009,chi0369-0010,chi0369-0011,chi0369-0012,chi0369-0013,chi0369-0014,chi0369-0015,chi0369-0016,chi0369-0017,chi0369-0018,chi0369-0019,chi0369-0020,chi0369-0021,chi0369-0022,chi0369-0023,chi0369-0024,chi0369-0025
893,2021-03-25 13:46:41+00:00,263.0879459408404,281.11508540922534,304.5399294622907,314.8782220886765,319.9700406968522,,,,,,,,344.0156368186996,346.831031306752,342.86383521051073,344.93717937909935,339.67872560440924,347.4774359363072,347.3629934909703,,,,,,359.62510343046307,363.41430969732744
894,2021-04-10 13:44:58+00:00,258.8474643664912,276.50393796663843,284.789562002016,,,,,,,,334.90414298285464,333.13805834746273,334.2250170768259,330.5639209446296,321.3905145046597,315.5997569519688,325.9500936192173,,,,,,,327.58498826429644,338.1418147766929,341.6134482693861
895,2021-04-25 14:39:51+00:00,262.77828411360866,279.7708661866407,292.39281813297816,307.3043314429831,314.74289475547636,322.6914391556875,328.44786325202523,330.92478488889367,333.7897251995108,342.4597799245924,337.45462698179705,337.39389790593435,341.9774716493907,339.85166698759747,336.6038345153607,333.89265845471516,335.85621233084254,336.9121175019102,339.8105276311074,335.6611406015533,339.7913110846183,336.0551976563246,329.98971943372356,331.78674298080347,336.03717196731503,341.39132518818144
896,2021-05-04 14:33:58+00:00,260.0429907099702,266.5940167265646,277.6437484645028,292.102517837517,304.5392708356287,325.0819871818664,330.6030550351912,338.2376249580841,341.9486206812126,347.9528162835848,342.5162626566937,339.67464217482694,336.18352486042295,328.7946468618704,331.14429211077584,331.0106538265528,333.6141203366831,334.43563630798747,343.750594540737,339.6711718209003,340.6370712662867,338.04804707012585,338.5179587900109,336.2146723933599,345.3823933122122,335.92468671428963
897,2021-05-11 14:39:47+00:00,252.94210428910404,262.0332081793661,279.7217174175225,297.85373376638177,302.690072269272,311.14737573574274,318.769763919006,320.92394385095747,326.27520268004,331.8644374670781,332.3643111538783,332.7247769553297,328.9861022074499,320.88333575285804,318.6385848927942,317.71872437051,318.6618382048814,313.74399372280095,325.43979412903934,330.9606675546307,327.7581242980993,320.4675008888566,321.1616392436261,317.4506318976888,319.660075716275,325.0509176215589
898,2021-05-12 13:42:17+00:00,242.51470117817883,250.42294952874101,268.0388949485698,284.93335629834246,290.3087208086555,,,,,,,,312.2546012547326,302.8008710617357,303.20081457777627,308.5820845148286,312.9450571620633,315.6307580476151,315.0774635298024,,,,,,,316.7266919755037
899,2021-05-20 14:33:43+00:00,257.7601640633499,248.28210042297738,256.43905366997353,284.3499812468955,292.4886588762036,301.30897873860823,317.53084795627774,323.337454238868,308.7540574640924,310.0325680873792,318.9916624049454,320.9379490463667,322.74025971115947,319.33656517776825,315.0316717787637,315.9812384832141,310.54448352170914,315.9456794284962,317.764386394818,323.14356750192195,318.9384951612176,321.7125463587254,312.76203095606206,318.1916181184886,324.66986988412236,333.95253436279114
900,2021-05-28 13:40:55+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
901,2021-06-05 14:33:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
902,2021-06-28 14:40:08+00:00,253.39547109768736,264.3014726997528,274.8212316140136,,,,,,,,,,,,,,,,,,,,,,,
903,2021-07-14 14:40:09+00:00,258.2671180135233,,,,,,,,,,,,,,,,,,,,,,,,,
904,2021-07-15 13:36:55+00:00,,,,,,288.21776713318644,300.1586695417756,289.3960422585604,300.9306677960713,273.22603102852,277.0710508566856,300.0622953009909,,,,,,,316.94006840296163,316.710520259229,318.6980486252599,314.62447056647494,298.73653420668614,285.8955507655146,290.23424099721825,
905,2021-07-31 13:35:32+00:00,247.89981807521497,249.22062702729977,269.82219582571844,270.9219959721854,280.86087065572093,292.6070915381214,292.1090440252658,,,,,,,311.0469012028077,314.0346381058491,308.78326878945427,314.16883426379644,297.8834987910752,292.51431373758146,304.01578217055203,,,,,,
906,2021-08-07 13:41:05+00:00,240.1891521949172,248.72358319436626,262.4392355855613,272.61421512656517,269.49922947696365,282.27893649592517,295.3317165048678,,,,290.89952561260264,295.345995946276,298.3152630046192,305.754209361116,306.32815647998405,300.10204821280223,305.41919345660443,298.23274114317286,299.12579431618997,291.77838574122245,,,,274.03216237472003,281.5292955280397,275.11787718823285
907,2021-08-24 14:34:15+00:00,244.97987398461913,251.11740700225508,266.0394419552996,278.4659337092845,287.4110008172334,,,,,,295.92550466772326,299.49830804848006,301.04603220079747,297.87502920541635,291.59740760193705,288.7828055205037,288.7511203574135,293.07386433010873,299.1353485045112,296.6652980081705,294.7360195557176,290.2930868465669,283.9271933814319,280.72526085597497,287.409550556216,285.5756148394157
908,2021-08-31 14:40:28+00:00,244.62671160158175,245.74160334448936,261.0361337894164,266.8014081817338,276.90159024746526,279.4208601052266,284.55075833168866,290.0500348593716,298.2135577130163,297.60347354220875,300.90851675470736,285.6021481720414,288.8640127536522,290.8994511750239,287.6758720779722,296.73452331266225,290.90826999683935,294.45571365736413,301.241198861525,304.38193237783275,302.40897100466094,296.27392780390295,292.2919276507361,284.4886913241845,288.85469569861897,292.12381174599454
909,2021-09-01 13:32:43+00:00,,,,,,,,283.6010253276559,280.83334579880443,288.05656540492447,286.2703876485458,279.06940469809905,280.75631934549995,,,,,,,286.1542588782073,283.48013361599834,282.3166988112098,274.74205169825245,276.5024490344266,277.89033263125003,266.92472696390195
910,2021-09-08 13:38:18+00:00,232.45015176488795,238.6639641491611,246.52680284011137,259.75898993850774,265.53723622928123,,,,277.4587218770008,289.7652673769065,290.5761390061278,292.61731173196017,291.99136670174954,271.80916277352935,277.9301267313038,265.85326993598767,273.5143145113653,264.10600706627014,273.6601970189235,,,282.36058077218786,273.5010548455133,263.2240207625269,277.0055310620323,271.45847906589813
911,2021-09-09 14:34:44+00:00,245.3659568859514,256.8697024557175,267.97685853329773,275.6609872385657,279.74800940696554,284.4318175586247,293.5791270856937,296.14146979864614,293.23505939015035,302.15039433470366,303.417233745391,297.91119160602676,297.6089798228439,291.6131733455026,292.4954504267811,292.8646942550941,292.3413945088873,298.84564490007705,299.26106784869086,308.2886322892539,303.83442893978844,299.5344232085326,291.78559052536485,284.3276011244929,286.95401432259956,292.8745515975047
912,2021-09-16 14:40:32+00:00,252.22905600633274,256.3783716513996,267.35085563774754,276.88284327147704,284.0484181275386,284.1363366894521,292.9839085096172,291.8977360413101,293.33003845576116,301.31274054274337,299.66361705876903,299.30983151529256,295.6020506283782,297.7334242837408,298.2139817398583,300.6174591090299,297.4207040034179,305.9026176721314,306.16166232169786,306.9075175802406,307.7579780981399,302.34602495845814,299.8800626342584,292.94294305069826,289.5898314999916,285.14665744649477
913,2021-09-24 13:36:52+00:00,236.30930567035946,240.21983726867825,246.67211450105836,262.48858923192546,271.2231326527156,269.44497217506023,271.58628986943853,274.9204458248232,281.60165532569107,281.2079973614288,276.6037967505265,274.4579022773654,,,274.2748100613747,278.55085435499535,277.54970536981165,271.61349818621386,281.40497580211223,287.17696723694945,288.12310604402677,281.98753837017745,281.4472540769744,271.580634823896,,
914,2021-10-03 13:29:53+00:00,,,,,,,,,268.08663433759847,274.3635658036571,282.2763614610996,,,,,,,279.2066146277361,284.34827452960855,281.5546400946288,286.0953536645146,278.1450082389158,266.029288859205,263.78490297801886,,
915,2021-10-11 14:34:29+00:00,265.9831388038183,260.83542921063764,272.84696319051517,283.2909113298526,282.37354027879746,290.7813173962492,300.2173479856559,301.7076587442563,302.20938349499147,303.31839451573956,295.58414413612513,289.89770287732193,284.85673615515776,288.30396538185784,286.1810312095843,294.35006189921614,296.69711975859155,303.8781777507103,306.7278582818954,304.58055172635176,308.8861278285651,310.92363002968585,303.43443483091687,294.1118910390792,293.4580496152956,296.3571428268245
916,2021-10-18 14:40:41+00:00,267.43977059941597,272.4939706996975,278.9386542940824,281.74715835801476,288.3756527641209,289.89447425592505,300.28759180568363,302.99868630281145,301.4506666640396,305.25571156041946,295.45878937337744,295.82561292723284,296.82109748151385,291.29296589879743,290.7598791254474,292.07609472773134,295.48514478097536,303.98220408406735,312.6417610329794,318.29303485327017,319.8191544306991,313.8557183054305,306.6212849014914,295.26870277460927,297.4992642395472,292.46366730016064
917,2021-10-19 13:28:52+00:00,243.5582649188158,245.9615591886894,243.71241125475382,253.38685626190826,,,,,,,,261.8201663399858,257.7184750116843,251.44240151247914,254.57868824392878,267.3687707343797,273.1299557521237,,,,,,,,,
918,2021-10-26 13:34:01+00:00,,258.90454249681864,261.9745682931043,266.91554093864596,268.0248344875776,275.31575691429305,284.2606139981391,279.60939359226523,281.2369597111843,290.3178746441052,283.99052261484667,287.77722291290746,277.57805786604126,,,,273.9924689946759,286.75731405854606,293.6823331442388,295.65753474606026,299.04896832286454,300.4146553227542,293.4411618819523,286.3420947981707,293.73267038714215,285.0180598602802
919,2021-11-04 13:26:59+00:00,,,,258.7872770583548,266.9018109732386,261.4955165406469,268.00626962498245,278.13324408272473,276.42085803222454,272.2946026192977,,,,,,,267.84692959347024,273.1503485261519,271.37741139628804,278.7415525119794,283.1761034971417,285.54807117365766,274.61347299391343,,,
920,2021-11-27 13:30:57+00:00,267.5770025959001,,,,270.29702898301747,268.30191021391516,275.5815491801733,286.2775733717364,287.8215220158055,300.4451100449957,294.0576374216894,286.69483866415277,285.74082265942894,276.77343129434524,283.52890205400115,,,,298.7557411742003,301.69255096252215,303.28520299313516,292.0067314430074,291.23047320912895,301.6421889763094,310.4904601417593,315.96280814086913
