,dates,jap0202-0000,jap0202-0001,jap0202-0002,jap0202-0003,jap0202-0004,jap0202-0005,jap0202-0006,jap0202-0007,jap0202-0008,jap0202-0009,jap0202-0010,jap0202-0011,jap0202-0012,jap0202-0013,jap0202-0014,jap0202-0015,jap0202-0016
346,2015-04-24 01:15:04+00:00,178.86055128101344,152.07016853884397,150.102930927622,154.7926893889506,159.57360328762795,175.7009184290326,167.24518738631681,148.984641111549,156.68657512526187,167.89901893095177,,149.11108274234667,155.6023793075084,135.57023738030819,134.17602702010788,,
347,2015-05-02 01:15:26+00:00,176.97265436700616,146.92294201322252,145.2057413383427,157.6657365947386,167.25360564442337,177.90933382679015,170.28705466612425,175.7958065823569,167.80152703500235,167.7341188217302,156.73371565319368,159.97481439614342,143.93302467843353,132.90681809509948,129.01218573460645,140.71960455205777,133.80951189286355
348,2015-05-10 01:15:37+00:00,200.8089862991302,156.84903777011655,148.34044689953706,142.17565761191173,161.2129441947862,169.40041250945083,177.9609646796023,148.92618887539945,159.7478551616939,160.47624045377515,,146.99567257427296,156.34143703533758,135.66297487539768,,133.27702136407612,123.58265241977868
349,2015-05-18 01:15:15+00:00,148.46183054605262,135.79322975349038,135.24386101264318,145.38578502131625,140.84355912814405,168.88785182432997,160.83545761497365,166.10857093167462,159.1423151469952,168.33952807942552,167.98033704904947,151.42743160683122,134.77683004121906,127.49400768439845,124.50022363235284,127.98847275545171,126.38174856872595
350,2015-05-26 01:15:41+00:00,,139.7935808661218,127.61796243723877,125.03715543185554,139.53847853959317,,149.67078527293032,129.16543374676962,136.00614461859314,145.54436030935747,128.89134437898323,123.07444485448781,122.97926924753618,103.98297792379775,94.01398782545478,,
351,2015-07-21 01:15:24+00:00,,140.62440748262972,131.1459578460207,124.76203649900056,171.36558687657188,178.6744516799168,145.42136493003866,157.34986225074948,155.52380512018655,161.32710903988087,,145.36363996036027,131.26697380507792,116.14850302693893,113.52037463007932,109.57399809370872,92.97093159930736
352,2015-08-06 01:15:50+00:00,,144.45804483628686,137.4504787055161,134.54645385914648,162.15629106608395,161.3599707576994,154.93960310409693,157.67612252790812,158.54095732233387,158.36396103822096,,134.27616458096492,125.81079318670312,100.92126623390729,105.77824980717348,107.25761846406955,94.29162351749041
353,2015-08-22 01:15:35+00:00,,123.32377829850488,135.13586817380843,169.19051421980956,133.47715989703946,136.5723083039471,,,,137.12045070316412,131.78096506417597,119.30077469633275,112.77940054711885,81.03613091726442,86.38033912668327,88.0919062964838,
354,2015-09-23 01:16:12+00:00,172.1461451729434,145.85560669727116,142.59343062394578,,158.1028948977559,170.7426986659822,133.33579976863928,,131.18200464338858,134.3706328515875,123.43847347545805,132.80948993773967,135.01105481433117,118.64737442012837,104.63755937413849,107.03318159127389,102.83790370049923
355,2015-10-09 01:16:14+00:00,,153.59372193290548,142.86127056365416,132.54843747237285,146.79815773698715,150.03690346080916,132.31660275705195,140.59635023072855,130.55888869136396,131.25219673811455,130.83340580001592,130.0426294580207,,,110.90751988505366,107.98790687271696,91.21284089308438
356,2015-10-25 01:16:18+00:00,,155.31930983631796,148.35341309630195,156.323263067181,162.03963026895204,170.98320893208128,157.22168788352883,151.07170022749733,143.33494723163017,145.1676803700436,,147.8554009928929,140.06824183744735,120.54295780917954,103.48544364512098,128.3315048298824,98.97962348117153
357,2015-11-27 01:10:55+00:00,,,,,,,,,,,,,,,,,
358,2015-12-20 01:17:28+00:00,,166.1934379548806,152.6393010429858,154.09954619744454,164.92051073529396,162.46609474514722,158.29386711611895,152.49662416380247,167.98530895510928,178.84301872742813,,158.4596095253042,166.65028189917624,142.35450422248616,,,
359,2015-12-29 01:11:23+00:00,,,,,,,,,,,,,,,,,118.47237322748806
360,2016-01-05 01:17:42+00:00,195.63394649824932,157.59200687158275,153.24122276929052,161.56030292682652,163.31533113914858,160.31191262902937,161.18945962962223,158.78479267707735,158.15197334748513,169.06290468694604,,150.27727875439558,146.98174423061693,130.69667543187333,114.06243178305238,,
361,2016-01-14 01:11:39+00:00,192.85981571590636,157.37308141070932,160.61245011557295,160.5759563630879,167.73770121998112,164.32166769009137,166.78025243865378,157.7462920128779,160.35655603745167,164.59082949776038,,151.2228263230837,147.40950593662762,,,,
