,dates,nzd0194-0000,nzd0194-0001,nzd0194-0002,nzd0194-0003,nzd0194-0004,nzd0194-0005,nzd0194-0006,nzd0194-0007,nzd0194-0008,nzd0194-0009,nzd0194-0010,nzd0194-0011,nzd0194-0012
326,2015-03-01 21:58:43+00:00,186.39022272378995,,,,,,,,212.25541964879585,208.33298477011698,210.01796691024933,216.64992880428412,223.54185333295854
327,2015-03-09 21:59:30+00:00,158.2626282865924,165.61803058118568,152.8182412694876,,,191.18112244374922,190.5283587421053,177.2331275450597,188.91379435655816,192.32989243264458,173.31303736270428,,202.720010076055
328,2015-03-16 22:05:37+00:00,132.20026361707895,135.16661256854897,135.71510119504836,,,183.00932232152607,185.31029535473252,169.66196230763484,152.4476139811414,167.2499529198726,161.61380609840455,174.08510848838262,
329,2015-03-24 22:05:04+00:00,140.3904746218157,149.69027411244838,145.52297001000287,,200.61622402740596,,,,172.09859162682892,176.44007995942115,160.94007072395658,173.10990282061115,194.15494442091344
330,2015-04-02 21:58:56+00:00,172.67741947456582,182.94559827926372,166.75367971316948,,,227.52739986856892,,222.2389832724271,,,,,
331,2015-04-10 21:59:13+00:00,,155.68212283563724,146.81063374190856,177.8893256646667,210.82359465909272,199.0506422246139,199.09786987568225,199.88818012402123,,194.3448212103738,177.97037837193804,196.26587065991205,200.19236079256842
332,2015-04-18 21:59:04+00:00,,,,,,,222.498398022098,216.18682534958393,,,,220.09809172927663,216.65502205719665
333,2015-04-25 22:05:18+00:00,153.37714402962118,154.60264072929118,148.60122711440383,156.48274888876873,191.35615750331976,184.24919011899817,189.79918767603414,,161.40737317264035,,,,
334,2015-05-03 22:05:12+00:00,150.52417629587228,147.11636247318077,148.52645714760513,162.35089739256043,205.48871168112981,193.6622505308299,199.13227238689404,196.49768734240251,,179.15678786912275,170.2083909238136,185.18747398840648,
335,2015-05-12 21:58:53+00:00,168.60745645127778,165.45200644224485,162.4634328749981,180.2028629754112,220.19771351147205,208.68967433479543,218.22080530896565,211.36931781691155,197.99932068719266,,196.39993150683316,206.95660566853297,205.45234064891483
336,2015-05-19 22:05:04+00:00,163.84543378927518,166.67048149611705,152.07893893576014,196.78822169515604,211.71505570914746,194.0634310100627,204.1634958601493,202.90381821553746,,192.99448872991778,188.6518022130158,191.544034997812,196.41127880515018
337,2015-05-20 21:59:18+00:00,195.74186622574567,189.98205664520938,182.89058433726908,,238.77113824684417,229.47891631986195,,,,,,,224.74131689124647
338,2015-05-27 22:05:30+00:00,177.5920692460241,185.36450189153766,176.7006609449308,,238.42443726436596,226.5826917754127,234.46991427269302,230.2216893131957,,,,220.29442988006568,213.43144800287567
339,2015-05-28 21:58:55+00:00,178.11917381276038,171.5820182278224,152.5883337219925,167.53548175370605,224.34898310589705,211.89238750687568,220.4657105068001,209.66539495579954,203.06774284058005,203.57691710173134,207.41868164537533,209.88455012260633,206.3449059571603
340,2015-06-04 22:05:12+00:00,175.44128880227902,168.46682494106753,157.41179496872923,192.47798243923705,227.11362600726795,204.7758962441359,207.65344301887004,199.17653610050496,,,196.18410189080043,204.40490592960532,207.49634639505322
341,2015-06-12 22:05:38+00:00,,,,,,,,,,,,,
342,2015-06-20 22:05:20+00:00,173.44265695047716,174.72210071606094,193.4257056370384,238.68030789138982,,,,,,204.84775988762058,206.52003386877183,210.38561120026708,207.75907652177935
343,2015-07-22 22:05:37+00:00,176.50623166251677,174.1749506144854,162.88626343582064,184.9450580300891,224.95510218590078,211.85597390657435,219.02572425129733,209.49284035235937,199.55170977593232,,218.381408482072,218.97597462998377,222.71851107581918
344,2015-07-31 21:59:28+00:00,187.1898589521641,182.180285504888,169.2416312950893,175.69996263441382,234.11204931275537,221.46750386706628,226.47506519616377,223.7144020643555,216.2308241748971,,231.94757760804396,236.61315918382132,233.26015640514856
