dates,satname,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0013,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043
2004-04-20 21:34:43+00:00,L5,337.86,319.38,317.77,320.46,315.16,331.01,344.25,353.63,370.14,355.41,353.37,347.98,352.88,357.36,354.60,356.77,339.00,332.94,328.57,325.48,325.77,327.19,326.63,326.55,324.95,312.83,298.95,311.85,321.34,323.95,321.69,313.62,307.14,302.62,305.06,299.89,287.26,294.53,300.31,296.70,287.15,282.83,286.45,295.26
2004-06-06 21:49:44+00:00,L7,,,,289.17,294.64,298.76,303.38,329.54,345.53,342.68,339.18,333.20,,,343.16,345.34,336.79,,,318.69,327.40,324.10,315.36,319.38,318.83,298.99,280.18,292.87,290.99,295.90,291.30,270.90,260.62,,,,255.97,262.49,264.88,269.65,272.64,268.56,270.63,289.57
2004-06-22 21:50:04+00:00,L7,307.51,293.60,289.28,288.60,295.66,302.21,318.69,335.39,354.67,346.66,344.85,,,337.89,341.64,343.94,334.99,322.18,322.57,321.58,324.64,331.14,320.40,323.44,317.03,,,,,299.81,289.84,271.53,261.29,277.12,288.41,269.90,261.71,270.42,271.53,278.90,277.88,280.52,280.22,
2004-06-23 21:36:34+00:00,L5,313.76,304.93,297.09,298.60,300.29,311.80,324.35,346.07,361.42,356.40,352.04,344.68,337.42,342.09,340.32,343.96,336.11,330.11,327.15,329.83,337.22,338.12,329.63,335.13,329.76,310.64,292.91,303.74,306.97,307.52,302.28,282.92,272.83,287.53,297.09,276.65,262.23,275.62,275.31,274.45,288.12,285.16,287.58,298.52
2004-07-08 21:49:38+00:00,L7,321.69,318.38,307.46,304.27,310.79,316.61,332.24,353.53,371.75,362.72,354.09,348.07,,,,351.55,341.30,332.37,329.34,331.50,337.89,330.31,332.12,332.44,333.21,314.32,,,,,303.70,280.50,283.99,289.64,297.23,267.37,262.38,279.46,278.91,286.96,283.70,281.76,285.54,300.55
2004-09-18 21:44:34+00:00,L5,315.68,302.65,302.57,301.84,298.54,304.29,316.64,341.28,358.77,354.42,350.25,341.13,340.46,343.89,343.04,340.42,337.42,336.40,332.96,330.16,323.73,309.81,309.44,319.80,318.25,304.89,291.02,303.14,308.94,304.82,299.80,293.69,291.13,294.98,306.23,300.05,286.37,291.16,280.90,283.55,277.75,279.37,279.76,291.83
2004-10-12 21:49:36+00:00,L7,,,324.02,316.71,326.57,339.17,355.03,361.49,370.20,376.54,378.68,379.21,367.79,357.48,350.88,358.77,,,,346.72,350.00,339.88,336.04,340.28,349.44,342.75,327.37,339.68,347.54,336.15,337.70,,,,,324.94,312.32,311.07,315.26,314.17,308.06,306.90,306.31,314.95
2004-10-13 21:39:20+00:00,L5,342.44,324.28,318.50,317.56,324.86,337.29,354.27,356.54,367.18,368.19,373.14,373.57,364.00,352.87,351.18,360.62,352.36,348.15,347.08,344.70,347.83,335.72,326.22,330.39,343.38,330.25,315.57,327.53,338.19,335.64,327.38,315.53,308.19,309.39,323.58,324.33,308.96,309.45,306.25,304.90,303.15,299.78,301.28,305.59
2004-10-20 21:45:40+00:00,L5,326.63,316.27,313.79,310.58,308.55,325.10,343.20,352.84,362.70,353.17,351.07,345.12,346.19,339.69,340.35,345.17,337.72,337.30,337.92,333.71,334.93,326.84,320.59,327.89,322.84,315.25,299.25,304.48,315.91,314.75,307.78,297.25,296.98,306.26,314.22,307.94,296.34,299.90,301.97,298.71,292.60,283.28,281.54,293.32
2004-11-13 21:49:35+00:00,L7,335.42,318.22,314.94,313.08,318.48,329.73,341.85,351.50,372.39,373.10,367.84,,,,,358.81,355.24,343.40,332.48,336.14,336.62,326.46,327.82,328.52,335.45,328.28,,,,,319.30,313.98,303.90,304.87,312.79,307.00,297.88,300.51,300.87,300.55,291.57,290.33,292.65,300.67
