dates,nzd0532-0000,nzd0532-0001,nzd0532-0002,nzd0532-0003,nzd0532-0004,nzd0532-0005,nzd0532-0006,nzd0532-0007,nzd0532-0008,nzd0532-0009,nzd0532-0010,nzd0532-0011,nzd0532-0012,nzd0532-0013,nzd0532-0014,nzd0532-0015,nzd0532-0016,nzd0532-0017,nzd0532-0018,nzd0532-0019,nzd0532-0020,nzd0532-0021,nzd0532-0022,nzd0532-0023,nzd0532-0024,nzd0532-0025,nzd0532-0026,nzd0532-0027,nzd0532-0028,nzd0532-0029,nzd0532-0030,nzd0532-0031,nzd0532-0032,nzd0532-0033,nzd0532-0034,nzd0532-0035,nzd0532-0036,nzd0532-0037,nzd0532-0038,nzd0532-0039,nzd0532-0040,nzd0532-0041,nzd0532-0042,nzd0532-0043,nzd0532-0044,nzd0532-0045,nzd0532-0046,nzd0532-0047,nzd0532-0048,nzd0532-0049,nzd0532-0050,nzd0532-0051,nzd0532-0052,nzd0532-0053,nzd0532-0054,nzd0532-0055,nzd0532-0056,nzd0532-0057,nzd0532-0058,nzd0532-0059,nzd0532-0060,nzd0532-0061,nzd0532-0062,nzd0532-0063,nzd0532-0064,nzd0532-0065,nzd0532-0066,nzd0532-0067,nzd0532-0068,nzd0532-0069,nzd0532-0070,nzd0532-0071,nzd0532-0072,nzd0532-0073,nzd0532-0074,nzd0532-0075,nzd0532-0076,nzd0532-0077,nzd0532-0078,nzd0532-0079,nzd0532-0080,nzd0532-0081,nzd0532-0082,nzd0532-0083,nzd0532-0084,nzd0532-0085,nzd0532-0086,nzd0532-0087,nzd0532-0088,satname
2002-12-31 22:09:08+00:00,318.76,303.36,305.26,311.29,311.90,311.23,306.30,303.25,316.32,329.27,325.33,326.25,316.13,327.71,329.47,332.37,329.84,332.50,333.29,330.30,331.23,335.91,329.76,342.09,346.83,348.03,351.63,352.37,343.29,333.28,326.51,319.89,317.72,314.82,314.84,317.03,322.52,324.28,319.52,305.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-03-21 22:09:27+00:00,355.86,,,,,,354.84,345.77,358.44,374.43,367.39,363.82,361.94,362.46,364.07,358.25,356.71,350.61,349.41,343.83,335.92,317.57,301.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-04-13 22:15:43+00:00,341.70,317.87,323.08,331.61,330.89,324.27,321.63,326.55,335.54,345.85,346.24,344.23,341.67,349.18,348.16,354.90,352.59,355.02,352.91,353.49,356.83,352.83,351.81,356.59,366.44,366.40,368.91,365.25,359.27,355.38,348.10,340.80,335.85,331.70,331.49,330.12,340.31,344.08,350.30,350.53,355.66,352.60,354.17,345.02,358.88,359.18,347.76,340.52,335.53,332.37,328.34,323.53,324.20,321.30,316.58,314.52,305.07,299.94,297.45,291.30,287.37,290.17,287.99,288.98,287.97,293.39,302.67,303.31,298.15,301.56,300.01,309.91,309.52,302.45,301.17,309.22,308.35,313.46,307.14,308.35,306.37,301.06,302.51,303.90,313.26,319.06,319.20,312.48,319.08,L7
2003-05-15 22:15:40+00:00,346.24,303.85,318.91,324.09,320.10,314.65,310.69,310.72,321.65,331.32,334.67,335.42,335.85,341.96,337.67,340.49,342.24,347.60,344.96,347.72,349.83,344.48,339.04,347.84,350.34,355.09,351.11,352.58,343.16,342.65,338.75,329.41,310.84,,,319.11,332.31,340.22,343.23,339.24,343.42,340.26,337.43,335.19,343.15,343.38,335.73,326.39,321.33,315.04,307.05,308.28,301.45,301.16,299.31,300.16,296.55,289.14,281.80,278.44,279.89,282.21,278.36,273.86,266.64,269.58,278.40,263.44,280.64,284.24,287.23,298.61,294.95,292.08,289.21,297.51,300.45,304.19,301.45,296.46,295.26,292.41,295.04,300.92,309.49,315.98,313.40,309.19,314.37,L7
2003-08-11 22:03:51+00:00,342.68,309.58,332.34,335.14,336.31,332.64,326.45,324.37,334.41,351.23,351.25,348.35,349.25,351.75,349.91,348.88,350.70,354.94,359.26,354.89,359.63,348.44,345.21,353.75,359.32,370.19,369.30,365.25,353.49,348.56,341.84,342.90,336.96,333.16,335.83,333.72,336.06,343.67,347.12,346.09,350.63,348.88,342.11,339.86,340.96,351.89,352.20,339.72,336.89,333.11,333.29,329.93,328.68,321.53,321.74,317.81,310.05,301.04,295.48,290.82,286.09,286.77,289.54,288.56,287.24,286.78,294.89,298.05,295.64,292.49,291.80,294.95,293.43,291.95,289.03,296.13,296.29,301.06,301.83,298.40,300.19,294.43,297.34,301.17,315.43,320.78,316.40,315.36,314.50,L5
2003-08-12 22:09:11+00:00,,,,,,,,,,,,,,,,355.69,357.69,355.59,358.21,352.12,357.13,355.76,345.16,345.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-08-27 22:04:09+00:00,343.05,322.32,327.06,326.72,323.56,321.73,320.38,310.52,321.11,337.32,340.71,347.98,340.07,341.67,339.40,341.06,339.58,339.63,336.81,331.47,339.38,336.89,336.22,342.00,351.69,355.23,357.57,355.66,351.42,345.22,332.93,328.67,328.22,320.68,317.20,,,321.73,339.77,343.62,348.29,340.73,342.35,336.35,345.88,350.03,343.56,334.80,334.13,329.78,329.99,321.64,322.01,316.63,314.07,303.85,297.25,291.90,287.48,283.34,279.43,281.07,277.03,276.34,278.29,276.33,281.95,282.65,285.39,285.04,286.99,286.27,286.63,282.19,283.06,284.97,289.55,289.79,288.37,283.95,282.65,275.32,279.23,282.21,296.85,302.95,299.81,302.01,306.21,L5
2003-08-28 22:09:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.92,349.03,349.98,353.12,351.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-10-07 21:58:35+00:00,342.42,312.30,314.50,320.37,323.44,321.70,318.01,313.25,333.53,345.88,349.22,343.53,338.35,341.36,341.90,342.84,341.17,348.04,347.09,343.01,344.57,340.37,340.18,349.98,357.00,360.69,359.72,360.48,354.07,347.21,338.99,330.23,328.19,324.64,324.47,332.60,336.18,341.58,340.40,340.45,346.11,339.52,342.19,343.35,346.28,348.13,349.57,336.06,332.05,326.79,326.25,323.68,322.43,321.04,317.50,309.79,301.35,299.09,295.20,290.02,286.75,288.04,281.03,282.19,277.32,288.20,289.52,288.17,288.19,294.47,294.60,301.18,303.68,294.13,294.70,298.95,300.16,304.41,301.30,299.56,299.52,292.11,291.14,294.37,308.83,314.76,311.53,309.59,314.22,L5
2003-12-18 22:09:36+00:00,330.84,315.03,314.48,314.31,317.75,,,,,,,,,,,,,,,,,,,,351.27,357.35,354.16,354.53,346.19,336.27,332.52,326.28,322.26,322.10,318.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.69,297.49,306.19,304.92,300.40,300.54,L7
