,dates,mex0127-0000,mex0127-0001,mex0127-0002
297,2002-09-19 16:48:10+00:00,203.91771307131518,201.28627216493533,198.21976910126318
298,2002-10-14 16:42:19+00:00,190.858956316925,201.9911795722403,196.3382694677802
299,2002-10-21 16:48:11+00:00,218.74801140396454,226.06083324603986,226.80083582242318
300,2002-12-01 16:42:52+00:00,215.65228126180736,231.12544495559058,221.7110755595167
301,2003-01-18 16:43:05+00:00,220.68145027201626,241.46726268210688,234.48855476960375
302,2003-01-25 16:48:54+00:00,225.81577278966975,231.80096542231394,232.08735698658273
303,2003-02-19 16:43:18+00:00,233.67729122459946,228.2356257308673,227.96830743761922
304,2003-03-23 16:43:16+00:00,223.53682410695674,227.89945015594148,213.4550321503352
305,2003-04-15 16:49:09+00:00,205.27924331064744,211.95705830090017,208.99512821273834
306,2003-05-26 16:43:19+00:00,202.16415376572013,200.70854851600524,204.18883808076197
307,2003-09-22 16:48:36+00:00,191.39705823703076,194.82281756208573,195.32615298844678
308,2003-10-17 16:42:50+00:00,204.84156413446487,218.34571198932875,209.0877370084063
309,2003-10-24 16:48:45+00:00,,,
310,2003-11-25 16:49:04+00:00,,,
311,2003-12-04 16:43:18+00:00,216.69490179219602,220.47643006980724,214.59928699253157
312,2003-12-27 16:49:17+00:00,,,
313,2004-02-06 16:43:43+00:00,,,
314,2004-02-22 16:43:43+00:00,210.94118634861408,229.21313890039738,219.79318771925097
315,2004-02-29 16:49:32+00:00,236.05118491460144,244.94422585169912,
316,2004-03-25 16:43:54+00:00,219.40917562763542,221.39656050185994,
317,2004-04-26 16:43:46+00:00,,,
318,2004-05-12 16:43:48+00:00,,,
319,2004-06-20 16:49:25+00:00,,,
320,2004-07-15 16:43:35+00:00,,,
321,2004-08-07 16:49:12+00:00,206.16430232404036,223.0388941631803,
322,2004-08-16 16:43:25+00:00,,,
323,2004-08-23 16:49:11+00:00,208.02185471564866,217.67398756388926,201.57760105233484
324,2004-09-08 16:49:05+00:00,205.27449279521653,221.55861263106746,215.84581467458128
325,2004-09-24 16:49:00+00:00,197.4052091393612,209.52737424188973,204.3665769164132
326,2004-10-03 16:43:11+00:00,,,
327,2004-10-19 16:43:18+00:00,209.3700792562795,222.97638951845187,213.37622782036365
328,2004-10-26 16:49:12+00:00,,,
329,2004-11-04 16:43:31+00:00,203.38728180706957,215.42485979207527,212.9727977388586
330,2004-11-20 16:43:37+00:00,,,
331,2004-12-06 16:43:46+00:00,,,
332,2004-12-13 16:49:35+00:00,236.06241506732835,238.64700777409007,233.36752152117518
333,2004-12-22 16:43:54+00:00,,,
