dates,satname,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0021,nzd0237-0022,nzd0237-0023,nzd0237-0024,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055
2005-04-05 21:53:07+00:00,L5,315.80,322.38,327.98,309.96,306.13,304.37,300.59,300.88,297.55,292.39,290.97,293.80,292.83,293.53,290.58,281.14,283.93,281.89,281.17,288.38,289.13,284.99,280.61,267.06,272.07,299.62,315.60,324.84,332.06,331.53,323.85,326.29,327.45,325.86,327.67,329.92,326.74,326.57,323.70,326.51,330.19,324.78,321.58,326.53,324.69,315.38,313.32,318.64,331.26,314.57,333.31,331.83,305.07,335.08,339.91,341.67
2005-04-13 21:55:36+00:00,L7,313.90,331.07,326.79,332.30,334.62,318.40,303.44,303.66,302.94,302.42,297.18,292.59,,,,295.35,287.55,281.12,,,,,,,,,,,,,347.07,343.67,341.77,340.07,344.41,350.15,351.62,337.92,334.29,,,,336.09,342.25,343.97,335.72,343.26,341.38,343.36,321.61,339.91,342.38,344.32,349.04,,189.80
2005-04-29 21:55:36+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.49,343.76,333.06,301.38,335.89,335.37,336.86,326.85,,203.73,297.32,307.57,,,302.30,291.81
2005-06-08 21:53:33+00:00,L5,313.84,248.46,291.45,293.55,286.54,279.82,279.56,288.92,279.08,282.15,277.81,285.99,286.13,284.08,,,,,,,,,,,,,,154.44,296.85,305.26,311.99,321.81,322.53,311.34,318.86,322.58,325.26,320.81,318.51,315.62,318.03,322.89,318.55,,287.88,165.12,313.50,312.71,308.96,214.41,212.07,213.65,187.01,200.87,157.82,180.15
2005-08-03 21:55:25+00:00,L7,293.42,286.12,297.54,298.02,300.86,291.51,279.56,285.55,275.60,272.77,,,,280.98,277.19,280.97,279.69,280.90,251.79,,264.29,260.71,249.55,231.89,,,264.42,302.79,302.31,312.11,317.48,320.97,321.28,317.57,319.30,323.58,328.92,324.51,,,320.67,319.43,322.39,317.20,326.92,318.35,319.43,312.01,298.10,265.71,302.95,321.86,,,328.77,322.55
2005-08-19 21:55:20+00:00,L7,296.09,,,306.34,305.76,291.11,285.55,285.63,278.83,271.43,272.65,271.82,272.56,281.71,,,,288.23,280.97,272.60,262.82,263.25,263.06,259.02,153.47,241.57,286.94,293.75,,,228.88,329.85,325.07,317.19,320.26,326.81,333.44,333.15,320.14,312.80,316.42,314.71,,,,321.44,322.71,318.97,302.23,295.54,309.21,316.39,314.41,324.20,332.48,335.56
2005-08-27 21:54:08+00:00,L5,331.66,355.56,362.49,357.98,354.32,351.99,331.43,323.85,312.36,312.91,307.61,299.35,309.24,324.24,328.39,318.50,324.13,320.77,329.47,329.87,312.09,304.94,315.99,327.34,325.84,311.06,333.14,336.25,340.74,345.97,349.87,352.19,347.90,346.07,360.89,378.17,382.76,375.20,360.84,348.98,347.36,342.55,349.81,363.60,369.57,373.62,378.71,361.04,355.96,339.52,343.22,351.06,342.53,359.97,378.21,396.87
2005-10-22 21:55:15+00:00,L7,352.13,,,,357.30,351.87,343.78,324.95,315.11,317.80,326.15,332.91,331.71,331.78,332.41,,,324.22,320.84,317.75,317.71,327.24,332.23,351.05,352.68,357.59,353.25,359.01,353.65,,,353.89,351.86,359.07,379.23,378.40,379.75,370.86,364.62,344.41,337.67,342.74,360.41,,,354.71,360.19,362.16,352.29,330.77,350.83,358.90,355.30,364.56,377.73,379.48
2005-10-30 21:54:03+00:00,L5,310.67,316.07,318.53,311.24,309.86,300.14,297.37,292.63,283.16,291.84,298.69,303.48,301.16,296.14,291.68,293.16,286.99,283.13,273.22,260.19,265.57,270.75,272.93,282.91,250.80,309.80,297.98,310.01,321.57,329.19,321.06,324.61,323.88,328.96,336.12,339.26,337.76,347.08,340.85,333.45,331.24,330.96,340.66,346.42,327.12,315.70,319.40,324.10,315.56,303.73,328.04,340.18,334.95,341.40,353.17,352.15
2006-01-10 21:55:52+00:00,L7,322.12,,,,322.35,325.32,316.37,313.93,303.68,308.02,306.80,307.79,309.47,308.82,303.11,,,301.09,300.87,296.35,292.47,289.49,294.04,282.16,260.69,283.46,301.22,336.59,348.81,,,347.74,340.47,340.65,342.10,353.74,360.47,361.71,354.92,342.26,339.53,343.89,349.13,,,343.82,350.66,346.96,340.68,325.47,334.77,341.48,339.72,355.94,362.89,367.41
