,dates,per0134-0000,per0134-0001,per0134-0002,per0134-0003,per0134-0004,per0134-0005,per0134-0006,per0134-0007,per0134-0008,per0134-0009,per0134-0010,per0134-0011,per0134-0012,per0134-0013,per0134-0014,per0134-0015,per0134-0016,per0134-0017,per0134-0018,per0134-0019,per0134-0020,per0134-0021,per0134-0022,per0134-0023,per0134-0024,per0134-0025,per0134-0026,per0134-0027,per0134-0028,per0134-0029,per0134-0030,per0134-0031,per0134-0032,per0134-0033,per0134-0034,per0134-0035,per0134-0036,per0134-0037,per0134-0038,per0134-0039,per0134-0040,per0134-0041,per0134-0042,per0134-0043,per0134-0044
191,2001-05-22 15:00:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2001-05-30 14:51:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2001-07-09 15:00:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2001-07-25 15:00:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2001-08-18 14:51:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2001-09-03 14:51:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2001-10-29 14:59:14+00:00,,,,,,,,,,,119.71342771254174,,,,,,,,97.6802611575803,,,,,,,,,,,,,,,146.62505784592105,118.37679493215863,,,,,,,,,,
198,2001-11-22 14:50:29+00:00,152.43336215438686,129.44247473347306,122.28528881194912,123.2685956164876,126.3702114444923,123.72257742837488,130.94010603454913,130.6468155490148,130.33727293777284,128.41367919485583,131.5376476319843,132.11403233132648,125.59243546605738,130.05442043227782,126.99480287404089,116.41753300989656,126.66147995883513,130.1249958918358,128.69723972584404,128.9528097550852,135.41693784087963,129.81654514550956,134.35080937368056,136.90966406187383,129.15256042196995,129.97645658054944,130.91361478349455,120.7921418329456,114.70137414961874,128.22232596974015,119.0463169293036,124.7886736138409,118.86312379654298,115.14410928488542,116.43677647932549,125.08264775776946,,,,,,,,,
199,2002-01-08 15:05:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2002-01-09 14:50:00+00:00,144.99915180609338,139.05421094594857,138.4788216041609,135.766470357239,131.33481685347022,141.09923845065902,137.87553882198284,133.2937323024334,143.50728338133135,146.4800147125782,143.11251387791856,141.85978936541127,142.07392592006656,146.77429036415288,133.87527330513518,144.61513555309588,136.36122674870415,133.06728975177867,143.85740225823184,141.58100647390128,152.34592372654703,154.05815610102277,146.37665011739045,147.81943880120906,146.27319183531006,140.9375926232136,130.28478808618945,130.44147443569238,138.4189552052845,127.65390590028235,136.63171730986807,136.85943171266214,131.5731803657564,127.78605494144335,131.0586066611841,125.6291848464048,119.42986204660338,115.59247492451554,112.52594488318054,123.8184767908873,138.78879174090522,128.67982192960568,128.15279164260514,127.81657217273398,106.59656366806942
201,2002-01-17 14:59:45+00:00,157.55185278710266,140.5769781932683,133.99266978731814,135.14646059392226,132.153194549438,135.7016563485809,136.83522489593187,144.23349751749842,142.83013666555516,140.386547023232,140.27388267546658,141.78955965244324,140.82031667277133,141.60933111117146,142.8940353828734,139.88907525397482,139.8837111766234,144.52185575661116,143.71345843013384,142.75912811845598,144.35696804763256,139.47596567156992,146.7262627772319,144.65307824773637,141.4182975803556,131.78082435696402,133.6133956772493,127.90710766443954,128.14764319769932,130.01758875762462,120.55655915389349,123.08192349735356,121.85096803304158,124.88546861306794,122.65645987917469,113.93794492468395,118.4806936050726,120.0549740070546,123.54340204369706,124.19530910843334,121.58459175229267,120.051686357896,110.35107967099465,113.98036886306198,114.42263068209701
202,2002-02-02 14:59:47+00:00,,133.32568301951449,141.12556365084166,135.00851799624309,135.86188846124583,158.71876710994317,144.90449943572077,150.78477451530756,131.02958561509755,132.1892027346045,130.69032815401678,137.04194580739912,131.13421256162013,136.7488132357434,126.04894963806953,127.64914366858545,133.75793134137695,118.99217667887247,122.75929149101145,123.8089954620351,133.16790387716938,108.76108046001228,137.9542140343658,137.5773100084524,115.7276535823598,124.91270005336519,125.14591885382782,106.55210863021917,116.05684557816664,121.17932718564263,125.43395256775776,116.52995329232702,127.12836562365074,143.20262528096777,129.96244444664816,108.79734235135662,126.27826712923329,125.43000654113501,,,,,,,
203,2002-02-09 15:06:02+00:00,172.66118136458778,160.15834559913327,154.0932291506263,160.3332940035033,149.44998232962524,172.53778143531449,162.32449624182746,160.6182459094133,,,,158.8896481891383,163.6482136635749,171.10263529287212,159.9762359532016,157.86455088579032,172.01544135382744,163.94844413334022,172.3915396709566,168.05915528799835,172.11919677866356,170.41729603301587,164.88222620209493,156.90705475682796,161.34176779786486,165.56498030637925,159.2774422121219,143.69142570435406,162.8715244901941,150.29774686686517,141.21413669904413,147.61750544526222,154.39242373252733,141.1673738969516,143.7794418466193,141.135140799289,141.7858871290991,136.50734370442174,149.5291261037803,139.63488452031294,139.98686197538333,134.54905823124295,143.80124324310097,144.98117503205557,145.4865798893209
204,2002-02-18 14:59:47+00:00,168.8146702074977,147.6148379930583,142.83658149701472,154.01690967992926,148.1128869452336,158.93218073794645,157.70194406297983,153.73713684184915,159.29731562628353,161.62306261108776,162.11406460003093,168.16629171753982,160.93424380004015,163.08228111942694,162.8616635291422,158.84684097357228,162.64691064891423,170.23944696305904,160.75674564803364,155.80444284377123,159.60525254066258,167.58238214648844,163.6298738984801,161.12299128761288,156.08003470691247,158.24330778781987,160.81097085688214,144.9612203108313,,,,,,,,,,,,,,,,,
205,2002-02-26 14:49:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
