dates,satname,nzd0577-0000,nzd0577-0001,nzd0577-0002,nzd0577-0003,nzd0577-0004
2011-01-24 22:00:35+00:00,L7,240.51,228.53,235.41,227.59,227.92
2011-01-31 22:06:48+00:00,L7,,215.52,224.10,209.16,211.13
2011-02-08 22:02:59+00:00,L5,235.87,229.72,230.20,215.32,210.07
2011-02-09 22:00:39+00:00,L7,,,230.83,221.37,222.92
2011-02-16 22:06:27+00:00,L7,,,232.30,219.99,219.25
2011-03-04 22:06:57+00:00,L7,,,,,198.45
2011-03-12 22:02:55+00:00,L5,356.07,234.42,236.43,227.24,224.12
2011-03-13 22:00:47+00:00,L7,,,,,
2011-03-28 22:02:50+00:00,L5,358.25,233.54,238.09,226.01,218.48
2011-03-29 22:00:49+00:00,L7,238.07,225.58,234.16,216.12,226.12
2011-04-05 22:06:38+00:00,L7,222.99,224.97,,,
2011-05-16 22:00:47+00:00,L7,219.64,220.31,215.79,208.00,205.54
2011-07-03 22:00:45+00:00,L7,242.03,228.87,236.25,226.95,220.30
2011-07-26 22:06:53+00:00,L7,,230.15,234.02,227.87,226.63
2011-08-20 22:00:37+00:00,L7,329.25,228.91,239.86,231.95,228.59
2011-09-04 22:01:39+00:00,L5,355.85,230.74,238.92,223.96,222.07
2011-09-05 22:00:33+00:00,L7,332.41,234.44,,,
2011-09-12 22:06:41+00:00,L7,207.47,207.01,209.62,203.21,202.44
2011-09-13 21:55:45+00:00,L5,222.52,216.79,226.08,216.81,213.29
2011-09-21 22:00:29+00:00,L7,225.77,215.32,223.01,208.78,209.82
2011-09-28 22:06:15+00:00,L7,209.06,208.86,212.83,201.43,
2011-10-07 22:00:26+00:00,L7,219.92,223.34,227.68,217.54,221.18
2011-10-14 22:06:16+00:00,L7,214.02,211.79,212.51,206.64,
2011-10-23 22:00:35+00:00,L7,,,,220.73,221.36
2011-10-30 22:06:22+00:00,L7,,,214.53,206.69,207.89
2011-11-08 22:00:43+00:00,L7,212.63,214.23,222.79,208.20,206.47
2011-11-15 22:06:58+00:00,L7,,,225.90,219.21,213.51
2011-11-24 22:00:55+00:00,L7,,,,,204.83
2011-12-01 22:07:08+00:00,L7,230.75,224.43,228.15,211.53,216.65
