dates,nzd0428-0000,nzd0428-0001,nzd0428-0002,nzd0428-0003,nzd0428-0004,nzd0428-0005,nzd0428-0006,nzd0428-0007,nzd0428-0008,nzd0428-0009,nzd0428-0010,nzd0428-0011,nzd0428-0012,nzd0428-0013,nzd0428-0014,nzd0428-0015,nzd0428-0016,nzd0428-0017,nzd0428-0018,nzd0428-0019,nzd0428-0020,nzd0428-0021,nzd0428-0022,nzd0428-0023,nzd0428-0024,nzd0428-0025,nzd0428-0026,nzd0428-0027,nzd0428-0028,nzd0428-0029,nzd0428-0030,satname
2004-05-02 22:00:09+00:00,364.61,348.56,354.27,350.07,348.44,356.16,364.15,353.34,373.26,375.62,375.24,370.37,359.04,361.70,343.32,335.69,319.52,329.63,,,,,,,,,,314.04,326.79,,,L5
2004-05-18 22:00:38+00:00,393.18,384.29,405.75,395.26,375.42,385.51,388.45,384.58,390.20,388.98,387.24,384.92,383.66,376.73,371.30,366.49,361.94,362.44,352.35,343.90,333.11,336.20,334.79,,,,,,,,,L5
2004-07-29 22:08:50+00:00,392.47,370.38,380.13,364.72,353.06,353.65,357.19,353.83,354.61,350.75,351.07,349.81,353.18,342.62,,,340.71,343.54,,,,,,,,,,,,,,L7
2004-10-01 22:08:33+00:00,372.03,368.89,375.43,365.23,356.94,356.46,358.18,350.37,349.86,,,365.47,360.39,357.40,352.59,344.16,340.91,335.96,333.36,333.18,330.69,326.65,318.23,,,308.43,302.05,308.00,317.76,308.39,299.05,L7
2004-10-17 22:08:38+00:00,,,,,349.90,342.06,346.01,344.54,358.82,358.04,366.58,372.18,363.31,355.48,345.79,341.28,339.73,,,327.73,327.58,323.81,315.78,317.08,313.13,311.30,306.73,310.34,315.29,296.28,298.62,L7
2004-11-18 22:08:57+00:00,,,,375.22,373.73,370.40,363.84,334.66,326.78,329.45,357.02,366.69,363.35,352.63,331.62,318.56,,,308.16,313.42,307.08,302.07,309.23,309.62,310.77,311.11,311.47,310.53,311.33,,,L7
2004-11-26 22:05:17+00:00,360.48,346.72,352.55,346.59,340.08,350.76,352.04,341.21,349.10,357.26,366.05,368.55,348.02,344.36,336.64,331.98,323.95,316.57,311.58,315.49,318.87,319.05,313.33,307.95,307.51,308.72,293.28,297.93,304.65,311.83,293.37,L5
2005-01-29 22:06:17+00:00,370.41,398.88,352.79,355.10,,,331.20,,346.58,364.28,374.04,374.74,,381.00,,,,,,,346.91,,,345.05,314.73,,320.21,289.92,,,341.04,L5
2005-02-14 22:06:33+00:00,375.30,372.97,372.96,362.27,360.92,354.05,357.86,349.51,344.15,346.44,353.16,349.56,342.30,343.21,337.39,333.13,335.67,328.38,329.44,328.93,303.66,292.88,291.28,291.63,288.65,288.83,287.79,308.96,309.03,298.27,303.63,L5
2005-03-02 22:06:47+00:00,366.50,355.41,360.85,355.69,352.89,361.73,374.23,360.36,359.89,360.13,359.96,360.24,353.31,343.36,336.73,326.65,322.16,317.12,321.86,321.53,313.21,305.00,308.84,307.68,302.60,,,,,,,L5
2005-03-26 22:09:40+00:00,373.59,362.13,372.92,365.59,363.53,371.83,380.02,,,375.92,376.11,379.66,361.56,351.53,359.86,353.76,344.72,339.97,324.92,318.27,317.30,,,,,,,,,,,L7
2005-04-27 22:09:33+00:00,402.66,353.71,362.66,364.54,366.97,363.38,362.68,355.83,355.26,364.54,,,357.46,349.58,340.79,338.13,332.95,327.50,321.62,318.39,317.12,308.99,309.65,318.60,,,341.97,344.28,,,,L7
2005-05-29 22:09:33+00:00,409.58,402.99,371.21,356.73,352.57,355.65,360.62,352.64,,,360.87,370.31,356.97,350.18,334.59,328.24,321.53,319.19,318.41,316.46,,,,,,,,,,,,L7
2005-07-08 22:07:39+00:00,385.77,372.90,375.67,365.96,353.68,360.96,353.75,348.33,358.50,357.54,357.45,363.69,361.02,355.47,344.79,349.18,337.86,,,,,,,,,,,,,,,L5
2005-07-24 22:07:50+00:00,372.15,357.50,354.08,341.45,339.25,334.26,333.44,328.04,319.65,332.21,,,,376.74,,,329.68,320.52,333.91,325.31,312.59,313.13,,,,,,,,,,L5
2005-09-10 22:08:07+00:00,353.64,352.16,347.34,342.51,345.11,347.46,354.42,352.91,358.84,356.25,363.11,358.48,363.12,359.40,351.14,339.24,334.76,326.11,327.72,322.45,316.14,313.88,313.78,310.79,311.64,302.20,306.90,316.66,,,,L5
2005-09-26 22:08:06+00:00,,,,,330.86,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
