dates,nzd0481-0000,nzd0481-0001,nzd0481-0002,nzd0481-0003,nzd0481-0004,nzd0481-0005,nzd0481-0006,nzd0481-0007,nzd0481-0008,satname
2013-06-13 22:10:16+00:00,304.03,349.95,347.74,349.08,352.75,,,,375.94,L7
2013-06-28 22:22:20+00:00,305.02,339.49,347.89,349.46,356.74,364.23,360.60,364.44,369.80,L8
2013-07-06 22:15:50+00:00,,330.01,352.54,349.20,353.91,358.56,363.96,365.76,377.61,L7
2013-07-07 22:16:11+00:00,,339.54,348.45,347.57,346.90,359.50,360.03,363.82,376.50,L8
2013-07-22 22:15:43+00:00,,335.74,347.93,341.16,342.30,,,,,L7
2013-07-23 22:16:10+00:00,304.93,341.99,351.83,343.95,341.82,354.80,359.77,358.94,369.73,L8
2013-08-24 22:16:15+00:00,328.45,343.35,349.44,342.11,349.64,347.54,353.79,353.82,359.81,L8
2013-08-31 22:22:26+00:00,342.79,343.94,348.79,344.71,355.91,353.78,362.75,362.94,375.60,L8
2013-09-01 22:10:06+00:00,333.00,347.42,350.18,349.12,,,372.54,370.66,377.90,L7
2013-09-08 22:15:58+00:00,,342.43,349.16,339.64,345.17,346.21,364.89,365.17,373.69,L7
2013-09-17 22:10:16+00:00,338.00,342.52,,,,365.76,364.20,365.28,373.53,L7
2013-09-25 22:16:04+00:00,339.97,340.24,345.64,344.75,346.37,346.55,352.94,346.79,358.77,L8
2013-10-10 22:16:20+00:00,337.80,347.80,357.35,354.31,350.19,351.33,,,,L7
2013-10-11 22:16:29+00:00,337.13,349.94,353.76,354.20,346.77,353.91,359.37,367.50,369.05,L8
2013-10-26 22:16:27+00:00,,,,,,,365.70,371.58,370.80,L7
2013-10-27 22:15:55+00:00,348.12,347.56,357.39,347.94,347.23,359.46,367.90,372.97,378.29,L8
2013-11-04 22:10:43+00:00,345.15,346.43,353.42,342.44,345.67,353.75,359.27,361.18,368.38,L7
2013-11-19 22:22:01+00:00,341.37,348.05,351.41,337.89,349.26,355.75,360.13,364.44,377.72,L8
2013-12-13 22:16:43+00:00,,,,,,351.16,360.70,362.82,367.75,L7
2013-12-21 22:21:51+00:00,341.71,354.01,350.59,347.66,348.60,363.82,360.02,367.65,381.58,L8
2014-01-07 22:10:38+00:00,345.38,345.75,343.43,344.42,339.25,355.36,360.74,367.08,,L7
2014-01-14 22:16:57+00:00,,,,,,,,363.28,380.38,L7
2014-01-22 22:21:31+00:00,342.60,349.77,350.89,345.28,343.61,343.69,354.28,356.80,360.50,L8
2014-01-23 22:11:21+00:00,347.81,347.68,347.29,343.46,341.98,348.61,356.37,355.55,,L7
2014-01-31 22:15:16+00:00,344.80,348.57,350.97,348.67,343.14,355.99,365.75,365.50,375.31,L8
2014-02-23 22:21:08+00:00,353.93,349.42,356.85,342.59,346.06,357.63,365.72,366.50,377.17,L8
2014-03-11 22:20:55+00:00,345.00,353.04,354.32,350.50,351.90,363.02,363.85,365.98,374.38,L8
2014-03-20 22:14:37+00:00,352.86,353.07,357.40,350.69,354.42,365.44,368.71,367.85,383.59,L8
2014-03-27 22:20:37+00:00,340.50,338.49,,,,355.15,355.28,,,L8
2014-04-05 22:14:46+00:00,337.92,338.59,346.67,348.19,344.39,340.47,346.43,352.24,350.75,L8
2014-04-13 22:11:39+00:00,340.19,352.11,353.31,342.95,347.54,361.83,365.63,360.89,370.79,L7
2014-04-20 22:17:33+00:00,,,346.95,349.66,350.89,354.95,356.13,350.13,359.72,L7
2014-04-29 22:11:25+00:00,,338.42,343.25,337.74,351.64,365.54,369.49,362.65,371.70,L7
2014-05-15 22:11:56+00:00,,346.06,356.17,350.76,357.65,366.03,375.97,367.27,379.40,L7
2014-05-23 22:14:06+00:00,,339.14,354.15,346.89,353.86,358.82,362.60,354.27,376.77,L8
2014-05-30 22:19:58+00:00,,341.97,353.25,341.99,350.63,366.50,364.00,362.66,374.52,L8
2014-07-01 22:20:10+00:00,298.71,338.36,348.62,343.99,343.95,346.36,354.82,361.72,370.98,L8
2014-07-02 22:11:43+00:00,290.62,333.51,341.30,338.00,343.36,350.97,362.60,369.91,378.67,L7
2014-07-17 22:20:15+00:00,307.52,344.28,353.63,349.07,355.86,355.02,361.72,360.75,371.47,L8
2014-07-25 22:17:59+00:00,350.91,,,,,,,,372.14,L7
2014-08-03 22:11:51+00:00,,358.02,359.53,361.29,,,,371.17,381.46,L7
2014-08-10 22:18:02+00:00,,349.49,355.22,347.16,353.59,353.90,359.60,361.89,,L7
2014-08-11 22:14:39+00:00,326.04,346.62,356.98,344.71,359.17,356.97,368.63,361.10,377.75,L8
2014-08-18 22:20:27+00:00,334.31,348.50,354.50,352.09,353.30,360.09,359.01,355.87,371.72,L8
2014-08-19 22:12:14+00:00,328.68,353.29,356.69,349.72,347.94,361.06,,,390.24,L7
2014-08-26 22:17:59+00:00,342.80,355.76,363.58,356.06,355.31,368.08,370.16,,,L7
2014-08-27 22:14:17+00:00,334.32,354.33,360.90,356.27,346.81,362.97,365.90,364.28,374.34,L8
2014-09-03 22:20:30+00:00,343.16,352.13,363.50,353.09,351.17,359.78,368.27,356.30,368.58,L8
2014-09-11 22:18:00+00:00,336.15,341.68,355.52,,,,,,,L7
2014-09-19 22:20:30+00:00,339.05,347.87,351.44,347.59,345.43,346.51,343.25,344.00,358.35,L8
2014-09-28 22:14:20+00:00,345.43,349.20,353.09,345.75,348.70,359.61,359.87,359.22,372.93,L8
2014-10-06 22:12:32+00:00,341.08,352.86,357.49,,,,363.35,363.06,368.17,L7
2014-10-21 22:20:37+00:00,344.00,357.22,350.78,341.52,337.87,359.03,360.36,371.83,386.72,L8
2014-11-06 22:20:37+00:00,349.55,354.23,363.34,349.32,365.49,362.07,365.93,363.30,379.04,L8
2014-11-14 22:18:38+00:00,,,354.55,352.20,352.98,365.29,364.28,366.88,369.31,L7
2014-11-15 22:14:49+00:00,343.01,353.83,358.96,356.25,348.96,361.17,363.72,371.05,371.71,L8
2014-11-23 22:12:29+00:00,342.96,353.64,356.21,344.46,349.04,356.43,360.50,,,L7
2014-12-01 22:14:48+00:00,348.18,351.92,359.27,344.49,349.87,357.95,360.24,369.61,375.06,L8
2014-12-24 22:20:29+00:00,351.39,352.70,358.11,346.93,358.20,356.28,359.41,364.12,378.99,L8
2014-12-25 22:13:08+00:00,345.47,353.42,355.92,348.30,351.60,358.76,,,380.88,L7
2015-01-17 22:18:56+00:00,338.18,,,,,,,,370.05,L7
2015-01-18 22:14:12+00:00,348.95,352.18,355.83,340.76,344.34,342.70,355.12,363.55,367.49,L8
2015-01-26 22:13:14+00:00,349.38,363.26,356.68,354.11,349.65,355.97,356.95,365.84,,L7
2015-02-02 22:19:04+00:00,341.89,349.73,350.66,,,,,,,L7
2015-02-10 22:20:14+00:00,347.87,351.58,356.42,349.07,346.32,361.52,363.72,363.91,377.12,L8
2015-02-19 22:14:01+00:00,346.81,346.71,351.72,339.36,353.76,354.26,365.04,360.05,374.21,L8
2015-02-26 22:20:10+00:00,342.49,347.64,351.51,345.26,349.60,353.28,354.38,353.65,365.04,L8
2015-03-07 22:13:53+00:00,331.36,337.31,337.73,329.32,333.47,338.14,351.69,356.77,360.91,L8
2015-03-14 22:19:59+00:00,343.92,351.44,353.84,348.35,345.87,350.86,352.32,357.97,364.23,L8
2015-03-31 22:13:40+00:00,343.71,352.27,356.30,351.22,352.36,361.61,367.63,368.52,375.81,L7
2015-04-15 22:19:46+00:00,325.02,330.00,336.52,329.79,343.04,348.85,349.46,340.37,354.20,L8
2015-05-01 22:19:36+00:00,,,,362.66,354.55,360.66,353.17,,414.25,L8
2015-05-02 22:13:31+00:00,,349.87,356.05,352.28,354.08,367.32,364.36,364.37,375.35,L7
2015-05-09 22:19:46+00:00,325.58,,,,,,,359.94,365.38,L7
2015-05-17 22:19:25+00:00,311.27,331.39,341.72,332.88,342.53,345.74,350.32,353.16,365.88,L8
