dates,nzd0024-0000,nzd0024-0001,nzd0024-0002,nzd0024-0003,nzd0024-0004,nzd0024-0005,nzd0024-0006,nzd0024-0007,nzd0024-0008,nzd0024-0009,nzd0024-0010
2004-08-06 22:00:22+00:00,163.29103143704774,173.3816584874228,194.49806101045573,194.3194321889707,202.95958042501994,191.73044003895527,189.92827175724503,197.52514062686188,195.52526726416113,197.60865588978453,209.3729852421323
2004-08-15 21:54:25+00:00,174.98638699828908,182.2560439489665,185.4747614954939,189.0426961458289,193.40284545177747,191.73895041061968,187.23576444476947,193.3106971631695,197.75250534222457,199.80727438189152,204.007943767754
2004-08-30 22:06:20+00:00,185.61434131740498,189.70846279858108,187.6677063537454,194.87274628742676,189.6746598836907,,,,206.20379307353593,203.7176435161333,204.42576298897978
2004-09-16 21:55:17+00:00,184.33966639755323,188.69682976295243,197.69787964756173,194.74765291680055,202.81465356161735,199.39616474333215,195.9554650275607,200.21861842526422,206.7265556898852,209.88068916430862,212.17943853138974
2004-10-10 21:59:56+00:00,155.09535714551305,157.46281025591892,,,,,,,181.19217361497442,181.02661149214475,175.10868220633654
2004-11-03 21:56:19+00:00,187.2941496643669,192.65897881613702,196.64267718067003,199.43976727352845,200.73297961723807,206.19308098446072,203.1249249597351,207.16675140700195,212.60193258417092,212.2334287490442,212.93794441649615
2004-11-11 22:00:21+00:00,156.28739370464575,158.87660863289324,169.06396934480279,173.0724570577,,,,,,,
2004-12-04 22:06:44+00:00,169.59742622374736,174.57243647010603,180.41193672691048,187.88535722832395,185.3985373762439,,,,,202.64643982886827,196.081087276768
2004-12-13 22:00:36+00:00,,,,,,175.48260615106844,173.16260082870565,178.94801958916258,185.63289038606888,190.6393030195142,204.6353673232285
2005-01-13 22:03:41+00:00,205.0672478767291,204.53600458262528,211.32838204649053,208.30661934163913,198.35141758989033,196.83235822883233,199.61739290377562,202.2295404861473,203.31880101586466,206.9953550499146,218.6351469379924
2005-01-14 22:00:49+00:00,,,,,,187.29951220785557,181.10264731434353,182.13229413548748,189.74722493104778,193.84713011294713,197.93299461308266
2005-01-21 22:06:59+00:00,,,,,,193.59257955505512,191.41357388370625,197.8091857810409,202.29671476539906,199.4729773218603,195.90272959087818
2005-02-22 22:07:14+00:00,170.79834328575066,167.13503719014378,,,,178.45180163696782,173.73722816254096,177.85541067197838,185.67213969337453,188.51932083274943,197.1500963011079
2005-02-23 21:58:07+00:00,174.02547641191953,177.3342092850183,183.3198105043464,185.07341334127125,192.90241820747514,186.46775635347083,186.05647940806887,187.07723845793655,193.89632154192833,199.81121952315195,210.0097567362646
2005-03-03 22:01:06+00:00,,190.5154336520799,187.7535607205949,184.80273677654972,191.82885699942642,195.3166096545115,190.4738612404086,199.9057507769466,,,
2005-05-29 22:07:09+00:00,164.58902962031837,173.2826141349935,187.51913049498825,,,,190.91789961889285,204.09936904184752,210.35591015889102,211.06389930668027,216.04479186037986
2005-06-06 22:05:05+00:00,179.20115451239977,190.9658350499029,200.37863642189413,204.57771722663867,206.5670132921242,206.13282799478836,204.74276581278846,212.87973260797543,215.1439743694834,216.92476751983406,219.3245052235463
2005-06-14 22:07:02+00:00,158.7561125949461,171.66807521116675,173.65170083335082,185.38552224020108,,,,183.99424801742828,190.75984847235094,198.0294795676849,208.01493496938843
2005-06-30 22:06:59+00:00,,165.21221176689338,167.08820268820776,181.42792246383993,189.7435331937995,187.13866060574682,180.08609963474476,181.87159934385664,192.1747662330253,202.60920160774023,212.05141720023883
2005-07-08 22:05:15+00:00,145.02250051480823,158.5102859170274,164.2454306532631,182.1854263323853,188.98280319553513,188.26665801671192,181.4558512957592,180.88643105898834,193.9063721826738,192.32390135995422,208.0957326213046
2005-07-17 21:59:11+00:00,170.69253693911747,179.3107941486885,176.09729995355173,187.79209786447413,192.92521364779753,186.34974200351073,178.04567254473878,185.82439848576456,194.6190189954865,193.99351617762815,194.13667024928426
2005-08-01 22:06:59+00:00,156.05100772341922,148.11142948190485,,,,183.83907595362493,171.362060586586,170.79885158298134,,,
2005-08-25 22:05:41+00:00,172.3432481863059,169.13897957949592,176.63908237193522,183.04817571676008,183.73582663612106,183.63362030745034,177.8119403355718,183.26169212763335,192.87642497857814,194.76584867274437,206.29313072461164
2005-09-02 22:06:46+00:00,,,,168.82073627426797,175.70371890938728,175.08912107161942,172.4005249546058,172.90745662083182,,,
2005-09-03 21:59:32+00:00,184.6064669914852,186.622250662672,187.33790417747457,192.3694666444268,195.65812836059465,197.66628436625783,190.1249236981324,189.63804067608288,199.07622385058713,200.26824592946082,219.3885982756336
2005-09-26 22:05:42+00:00,182.01221548571863,195.3930323701925,203.14381326372947,199.23091035807946,200.0648034521261,200.71739998480788,193.6373101143956,194.55940654278857,199.67952615455664,206.64493469912472,214.39298447503575
2005-09-27 22:00:29+00:00,,,,,,,,,,,
2005-10-28 22:05:36+00:00,167.07062734405574,174.9188058767576,185.53474766936455,205.8338708597107,201.96844277232273,196.68571542395097,188.83696108206286,195.3182943500344,199.86171920262933,200.6823263165104,208.62783081467632
2005-11-21 22:07:07+00:00,168.5800908518725,170.9254144470835,178.97217969509614,179.42315533674622,182.3694810957554,176.64319801273797,178.5571897077303,180.46151766236952,187.65143777768782,,
2005-11-30 22:01:00+00:00,174.26859788824478,174.77040587011885,187.88326033886,190.3781483792565,193.54611254539847,194.23343673899623,188.1468422437345,,,,
2006-01-01 22:01:10+00:00,204.59839388644,210.80411506573782,,,,,,,,217.7732980818591,227.07946713191478
2006-01-08 22:07:25+00:00,,,,,,,,,,,
2006-02-01 22:07:49+00:00,162.9695643402506,160.5440738427785,172.85907629431054,175.05710101910427,178.6489565663748,174.30708542325206,172.58088787386072,173.95512025914755,184.30929927044104,186.92917634338698,193.27692263626466
2006-02-09 22:07:38+00:00,172.6417909302642,170.95012442765938,179.09507653597743,182.3120092422032,188.61164043878443,187.01008136181525,182.63158182405547,182.20208198017824,190.8214697378796,,
2006-02-10 22:01:51+00:00,,,,,,,192.53866676237462,198.68380830378462,210.1466938454564,216.81642638750182,222.32847740322754
2006-02-17 22:08:11+00:00,174.18231608335617,174.07273169579162,184.58775520626216,190.29083953216653,188.74182667280903,190.5999680065809,190.007630276097,188.33153797056173,192.85452710794334,196.73304697233783,211.42237842671202
2006-03-05 22:08:31+00:00,186.3506033314082,185.7879569421161,190.71256993198946,192.8003167911279,193.37314733277208,189.43538418712546,189.99570136213356,200.57529441660432,202.34561301187583,204.5915745270536,215.0552150032588
2006-03-14 22:02:31+00:00,,,,,,,,182.14589284255447,190.48610247436625,198.6315205538523,207.15654633384815
2006-03-22 22:01:30+00:00,,,,,,,188.36040936376017,193.12244417713012,206.75139052701672,207.9871582358444,207.65536537295222
2006-04-06 22:09:08+00:00,162.12958935305508,171.4556486983483,188.7926446922937,191.06403978224128,191.37543669107268,193.93769386860885,191.56449626218597,198.9438182282074,202.8267200594571,203.58955017333767,209.6108827859304
2006-04-14 22:07:36+00:00,176.333345133969,175.8000915924898,187.85785775188543,185.77850084667142,190.29684570914824,191.34645903052453,190.3326916202606,190.42266190032163,196.92383156261897,201.8867029643635,202.30766976708748
2006-04-30 22:07:38+00:00,,,,184.66634643319344,190.04131371175262,192.47527721207916,182.37258677542056,184.29822162518633,197.71648156923922,198.5914492239894,202.65966672851494
2006-05-08 22:09:38+00:00,169.05267288232162,178.3483793242023,184.09229227231177,184.79371074286342,186.0830256224172,192.84722326054768,179.27088582864772,187.42452129432488,188.41060663553833,197.78382369472033,214.07281107689658
2006-05-09 22:01:28+00:00,,,,,176.86719537633257,175.81066638169213,178.86541367836276,181.2833252678706,188.05171350612724,190.98897393335022,
2006-05-16 22:07:40+00:00,179.88845538026519,187.93888480457412,195.47958700486174,196.9982091884325,,,,196.8127811886795,203.13495578882623,205.8707633727203,210.47424931241684
2006-06-10 22:01:26+00:00,,171.1075980269988,177.96973583825425,184.00227245531454,188.5788856042925,191.30709676157267,189.54054049936155,191.51640968881887,,,
2006-06-17 22:07:34+00:00,,,,,167.51220493065168,174.0764684008075,173.0087953167364,173.91098410013183,185.55355406250064,187.04632793394504,187.82055874667725
2006-06-25 22:10:20+00:00,161.40311778937962,169.39272152825606,175.83834116993583,179.71305852141987,183.4808442740697,191.25575396684494,188.65228827064757,197.31334928584485,200.32368286702365,200.52563999875937,207.14588058272696
2006-06-26 22:01:20+00:00,,,,,,,163.53663890648926,167.58068752450623,182.53385843322908,185.52399071058338,189.93502513101967
2006-07-03 22:07:28+00:00,150.65351659865004,164.85364731421384,169.88942639782994,,,,171.455156294826,173.98316423047953,184.03294070877263,185.841395538425,192.2870802548585
2006-07-04 22:04:17+00:00,173.85587039678293,179.93409491708567,186.41934495185447,186.45349636267096,197.94608757623715,191.12704167282362,182.49232093235435,191.01139980198712,198.6138283173723,199.94234878136464,208.15463491909927
2006-08-29 22:01:02+00:00,,,,,,,,,,,
2006-09-05 22:07:11+00:00,170.41013991839046,175.66812859347,177.28991694902675,,,,,179.41929995258846,185.71965557918554,192.1372058845829,200.51974650463745
2006-09-14 22:00:57+00:00,,,,,,,,,,211.55080028500777,194.9705907539642
2006-09-21 22:07:05+00:00,185.64021758311193,192.8431143550303,,,,197.6422695343568,193.1152760824772,195.76347828770696,199.53294140668774,195.5098427998717,198.9418385979213
2006-10-07 22:06:56+00:00,188.67741614999142,188.78890685851528,196.99248839356645,199.23065139770756,197.63502577393558,192.25872253767983,,,,,
2006-10-24 22:05:38+00:00,201.64882442172234,204.1424857997175,205.41376800982945,214.40887851559802,210.72248011075536,209.1556910933161,200.52729365060625,208.97223340359662,211.90400350446257,213.02022504528964,214.79023415850472
2006-11-24 22:07:37+00:00,,,192.22736270914046,197.73424009422985,198.64764684680367,197.8444556947595,196.79379889870432,204.05832996324355,210.4736809148325,206.81994602472318,205.51378459391748
2006-11-25 22:06:19+00:00,138.0999505968122,134.28162988013938,146.4703341047915,148.10492497058726,146.0092374236934,150.33424539033902,148.60736997379263,160.67422253316323,178.64412930348988,201.26059097985546,
2006-12-02 22:12:34+00:00,138.97867163201676,137.59124244460216,139.5513454308024,145.6886864453818,150.95203104492822,156.32839377037533,152.90310650856702,168.64532031773737,185.23890035630808,184.63083030847994,
2006-12-10 22:07:44+00:00,199.3213374556116,204.54156971244655,212.2530768488182,,,,,219.52917246208986,224.58678415072953,220.359860069503,217.92352153673974
2006-12-11 22:06:28+00:00,,,,,,,,,,,
2007-01-20 22:01:39+00:00,,,,,,,,,,,
2007-02-12 22:08:00+00:00,163.2110422238956,169.01570221139423,175.92760123387913,180.31645187511376,182.71145053650437,,,,199.45731977089525,198.2164673739755,211.91324217817416
2007-02-13 22:06:23+00:00,167.13679530526977,169.1960567280764,172.50781183613358,185.46174466481824,194.09727083325646,191.5825365492766,190.72910932799337,195.5920113091328,200.5271013976545,204.27754181140259,215.78134648937285
2007-04-17 22:08:06+00:00,,,166.99013720719907,184.80597823743517,189.78106688808793,188.50279209192135,188.11941382752545,,,,
2007-05-12 22:01:48+00:00,156.0592042915025,165.0787913818412,173.7116846343893,178.0644457083359,178.58724621972019,,,,,,
2007-05-28 22:01:40+00:00,,,,,,199.6033316316417,197.1929048145896,203.71013165483123,211.5295131561397,,
2007-06-13 22:01:40+00:00,,,,,,193.6092896411865,198.87300334247655,208.9987656628059,212.64333963378888,205.28105361191402,198.3646585380672
2007-07-22 22:07:45+00:00,118.74341408697578,145.4760525532431,,,,174.16045871765965,171.58435458023501,175.07966855164727,185.43512933839963,188.45146118461832,190.55350167978227
2007-08-07 22:07:40+00:00,143.37812300033215,115.94904153261183,158.9348999080601,,,119.6671185159465,,,,,
2007-10-02 22:10:31+00:00,167.26167733486756,173.95801981827975,177.69994056074944,183.29220762677213,184.70609252399967,184.97125431697629,192.01005559355417,195.56666212069752,199.59427821166506,205.3898727390871,206.3807825723259
2007-11-27 22:07:48+00:00,167.880302197099,163.24873729346555,177.83637820806328,179.81849386878025,186.56643664260065,178.67731964729703,179.43814747893714,182.2139701832973,,,
