,dates,aus0298-0000,aus0298-0001,aus0298-0002,aus0298-0003,aus0298-0004,aus0298-0005,aus0298-0006,aus0298-0007,aus0298-0008,aus0298-0009,aus0298-0010,aus0298-0011,aus0298-0012,aus0298-0013,aus0298-0014
77,1991-09-22 23:08:28+00:00,207.9277919996232,212.983057806563,224.7598530373897,231.5225450836975,237.25803622235287,233.73480232541823,224.5828086753818,216.15666362187494,224.13322007993605,223.01387287288446,,,204.76149496466027,164.43193584362422,132.06412108088915
78,1991-09-29 23:14:39+00:00,200.9774007881912,207.44270193942296,219.5787591537604,231.56287192792396,238.9465792030063,227.8837097634063,217.02411652421912,219.01345091389175,219.50292212062877,222.87849022446593,206.1629925830763,206.11950340153288,198.2640357191171,148.93252652308126,123.29653640516275
79,1991-10-08 23:08:34+00:00,209.6691693748074,209.10510581952246,224.69090737216246,229.066946240058,237.59081061014004,230.1717373476035,220.452859296849,222.56306818447447,226.99155817435422,223.88963915467025,,,208.74644000000092,139.9034542385338,
80,1991-10-24 23:08:37+00:00,199.49304975246685,202.68473813917026,214.47356036718182,221.27530020029593,226.92772623016137,221.94820581348426,217.2537512033469,219.53559633487706,219.98977555776312,223.34269200459676,,,191.1453289802529,117.9735038619917,
81,1991-10-31 23:14:48+00:00,191.68192336963622,190.21296969652428,189.9616009128334,202.1313615792714,217.79108161638138,214.881663551564,213.54450056985524,216.3184933501971,225.03952614718486,237.49553606071046,223.36855270944895,186.5718859871915,174.98224786267212,145.71421949856463,96.5617328291692
82,1991-11-09 23:08:43+00:00,211.0058101560046,206.58041631019358,207.28924348805197,220.65527757739034,227.0351946162848,223.73900746375722,213.49792227086223,218.6307498542592,224.07758640868408,227.27391887116838,211.62293893593557,,185.14843141104012,137.406652839313,
83,1991-11-16 23:14:54+00:00,204.01964521644615,197.79727382007547,198.41821418543287,212.29171410731846,220.437423678354,219.24626321654839,218.69963695334428,222.31458334584886,228.6457697253044,240.16728239970448,228.8986159691099,194.21523964175714,171.83467846992247,128.58867967830716,
84,1991-12-02 23:15:08+00:00,205.38980423967064,201.0676882873848,196.1593972460948,202.15382014792095,215.70746619656353,208.4589420449018,204.99092604743495,215.71213800025004,223.73696812891723,229.67961355302057,224.4595404377163,,173.03271803224214,,
85,1991-12-18 23:15:01+00:00,203.55096562365472,208.03991712132148,200.42852112170777,208.60279990432397,217.49579821281395,209.54887503412772,203.97608520788125,202.76240562296064,214.04199633927055,215.17481214395082,213.21723755213898,,181.4677594322942,,
86,1992-01-12 23:08:46+00:00,192.1487677647087,194.89810464577528,200.18690164251575,201.77438834639167,212.99961049237524,198.05264528670764,197.3210946733934,197.44157832989637,198.22560748387463,205.2081614395923,209.49464670836267,,181.2648766523644,,
87,1992-01-28 23:08:51+00:00,211.18131711805862,205.23843922925724,205.61033149364457,202.3517748548685,212.94013946344165,206.52635632550704,200.83865971751084,199.80632590500963,202.34114271638342,208.7184233587952,210.02621757396878,,165.89985599763594,,
88,1992-02-20 23:14:50+00:00,221.54390892374275,,,,,,,207.4399303277071,211.2906242041849,212.85568947220736,,,167.43414874497697,,
89,1992-03-16 23:08:42+00:00,214.52759116444352,210.80317038951202,208.39577989982772,217.15941022112966,222.88475164932456,218.98433748430978,208.82114239122978,211.3012390554501,216.41948861942114,215.05682632507273,,,204.52719017252585,,
90,1992-03-23 23:14:49+00:00,209.66197638814756,205.34878133625014,198.13260770373816,205.9310505932763,210.43136293295984,207.3850153160706,205.71754821702825,209.57455408619995,213.18207363881456,221.9063954546244,224.09341907653808,,199.1939004263841,,
91,1992-04-08 23:14:40+00:00,212.24960147316372,220.24272698874904,209.74148724004934,217.46311927093814,214.48555462179937,219.74729649897515,210.1319617471546,211.66392918264077,222.2103065304472,234.15530306384287,231.30175282806178,226.4252469518353,208.94530655409847,134.1359354600586,
92,1992-04-17 23:08:27+00:00,223.89335066885891,221.80209769826902,222.2581753330944,221.0747566935987,228.08391531633217,218.9830218353515,213.62702345358747,209.13151558774763,226.60699446651813,230.13398363292868,,,223.28399255910296,111.54274021682481,
93,1992-04-24 23:14:32+00:00,211.67008488963015,219.93809221110774,212.45489562525805,217.27853204724576,224.28723183065352,211.16494231747933,204.9341133316277,204.24777534905942,217.7101503130388,219.32784954732688,216.4863547181362,219.41651360545876,203.5546286757596,159.58109278667615,128.09496950589093
94,1992-05-03 23:08:18+00:00,212.63033954586564,217.55079946174214,214.82976942476677,218.49857218359335,226.02955226736862,217.0987775413149,207.97219089044586,208.66999943175367,210.09062908783523,213.5293409446562,215.50992038547804,217.877079128842,194.95698487258113,161.58339502995634,132.8954649475302
