,dates,mex0169-0000,mex0169-0001,mex0169-0002,mex0169-0003,mex0169-0004,mex0169-0005
601,2015-08-13 17:06:25+00:00,230.23467414244186,,,,,
602,2015-08-20 17:12:37+00:00,,,209.71248483392043,220.98831228154665,216.44410741932265,219.66714366564213
603,2015-08-21 17:06:20+00:00,231.49579234461058,222.627060163429,223.04488775653024,231.448207256852,224.61606407677982,228.86856791606084
604,2015-08-29 17:06:25+00:00,223.5277480261367,220.1316934401868,217.56431372652284,228.80683458253665,217.94155632035782,220.76964352949088
605,2015-09-05 17:12:38+00:00,217.54085423365117,206.95647652922054,205.4159725142443,211.11114465831713,205.19315161641194,203.4462632815466
606,2015-09-06 17:06:26+00:00,213.15188033027877,208.40742513800612,208.5781491300407,219.3387772005307,214.2748346877908,215.14014694480787
607,2015-09-13 17:12:41+00:00,233.08471892337315,230.29929626676224,222.19165843412753,231.08218166997005,224.00452356682632,228.68616360217314
608,2015-09-14 17:06:30+00:00,,,,,,
609,2015-09-21 17:12:43+00:00,,,,,,
610,2015-09-22 17:06:34+00:00,228.54611172767582,226.5124533454731,220.22718755954187,228.3708970723213,219.41274047470935,222.06397392776967
611,2015-09-29 17:12:46+00:00,215.46688853171375,202.7527410979334,202.92990882306572,211.2914134235227,206.9551976414736,203.88738252174764
612,2015-10-07 17:12:48+00:00,224.68299418773717,221.53353401589044,216.33554791081318,229.1280838093611,221.881581990926,220.1228698654308
613,2015-10-08 17:06:36+00:00,223.09411773213012,221.57346095011826,216.61583584391124,222.67347363599052,215.16591839012077,218.2320401208514
614,2015-10-16 17:06:49+00:00,,,,218.98995563056047,214.00650587800027,216.48397959439242
615,2015-11-01 17:07:02+00:00,,,210.83054008770242,215.58227396026416,209.08390346315943,215.84401470074008
616,2015-11-08 17:13:21+00:00,,,,,,
617,2015-11-09 17:06:41+00:00,224.28582857271903,221.13697215993437,220.10509583650972,225.33089548541045,217.97492777646028,222.23870983494243
618,2015-11-16 17:12:29+00:00,227.93970220786142,225.60923086855476,221.5454731121093,225.71530946361497,222.4004621266627,224.76049740569792
