,dates,chi0023-0000,chi0023-0001,chi0023-0002,chi0023-0003,chi0023-0004
41,1991-04-14 14:04:22+00:00,189.58973907589348,180.48024852079718,188.9752598435705,184.59456612846043,189.38138942470792
42,1991-04-30 14:04:37+00:00,,178.51801262478892,186.22982329823031,193.07691441464794,198.90628390709912
43,1991-05-16 14:04:51+00:00,188.58118022696453,165.1778251345894,177.87686415368802,191.28651552219512,194.89144864449676
44,1991-06-01 14:05:09+00:00,,164.02510873934142,174.72220040152817,182.48463810194673,184.19784476155837
45,1991-06-17 14:05:19+00:00,186.33183415670158,171.27174384170166,175.50278169493004,189.52299816782926,186.80444346383283
46,1991-07-19 14:05:49+00:00,183.494574196367,164.90664354324116,177.17967452082036,181.4648295107535,186.62320718970534
47,1991-12-26 14:06:46+00:00,200.95125493120787,190.14832258494823,193.3422996000623,193.6347091736392,197.65648679143766
48,1992-01-27 14:06:46+00:00,188.24037545433436,182.68671171527706,183.32841473872094,182.77320742335124,189.4946576306511
49,1992-02-28 14:06:37+00:00,198.49615644311694,189.7456037847681,186.80115636993233,190.2402135765784,195.294633541494
50,1992-03-15 14:06:13+00:00,,190.0725516507303,192.42168410010663,202.46348312133185,204.5909622564597
51,1992-05-18 14:06:05+00:00,188.03119300560374,168.89812099943646,172.0896869831305,184.12543289546477,191.77968354643528
52,1992-07-05 14:05:34+00:00,187.17057874440158,166.44463715067846,179.18265220015425,188.40803405775495,191.44891713342474
53,1992-11-10 14:03:31+00:00,187.22431091319916,175.51237873560936,174.52061897832365,182.84730125928948,189.52106205206712
54,1992-12-12 14:03:43+00:00,,169.10542663937898,181.33888961649203,172.0782006514219,149.81893639105311
55,1993-01-29 14:03:50+00:00,199.32494860885754,186.33772136500752,188.44308020479514,197.39178471093376,198.1307361090695
56,1993-02-14 14:04:23+00:00,189.92258805179713,188.03455187447582,183.82957104643407,183.56728482063022,191.75508408114678
57,1993-04-03 14:04:40+00:00,185.77515403794575,173.1635318128362,175.85379831381871,182.42799512871943,185.80096597021176
58,1993-05-05 14:04:53+00:00,187.77459140472985,178.32129112054434,178.7174518737868,187.83460144361698,190.74847788963766
59,1993-06-22 14:04:55+00:00,188.94549798961964,166.50025525362582,169.97256535279809,176.87667952135763,184.92248566153708
60,1993-07-24 14:04:49+00:00,171.88081550827246,142.4435126820719,134.7571326263416,147.51574588506807,154.15988792617932
61,1993-09-10 14:04:47+00:00,183.08431651645535,167.70308389910244,172.80641789273093,177.82087337270752,183.1526813454191
62,1993-11-29 14:04:20+00:00,,177.4074057155846,179.74881812825774,188.04381767452008,191.62222531181885
63,1993-12-15 14:03:50+00:00,,171.91644170594057,174.54537974382083,165.86902401945537,179.89909228046218
64,1993-12-31 14:03:39+00:00,215.96164648521435,208.9004552950062,198.34849516010308,199.66568053849093,197.1262806320345
65,1994-01-16 14:03:48+00:00,198.5193572712353,194.47216397697895,192.37395440020964,191.984997354834,191.1851989914038
66,1994-06-25 14:01:07+00:00,,,164.70291453043757,163.40435579118056,164.8471012418904
67,1995-03-24 13:51:52+00:00,203.19185939875257,197.93771641474584,199.74299028491907,200.02493316558105,202.98551978946708
68,1995-04-25 13:50:57+00:00,186.4193366753984,184.7332020793815,176.73792559820976,187.96771300122887,198.32648027826832
69,1995-05-27 13:49:29+00:00,,170.05293591020592,175.84506371378734,185.51774431444275,186.17211379610103
70,1995-06-28 13:48:01+00:00,,171.5644431475197,177.6208346636706,186.3425034439963,191.17469092930136
71,1995-07-30 13:46:11+00:00,,169.00461125640803,168.93932373503839,186.87166768472264,203.16015885421368
72,1995-10-02 13:43:30+00:00,195.2173357470666,191.53434177552109,185.10972231032562,190.953660579202,196.9211049371786
73,1995-11-03 13:41:33+00:00,,186.81413775401597,190.40182259507026,197.05025811410033,200.7428032554451
74,1995-12-05 13:42:21+00:00,218.15558449663362,191.5412407051093,195.20199542365805,197.62365413544967,203.28265978275923
75,1995-12-21 13:43:57+00:00,199.98912834735262,189.45800756718444,189.09752453066358,183.094438301991,191.13850064117372
76,1996-01-06 13:45:06+00:00,199.89744008352818,185.039886076765,180.06106763965423,178.76390882406275,181.6445927900081
77,1996-02-07 13:47:21+00:00,,188.02494931918835,185.1885373825974,199.064178722499,196.29043716866138
78,1996-03-10 13:49:05+00:00,191.22849511097297,180.55124203922045,182.29360972937727,178.31074563415234,183.5368224920656
79,1996-03-26 13:50:07+00:00,,175.57181794832914,183.98187554230785,181.96287551191904,188.97281289646926
80,1996-04-11 13:51:07+00:00,,,146.40359443091975,,202.34798161490647
81,1996-04-27 13:52:29+00:00,195.98976539626378,179.06594680149502,181.08123717152444,190.0924153521167,197.86173324579693
82,1996-08-17 13:58:35+00:00,,165.70184870693006,169.5385489175206,183.10698306698626,185.45397610909808
83,1996-10-04 14:01:12+00:00,,173.15214578199217,178.45448547001723,189.67561883392506,193.11233901977477
84,1996-11-21 14:03:31+00:00,,144.39851216142017,183.19441746340598,186.71972658132023,194.5733251122644
85,1996-12-07 14:04:18+00:00,202.06911146498973,188.757540432785,194.80336973325268,194.66485717222307,186.93219117266835
86,1996-12-23 14:04:39+00:00,216.22941103236806,191.34273410162504,189.66584037340374,196.39538152638517,198.09991848007098
87,1997-01-08 14:05:49+00:00,,172.91278741515396,180.0379040389808,187.35755915293916,193.48424608598702
88,1997-01-24 14:06:33+00:00,187.52775021551898,171.23617643158522,170.17607816646245,176.09531891099343,184.3308476455212
89,1997-06-01 14:11:25+00:00,184.64611361243914,170.15559347320175,176.13629604562118,185.13497042773506,184.35931333910912
90,1997-09-21 14:14:37+00:00,,193.0768423793686,196.05408066914384,207.30854312329416,213.67252829557475
91,1998-01-11 14:17:51+00:00,,172.96792046502097,178.35851578352518,186.4334547665928,190.91590155068488
92,1998-02-12 14:18:31+00:00,188.56575880684483,186.75517096707748,174.87017786044095,162.9026125295687,170.6315357944731
93,1998-02-28 14:18:47+00:00,200.65049801004034,188.5544221610727,178.19958462639545,177.87864306501655,185.68610835418107
94,1998-04-01 14:19:14+00:00,189.93083429227673,190.9623804366824,180.92368739789754,183.25424195863928,191.1583381839284
95,1998-04-17 14:19:26+00:00,,194.7460448737268,191.81467940114214,189.53612548798088,187.87255566279373
96,1998-05-03 14:19:41+00:00,183.19098849169703,173.29356312221137,175.14480310836385,180.37123850180348,184.28080266654274
97,1998-05-19 14:19:56+00:00,185.67717425212308,179.6003594546732,182.36862966886483,186.3295475661384,192.57757793414874
98,1998-06-04 14:20:12+00:00,185.853463177664,176.76547230125414,177.14000325412678,177.41439335547355,182.34510782624
99,1998-07-06 14:20:36+00:00,186.6538942398111,170.89141727738664,170.6692136216687,172.65270694278865,172.74899829894656
100,1998-08-07 14:20:50+00:00,,173.58805350269924,173.7197446359621,183.2215553134327,185.61887932494818
101,1998-09-08 14:21:08+00:00,,165.93330307668407,171.81708637837426,179.92590218200442,185.86236520014785
102,1998-10-10 14:21:16+00:00,,170.33127984435836,170.9273662464292,179.9741618312992,181.14078542427478
103,1998-11-11 14:21:27+00:00,200.3912738464637,187.2073063155665,180.85512719245332,186.5135353704607,188.64075565164956
104,1998-11-27 14:21:27+00:00,198.84815623071333,177.8879538117359,176.15876652702238,182.16130604966304,188.84880762775694
105,1998-12-13 14:21:23+00:00,201.29024145950478,193.42025814624577,191.26024708100988,190.2101102317629,187.45270303613125
106,1999-01-14 14:21:01+00:00,,,,,
107,1999-01-30 14:21:05+00:00,198.33460854915188,190.31549780420102,188.6285190590976,189.3256016181448,196.076108434513
108,1999-02-15 14:21:17+00:00,,222.5093548700946,198.53674783309629,198.2525451462971,184.88239417873905
109,1999-03-03 14:21:37+00:00,,176.25525754540465,175.35702852722443,181.5044807486808,187.2175845750559
110,1999-03-19 14:21:24+00:00,189.29308294113713,186.40799526381304,178.64502615834627,189.3488440100251,190.1906924111299
111,1999-04-04 14:21:08+00:00,189.77294872899793,181.57550477167698,174.68542307230138,177.2733509902459,183.58503229912984
112,1999-05-22 14:20:19+00:00,199.93851250227567,178.07525195034728,173.53870000760193,,
113,1999-06-23 14:20:19+00:00,183.97316694341797,167.261179348124,162.3632759955136,179.13560704507734,182.348794725828
114,1999-07-25 14:20:10+00:00,184.72799490899547,167.9995086442882,170.0312712160779,180.83389944008354,181.01158823720863
115,1999-09-11 14:19:16+00:00,,168.7613415473587,157.3542803829183,178.73570229474385,176.16714964951964
116,1999-09-19 14:34:55+00:00,,187.72472142988084,184.44884315483174,194.29460530404353,194.76037683661343
117,1999-10-05 14:35:29+00:00,,,,,
118,1999-10-13 14:18:40+00:00,,179.49760864880247,180.14998137839518,186.93742001564183,194.74159140025458
119,1999-11-06 14:35:20+00:00,,178.6308573643761,177.50659572771875,188.29033572094556,194.04864000236213
120,1999-11-14 14:18:10+00:00,200.39288941390552,173.37921054423214,178.9433375731764,190.66410221318904,195.52207010255822
121,1999-11-22 14:35:14+00:00,,177.1338162931533,178.18773379955542,185.1635723733682,187.97782138945036
122,1999-11-30 14:17:37+00:00,,192.27504647049926,192.77147708045848,191.08558308124555,195.36615376564617
123,1999-12-16 14:17:34+00:00,190.3191666120874,183.4577596030016,185.89583769058507,185.34051452258228,185.94021319119815
124,1999-12-24 14:35:18+00:00,,189.73124577268467,191.13837668404446,195.63725003064297,193.33982701106916
125,2000-01-09 14:34:53+00:00,184.87944594909146,198.7520172119868,199.1628430580628,201.16547415346892,201.06594102732487
126,2000-01-17 14:17:17+00:00,213.15162669455077,196.19900296919045,197.6162688859092,203.20144524655316,207.02771506280894
127,2000-02-10 14:35:10+00:00,209.40531883107593,199.91688084500353,197.448517479629,196.1713943310196,195.58683088853655
128,2000-03-21 14:16:29+00:00,,187.85982950483537,190.05693625876418,194.23229223003798,188.32847242620898
129,2000-03-29 14:34:58+00:00,197.53682405041906,186.8404761231254,183.5332633489236,189.7714220970339,187.31703291658653
130,2000-04-06 14:16:51+00:00,188.72231337713595,192.3721688674662,185.7111750994648,182.92855806186546,187.30866881858748
131,2000-04-14 14:34:45+00:00,210.54199537373427,199.10738648832526,197.63363216855112,197.41710323949349,194.1514227759853
132,2000-04-22 14:17:27+00:00,,183.68158318648653,185.48654387154696,190.38358983735907,189.95821440815993
133,2000-05-16 14:34:33+00:00,186.30383959548186,172.9458337214555,175.00336189299838,179.50052216548863,184.8264546325193
134,2000-05-24 14:18:18+00:00,186.64810560697725,176.93302551033355,185.35432130432395,197.2671977185133,195.77849237462863
135,2000-06-09 14:18:16+00:00,186.8598530766823,172.41204649167034,201.08929393834157,189.78569166543883,161.16033525942504
136,2000-06-25 14:19:03+00:00,,178.57231061247487,183.02147504759455,180.9280943565872,181.66027270148078
