,dates,nzd0032-0000,nzd0032-0001,nzd0032-0002,nzd0032-0003
244,2012-12-19 22:07:32+00:00,,144.8765175591685,139.07011122339827,130.27672389257918
245,2013-01-27 22:13:47+00:00,149.03953728436727,149.21841637922373,130.40240657666843,115.56341984859316
246,2013-02-05 22:07:37+00:00,,,,
247,2013-02-21 22:07:34+00:00,,,,138.09353162537164
248,2013-04-10 22:07:26+00:00,,,,
249,2013-04-25 22:19:21+00:00,158.7418719129269,157.40577321721554,139.73948044072358,124.94921221137332
250,2013-05-11 22:19:31+00:00,149.31143294029698,149.60954500673597,128.8944804699803,117.253586234219
251,2013-05-19 22:13:27+00:00,162.1641610152797,157.2130576325774,136.85636025565924,127.88388211623943
252,2013-05-20 22:13:26+00:00,,,,
253,2013-05-28 22:07:11+00:00,151.2984254246378,155.683466034838,138.25821854413738,126.45356865019971
254,2013-06-04 22:13:16+00:00,160.10783956247977,152.57197163187172,138.2242118372145,127.63469683100504
255,2013-06-20 22:13:13+00:00,146.61253271086417,159.94980801864477,133.98243004944078,128.21810205453193
256,2013-06-21 22:13:19+00:00,166.88432309237743,171.3943602139878,151.12482960586917,143.97894450199345
257,2013-06-28 22:19:33+00:00,147.84758438980097,148.08877081555062,130.11095528917383,118.38621918011933
258,2013-06-29 22:06:57+00:00,,,,134.6340646215926
259,2013-07-06 22:13:02+00:00,,149.38096996431176,128.5237047049678,125.66343060822356
260,2013-07-07 22:13:24+00:00,160.92435415517863,149.41554295167816,141.00354789488244,124.85398848234038
261,2013-07-14 22:19:34+00:00,151.94847787899124,152.55547769820097,130.383492582402,119.41391125546244
262,2013-07-15 22:06:47+00:00,172.19622373259722,167.73395763948412,141.79369027691544,130.560426147602
263,2013-08-23 22:12:58+00:00,149.73720303072406,146.51687668913888,128.5467220023726,
264,2013-08-31 22:19:38+00:00,162.99138639180893,152.33488811645404,133.6535729339869,121.3920471101265
265,2013-09-08 22:13:10+00:00,160.78722260235617,150.30394971415842,132.97946388685406,120.79667309159026
266,2013-09-25 22:13:17+00:00,153.51164170573017,141.43890690618383,136.50885140687927,
267,2013-10-02 22:19:28+00:00,,,,
268,2013-10-19 22:07:27+00:00,152.1798997737851,146.35836381853034,137.3682067443993,129.47313432785458
269,2013-10-26 22:13:39+00:00,,,,
270,2013-11-12 22:13:08+00:00,176.80635923282776,169.8468789093108,149.20822085899806,130.41344286227093
271,2013-12-14 22:12:57+00:00,169.9591177769191,162.4644033925957,144.16637523959722,134.2312698036243
272,2013-12-22 22:07:47+00:00,,,,
273,2014-01-06 22:18:54+00:00,153.95463532338945,154.22045841886708,133.9333474804072,126.03724245036273
274,2014-01-15 22:12:33+00:00,170.0406174030568,165.9622888430764,147.47590112849352,149.73561742613614
275,2014-01-31 22:12:28+00:00,144.57587030954448,141.84621186991924,137.42648300202055,124.8645661909827
276,2014-02-07 22:18:33+00:00,152.34952067837764,151.7247236112255,146.7293492260421,131.48198654130437
277,2014-02-23 22:18:20+00:00,,,,
278,2014-02-24 22:08:07+00:00,,,,
279,2014-03-27 22:17:50+00:00,,,,
280,2014-04-05 22:11:34+00:00,151.4975820491239,139.88293724427984,132.13162462019991,109.36354075481142
281,2014-04-12 22:17:37+00:00,177.41022838232314,159.9878224699383,135.30119230434244,122.96771649393366
282,2014-04-21 22:11:18+00:00,175.2467689513361,149.18832297065148,143.6842556575975,129.69521852713626
283,2014-04-28 22:17:22+00:00,167.65067611122248,148.26204158002923,131.4207430230207,122.04075666506031
284,2014-05-07 22:11:02+00:00,168.87221542166972,162.9411649430005,146.18020651272022,
285,2014-05-14 22:17:08+00:00,159.23389697352667,151.12556978663466,131.20827887507147,124.55642489178184
286,2014-05-15 22:08:44+00:00,,148.69363902474936,137.37920509061507,131.7108434768437
287,2014-05-30 22:17:11+00:00,144.43558978382512,144.0175186740702,127.29281605128908,116.79782052291682
288,2014-05-31 22:08:48+00:00,165.03589397468906,150.08716186563868,138.86237567933054,
289,2014-07-01 22:17:22+00:00,147.55275394363213,144.70591313645122,118.91506426180815,114.75043772804996
290,2014-07-17 22:17:28+00:00,116.86634536381708,125.61022335882502,107.63122149272704,104.08157415515883
291,2014-07-26 22:11:19+00:00,153.61836147052355,144.58398210278628,137.27393989997938,119.91175829628943
292,2014-10-06 22:09:20+00:00,,,,
293,2014-10-14 22:11:38+00:00,157.7870083581955,142.05928667030045,120.62345996233095,108.29606805189496
294,2014-10-30 22:11:34+00:00,166.94444029877664,146.20448896043163,136.00195844109777,129.19271587299744
295,2014-12-01 22:11:36+00:00,174.70891257732646,170.03531380913023,150.0619352845921,123.17857113386772
296,2015-01-25 22:17:32+00:00,137.4376152008012,139.42790295881508,126.3809289764776,115.4834204214902
297,2015-01-26 22:10:02+00:00,197.18237955639708,139.09779258589828,130.5420272423363,122.98963925844834
298,2015-02-11 22:10:04+00:00,157.30134463639166,150.27652777398114,141.86336253966965,
299,2015-02-26 22:17:23+00:00,156.37976588804096,152.9727447398117,137.09902696111092,130.1993713908189
300,2015-02-27 22:10:16+00:00,153.2963221026954,154.9663719247683,148.75349336627903,137.7997672722932
301,2015-03-15 22:10:22+00:00,,,,123.7469802942016
302,2015-03-30 22:17:01+00:00,,,,
303,2015-03-31 22:10:28+00:00,154.33794446916363,140.94254233471398,135.93905966191187,154.48882143022493
304,2015-04-24 22:10:44+00:00,139.5887331402606,144.56919122851826,137.79061563294405,130.8379602941089
305,2015-05-02 22:10:44+00:00,151.20274025165617,157.70390355061602,141.60908974573906,129.5728332002951
306,2015-05-10 22:10:28+00:00,143.20565727586973,150.49305692515009,142.4199445393677,132.92474342443978
307,2015-06-02 22:16:44+00:00,134.74233710927115,148.7706635915847,128.40712389372922,121.80187742453904
308,2015-06-03 22:10:57+00:00,,,,
309,2015-06-11 22:10:40+00:00,,,,
310,2015-07-20 22:17:10+00:00,151.4145871750702,152.12065781977643,136.76857774834338,132.8625541706759
311,2015-07-21 22:11:10+00:00,161.8058406312707,160.18040817605967,145.71035535133134,
312,2015-07-29 22:11:01+00:00,166.46630580265744,170.95371017075288,168.2535962558777,159.5079908257332
313,2015-08-22 22:11:15+00:00,,,,137.4302898513917
314,2015-09-23 22:11:22+00:00,,,,
315,2015-10-08 22:17:36+00:00,,,,
316,2015-10-24 22:17:40+00:00,,,,
317,2015-11-10 22:12:03+00:00,155.7011320276758,157.32309171139724,156.89485317747997,156.11583966618008
318,2015-11-18 22:11:33+00:00,169.84890121529776,162.3610370860428,165.72961430616303,159.40136405443323
319,2015-11-25 22:17:44+00:00,144.6054725153623,148.06384697286734,150.85888256681403,147.01668941657363
