dates,sar2332-0000,sar2332-0001,sar2332-0002,sar2332-0003,satname
2017-11-17 10:08:19+00:00,229.87777777777774,201.38444444444445,210.88111111111112,230.9811111111111,L7
2017-11-26 10:02:05+00:00,230.96249999999998,198.52111111111108,211.24625,235.5522222222222,L7
2018-01-04 10:07:51+00:00,230.96249999999998,198.52111111111108,213.05888888888887,235.5522222222222,L7
2018-01-20 10:07:37+00:00,230.6125,198.69375,213.44125,237.07999999999998,L7
2018-03-09 10:07:01+00:00,235.51,198.485,218.76,250.125,L7
2018-03-25 10:06:48+00:00,236.58666666666667,198.74666666666667,218.70000000000002,248.2083333333333,L7
2018-05-12 10:05:59+00:00,236.11600000000004,194.72750000000002,222.91199999999998,248.235,L7
2018-06-29 10:05:10+00:00,231.03000000000003,204.9275,219.632,238.495,L7
2018-07-15 10:04:51+00:00,230.58833333333334,203.844,216.058,234.62999999999997,L7
2018-07-31 10:04:35+00:00,230.0716666666667,204.5583333333333,217.30499999999998,232.84666666666666,L7
2018-08-16 10:04:17+00:00,228.9742857142857,204.12571428571428,216.71428571428572,229.96142857142857,L7
2018-11-28 10:05:39+00:00,225.2325,207.91,220.52999999999997,218.60750000000002,L8
2018-12-31 09:54:48+00:00,225.30499999999998,208.96800000000002,222.755,223.89249999999998,L7
2019-01-15 10:05:34+00:00,224.78749999999997,210.998,229.75,225.46666666666667,L8
2019-01-16 09:54:42+00:00,225.904,211.32333333333335,228.52799999999996,227.595,L7
2019-02-08 09:59:46+00:00,227.34500000000003,211.962,235.24200000000002,228.8166666666667,L7
2019-02-24 09:59:17+00:00,228.99666666666667,212.41199999999998,237.49200000000002,237.16,L7
2019-03-04 10:05:24+00:00,229.8575,210.98,236.65833333333333,238.1025,L8
2019-03-05 09:53:13+00:00,228.77599999999998,210.98,234.18285714285713,243.888,L7
2019-03-12 09:58:46+00:00,227.44499999999996,213.2028571428571,234.18285714285713,243.51666666666665,L7
2019-03-21 09:52:42+00:00,226.84285714285713,212.04125,232.225,241.52142857142854,L7
2019-03-28 09:58:14+00:00,226.8125,211.1522222222222,230.0977777777778,240.79,L7
2019-04-29 09:57:05+00:00,224.2433333333333,211.1522222222222,230.0977777777778,240.79,L7
2019-05-31 09:55:53+00:00,224.192,209.39777777777778,225.29777777777778,236.44555555555553,L7
2019-06-09 09:49:46+00:00,224.192,208.516,223.661,234.89299999999997,L7
2019-06-16 09:55:18+00:00,224.3090909090909,207.7790909090909,223.07818181818183,232.35545454545453,L7
2019-06-25 09:48:47+00:00,225.01916666666668,207.63583333333335,222.545,231.83,L7
2019-07-02 09:54:42+00:00,224.5381818181818,206.83416666666665,222.01307692307694,229.29999999999998,L7
